,LOSS0,LOSS1,LOSS2,LOSS3,LOSS4,LOSS5,LOSS6,LOSS7,LOSS8,LOSS9,LOSS10,LOSS11,LOSS12,LOSS13,LOSS14,LOSS15,LOSS16,LOSS17,LOSS18,LOSS19,LOSS20,LOSS21,LOSS22,LOSS23,LOSS24,LOSS25,LOSS26,LOSS27,LOSS28,LOSS29,LOSS30,LOSS31,LOSS32,LOSS33,LOSS34,LOSS35,LOSS36,LOSS37,LOSS38,LOSS39,LOSS40,LOSS41,LOSS42,LOSS43,LOSS44,LOSS45,LOSS46,LOSS47,LOSS48,LOSS49
0,8.451499,7.0610027,2.7112403,8.774201,15.196635,0.86419594,1.9175434,2.3149307,29.299503,0.5146874,0.9420591,3.0492363,2.8113208,36.696262,0.25144958,1.9044272,9.05487,9.924544,0.5307375,5.535079,2.1699893,13.659665,4.812049,0.6460032,3.2898893,5.762719,4.9467707,8.278631,2.13095,6.47639,5.4268265,0.19241904,5.452143,1.5191138,5.385651,5.6545143,6.9015665,4.026849,0.81266415,5.573839,2.2341647,0.18369563,1.2661456,0.55345106,4.1442146,27.766445,0.6640702,1.4163718,2.1896193,3.1465197
1,0.44334745,1.3106242,6.6572013,1.5291729,2.1470327,0.55209374,0.45285565,1.2454604,1.6333843,0.437219,0.32430705,1.0199343,0.44828495,28.996674,0.1651329,0.705401,2.6618724,0.8184281,0.2989606,2.7262852,0.8013486,23.694563,4.0945787,0.378061,0.9180097,1.8156667,1.4790381,0.63321495,0.4120868,0.73390305,0.3494657,0.16422471,2.2632241,1.0446725,2.1105065,6.343926,1.4432099,0.57519597,0.27662623,1.0849667,0.7209472,0.13505141,1.5743624,0.45768872,3.3155365,19.288801,0.36433855,0.49446428,0.5415509,2.0795732
2,0.72360224,20.07607,26.670467,0.6838663,1.3699523,0.39506385,0.41208607,0.5074274,1.6259028,0.45228425,0.18560685,0.53258395,0.33741105,0.28818664,0.20738386,0.23766159,0.31019378,0.7366326,0.23237883,1.1379595,0.4699086,0.3847234,7.9062905,0.24078442,0.22977552,1.0020914,0.5854732,0.87102485,0.26043385,0.5943279,0.30968472,0.15193513,0.7244445,0.67479,0.65823203,27.382706,0.2354764,0.9449317,0.14249335,0.51269174,0.23203896,0.11943867,12.258628,0.3488645,6.1980762,4.6602073,0.24862987,0.2883272,0.36404547,0.9898525
3,0.79034597,46.046818,0.651167,0.759346,0.82618237,0.3198759,0.36709997,0.3680512,1.8617604,0.51400197,0.22674198,0.3371567,0.2537046,0.2393798,0.3707424,0.32211277,0.6073105,0.697851,0.2411261,0.858037,0.4518049,0.6411039,1.3047565,0.2286484,0.395583,0.46827236,0.3054393,0.7603033,0.20187911,0.8434187,0.45695207,0.15300125,0.5032222,0.5506293,0.28358272,2.5427918,0.31602088,0.54400325,0.17713456,0.8999964,0.11230244,0.122761264,36.222702,0.28122535,0.4968095,2.4386725,0.23856612,0.3051494,0.4110823,0.38344958
4,0.4908079,0.33022463,0.9300554,0.86302054,0.35138142,0.29860592,0.32515958,0.45731327,1.0238347,0.7291636,0.21031396,0.335436,0.21467355,0.2702601,0.9237835,0.37116396,0.9821054,0.47306326,0.22988874,0.95953137,0.38360924,0.5880199,0.34510115,0.24839512,0.4419742,0.23337208,0.42719388,0.5504622,0.21115743,0.6660858,0.26586694,0.15300697,0.5572686,0.5371813,0.39469847,0.33393058,0.6100894,0.3437439,0.16392902,0.88861066,0.19286744,0.11937103,1.5895227,0.2612391,0.9391475,0.75567955,0.22346951,0.2784572,0.3719482,0.23356515
5,0.29979208,0.54675454,1.0205544,0.6940467,0.34149206,0.3111711,0.281671,0.5699749,0.52028465,1.1584208,0.17274137,0.40794867,0.22000998,0.454763,2.6579828,0.28450635,0.85648185,0.3088695,0.20754649,0.9090983,0.30649287,0.776453,0.23743883,0.23481551,0.3346435,0.26859748,0.5849597,0.43546486,0.21329997,0.44635904,0.14252959,0.14965267,0.60266775,0.5205274,0.605099,0.35052136,0.60819817,0.31054118,0.13220805,0.6165123,0.24897748,0.11314122,1.3147436,0.26936302,0.65926486,0.52003956,0.21100459,0.25677,0.31879532,0.2914808
6,0.2632524,1.1684588,0.7853752,0.47936547,0.43433917,0.3135084,0.23580304,0.5814426,0.30620193,0.6864837,0.15684652,0.47166023,0.23384896,0.9469258,0.44541466,0.19387603,0.54584426,0.24102846,0.19190398,0.67560387,0.24190998,1.2063465,0.30706427,0.19748263,0.24187613,0.35723495,0.58079827,0.4072923,0.18742113,0.332293,0.13701545,0.14653923,0.66775984,0.47582597,0.66540885,0.28868026,0.41778764,0.31267783,0.11923162,0.39435115,0.21258385,0.110124595,1.2395762,0.28158122,0.37571016,0.40531465,0.21436015,0.24177104,0.29444784,0.42062515
7,0.27720323,2.7322547,0.59913456,0.33527133,0.45578596,0.28743798,0.18826486,0.5329783,0.27233258,0.19946507,0.1501727,0.481061,0.24416016,1.984495,0.35943556,0.15927471,0.30065784,0.22858319,0.17962497,0.4084295,0.19223636,1.1407185,0.43093508,0.16680351,0.20254429,0.40774077,0.45783263,0.34415486,0.14864261,0.29573944,0.15093812,0.14296602,0.7279358,0.4188753,0.5578178,0.25780642,0.2449299,0.29748282,0.11465944,0.30366638,0.14129996,0.10737667,0.8037898,0.2839099,0.25751483,0.44929728,0.2168975,0.21741565,0.2777023,0.4578486
8,0.28631604,5.6219873,0.56095576,0.32737717,0.37780082,0.24092433,0.1444269,0.47568884,0.2920589,0.2431255,0.13977587,0.43580505,0.24142534,3.7052617,0.13877687,0.15295172,0.21175544,0.23264167,0.1656082,0.25934845,0.15402403,0.14593804,0.585981,0.15230855,0.18916416,0.42163885,0.31826153,0.30867472,0.11637057,0.28470066,0.1473044,0.14113711,0.7288856,0.36037442,0.44059402,0.25047782,0.17224333,0.26517302,0.10846113,0.28735426,0.09004961,0.10328874,0.43478626,0.27283776,0.22510459,0.7654932,0.20706733,0.1928113,0.256367,0.49039587
9,0.27764645,10.047952,0.5801048,0.35395333,0.27371752,0.19462658,0.11183143,0.4230253,0.33308005,0.21087618,0.12825766,0.36265832,0.22620155,6.0603986,0.21712318,0.14843495,0.22517575,0.23268475,0.15468489,0.1891183,0.12958884,0.13571776,0.7817641,0.14737865,0.18347517,0.40114948,0.22244939,0.30699295,0.09791214,0.2725698,0.13665047,0.13858192,0.65481186,0.29234785,0.3436861,0.26004055,0.17845614,0.23929118,0.0995912,0.27560368,0.0722195,0.1005421,0.21651797,0.2505779,0.21827982,1.4493375,0.18966606,0.1747423,0.23503767,0.4956311
10,0.25763908,15.96753,0.6106099,0.31477463,0.23653094,0.1624206,0.08314045,0.3788069,0.39245653,0.18423136,0.11925272,0.28976065,0.20712066,8.835321,0.52424246,0.13465756,0.26506495,0.21764357,0.14780052,0.14188269,0.108617395,0.19373004,1.017469,0.13976048,0.1775422,0.35953775,0.18029135,0.3205946,0.08837676,0.25361514,0.1305585,0.13596687,0.5356695,0.23523918,0.2724892,0.2809385,0.21416068,0.22159535,0.09175539,0.2503202,0.07735557,0.098102756,0.20447294,0.22333112,0.21675286,2.5242457,0.17133689,0.16108823,0.21782137,0.46263677
11,0.2353313,22.98865,0.70530874,0.27648306,0.21819007,0.14701141,0.060020205,0.33899188,0.45896187,0.17631303,0.112366304,0.23503931,0.1876691,11.599673,0.5781226,0.11992066,0.2523495,0.18703467,0.14150056,0.12004982,0.09323878,0.2416765,1.286681,0.12978037,0.1689263,0.30885872,0.17439333,0.3294113,0.07787887,0.23651631,0.13055763,0.13311535,0.41261762,0.19070542,0.2275935,0.30888385,0.24239364,0.21030079,0.08455817,0.2090717,0.09161968,0.09587473,0.24620216,0.19630994,0.21768437,3.9518178,0.15706182,0.14768544,0.20160717,0.397574
12,0.21840638,30.293812,0.89796793,0.24339542,0.20994842,0.14176902,0.04317901,0.30233616,0.512769,0.19165869,0.106154956,0.20310721,0.17018631,16.322647,0.5937415,0.10812196,0.23549865,0.15460311,0.13457927,0.12087745,0.08007754,0.31953865,1.5806605,0.12148682,0.15771715,0.26239008,0.18312913,0.31991795,0.06762545,0.22947246,0.13320452,0.13028182,0.31384447,0.1600552,0.20237155,0.34128657,0.25086883,0.20246288,0.07701815,0.1746435,0.10646736,0.09426366,0.30684957,0.17312387,0.21678545,5.6283703,0.1477854,0.13322158,0.18598099,0.31861898
13,0.20836739,36.807537,1.1788045,0.22428285,0.21321324,0.13807459,0.03280555,0.26799893,0.5376311,0.25417262,0.09963974,0.19175828,0.1560761,35.9533,0.5805833,0.10236414,0.21358807,0.14243232,0.1287785,0.13878204,0.0683099,0.41593045,1.8963227,0.115412034,0.14554486,0.22174232,0.19326915,0.30521914,0.05916951,0.22364174,0.13551371,0.12705342,0.2471174,0.13959448,0.19164078,0.37719852,0.24184594,0.19996212,0.070297435,0.16790222,0.11723427,0.09186251,0.35589775,0.15513772,0.21718548,7.391724,0.14356525,0.11851595,0.17086999,0.24348274
14,0.20191786,41.366364,1.5322624,0.21049605,0.21878624,0.13170306,0.029821036,0.2376127,0.5233124,0.31755573,0.09371329,0.18648668,0.14594164,15.455566,0.55358106,0.098507255,0.18523823,0.13850532,0.12234651,0.16621682,0.05830789,0.53260416,2.2313828,0.11075513,0.13577953,0.19743396,0.19788036,0.29552138,0.053028807,0.21675558,0.13688028,0.12254274,0.20873253,0.12151475,0.18890308,0.417221,0.22415696,0.19634154,0.06745974,0.1678856,0.12100673,0.08927038,0.3838,0.14282471,0.2203265,9.06531,0.14019096,0.105619594,0.15641294,0.18388446
15,0.19833043,43.116943,1.9217176,0.21306555,0.22201772,0.12406831,0.0346661,0.21290265,0.49017778,0.3453133,0.08857246,0.1844413,0.13886459,12.8783245,0.5136218,0.0937732,0.15332131,0.13495794,0.11685182,0.19478962,0.050157033,0.82994616,2.5668721,0.1064237,0.13049388,0.1912374,0.19491376,0.29182142,0.051202614,0.20759168,0.13763909,0.11904315,0.19041961,0.10231409,0.18970415,0.46301806,0.20489408,0.1845466,0.06571367,0.16591318,0.1176438,0.08668566,0.38791552,0.1344685,0.2266506,10.46145,0.13621049,0.09686942,0.14289375,0.1429521
16,0.19649595,41.816097,2.2802355,0.21817575,0.22926375,0.11885772,0.045515977,0.19728996,0.50963765,0.33733466,0.08432154,0.18263327,0.13501118,8.422902,0.4625639,0.08828189,0.118707396,0.1279515,0.111337095,0.21710016,0.044876855,5.171058,2.882868,0.102461964,0.1272867,0.20098902,0.18613775,0.2886995,0.052304804,0.19829993,0.1392084,0.11512107,0.1835975,0.081298016,0.19163339,0.5168376,0.18821345,0.16894455,0.06359239,0.16168042,0.105721146,0.08504474,0.37852678,0.12765765,0.23598072,11.443741,0.13081622,0.091667205,0.13055983,0.119360626
17,0.19669744,37.961243,2.5471666,0.23994464,0.2378285,0.11830867,0.06156211,0.18952526,0.55406994,0.2868251,0.08072529,0.17963775,0.1335879,4.12829,0.40465903,0.08359012,0.08558462,0.11815461,0.10733431,0.22612396,0.04258626,127.66254,3.1660566,0.09893814,0.12488432,0.21105596,0.17531888,0.28402364,0.05574127,0.19153585,0.14088553,0.11136344,0.18232982,0.06317693,0.19433096,0.580077,0.17549817,0.14977697,0.062404174,0.1556574,0.08977158,0.082834095,0.37009948,0.120987006,0.2478113,11.928253,0.124924004,0.08843463,0.11769304,0.109590225
18,0.19752008,32.714996,2.6147606,0.27547246,0.24471658,0.123197265,0.080108926,0.18898094,0.5971969,0.20924427,0.07806463,0.17463519,0.13314614,1.7929449,0.34476924,0.0800791,0.059512872,0.10857167,0.10295061,0.21759735,0.042788252,230.93938,3.404041,0.09649732,0.121431164,0.22020133,0.16499162,0.27623296,0.060867637,0.18742703,0.14352557,0.10649425,0.17898618,0.051797703,0.19969903,0.6534771,0.16792774,0.12930824,0.061428737,0.14483574,0.07117052,0.080911964,0.37337562,0.11470059,0.2612868,11.954874,0.11987954,0.08466005,0.10720335,0.1095209
