,MSE0,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20,MSE21,MSE22,MSE23,MSE24,MSE25,MSE26,MSE27,MSE28,MSE29,MSE30,MSE31,MSE32,MSE33,MSE34,MSE35,MSE36,MSE37,MSE38,MSE39,MSE40,MSE41,MSE42,MSE43,MSE44,MSE45,MSE46,MSE47,MSE48,MSE49
0,2.8695865e-08,,1.8606393e-06,,1.03700095e-05,1.9112542e-06,1.2288886e-05,9.204788e-07,4.4295102e-11,,2.7292499e-08,7.1216336e-06,1.3210985e-07,,3.1098527e-06,6.1992985e-08,5.1418033e-07,2.0096314e-08,3.1893496e-10,5.85025e-07,1.5106155e-09,,,4.8232955e-08,7.0183876e-07,3.8361513e-06,6.429231e-07,2.1577907e-08,2.2935314e-05,4.519045e-08,9.9613146e-08,9.2616926e-07,3.9761133e-08,1.8773729e-06,2.317843e-07,2.4597102e-07,9.1020536e-07,4.9460563e-05,7.6859536e-08,2.1170052e-08,6.056049e-07,1.42101935e-05,1.1434039e-08,,9.6379836e-08,,2.6082876e-06,3.4033976e-06,3.927637e-07,4.115395e-06
1,1.6761966e-08,,9.838245e-07,,4.8278935e-06,9.4327056e-08,5.869337e-06,3.6199097e-07,3.689534e-09,,4.5890744e-08,1.9242734e-06,4.1756152e-08,,2.2951456e-06,1.4808034e-08,6.2106445e-11,3.4016278e-08,3.8180236e-08,2.9737546e-07,3.5047948e-10,,,6.138433e-08,5.009515e-07,2.1656722e-06,1.6412034e-06,6.390378e-09,1.3782096e-05,7.3587096e-08,1.8858832e-09,2.8608738e-07,7.521545e-08,7.9673606e-07,1.4599586e-07,9.886028e-08,2.274841e-07,2.5200017e-05,2.434339e-08,1.0857147e-08,2.2341699e-06,6.013327e-05,2.7147598e-08,,1.883225e-08,,1.1838538e-06,1.4794235e-06,7.6271384e-08,5.0139164e-07
2,4.6970396e-09,,3.9602182e-07,,1.4358825e-06,4.0688187e-06,1.8517652e-06,6.955387e-08,1.8671376e-08,,8.0549896e-08,3.3097327e-05,4.4092183e-09,,1.5599503e-06,8.768161e-10,5.677941e-07,6.623018e-08,1.542718e-07,9.269625e-08,3.8329356e-10,,,6.505467e-08,3.1186096e-07,1.0104536e-06,2.5144489e-06,6.332384e-11,6.9519388e-06,1.2301682e-07,1.7917344e-07,1.650951e-08,1.0785191e-07,1.5549685e-07,9.230173e-08,1.4492575e-08,4.1545656e-10,8.917881e-06,3.5123855e-09,7.04662e-09,4.9792975e-06,0.00013829248,5.6371924e-08,,3.1711722e-09,,3.3839535e-07,3.7041957e-07,9.003383e-09,4.0061803e-07
3,4.235359e-10,,9.661378e-08,,5.0856244e-08,1.410514e-05,1.0647576e-07,2.044171e-09,5.750017e-08,,1.4593543e-07,5.2887084e-05,1.91695e-09,,9.083723e-07,4.4310347e-08,2.3332473e-06,1.2203591e-07,3.8362657e-07,1.3208391e-09,2.3355662e-09,,,5.4845703e-08,1.4413239e-07,3.2154216e-07,2.184871e-06,1.5384988e-08,2.5249306e-06,2.1030243e-07,3.6171224e-07,6.23554e-08,1.2545617e-07,1.7251132e-08,6.4524436e-08,1.1156466e-08,2.9870517e-07,8.543328e-07,4.8286247e-11,8.423789e-09,8.982036e-06,0.00024944506,1.1787329e-07,,7.747757e-08,,1.0713347e-08,8.4028207e-10,2.443777e-07,4.0093823e-06
4,2.1831848e-08,,8.3291325e-11,,5.0242187e-07,3.060357e-05,4.4775248e-07,1.00266575e-07,1.4530566e-07,,2.6813677e-07,1.7809523e-05,1.3420321e-08,,3.8157398e-07,1.8092136e-07,5.4727734e-06,2.3404765e-07,7.80549e-07,7.35786e-08,1.3316483e-08,,,3.0748215e-08,2.6919153e-08,2.8010774e-08,1.9802378e-06,7.746801e-08,3.3649553e-07,3.6524455e-07,4.6426084e-07,3.4742118e-07,1.1670674e-07,4.849588e-07,5.8553145e-08,1.3767108e-07,1.2325644e-06,1.3822962e-06,1.7594386e-09,1.8913719e-08,6.273583e-06,0.0003946494,2.3254792e-07,,2.8985616e-07,,1.13392055e-07,2.6265027e-07,8.685487e-07,1.017109e-05
5,1.06038826e-07,,5.2190252e-08,,2.5372763e-06,5.4158452e-05,2.6064138e-06,3.0073732e-08,3.2866328e-07,,4.962065e-07,1.4863697e-06,1.8791924e-08,,5.476332e-08,4.7920696e-07,1.02527965e-05,4.4996847e-07,1.4371034e-06,3.9385904e-07,5.4332965e-08,,,4.3382284e-09,1.0977498e-08,3.3159665e-08,1.9300985e-06,2.3351781e-07,1.4316944e-07,6.4124754e-07,6.6055907e-07,7.727144e-07,7.7881786e-08,1.7206316e-06,7.862335e-08,4.798705e-07,2.9747116e-06,1.1064702e-05,4.5769047e-10,5.4709634e-08,1.4244539e-06,0.00022759405,4.480223e-07,,7.235393e-07,,5.268996e-07,1.0062511e-06,2.0167772e-06,9.092227e-06
6,3.255249e-07,,1.5876203e-07,,5.8059945e-06,8.562444e-05,6.213571e-06,3.7922945e-09,6.9344765e-07,,9.1821323e-07,2.9407363e-06,8.256197e-09,,4.7501732e-08,1.0521629e-06,1.7071025e-05,8.515485e-07,2.5017173e-06,1.1056438e-06,1.747798e-07,,,1.228049e-08,1.9347337e-07,2.1528108e-07,2.0668217e-06,5.702411e-07,1.6125597e-06,1.133006e-06,1.0204016e-06,1.2134487e-06,2.2220684e-08,3.9732104e-06,1.4930502e-07,1.1458309e-06,5.7900993e-06,3.073692e-05,3.667303e-09,1.5811867e-07,2.4158853e-09,8.946315e-05,8.5941343e-07,,1.5060239e-06,,1.0991129e-06,2.0356026e-06,3.9015545e-06,8.461231e-06
7,8.1630577e-07,,2.279896e-07,,9.850178e-06,0.00012624165,1.0775629e-05,1.4831068e-07,1.3929081e-06,,1.6899062e-06,2.0801872e-05,1.7994759e-09,,5.715653e-07,2.0981909e-06,2.651771e-05,1.5909777e-06,4.205142e-06,2.4489948e-06,4.7733386e-07,,,1.4101057e-07,7.4156986e-07,4.3338082e-07,2.4808128e-06,1.243692e-06,4.3001596e-06,2.0052728e-06,1.6787848e-06,1.5273797e-06,4.7914686e-09,7.638788e-06,3.3662556e-07,2.3619161e-06,1.0088002e-05,6.162001e-05,5.6354203e-08,4.2172482e-07,1.4487731e-06,3.2785512e-05,1.6225202e-06,,2.8681677e-06,,1.6454062e-06,3.1065122e-06,6.856701e-06,8.351326e-06
8,1.8248419e-06,,2.0538556e-07,,1.4084194e-05,0.00017775653,1.5667727e-05,6.7722704e-07,2.6994037e-06,,3.0851218e-06,5.31815e-05,8.459721e-08,,1.9899928e-06,3.943484e-06,3.9460567e-05,2.9511846e-06,6.943922e-06,4.8001652e-06,1.1623584e-06,,,5.696825e-07,1.9522265e-06,5.451566e-07,3.3268946e-06,2.5275262e-06,7.632578e-06,3.5426783e-06,2.8791128e-06,1.577226e-06,1.6144982e-07,1.3312532e-05,7.886237e-07,4.449197e-06,1.6488011e-05,0.00010547764,2.7126686e-07,1.0315418e-06,5.038123e-06,4.440892e-06,2.9948649e-06,,5.1766256e-06,,1.9670274e-06,3.9351057e-06,1.14002305e-05,8.91562e-06
9,3.7873897e-06,,7.351785e-08,,1.7792016e-05,0.00024264054,2.012352e-05,1.9846436e-06,5.0749836e-06,,5.5729106e-06,5.5391498e-05,4.723776e-07,,4.8982824e-06,7.123846e-06,5.7181096e-05,5.3674194e-06,1.1355802e-05,8.804026e-06,2.6032465e-06,,,1.6433711e-06,4.337924e-06,4.4810568e-07,4.939988e-06,4.8933853e-06,1.0914671e-05,6.23017e-06,5.0393314e-06,1.2714197e-06,7.7820306e-07,2.190945e-05,1.8073825e-06,8.137986e-06,2.5930822e-05,0.00016482249,9.217772e-07,2.3395205e-06,9.840079e-06,1.8579789e-06,5.4737757e-06,,9.017397e-06,,1.8889657e-06,4.23215e-06,1.5047847e-05,1.0428991e-05
