,LOSS0,LOSS1,LOSS2,LOSS3,LOSS4,LOSS5,LOSS6,LOSS7,LOSS8,LOSS9,LOSS10,LOSS11,LOSS12,LOSS13,LOSS14,LOSS15,LOSS16,LOSS17,LOSS18,LOSS19,LOSS20,LOSS21,LOSS22,LOSS23,LOSS24,LOSS25,LOSS26,LOSS27,LOSS28,LOSS29,LOSS30,LOSS31,LOSS32,LOSS33,LOSS34,LOSS35,LOSS36,LOSS37,LOSS38,LOSS39,LOSS40,LOSS41,LOSS42,LOSS43,LOSS44,LOSS45,LOSS46,LOSS47,LOSS48,LOSS49
0,0.84743494,5.431822,0.63225985,13.560329,1.1046977,6.7569733,6.32073,3.4120457,5.2167583,10.628131,7.0281057,14.359189,2.114484,0.3526475,2.186733,14.143772,20.974005,1.6049803,2.0663986,2.8576503,7.6323233,11.464181,73.44389,5.1537294,2.2097402,3.487583,0.9915604,5.906194,3.5927303,1.9146911,4.4374294,2.0310779,1.3674067,5.584824,3.181827,1.4765192,2.3568676,4.5764327,14.740353,0.44071195,16.318083,37.38065,0.6147117,1.2424603,0.4827967,1.6884962,3.5647314,28.948933,10.773923,1.4832481
1,0.71898246,0.5209397,0.4436432,1.3566301,0.6938921,0.5990121,0.5902664,1.0964975,1.2793106,0.38717633,5.2507787,31.195284,0.2640365,0.23520088,0.42334804,50.82642,28.148487,0.4024939,0.69905424,0.3173801,0.30151647,2.1361458,33.623356,1.064818,1.1997494,0.92791617,0.31252667,0.9170529,1.1397662,0.6538475,1.2890241,0.7529754,0.8176329,15.954464,1.206878,0.6964285,1.3650945,0.4664756,0.42676345,0.33386976,2.6197042,3.280687,0.33217764,0.35800815,0.31140795,1.018324,1.243559,0.3623207,2.5897658,0.5531671
2,0.6003363,0.9246245,0.59631157,1.4370216,0.5723805,0.60433096,0.4337577,0.29818425,0.34935814,0.7518499,6.524776,5.5597267,0.21796006,0.17689374,0.29154655,3.2415514,6.0943537,0.379462,0.50184524,0.28085983,0.25516665,0.8168084,1.9681292,0.5152475,0.8271842,0.5614798,0.25355583,0.18441215,0.24033628,0.5475949,0.39959273,0.2166128,0.54260033,33.581512,0.4899798,1.7672063,0.7748562,0.2448936,1.7183828,0.22348683,0.41877016,0.716249,0.49218112,0.17268974,0.20508327,0.50607556,0.3443891,1.4734144,0.15592003,0.27253073
3,0.53933245,0.7717944,0.6242475,0.7065852,0.5563847,0.49321255,0.37632775,0.45366573,0.62258285,0.50534797,2.7627182,1.8058934,0.19570301,0.1755337,0.30677983,0.3882515,1.921335,0.35651287,0.47438386,0.24989574,0.15731913,0.20814712,0.216623,0.8031478,0.7166306,0.6636531,0.33381772,0.35234368,0.38583964,0.31095976,0.352988,0.2672944,0.37352067,0.7154075,0.4637198,0.8847708,0.5139501,0.1118515,2.0079613,0.15840751,0.5685322,1.1713803,1.2109249,0.17577584,0.17321329,0.2965937,0.4983997,1.3348638,0.33604512,0.3166149
4,0.50596535,0.55900764,0.53639126,0.5990306,0.5075479,0.40057382,0.32235375,0.54384404,0.66984016,0.25099984,0.3665542,0.78448105,0.18561442,0.17304237,0.32154855,0.47038165,1.0632033,0.3329472,0.36584753,0.22027306,0.15836804,0.28431678,0.21276675,0.80605483,0.71578646,0.60348785,0.26562968,0.28225398,0.57965255,0.2751836,0.6196769,0.34864667,0.34409508,0.35856548,0.5951594,0.19434255,0.47845832,0.1376835,1.3768696,0.13872772,0.32837662,0.62423533,4.018232,0.16750413,0.17925127,0.3303492,0.6023271,0.66906893,0.22503895,0.32562956
5,0.46074545,0.43639955,0.31816724,0.6379666,0.43636858,0.3912649,0.2781472,0.42932156,0.5015071,0.20345162,0.1622024,0.30324012,0.17205848,0.16072044,0.299618,0.6929227,0.7875964,0.3052093,0.28181234,0.21261026,0.16228928,0.59293956,0.20700388,0.6369198,0.6683553,0.47418267,0.2180634,0.18281044,0.45262295,0.292496,0.7576115,0.3010827,0.3926033,0.25687927,0.5427273,0.20920806,0.57676756,0.22926842,0.69381976,0.14380847,0.30944553,0.7345712,3.183988,0.16326252,0.19317305,0.42193455,0.48627642,0.25834203,0.22826627,0.28842467
6,0.392101,0.3783342,0.24195075,0.6314186,0.3707642,0.36537305,0.2229045,0.30015,0.35331997,0.2426769,0.23223002,0.6584071,0.15329482,0.15211713,0.2682919,0.8033714,0.9889631,0.2778219,0.2596396,0.20033912,0.15637362,0.6957657,0.19378492,0.46204817,0.5604895,0.3940726,0.14672227,0.12973835,0.28248084,0.31912538,0.68226796,0.22755788,0.43764472,0.27510017,0.39293614,0.28328222,0.6814661,0.28931338,0.28770924,0.15892324,0.32432652,0.727781,1.5409497,0.14883423,0.19467522,0.443119,0.34311175,0.27826512,0.24717578,0.25380477
7,0.315055,0.34204105,0.20574275,0.55405617,0.3126459,0.2998256,0.17522664,0.24737282,0.29111436,0.2812053,0.19529231,0.70021325,0.13863282,0.14812732,0.24418417,0.87401825,1.024737,0.25345987,0.24843201,0.18504037,0.15613998,0.563924,0.17725958,0.33065265,0.4510961,0.36382306,0.14387915,0.12247339,0.16971178,0.33222374,0.5222525,0.19596119,0.43302205,0.31255326,0.2716659,0.3237449,0.69961226,0.3046016,0.25191644,0.17120956,0.31883037,0.61645806,0.59392095,0.12323259,0.18014862,0.38300422,0.27751747,0.50323474,0.2587596,0.23335688
8,0.24183765,0.3118838,0.17510566,0.4966441,0.25624934,0.23071703,0.14059396,0.25343448,0.26637852,0.29814827,0.149623,0.82895696,0.12944347,0.14280091,0.2245187,0.98210704,0.9888791,0.23130345,0.2322351,0.1703972,0.16057138,0.33374098,0.16344285,0.24984887,0.37085837,0.34426346,0.13875993,0.1306721,0.12869278,0.3229901,0.38870123,0.18933257,0.37850448,0.32509425,0.22655508,0.34753484,0.63331246,0.28951925,0.2715998,0.17273891,0.31182936,0.5439442,0.26747718,0.10151752,0.16044864,0.29261354,0.26352602,0.50117904,0.24398512,0.22353786
9,0.18898807,0.28716174,0.1466206,0.46510547,0.20220304,0.19384606,0.11774465,0.27351442,0.25032204,0.3008212,0.15431109,0.78447825,0.12193154,0.13437568,0.20257474,1.0976291,1.0200812,0.21167135,0.21837255,0.15759376,0.16814357,0.17824417,0.15493666,0.21612884,0.3163221,0.31903103,0.13291821,0.1347178,0.13638687,0.29545996,0.3115718,0.1780225,0.3067862,0.32955444,0.22652279,0.36187676,0.5396249,0.24715444,0.28103653,0.16038822,0.3060809,0.492719,0.24240969,0.09068805,0.14621273,0.21714716,0.25218213,0.45370656,0.22454701,0.21597175
10,0.15875266,0.2669547,0.12130601,0.43778843,0.1552916,0.18217306,0.10293977,0.28367633,0.23817061,0.29850045,0.18334031,0.90353453,0.11341424,0.12548018,0.17742081,1.1989089,1.0132887,0.1930136,0.20508827,0.14558393,0.18485759,0.16728526,0.14364254,0.20573872,0.2761275,0.2899826,0.12765782,0.13854714,0.16772847,0.25966543,0.28286678,0.15906467,0.25016707,0.32571632,0.23218447,0.35169324,0.4437627,0.21654928,0.26767072,0.14015555,0.29560626,0.43033135,0.26434648,0.08548068,0.14157858,0.17603356,0.22692311,0.44160286,0.22761817,0.20559059
11,0.13818213,0.25414345,0.09942884,0.4027435,0.12065977,0.18268546,0.09388279,0.276236,0.2268366,0.28560376,0.21688068,0.115529925,0.10608873,0.11846227,0.1526902,1.2719364,1.2141701,0.17587695,0.19197014,0.13321352,0.21409178,0.18125147,0.1297997,0.1900227,0.23934437,0.2593338,0.12230893,0.15533397,0.2048392,0.2277611,0.28312603,0.14282462,0.22085622,0.31563786,0.22295947,0.3275835,0.36147612,0.20134407,0.24476968,0.120559916,0.2819551,0.365478,0.2995733,0.07810491,0.14076918,0.16847168,0.19945765,0.42093498,0.22849767,0.19312176
12,0.117748186,0.24602835,0.08125577,0.35587645,0.09429944,0.183779,0.08752205,0.25759584,0.21788256,0.26493758,0.25360733,0.15683521,0.09939744,0.11235768,0.13046132,1.2968645,1.7189451,0.16000514,0.17924847,0.12032647,0.25440758,0.21215941,0.11530496,0.15970051,0.20165321,0.23315664,0.11649849,0.18476404,0.23361763,0.20393066,0.29060042,0.13558494,0.21447408,0.30200285,0.19822006,0.30591822,0.2996323,0.19919242,0.22847457,0.10732695,0.2664273,0.3050223,0.29462162,0.06689225,0.13992351,0.18413298,0.18194619,0.39003095,0.22862738,0.18007913
13,0.10000266,0.23806925,0.06729945,0.3095747,0.07396536,0.18070021,0.08352151,0.23641136,0.21110107,0.2520975,0.2708022,0.17518382,0.09374276,0.10711548,0.111373395,1.3012093,1.5793494,0.14645572,0.16800207,0.10751052,0.2840316,0.25105318,0.10888188,0.12577237,0.1649747,0.2147067,0.1110191,0.21549407,0.24753106,0.18851052,0.28677028,0.13355738,0.21880268,0.2882966,0.16719384,0.2863945,0.25908357,0.20573582,0.21942909,0.10142911,0.25143135,0.2518564,0.30278143,0.057142872,0.13623793,0.21220595,0.17698348,0.35277167,0.2294362,0.16853465
14,0.08631231,0.22803088,0.05676296,0.27502117,0.06118716,0.16957551,0.08467023,0.21788792,0.20636082,0.24228612,0.3087735,0.20506437,0.08896423,0.1025673,0.095295765,1.2848339,1.384355,0.13382362,0.1574726,0.09647564,0.27981448,0.28116828,0.11052569,0.11135878,0.13398914,0.20056985,0.10483522,0.22754805,0.23577476,0.18069169,0.2774465,0.13050565,0.22110161,0.2758022,0.13711417,0.266199,0.23723048,0.21446776,0.21666701,0.101209596,0.23469718,0.20755962,0.31190902,0.050975405,0.12964228,0.24145484,0.18107677,0.3159796,0.23117305,0.15832633
15,0.07754122,0.22082022,0.0490886,0.2467995,0.05455927,0.15382235,0.08327164,0.20415553,0.20385727,0.23412903,0.3353892,0.2302931,0.08524174,0.09803711,0.081934065,1.2546859,1.1552528,0.124222,0.14797944,0.08948379,0.27360192,0.29966912,0.11947764,0.10799363,0.1120522,0.18557562,0.099873185,0.2310967,0.20906577,0.17753038,0.26417083,0.12359214,0.21432503,0.26590818,0.11600011,0.24897294,0.2292717,0.22142623,0.21893542,0.10323516,0.21782102,0.17237939,0.30727047,0.047730953,0.12369725,0.26000553,0.18671624,0.28319284,0.23247656,0.14901313
16,0.07446379,0.21451266,0.043031894,0.22619087,0.053827576,0.13762696,0.08578361,0.19591045,0.20223074,0.23123996,0.36887875,0.2212958,0.08084476,0.0933662,0.072930224,1.200847,0.9158202,0.11580429,0.14055152,0.08240423,0.26621282,0.30257037,0.12729809,0.109986335,0.0998856,0.16881272,0.09448358,0.22841111,0.1899435,0.17583986,0.25125512,0.11421768,0.19964156,0.25868884,0.10629737,0.23599125,0.22914684,0.22253887,0.22463712,0.10469111,0.20262963,0.14684361,0.3062945,0.046096258,0.117787175,0.26650974,0.1907726,0.25714567,0.23345758,0.14009461
17,0.07316161,0.21038635,0.037111215,0.21879472,0.05912757,0.12549008,0.1007226,0.19301076,0.20085168,0.2283055,0.36150816,0.19057645,0.077447824,0.08803117,0.06648546,1.1214703,0.6888047,0.11028008,0.13459393,0.07550768,0.25866395,0.29351446,0.12314821,0.11382389,0.09508756,0.15276608,0.08987577,0.22012408,0.17265698,0.17326538,0.24341139,0.10541026,0.18196687,0.25396502,0.10597508,0.22864197,0.22926158,0.21844958,0.23164621,0.10241047,0.18793918,0.12961547,0.32282224,0.045731384,0.11331696,0.2555285,0.19400297,0.23969498,0.23402366,0.13071156
