,MSE0,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20,MSE21,MSE22,MSE23,MSE24,MSE25,MSE26,MSE27,MSE28,MSE29,MSE30,MSE31,MSE32,MSE33,MSE34,MSE35,MSE36,MSE37,MSE38,MSE39,MSE40,MSE41,MSE42,MSE43,MSE44,MSE45,MSE46,MSE47,MSE48,MSE49
0,2.204295e-10,1.1714315e-05,3.0104038e-06,5.4390165e-07,1.5349421e-07,4.135299e-06,5.1428526e-07,1.14367126e-07,5.7037255e-09,2.1033108e-08,4.5800505e-08,0.99975324,2.3098778e-06,1.7864106e-07,3.9264756e-09,0.99975324,0.99975324,0.99975324,2.6901287e-06,8.746561e-08,7.92627e-08,4.691318e-06,7.425679e-07,0.99975324,1.865198e-05,3.6704232e-06,1.1977278e-06,7.7660127e-07,2.3459624e-07,2.7028233e-05,0.99975324,1.2622778e-06,8.199539e-10,0.99975324,1.691707e-07,1.2164895e-05,2.5601486e-07,2.2690543e-08,0.99975324,5.039389e-08,1.0235638e-06,1.750614e-08,0.99975324,1.3322734e-06,2.0377274e-06,0.99975324,6.535256e-08,0.99975324,2.628987e-07,0.99975324
1,1.4435818e-09,4.967876e-06,1.2164766e-06,5.979164e-08,5.5437738e-08,2.1220226e-06,2.4869405e-07,3.3248302e-08,1.4462698e-10,3.9152265e-08,7.120993e-08,0.99964756,1.4519201e-06,1.7614225e-07,9.64369e-11,0.99964756,0.99964756,0.99964756,3.4388264e-10,5.900258e-08,4.6807536e-09,2.1634298e-06,8.601806e-07,0.99964756,1.6101792e-05,4.492735e-07,5.622278e-07,1.7747341e-05,2.88576e-07,1.4210675e-05,0.99964756,7.936624e-07,3.1930567e-10,0.99964756,1.284952e-07,4.8303677e-06,3.1228035e-07,4.1402142e-08,0.99964756,1.19517045e-08,6.4622145e-07,3.4281314e-08,0.99964756,5.704894e-07,7.205288e-07,0.99964756,9.2515926e-08,0.99964756,2.9275965e-08,0.99964756
2,1.2466998e-08,1.0288228e-06,2.4180645e-07,5.1651035e-08,4.1146765e-07,8.1143986e-07,6.7507685e-08,5.5912333e-09,5.2259304e-09,7.372883e-08,1.1594917e-07,0.9995002,8.3008075e-07,1.9112639e-07,4.0756714e-09,0.9995002,0.9995002,0.9995002,3.0772578e-09,2.864328e-08,2.733679e-08,6.3533764e-07,1.1434099e-06,0.9995002,1.3584966e-05,3.5489802e-07,1.816695e-07,5.722874e-05,3.7314248e-07,5.3822355e-06,0.9995002,4.0681732e-07,1.8968849e-09,0.9995002,8.1111644e-08,7.865183e-07,4.0003312e-07,7.680457e-08,0.9995002,1.704346e-09,3.3032768e-07,6.698435e-08,0.9995002,1.12656856e-07,8.466017e-08,0.9995002,1.3955295e-07,0.9995002,3.6522625e-08,0.9995002
3,4.560774e-08,5.2211444e-08,8.348629e-09,4.5032027e-07,5.525862e-07,1.392228e-07,5.858887e-11,3.731741e-09,3.416959e-08,1.3945333e-07,1.9573287e-07,0.99929655,4.162268e-07,2.3302503e-07,2.7471392e-08,0.99929655,0.99929655,0.99929655,2.4767525e-08,4.5345785e-09,1.82606e-07,2.2965587e-08,1.4722585e-06,0.99929655,1.1094917e-05,3.572628e-06,1.7104416e-08,0.00011979691,5.0802385e-07,7.085235e-07,0.99929655,1.2647614e-07,1.6805579e-09,0.99929655,3.3451343e-08,2.0433552e-07,5.3932234e-07,1.4367158e-07,0.99929655,1.4018264e-08,1.0087152e-07,1.3011699e-07,0.99929655,1.2677259e-08,5.696983e-08,0.99929655,2.2175624e-07,0.99929655,3.3863947e-07,0.99929655
4,1.2493673e-07,2.2772772e-06,4.0491534e-07,1.1598639e-06,7.801582e-07,1.3618676e-08,9.799423e-08,5.5273237e-08,1.1249983e-07,2.6351663e-07,3.390981e-07,0.99901676,1.7422991e-07,3.206657e-07,9.342143e-08,0.99901676,0.99901676,0.99901676,8.8376126e-08,5.2656692e-09,5.292835e-07,2.0837214e-07,1.7410254e-06,0.99901676,8.631644e-06,1.03838265e-05,1.6068403e-08,6.6431414e-05,7.270327e-07,4.546882e-07,0.99901676,1.3237135e-09,3.809144e-14,0.99901676,1.8483874e-09,3.3462986e-06,7.6438283e-07,2.6930348e-07,0.99901676,2.4733597e-08,4.992101e-10,2.5062195e-07,0.99901676,3.579861e-07,5.3329563e-07,0.99901676,3.6783706e-07,0.99901676,1.0211162e-06,0.99901676
5,2.9601435e-07,8.068191e-06,1.2777457e-06,2.0504388e-06,1.1532051e-06,3.0870072e-07,4.4724817e-07,2.1127492e-07,2.880186e-07,4.955412e-07,5.9741984e-07,0.99863577,5.783388e-08,4.9141886e-07,2.4627133e-07,0.99863577,0.99863577,0.99863577,2.3803604e-07,6.926007e-08,1.1623952e-06,1.0263063e-06,1.8901349e-06,0.99863577,6.2198915e-06,2.1211514e-05,1.1120476e-07,2.2925413e-05,1.0884128e-06,5.0231397e-06,0.99863577,1.11773e-07,8.293314e-09,0.99863577,2.1790267e-08,1.0607702e-05,1.1340077e-06,5.0346506e-07,0.99863577,2.1240467e-08,1.0488689e-07,4.777985e-07,0.99863577,1.2882708e-06,1.3719548e-06,0.99863577,6.2821937e-07,0.99863577,2.2194517e-06,0.99863577
6,6.4283984e-07,1.7967592e-05,2.4262933e-06,2.9581558e-06,1.773091e-06,8.6067786e-07,1.1924184e-06,5.6447203e-07,6.4807347e-07,9.247663e-07,1.0621989e-06,0.99812084,1.7055479e-08,8.1512854e-07,5.6845295e-07,0.99812084,0.99812084,0.99812084,5.5590476e-07,2.7130966e-07,2.2374008e-06,2.2598904e-06,1.8580988e-06,0.99812084,3.933169e-06,3.6671234e-05,2.2388204e-07,6.420981e-06,1.6925259e-06,1.5016691e-05,0.99812084,5.9567964e-07,6.233197e-08,0.99812084,1.6428116e-07,2.2579772e-05,1.7492679e-06,9.3557946e-07,0.99812084,4.464229e-09,5.4269304e-07,9.004692e-07,0.99812084,3.0241006e-06,2.3869952e-06,0.99812084,1.0943397e-06,0.99812084,4.145926e-06,0.99812084
7,1.3167803e-06,3.278365e-05,3.5975527e-06,3.6854979e-06,2.813376e-06,1.4674565e-06,2.5691752e-06,1.2791832e-06,1.348904e-06,1.7092566e-06,1.8943886e-06,0.9974301,1.179854e-08,1.4218372e-06,1.2093309e-06,0.9974301,0.9974301,0.9974301,1.1909965e-06,7.510156e-07,4.007778e-06,3.6290103e-06,1.5960333e-06,0.9974301,1.9159388e-06,5.7668047e-05,2.7542865e-07,1.3545284e-07,2.7116496e-06,3.132862e-05,0.9974301,1.6828344e-06,2.4583292e-07,0.9974301,5.6408174e-07,4.013026e-05,2.7833469e-06,1.7239457e-06,0.9974301,9.992959e-09,1.5323742e-06,1.6761657e-06,0.9974301,5.909053e-06,3.3517347e-06,0.9974301,1.9252282e-06,0.9974301,7.131911e-06,0.9974301
8,2.5849952e-06,5.367973e-05,4.500054e-06,4.0217064e-06,4.569307e-06,1.906034e-06,4.9666473e-06,2.6413875e-06,2.6646e-06,3.1246464e-06,3.3732808e-06,0.9965109,4.0526384e-08,2.5492513e-06,2.4335293e-06,0.9965109,0.9965109,0.9965109,2.4074916e-06,1.760645e-06,6.875719e-06,4.8066095e-06,2.925182e-07,0.9965109,4.5001167e-07,4.817926e-05,2.1328636e-07,2.8324264e-06,4.439408e-06,5.5260498e-05,0.9965109,3.7533089e-06,7.340234e-07,0.9965109,1.4673329e-06,6.4515865e-05,4.531015e-06,3.1444958e-06,0.9965109,1.4542742e-07,3.4360148e-06,3.0798483e-06,0.9965109,1.0478285e-05,4.0078216e-06,0.9965109,3.3980032e-06,0.9965109,1.1693926e-05,0.9965109
9,4.909928e-06,8.23642e-05,4.83174e-06,3.7750503e-06,7.538525e-06,1.966381e-06,9.013109e-06,5.1403626e-06,5.067269e-06,5.6440003e-06,5.9765243e-06,0.9952974,1.9477825e-07,4.615558e-06,4.7003145e-06,0.9952974,0.9952974,0.9952974,4.664101e-06,3.7439802e-06,1.1494056e-05,5.4372686e-06,1.8067396e-07,0.9952974,3.625865e-08,2.9210527e-05,6.310954e-08,1.2861118e-05,7.3714095e-06,8.8701876e-05,0.9952974,7.4267014e-06,1.8651108e-06,0.9952974,3.3101396e-06,9.7564014e-05,7.489318e-06,5.6706676e-06,0.9952974,6.569044e-07,6.8476756e-06,2.910551e-06,0.9952974,1.756653e-05,4.1025596e-06,0.9952974,5.9882614e-06,0.9952974,1.8630904e-05,0.9952974
10,9.077308e-06,0.0001212896,4.350869e-06,2.861993e-06,1.2550432e-05,1.5248135e-06,1.5717782e-05,9.598902e-06,9.35587e-06,1.0066228e-05,1.0508713e-05,0.9937077,7.585548e-07,8.34872e-06,8.791476e-06,0.9937077,0.9937077,0.9937077,8.741924e-06,7.4635955e-06,1.8900804e-05,5.2107184e-06,2.496374e-06,0.9937077,1.5387317e-06,1.6461874e-05,2.2048818e-08,2.8094239e-05,1.2334533e-05,0.00013436314,0.9937077,1.3704435e-05,4.258475e-06,0.9937077,6.845551e-06,0.00014188862,1.24869175e-05,4.8155425e-06,0.9937077,2.0406092e-06,1.2739934e-05,2.3349517e-06,0.9937077,2.84557e-05,3.4583977e-06,0.9937077,1.0495486e-05,0.9937077,2.9182103e-05,0.9937077
11,1.6398088e-05,0.00017399342,3.0076528e-06,1.4417245e-06,2.0969597e-05,6.856253e-07,2.6690777e-05,1.7379876e-05,1.6857595e-05,1.7718461e-05,1.8303961e-05,0.9916421,2.3714697e-06,1.497613e-05,1.6013128e-05,0.9916421,0.9916421,0.9916421,1.5946227e-05,1.4202016e-05,3.073854e-05,3.97421e-06,8.847715e-06,0.9916421,6.401966e-06,8.699292e-06,2.517246e-07,4.590857e-05,2.0690248e-05,0.00019611561,0.9916421,2.4188415e-05,9.0037165e-06,0.9916421,1.3344398e-05,0.00020122924,2.088747e-05,9.1593094e-08,0.9916421,5.227549e-06,2.266958e-05,2.5277823e-06,0.9916421,4.5118755e-05,2.1166068e-06,0.9916421,1.8248025e-05,0.9916421,4.525678e-05,0.9916421
12,2.9021292e-05,0.00024552524,1.1693073e-06,1.6705755e-07,3.5010216e-05,1.4343836e-08,4.4483982e-05,3.0697665e-05,2.9741215e-05,3.076939e-05,3.1539446e-05,0.9889797,6.299138e-06,2.6537678e-05,2.8508412e-05,0.9889797,0.9889797,0.9889797,2.8419123e-05,2.607371e-05,4.9590974e-05,1.969923e-06,2.1810232e-05,0.9889797,1.6984213e-05,4.5921047e-06,9.380897e-07,6.319174e-05,3.4648994e-05,0.00027950012,0.9889797,4.1417603e-05,1.7966744e-05,0.9889797,2.4906934e-05,8.6806445e-05,3.490408e-05,1.6593507e-06,0.9889797,1.1867532e-05,3.9114755e-05,3.814137e-06,0.9889797,7.0575436e-05,5.604945e-07,0.9889797,3.141826e-05,0.9889797,6.978589e-05,0.9889797
13,5.0407318e-05,0.00034309484,2.856753e-09,5.7494134e-07,5.8210993e-05,9.278222e-07,7.3058894e-05,1.0458235e-05,5.1499053e-05,5.2703042e-05,5.3709384e-05,0.9855762,1.4859685e-05,4.6349272e-05,4.9730654e-05,0.9855762,0.9855762,0.9855762,4.9612703e-05,4.649756e-05,7.9474594e-05,1.9211625e-07,4.543737e-05,0.9855762,3.704897e-05,2.92836e-06,3.2771934e-06,7.652885e-05,5.774494e-05,0.0003923271,0.9855762,6.936156e-05,3.424923e-05,0.9855762,4.493496e-05,1.5693e-05,5.8074107e-05,6.2691693e-06,0.9855762,2.478807e-05,6.596823e-05,6.207564e-06,0.9855762,0.0001094024,1.1052705e-07,0.9855762,5.348713e-05,0.9855762,0.00010723135,0.9855762
