,LOSS0,LOSS1,LOSS2,LOSS3,LOSS4,LOSS5,LOSS6,LOSS7,LOSS8,LOSS9,LOSS10,LOSS11,LOSS12,LOSS13,LOSS14,LOSS15,LOSS16,LOSS17,LOSS18,LOSS19,LOSS20,LOSS21,LOSS22,LOSS23,LOSS24,LOSS25,LOSS26,LOSS27,LOSS28,LOSS29,LOSS30,LOSS31,LOSS32,LOSS33,LOSS34,LOSS35,LOSS36,LOSS37,LOSS38,LOSS39,LOSS40,LOSS41,LOSS42,LOSS43,LOSS44,LOSS45,LOSS46,LOSS47,LOSS48,LOSS49
0,0.30259278,0.6809634,0.5577294,2.2334144,0.31446433,6.0850945,1.8691008,0.24523748,1.5082953,3.4025242,0.81766057,0.37400085,0.26785624,2.1942613,1.1567674,2.5156891,8.413788,0.48386365,2.9455342,0.47962743,2.2531443,1.0210693,0.547698,0.22334069,0.52934426,3.362066,2.8090892,0.6534773,0.3342887,1.146514,0.2860116,0.28615642,0.2514588,1.2811635,0.23537676,2.8934143,0.55724084,0.3122198,0.4060284,2.0112753,1.1259679,1.4291143,0.5742721,0.22942868,0.9052062,0.29606572,4.7596016,2.824497,0.81008995,0.40991405
1,0.28666633,0.5646715,0.48106876,1.7530856,0.29086906,4.5914774,1.4558078,0.24502623,1.1905086,2.6459181,0.6478574,0.3355875,0.2533962,1.6754444,0.93876004,1.9886287,6.270053,0.41860688,2.232914,0.41997805,1.7275155,0.8167355,0.4715304,0.22311988,0.45169964,2.5949383,2.123322,0.5539149,0.30662408,0.9036995,0.28393933,0.26936167,0.25090963,1.0271206,0.23211494,2.293954,0.47773755,0.28889954,0.36409244,1.5714538,0.90692836,1.1125271,0.4902135,0.22549674,0.73740166,0.2800072,3.6525147,2.1443472,0.6798214,0.36453018
2,0.26457483,0.40370762,0.37173623,1.0765167,0.25931585,2.5473228,0.88606644,0.24472824,0.75358844,1.5780245,0.42733854,0.28226784,0.23358825,0.9724838,0.6272783,1.2360914,3.363581,0.32966903,1.2684652,0.33605793,1.0105063,0.53756416,0.36609542,0.22279362,0.34381106,1.5236824,1.1994156,0.4130054,0.2686924,0.57344735,0.2809934,0.24597427,0.25013173,0.6785326,0.22758888,1.4293431,0.36771706,0.25770748,0.30619976,0.9607604,0.6005766,0.68375206,0.37410837,0.22008817,0.50831354,0.25891963,2.1097987,1.219158,0.49100542,0.30103874
3,0.24673073,0.27427655,0.27864975,0.51355237,0.23560944,0.93127376,0.43134463,0.24447182,0.40666386,0.6850041,0.27105442,0.23915233,0.21796438,0.42971158,0.3610746,0.59278065,1.110969,0.26025885,0.5249325,0.26646063,0.4500381,0.31872907,0.28129092,0.22248541,0.2564608,0.6461062,0.49388957,0.2948257,0.23875694,0.31687468,0.27843958,0.22692831,0.24946284,0.40251,0.22393057,0.67621815,0.27929962,0.23425142,0.25990498,0.4661921,0.34916794,0.3532093,0.28114247,0.21578112,0.32898283,0.24363191,0.84835726,0.49908635,0.3252925,0.24895313
4,0.23898517,0.21897116,0.23233491,0.2492378,0.22739685,0.26631692,0.24106081,0.24432258,0.2635713,0.25925928,0.22743721,0.22041339,0.2116092,0.22376318,0.22729912,0.2682692,0.24134955,0.23303466,0.24365945,0.2341378,0.22971655,0.2320027,0.24498913,0.22226527,0.21847327,0.25008118,0.23538263,0.23831096,0.22665066,0.21796973,0.27697212,0.2184443,0.2490871,0.28919274,0.22233818,0.2787902,0.24158967,0.22607596,0.24044771,0.25009784,0.23543711,0.22863744,0.24190708,0.21396452,0.25815842,0.23894699,0.27912754,0.21892028,0.23655385,0.22546072
5,0.24099728,0.23500426,0.23570035,0.28992414,0.23246355,0.49272233,0.30221197,0.24426743,0.3124535,0.31505522,0.27151343,0.22532567,0.21382701,0.3207291,0.23523496,0.28524458,0.62469614,0.2443165,0.37719026,0.23965305,0.321548,0.2670736,0.2553355,0.2221304,0.2285438,0.33291906,0.37156272,0.2456035,0.23116232,0.26225483,0.27652726,0.22027521,0.24898547,0.32836825,0.22274129,0.27541545,0.25261962,0.23098528,0.24655691,0.30542225,0.25898445,0.28873736,0.25399926,0.21446897,0.2871088,0.24279594,0.39643517,0.33976167,0.2342377,0.23044619
6,0.24801125,0.28741643,0.2694927,0.50535494,0.24264176,1.1561863,0.488511,0.24424294,0.45487413,0.6521999,0.34030634,0.24248892,0.22003356,0.55082875,0.3312012,0.5157824,1.5727376,0.27303466,0.69259125,0.26655608,0.55666846,0.3586529,0.28941694,0.22202551,0.2636315,0.67761207,0.6734815,0.29019102,0.24357247,0.37062708,0.276518,0.22749878,0.24899945,0.44142032,0.22416443,0.5317396,0.28841832,0.24091043,0.2653948,0.5033139,0.35779327,0.42917877,0.29184124,0.2160653,0.36209282,0.24934466,0.89004827,0.6427431,0.28979114,0.25095037
7,0.25428194,0.33423606,0.30631813,0.7228028,0.24970177,1.7317423,0.65121067,0.24418119,0.5766201,1.0007033,0.37834018,0.25803575,0.22505538,0.7303566,0.43769416,0.7745142,2.3315833,0.2958915,0.9385104,0.29327646,0.74691117,0.43346387,0.31975326,0.22188348,0.29557526,1.0090009,0.90007293,0.33613154,0.25392926,0.4563289,0.27626243,0.2340651,0.24894595,0.5377049,0.22543015,0.8396364,0.32026923,0.24772912,0.28180477,0.6857513,0.45292437,0.5376405,0.32509223,0.21734886,0.4230248,0.25321016,1.3676223,0.8861782,0.35782024,0.27052516
8,0.25606832,0.34833282,0.3248284,0.8168139,0.24959943,1.8923818,0.696539,0.24404559,0.60717124,1.1604499,0.36534715,0.26285127,0.22582392,0.75676584,0.49341372,0.9137257,2.4702778,0.29947442,0.9748676,0.30435416,0.78290546,0.44841692,0.32860693,0.22166033,0.30581814,1.1364343,0.92264426,0.35676804,0.25623435,0.4701458,0.27534318,0.23594807,0.24871306,0.5613901,0.22577289,1.0237651,0.32967603,0.24745812,0.28622425,0.7474791,0.48948368,0.5520618,0.33445933,0.2174719,0.43473703,0.25219023,1.5563616,0.9308157,0.3994022,0.27781382
9,0.25287578,0.32635123,0.3176859,0.7542584,0.24334392,1.6092469,0.6157716,0.24384025,0.5418374,1.0734725,0.31643143,0.2556219,0.22229819,0.63665736,0.4762155,0.87829757,2.0005348,0.28412765,0.81073827,0.2959688,0.66604,0.40341425,0.31381965,0.22135055,0.29166168,1.0197098,0.7573537,0.344474,0.250283,0.4143335,0.27374193,0.23250799,0.24829596,0.50876606,0.22509363,1.0082643,0.31444213,0.24110378,0.2777742,0.671341,0.45574516,0.47741318,0.317961,0.21640371,0.3973537,0.24748087,1.3962189,0.77963364,0.39707157,0.2705169
10,0.24681675,0.2838743,0.29129204,0.5852868,0.23499984,1.0817931,0.4660739,0.24359691,0.4258415,0.8129312,0.26291782,0.24136314,0.21664442,0.45136532,0.40303454,0.70636517,1.2434478,0.25992212,0.5572115,0.27466458,0.4764996,0.32936886,0.28562826,0.2209797,0.26327693,0.7474504,0.51519597,0.30922312,0.24016131,0.32691422,0.27174354,0.22588842,0.24777,0.41569367,0.22382724,0.8245195,0.2853037,0.23268393,0.26231274,0.51263356,0.3772006,0.36410484,0.2871661,0.21472,0.33635393,0.24200627,1.0100634,0.5360515,0.3570604,0.2540714
11,0.24089399,0.24280211,0.25944892,0.3983916,0.2286799,0.578967,0.32473454,0.24335112,0.31848308,0.5154849,0.23016821,0.22732013,0.21155174,0.29494485,0.31252986,0.48901138,0.5823159,0.23890553,0.34280702,0.25160766,0.31114787,0.26419842,0.25838542,0.22058427,0.23535527,0.46128467,0.3184192,0.26947436,0.23104641,0.25248787,0.26971847,0.21925107,0.2472328,0.3293387,0.22258915,0.57110065,0.25725088,0.22625722,0.24774922,0.3534278,0.29482487,0.26965645,0.25790668,0.21315236,0.28283465,0.23831868,0.59776175,0.32420665,0.3008824,0.2370415
12,0.23731415,0.21907428,0.23529947,0.2696621,0.22637735,0.29193538,0.24615455,0.24312325,0.26028195,0.30275372,0.22537453,0.21889062,0.2087508,0.22332215,0.24244136,0.31697464,0.2564817,0.22851159,0.24415866,0.23618433,0.23060217,0.2320004,0.24251303,0.22019155,0.21882954,0.27569398,0.23520823,0.24150406,0.2263429,0.2179485,0.26792273,0.21499284,0.24675053,0.28207424,0.22182953,0.3549438,0.24112625,0.2237858,0.23962653,0.25642392,0.24178089,0.22758865,0.2414286,0.21218306,0.25644562,0.23732175,0.3236651,0.2214454,0.25240514,0.22624487
13,0.23663066,0.21652937,0.22557385,0.23098083,0.22752142,0.26434278,0.24155924,0.24291278,0.25822055,0.23016709,0.23897387,0.21750799,0.20841113,0.23674457,0.212992,0.24087812,0.28439268,0.22908671,0.26199287,0.23207381,0.23904917,0.23481216,0.2404889,0.21980958,0.21660212,0.23179477,0.26021367,0.23246248,0.22647129,0.22384132,0.2664078,0.21379703,0.24633458,0.27958292,0.22165897,0.24354239,0.23946334,0.22470045,0.23904233,0.24020314,0.22982204,0.23709495,0.24013205,0.21187332,0.2586974,0.23826092,0.25055903,0.2327995,0.22701265,0.22397558
14,0.23790796,0.22821166,0.22913688,0.2666564,0.22999176,0.41100332,0.28498787,0.24270439,0.29126933,0.27881324,0.2548037,0.22098003,0.20947495,0.29485554,0.2221624,0.25884354,0.51539254,0.23563011,0.34149182,0.23697652,0.29750448,0.2575383,0.24772215,0.21942833,0.22424836,0.29722273,0.3375662,0.23937522,0.22945495,0.25126565,0.2650548,0.21475008,0.24595104,0.30511633,0.22188348,0.24565232,0.24743426,0.22690664,0.2432859,0.2818432,0.24921963,0.2728262,0.24872823,0.21194512,0.27709,0.23960978,0.33730137,0.30814075,0.2269857,0.22807865
15,0.23955709,0.24251719,0.23941323,0.3325789,0.23164865,0.591957,0.33556,0.2424801,0.32798576,0.38260084,0.2608192,0.2254745,0.21050783,0.34776816,0.2519782,0.33001983,0.7484611,0.24172035,0.41452456,0.24518424,0.35463107,0.27998507,0.25659987,0.21903013,0.23402922,0.39989156,0.40276575,0.25302592,0.2325285,0.27654052,0.263683,0.21618941,0.24555044,0.33352694,0.22217672,0.32157418,0.25708956,0.22829562,0.24815094,0.33843383,0.2787554,0.30425707,0.25880465,0.21200794,0.29504535,0.24011123,0.4841292,0.38167435,0.24359003,0.23409823
16,0.2402645,0.2499457,0.2486455,0.38335773,0.23143771,0.6921971,0.3609347,0.24222945,0.34439835,0.46947607,0.25434756,0.22776891,0.21050455,0.36324915,0.28030878,0.40174142,0.84197444,0.24307409,0.43674657,0.25107226,0.37511575,0.28811976,0.2609178,0.21860032,0.23942289,0.47119054,0.41712332,0.26370513,0.23369922,0.28418827,0.26215893,0.21668543,0.2450962,0.34563833,0.22227067,0.41142485,0.26197594,0.22783285,0.2503557,0.3723772,0.29851374,0.31226605,0.26368344,0.21177965,0.30114183,0.23936716,0.5926049,0.40821645,0.26338375,0.23794888
17,0.23954387,0.2470565,0.25162637,0.3930778,0.22961722,0.66815954,0.35038614,0.24195266,0.33345777,0.49474785,0.24065569,0.22661711,0.20926423,0.33760768,0.29160056,0.4351532,0.76435286,0.2390658,0.40263715,0.2516602,0.35238272,0.2792216,0.2584626,0.21813382,0.23788053,0.47631073,0.37961125,0.26573032,0.23250686,0.2722609,0.26045346,0.21565588,0.24458003,0.33586225,0.22206749,0.46510005,0.2598114,0.22577938,0.24886875,0.36754364,0.2987683,0.2954095,0.26115078,0.21119463,0.29328117,0.23779234,0.6092933,0.37938088,0.27504224,0.23772115
18,0.23774572,0.2364728,0.24736904,0.3619124,0.22724172,0.54823893,0.31401965,0.24165812,0.30377638,0.4537405,0.22763088,0.22281238,0.20726666,0.28943372,0.2820614,0.41852346,0.57798064,0.23201488,0.3372043,0.24729544,0.30375588,0.26006404,0.25099328,0.21763565,0.23096654,0.42115885,0.31657937,0.2589867,0.22982526,0.24949233,0.25863224,0.21341613,0.2440188,0.31116983,0.2216405,0.46087247,0.25244775,0.22317958,0.24479307,0.33107507,0.28181684,0.26562503,0.25330612,0.21037613,0.27711868,0.23614632,0.5377201,0.3173248,0.27365854,0.23399842
19,0.23566417,0.22398214,0.23848058,0.3092467,0.22538148,0.399758,0.27223897,0.2413559,0.27116883,0.3734838,0.22064899,0.21825992,0.2052468,0.2440823,0.25837547,0.3654996,0.3829482,0.22520697,0.27499977,0.24062347,0.25528517,0.24093185,0.24232149,0.2171162,0.22250782,0.3388503,0.26074222,0.24754527,0.22706369,0.22795299,0.25680232,0.21078977,0.24344018,0.28425607,0.22115277,0.40753433,0.24386112,0.2210899,0.24025004,0.28378153,0.25773305,0.23846368,0.24437608,0.20952356,0.26110548,0.23501909,0.42162824,0.25534782,0.26127833,0.22892371
20,0.23403583,0.21489663,0.22909035,0.259902,0.22455819,0.28706604,0.24313404,0.24105251,0.24902298,0.29254276,0.2203668,0.21476428,0.20375988,0.21916093,0.23211987,0.30282274,0.25874332,0.22098316,0.24033774,0.23476176,0.22650066,0.22955595,0.235919,0.21658534,0.21615778,0.2673478,0.2329488,0.23672587,0.22532263,0.21608979,0.25505313,0.20858075,0.2428669,0.2657958,0.2207543,0.3332063,0.23765995,0.220023,0.23707102,0.24667743,0.2376037,0.22425263,0.23808964,0.20879303,0.2515175,0.23456107,0.31472597,0.21845856,0.24434061,0.22477871
21,0.2331998,0.21161295,0.22261679,0.23145959,0.22462626,0.242563,0.2343759,0.24074893,0.24245057,0.24095954,0.22375643,0.21318671,0.20295426,0.21789622,0.21341468,0.25546774,0.23201643,0.2198259,0.23808347,0.23172519,0.22255264,0.22796956,0.23332721,0.21604823,0.21368785,0.23077807,0.23501001,0.23033783,0.22493157,0.21549053,0.25342116,0.20719452,0.24230753,0.25978696,0.22051288,0.26878932,0.23543541,0.21983351,0.23598053,0.23100008,0.22805823,0.22433548,0.23599787,0.20823175,0.2499249,0.2345299,0.2540522,0.21336581,0.22985698,0.22286826
