,MSE0,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20,MSE21,MSE22,MSE23,MSE24,MSE25,MSE26,MSE27,MSE28,MSE29,MSE30,MSE31,MSE32,MSE33,MSE34,MSE35,MSE36,MSE37,MSE38,MSE39,MSE40,MSE41,MSE42,MSE43,MSE44,MSE45,MSE46,MSE47,MSE48,MSE49
0,5.669171e-07,9.451563e-06,1.3212155e-05,1.683998e-05,7.04078e-09,1.432497e-05,2.6509515e-05,2.7641954e-07,2.9281244e-07,2.5914574e-06,2.6192617e-06,1.010482e-06,1.9230035e-06,9.277543e-06,1.0886787e-05,1.7772075e-07,9.380874e-06,3.311982e-05,3.2293235e-06,2.3412998e-05,4.3530057e-05,2.1968872e-07,1.5500518e-06,1.2033292e-06,2.6554162e-07,2.6162052e-06,1.1941564e-05,1.4014889e-05,6.287806e-07,5.2713767e-06,6.5694667e-07,4.919267e-06,4.4366734e-05,8.304802e-08,6.663636e-06,3.5893636e-06,2.5241303e-05,9.273508e-05,1.0826326e-05,1.613706e-05,3.2300522e-06,3.3697872e-06,5.328475e-06,2.6595662e-06,7.5325865e-08,1.1958906e-06,3.1281078e-07,1.6132159e-06,2.0019543e-05,1.9251078e-05
1,2.5764112e-07,3.1599586e-06,3.6018146e-06,1.17312475e-05,1.6259538e-07,3.06926e-06,1.6841865e-05,9.929297e-08,3.6428517e-07,1.4360492e-06,2.5837164e-07,1.0216988e-06,1.6705817e-06,3.9496153e-06,3.8844e-06,4.5157242e-07,9.185423e-06,2.5245958e-05,2.4166687e-07,6.681033e-06,3.360444e-05,4.3617796e-08,4.1635323e-07,1.2755601e-06,3.258855e-07,1.2829845e-06,2.2733434e-06,4.257232e-06,1.3851169e-06,5.9302016e-07,5.733276e-08,5.058327e-06,2.2144577e-05,1.0467098e-07,2.243096e-06,2.1141605e-07,1.7709783e-05,7.091519e-05,1.039186e-05,3.965712e-06,4.8985453e-07,1.4961895e-06,1.3833445e-06,8.224632e-07,6.296547e-08,5.5326507e-07,6.883153e-08,3.5944217e-07,5.477177e-06,1.9833462e-05
2,7.165438e-08,3.2221908e-07,7.71865e-08,7.4312325e-06,6.6136795e-07,1.0648233e-08,9.241381e-06,1.1157786e-06,3.899654e-07,6.114795e-07,2.2285471e-07,9.509598e-07,1.3887964e-06,9.729424e-07,4.985908e-07,7.416481e-07,8.644671e-06,1.7966306e-05,4.393705e-07,2.6235224e-07,2.4295812e-05,6.775671e-07,7.89482e-09,1.2951745e-06,3.429582e-07,3.9879774e-07,6.605017e-08,2.6440807e-07,2.236342e-06,3.6850747e-07,8.438046e-08,4.90999e-06,7.951321e-06,7.244265e-07,2.5815947e-07,6.7603787e-07,1.1382413e-05,5.1005223e-05,9.619878e-06,2.125809e-08,7.486186e-08,4.2051713e-07,2.2468729e-08,4.1225096e-08,4.8569996e-07,1.62311e-07,3.0247602e-10,2.076407e-10,1.4362395e-07,1.9587944e-05
3,1.3121673e-09,2.967879e-07,1.4533695e-06,4.030495e-06,1.3039142e-06,3.1009492e-06,3.8373246e-06,2.8570666e-06,3.6362786e-07,1.3005726e-07,1.729846e-06,8.033757e-07,1.0885024e-06,2.7481235e-09,2.2922673e-07,9.675662e-07,7.753294e-06,1.1524599e-05,2.7344809e-06,1.8593063e-06,1.5935875e-05,1.8588187e-06,1.7304842e-07,1.2449748e-06,3.089289e-07,1.5001488e-08,3.3161475e-06,7.9273366e-07,3.0323256e-06,3.323641e-06,5.957715e-07,4.457929e-06,1.0381533e-06,1.6532008e-06,1.4287995e-07,3.7540153e-06,6.3552584e-06,3.3525474e-05,8.50466e-06,2.2688798e-06,1.2405563e-06,1.4056269e-08,5.7871216e-07,2.1573507e-07,1.1138144e-06,5.4475238e-09,7.429941e-08,3.194066e-07,1.9439362e-06,1.845408e-05
4,3.3047403e-08,2.4003486e-06,6.4107503e-06,1.6144028e-06,1.917624e-06,1.0260972e-05,7.4582226e-07,4.880574e-06,2.9040928e-07,4.107843e-09,4.0566956e-06,5.965167e-07,7.8226094e-07,6.47441e-07,2.4478582e-06,1.0674103e-06,6.5385734e-06,6.2086838e-06,6.0936754e-06,9.163893e-06,8.904162e-06,3.3099584e-06,7.4187307e-07,1.1132549e-06,2.3048068e-07,1.4739071e-07,1.0026441e-05,4.560986e-06,3.6401375e-06,8.218552e-06,1.4326993e-06,3.7243483e-06,4.6102795e-07,2.6167231e-06,1.3252446e-06,8.2563365e-06,2.7207e-06,1.9056468e-05,7.081714e-06,8.712853e-06,3.2791047e-06,1.3026798e-07,2.3944544e-06,1.1614276e-06,1.7434508e-06,5.679042e-08,2.4479095e-07,1.0938786e-06,8.783349e-06,1.6449403e-05
5,1.4683754e-07,5.929561e-06,1.3551574e-05,2.6827286e-07,2.3656548e-06,1.9472353e-05,5.8220763e-08,6.7864207e-06,1.8728882e-07,2.4051934e-07,6.566008e-06,3.6314933e-07,4.9111816e-07,2.4782662e-06,6.420527e-06,1.0104025e-06,5.0747885e-06,2.3378766e-06,9.594484e-06,1.9922943e-05,3.6282238e-06,4.75772e-06,1.5363652e-06,9.003611e-07,1.2691562e-07,7.6912767e-07,1.8293933e-05,1.0286005e-05,3.9546403e-06,1.3883766e-05,2.4266621e-06,2.7744568e-06,5.08854e-06,3.378693e-06,3.2505236e-06,1.3082078e-05,5.793614e-07,8.222983e-06,5.4249817e-06,1.7450542e-05,5.5577248e-06,6.1375937e-07,4.8474876e-06,2.6193466e-06,2.2064498e-06,2.8047722e-07,4.5754638e-07,2.0985324e-06,1.8605866e-05,1.36692615e-05
6,3.1783642e-07,1.0182621e-05,2.1473494e-05,6.0742025e-08,2.553881e-06,2.8874456e-05,1.8216937e-06,8.246365e-06,8.162952e-08,8.3909765e-07,8.722482e-06,1.4982147e-07,2.4154173e-07,5.0474578e-06,1.1345761e-05,8.0290397e-07,3.481275e-06,2.576293e-07,1.2459558e-05,3.2005497e-05,5.716816e-07,5.94757e-06,2.3788486e-06,6.2414307e-07,3.3619656e-08,1.8067832e-06,2.6404921e-05,1.6742833e-05,3.9092433e-06,1.9275034e-05,3.4090385e-06,1.7284915e-06,1.3630489e-05,3.759494e-06,5.4045217e-06,1.7279044e-05,1.9652667e-08,1.6917203e-06,3.6619488e-06,2.6748456e-05,7.541861e-06,1.3068654e-06,7.3766773e-06,4.2775964e-06,2.389886e-06,6.299084e-07,6.5496675e-07,3.1228913e-06,2.9472576e-05,1.0321282e-05
7,5.1849406e-07,1.4492126e-05,2.8847513e-05,1.034265e-06,2.4453577e-06,3.686884e-05,6.0213597e-06,9.018785e-06,1.0178475e-08,1.7862205e-06,1.0129798e-05,1.6377724e-08,6.578316e-08,7.903177e-06,1.6398551e-05,4.965452e-07,1.9401825e-06,3.2320497e-07,1.4126792e-05,4.3480275e-05,2.0975259e-07,6.6693506e-06,3.1059287e-06,3.2816126e-07,1.4491227e-09,3.1456818e-06,3.292835e-05,2.2815337e-05,3.4938757e-06,2.3517858e-05,4.2232778e-06,7.6373055e-07,2.469097e-05,3.6659433e-06,7.3489095e-06,2.0095555e-05,1.1036069e-06,1.0917136e-07,1.9869833e-06,3.5092555e-05,8.841169e-06,2.0595276e-06,9.51139e-06,5.807126e-06,2.2496044e-06,1.0517261e-06,7.861089e-07,3.983641e-06,3.9640916e-05,6.744871e-06
8,7.202982e-07,1.8250708e-05,3.4527995e-05,3.1905631e-06,2.0568148e-06,4.2204865e-05,1.25467795e-05,8.971625e-06,1.35124685e-08,3.0500432e-06,1.0541765e-05,2.9052632e-08,1.0902463e-11,1.0619361e-05,2.0801357e-05,1.8670119e-07,6.9199666e-07,2.8711763e-06,1.4278146e-05,5.274361e-05,2.9945472e-06,6.785083e-06,3.5850526e-06,8.544426e-08,9.35229e-08,4.629457e-06,3.6817873e-05,2.7562808e-05,2.7566527e-06,2.5973095e-05,4.7393505e-06,1.1780154e-07,3.6811187e-05,3.100775e-06,8.735708e-06,2.1048278e-05,3.854714e-06,4.067222e-06,6.6046607e-07,4.1267933e-05,9.218241e-06,2.7412843e-06,1.0898462e-05,6.898749e-06,1.8122936e-06,1.4842483e-06,8.1452936e-07,4.533794e-06,4.765881e-05,3.408912e-06
9,8.987221e-07,2.0959758e-05,3.7637674e-05,6.472717e-06,1.4677923e-06,4.4096345e-05,2.1173224e-05,8.103041e-06,1.293756e-07,4.5725533e-06,9.887008e-06,2.523558e-07,8.122942e-08,1.2819502e-05,2.389609e-05,6.770155e-09,3.329796e-08,8.180974e-06,1.2881554e-05,5.8540576e-05,9.307241e-06,6.241788e-06,3.7266645e-06,2.928505e-09,3.7958227e-07,6.0782863e-06,3.747322e-05,3.0280895e-05,1.8220701e-06,2.6266038e-05,4.867483e-06,7.5401324e-08,4.8552753e-05,2.1820206e-06,9.346685e-06,1.996002e-05,8.230064e-06,1.4029831e-05,1.4554355e-08,4.4438457e-05,8.622457e-06,3.2419298e-06,1.1326737e-05,7.3222072e-06,1.1838649e-06,1.865045e-06,7.2715324e-07,4.6837454e-06,5.2430743e-05,9.2055956e-07
10,1.0322216e-06,2.225602e-05,3.7670477e-05,1.0743132e-05,8.1062643e-07,4.2245807e-05,3.1516738e-05,6.542039e-06,3.8467383e-07,6.2627014e-06,8.279634e-06,7.3676625e-07,3.4182878e-07,1.4213299e-05,2.5190513e-05,1.1291164e-07,3.0402143e-07,1.6428872e-05,1.0203582e-05,6.0115388e-05,1.9392608e-05,5.1093175e-06,3.4942568e-06,2.1787882e-07,9.254388e-07,7.2994794e-06,3.4797664e-05,3.0571686e-05,8.8075655e-07,2.434249e-05,4.5722227e-06,9.475365e-07,5.858574e-05,1.1362736e-06,9.0959775e-06,1.6994487e-05,1.4097411e-05,3.024915e-05,4.4150494e-07,4.4181874e-05,7.175607e-06,3.4917962e-06,1.0733555e-05,6.962122e-06,5.3417205e-07,2.1371995e-06,5.4071694e-07,4.407701e-06,5.3319098e-05,3.7037495e-09
11,1.1090593e-06,2.1953227e-05,3.4558838e-05,1.5774276e-05,2.5772883e-07,3.6919293e-05,4.301955e-05,4.549356e-06,7.865377e-07,7.9953725e-06,6.009235e-06,1.5042638e-06,8.012802e-07,1.4605276e-05,2.4454477e-05,6.5693933e-07,1.8582257e-06,2.7625609e-05,6.7728847e-06,5.723929e-05,3.32736e-05,3.5717671e-06,2.922518e-06,8.880558e-07,1.7807548e-06,8.108992e-06,2.9213285e-05,2.836529e-05,1.8537047e-07,2.0468253e-05,3.8847884e-06,3.0371968e-06,6.57664e-05,2.8698796e-07,8.043362e-06,1.2652579e-05,2.1202211e-05,5.265686e-05,2.3692228e-06,4.0527313e-05,5.164492e-06,3.4653092e-06,9.223802e-06,5.857729e-06,8.065035e-08,2.2513686e-06,3.0439693e-07,3.748063e-06,5.0187304e-05,1.4593863e-06
12,1.1254936e-06,2.0056339e-05,2.8718527e-05,2.1223741e-05,2.0627773e-09,2.891796e-05,5.491264e-05,2.4983528e-06,1.3150047e-06,9.605972e-06,3.5175656e-06,2.5336412e-06,1.4619504e-06,1.3940501e-05,2.1749665e-05,1.7491589e-06,5.027436e-06,4.153938e-05,3.3517954e-06,5.025845e-05,5.0686354e-05,1.9332779e-06,2.1101662e-06,2.1714875e-06,2.957319e-06,8.356109e-06,2.1631306e-05,2.3961657e-05,2.7451545e-08,1.5235439e-05,2.9053315e-06,6.586127e-06,6.926129e-05,9.945929e-09,6.3781044e-06,7.740004e-06,2.9157467e-05,8.075735e-05,6.2191484e-06,3.3977718e-05,3.0018177e-06,3.1741843e-06,7.0521332e-06,4.2123384e-06,5.6820106e-08,2.1839405e-06,9.389609e-08,2.815251e-06,4.3431868e-05,6.0982993e-06
13,1.0860339e-06,1.6782358e-05,2.1032174e-05,2.6649808e-05,2.2281553e-07,1.9526176e-05,6.624422e-05,8.3269293e-07,1.919305e-06,1.0898853e-05,1.3575717e-06,3.746599e-06,2.296676e-06,1.229858e-05,1.745074e-05,3.414626e-06,1.0062606e-05,5.7653597e-05,8.153596e-07,4.0083163e-05,7.097223e-05,5.934097e-07,1.2203362e-06,4.1974813e-06,4.4176904e-06,7.949409e-06,1.3360916e-05,1.801855e-05,7.0287683e-07,9.5065625e-06,1.801879e-06,1.17186555e-05,6.8591835e-05,6.738299e-07,4.4000512e-06,3.2971434e-06,3.7420825e-05,0.00011350305,1.2353094e-05,2.5471927e-05,1.1643386e-06,2.676258e-06,4.5971915e-06,2.3844655e-06,6.702797e-07,1.9340912e-06,7.97114e-11,1.7769577e-06,3.3964978e-05,1.4650649e-05
14,1.0025313e-06,1.2561035e-05,1.279331e-05,3.1505184e-05,1.049586e-06,1.0383074e-05,7.5863805e-05,2.164487e-08,2.5182696e-06,1.1670627e-05,1.160474e-07,5.0022463e-06,3.2465637e-06,9.899199e-06,1.2212954e-05,5.55773e-06,1.7070928e-05,7.5075804e-05,2.2305327e-08,2.8151786e-05,9.301135e-05,1.8921067e-09,4.541141e-07,7.02335e-06,6.0564403e-06,6.885686e-06,5.9753165e-06,1.1483645e-05,2.4637636e-06,4.34046e-06,7.9425786e-07,1.8364037e-05,6.374176e-05,2.560051e-06,2.4648893e-06,4.6806827e-07,4.5299927e-05,0.00014923618,2.0989713e-05,1.6301217e-05,1.1381897e-07,2.0534676e-06,2.3071464e-06,8.326725e-07,2.0540842e-06,1.533854e-06,1.07351774e-07,8.321831e-07,2.3157763e-05,2.7632752e-05
