,LOSS0,LOSS1,LOSS2,LOSS3,LOSS4,LOSS5,LOSS6,LOSS7,LOSS8,LOSS9,LOSS10,LOSS11,LOSS12,LOSS13,LOSS14,LOSS15,LOSS16,LOSS17,LOSS18,LOSS19,LOSS20,LOSS21,LOSS22,LOSS23,LOSS24,LOSS25,LOSS26,LOSS27,LOSS28,LOSS29,LOSS30,LOSS31,LOSS32,LOSS33,LOSS34,LOSS35,LOSS36,LOSS37,LOSS38,LOSS39,LOSS40,LOSS41,LOSS42,LOSS43,LOSS44,LOSS45,LOSS46,LOSS47,LOSS48,LOSS49
0,0.18540214,1.0913142,23.211943,0.32673743,3.911302,0.9812422,1.7285595,28.366262,8.296572,2.2445195,0.29514363,2.3477764,4.3908596,7.411866,3.9613192,2.669372,18.791193,0.39664912,2.8009417,9.204008,0.98581886,39.25297,5.123933,3.071423,15.28383,6.8087535,7.5449405,3.700269,17.238152,77.26233,0.8523272,5.6458898,6.209447,0.7136492,1.950449,0.6726238,15.8961,21.153595,0.79970986,23.854774,0.48892203,6.7416873,16.445576,18.732754,14.040161,3.4006221,18.688221,3.7119815,2.3072631,1.0892954
1,0.14787504,0.88652974,5.3931203,0.23896591,0.13595212,0.17514305,0.29135627,19.654625,0.6743892,0.6473633,0.18595137,1.1173879,1.6403176,4.7108555,0.9588159,1.0216485,1.398032,0.3034387,0.4519507,1.6444912,0.44738042,15.074563,2.1126473,1.1877882,0.98969615,1.1681715,2.746428,0.5429794,0.5560655,13.18478,0.29598257,1.5168706,0.30055514,0.461538,0.8272777,0.457877,4.004991,3.4217765,0.5658588,9.994098,0.36490074,1.0699694,21.912542,0.42811576,4.8507657,1.1308527,1.6330479,0.96334815,1.1822098,0.39536676
2,0.18255883,1.4188378,0.8398036,0.20323262,0.12915498,0.1376126,0.271748,0.75738806,0.42473504,0.58558995,0.17982562,0.44215438,1.2533747,13.104643,1.1963797,0.27250788,1.9766678,1.6391195,0.3634396,0.26475364,0.46694657,0.35871536,0.48392746,0.29601794,1.4084512,1.0623504,3.2183318,0.4072628,0.5521506,1.9451451,0.17685094,0.26324987,0.20153697,0.40833372,0.39300957,0.40683421,1.1875737,0.33570337,0.51999235,0.7072163,0.3120763,0.7610621,3.6099951,1.1334486,0.42072716,0.2719504,0.40551198,0.41675547,0.37721714,0.23711109
3,0.20647804,1.856646,2.433106,0.20573232,0.123323515,0.1174879,0.25387278,1.169,0.41504878,0.5321119,0.16394977,0.29292616,1.5008041,2.2921007,0.32400638,0.35486457,1.6560342,25.30697,0.3230179,0.3637705,0.37951502,0.49747795,0.4262972,0.34509918,1.6980659,0.27529737,0.85022354,0.24935777,0.3287552,0.34945384,0.15931946,0.3416318,0.19569619,0.3998325,0.3962272,0.38675162,1.4878255,0.61517453,0.4853877,1.4729992,0.30533105,0.5215658,5.2095137,0.85329396,0.662139,0.30957237,0.65806997,0.46161777,0.20959623,0.26551455
4,0.25679514,2.45855,1.4789133,0.20317511,0.11964599,0.11835524,0.24412608,0.5175155,0.27108,0.50199974,0.15772705,0.33383268,1.0151317,0.19133972,0.32880363,0.47634745,1.1564344,159.85736,0.27228966,0.73175675,0.33938247,0.49203956,0.81928474,0.55999655,1.0725899,0.29833952,0.30969864,0.15996432,0.2602528,0.17490229,0.17891409,0.64863706,0.19834502,0.39044428,0.33575207,0.34616038,0.98186755,0.6026222,0.44857153,1.0221764,0.3112163,0.49785763,3.7871268,0.4649052,1.7117442,0.36220777,0.5005187,0.36026978,0.32910803,0.23760456
5,0.31265566,0.5619689,0.52576876,0.19364296,0.11560939,0.1263321,0.2404256,0.38784334,0.27302608,0.46661332,0.15606117,0.42615834,0.6019206,0.40794066,0.27213657,0.39025208,0.83046186,0.16712655,0.25200102,0.7870867,0.32671046,0.5216468,0.9537924,0.56925005,0.55646145,0.3179797,0.54630476,0.13551477,0.30061454,0.17672725,0.15841731,0.6492601,0.20148095,0.36832666,0.23470168,0.30319443,0.6160883,0.42845157,0.41829744,0.81022763,0.30464172,0.5407838,1.5512831,0.30567768,1.7518303,0.34263328,0.30769145,0.285344,0.4121965,0.21075395
6,0.31391338,0.5443405,0.19567591,0.186614,0.111351326,0.12864456,0.23448011,0.4049095,0.30656144,0.41959906,0.15724275,0.495388,0.38131928,0.55939555,0.25045544,0.24815339,0.5825774,1.8406667,0.24318849,0.605594,0.32061538,0.5498186,0.78670526,0.42947704,0.38512677,0.3022208,0.7089279,0.15912211,0.3448664,0.19133262,0.13019551,0.44938606,0.19897623,0.34131232,0.1960758,0.26186073,0.4316893,0.34629342,0.3891353,0.7000287,0.28830156,0.543062,0.44137606,0.29499,1.1085513,0.34381208,0.22530793,0.28219146,0.38934535,0.20494433
7,0.24057396,0.40081757,0.11532774,0.18181239,0.10695274,0.12382245,0.22656657,0.42799023,0.3047459,0.36792275,0.15841374,0.48570254,0.2878482,0.58121425,0.24146748,0.17563294,0.3749429,2.6596756,0.24122746,0.38738042,0.31206572,0.5647284,0.52561724,0.28357357,0.40227517,0.2770069,0.6355002,0.20502208,0.35521424,0.20232785,0.11802203,0.26400098,0.19178805,0.31745923,0.21204962,0.22005635,0.33185402,0.3771595,0.35756478,0.6194022,0.2732753,0.49496236,0.4821394,0.3273001,0.48155925,0.3383693,0.23156676,0.2793096,0.3344786,0.19944234
8,0.13545789,0.31594625,0.104051605,0.17601246,0.102514066,0.11604737,0.21758218,0.4369677,0.28195322,0.32022464,0.15770096,0.40197662,0.24630836,0.5502991,0.23127533,0.16810068,0.23945817,2.746087,0.24362919,0.23791051,0.29919994,0.56322616,0.31848213,0.19778797,0.44064835,0.25266308,0.46190426,0.24653876,0.33801332,0.2101873,0.119269565,0.17987052,0.18342225,0.29587302,0.2433638,0.17958894,0.27622053,0.42287633,0.32240453,0.5487651,0.26301172,0.42489985,0.94864243,0.34799597,0.17541048,0.28746724,0.28014526,0.24482043,0.3071641,0.1889445
9,0.09865157,0.2717033,0.11391943,0.16907308,0.09815119,0.110074975,0.20850264,0.4313661,0.25830957,0.280151,0.15456644,0.2933327,0.20795767,0.49706727,0.22041337,0.17510983,0.20021456,2.502416,0.24583654,0.17167622,0.28311512,0.54529583,0.2021505,0.17017575,0.4286643,0.23344205,0.3257633,0.26609242,0.31028453,0.21620409,0.12185638,0.18026914,0.17662683,0.27350476,0.2731475,0.14279704,0.2442491,0.41951835,0.28469023,0.48540503,0.25423035,0.35881376,1.2113446,0.3446717,0.15987596,0.21165091,0.335232,0.19458902,0.3016896,0.17747255
