,MSE0,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20,MSE21,MSE22,MSE23,MSE24,MSE25,MSE26,MSE27,MSE28,MSE29,MSE30,MSE31,MSE32,MSE33,MSE34,MSE35,MSE36,MSE37,MSE38,MSE39,MSE40,MSE41,MSE42,MSE43,MSE44,MSE45,MSE46,MSE47,MSE48,MSE49
0,4.931692e-06,3.3925105e-06,2.774953e-05,7.244768e-08,4.5159902e-07,4.673579e-06,1.8045637e-06,3.3862292e-05,3.7379593e-06,1.6891516e-05,1.6316005e-09,2.426346e-05,2.5092698e-08,8.032816e-06,3.7002985e-05,1.4619134e-10,1.3844015e-05,7.290316e-06,1.2919691e-05,2.0205682e-05,6.6783514e-07,9.608539e-06,2.113984e-10,4.406741e-09,1.1314471e-05,2.7706227e-07,2.4230996e-05,6.4048295e-06,7.3635297e-06,7.529502e-07,3.3659785e-06,6.149213e-06,3.4442044e-07,2.6552012e-05,9.611651e-06,2.9953665e-06,2.608348e-05,1.0009277e-08,2.9213963e-06,4.030023e-07,2.1966584e-06,7.2914977e-06,1.0555933e-05,2.4176375e-06,0.00011933417,2.4594735e-06,4.6836332e-05,9.055751e-06,4.1680364e-06,2.23108e-06
1,1.9406787e-06,1.4475607e-06,2.5916483e-05,1.3986994e-07,3.005441e-07,2.4618116e-06,6.650177e-07,3.1237065e-05,1.6851066e-06,1.0403983e-05,1.3677115e-07,6.5211552e-06,7.850736e-08,6.7964056e-06,1.1513283e-05,6.70932e-08,1.1711993e-05,5.688947e-06,4.7351596e-06,1.6590046e-05,1.2930616e-06,8.300292e-06,5.0873933e-08,2.1115791e-09,8.715744e-06,1.8865206e-08,2.3539307e-05,2.557267e-06,5.9689714e-06,2.2880263e-07,7.0480695e-07,3.4912127e-06,3.2626764e-07,2.84849e-05,2.0158284e-06,1.069813e-06,1.9782387e-05,7.1970994e-08,1.3834886e-06,2.1407998e-07,1.5140324e-06,2.8521306e-06,9.49445e-06,6.658348e-11,0.00010548446,7.113267e-07,4.1121788e-05,2.3716243e-06,1.1775852e-06,2.9120966e-07
2,3.5836797e-07,2.8279197e-07,2.365849e-05,1.5927432e-07,1.5500892e-07,8.495565e-07,7.653568e-08,2.8315468e-05,4.609919e-07,5.4630573e-06,4.6648339e-07,1.367537e-07,1.4899973e-07,5.5129385e-06,8.3087843e-07,1.9633688e-07,9.490265e-06,4.080652e-06,6.5747196e-07,1.290613e-05,1.4913837e-06,6.9141033e-06,1.3868434e-07,1.9600225e-08,6.1704795e-06,4.648093e-08,2.237092e-05,4.863723e-07,4.544571e-06,2.0253752e-08,4.987619e-09,1.2463503e-06,2.3884624e-07,2.9362756e-05,1.2077302e-08,1.3939025e-07,1.3962488e-05,1.7978564e-07,3.9462844e-07,6.973966e-08,8.834249e-07,5.0834024e-07,8.258171e-06,1.8846791e-06,9.08183e-05,2.4534108e-08,3.5099965e-05,3.295728e-08,3.709748e-08,1.0080967e-07
3,2.3173437e-08,2.5518057e-08,2.0989497e-05,1.2536704e-07,4.591803e-08,5.596182e-08,6.7314e-08,2.511345e-05,7.0413098e-09,2.1119056e-06,9.460051e-07,2.5857917e-06,2.2313505e-07,4.2201455e-06,1.8056063e-06,2.9636908e-07,7.2435964e-06,2.5573404e-06,2.3722146e-07,9.28725e-06,1.2087735e-06,5.4851325e-06,1.9057306e-07,4.5435645e-08,3.8166277e-06,2.774761e-07,2.0701218e-05,2.6072472e-08,3.1516452e-06,2.1858579e-08,7.8330646e-07,6.409495e-08,1.2069535e-07,2.9009138e-05,2.1721353e-06,5.8918676e-08,8.853385e-06,3.1697397e-07,5.6976037e-09,1.3380874e-09,3.675909e-07,4.604651e-08,6.8719305e-06,6.6247117e-06,7.55695e-05,2.323263e-07,2.8881586e-05,1.1099897e-06,3.9013096e-07,1.139137e-06
4,7.199417e-07,7.329411e-07,1.795506e-05,6.2788104e-08,2.678236e-10,2.2000508e-07,6.042244e-07,2.166794e-05,2.2874832e-07,3.3919417e-07,1.5144797e-06,1.12975695e-05,2.8699108e-07,2.9703044e-06,1.1252069e-05,3.2053558e-07,5.0639915e-06,1.2474576e-06,2.8940265e-06,5.916413e-06,6.456581e-07,4.064193e-06,1.8387274e-07,6.900456e-08,1.8378927e-06,6.2493694e-07,1.85328e-05,9.2924796e-07,1.875628e-06,1.6060505e-07,2.5367249e-06,4.7120136e-07,2.4629914e-08,2.7322896e-05,7.0592296e-06,6.4656757e-07,4.6969585e-06,4.6337348e-07,2.2133615e-07,4.925537e-08,5.0896002e-08,1.1665003e-06,5.3814783e-06,1.2827533e-05,6.0083185e-05,1.1276327e-06,2.2625107e-05,4.632387e-06,1.8347476e-06,2.8867685e-06
5,2.1857898e-06,2.3685427e-06,1.4640979e-05,1.0005252e-08,3.70786e-08,1.3804879e-06,1.5905187e-06,1.8042432e-05,9.963815e-07,7.015735e-08,2.0974844e-06,2.3729577e-05,3.2773525e-07,1.831709e-06,2.6031175e-05,2.664785e-07,3.0750757e-06,3.225819e-07,7.921699e-06,3.0342378e-06,1.3407865e-07,2.7195965e-06,1.306324e-07,8.235458e-08,4.6986753e-07,1.0016093e-06,1.5907182e-05,2.8753736e-06,8.29696e-07,3.9056226e-07,4.7648164e-06,2.7699145e-06,5.213827e-09,2.4310928e-05,1.3281918e-05,1.6912243e-06,1.7341926e-06,5.96768e-07,9.934812e-07,2.6321075e-07,4.236207e-08,3.492102e-06,3.8585467e-06,1.9217772e-05,4.483842e-05,2.471491e-06,1.6543894e-05,9.618668e-06,3.94037e-06,4.854981e-06
6,4.1214353e-06,4.7844924e-06,1.1180831e-05,6.9877135e-09,1.63651e-07,3.459301e-06,2.8719326e-06,1.4331939e-05,2.1488836e-06,1.1602604e-06,2.6121527e-06,3.745688e-05,3.3568412e-07,8.8904045e-07,4.3151897e-05,1.6229707e-07,1.4351358e-06,2.7397475e-09,1.4501289e-05,9.441575e-07,2.9860676e-08,1.5378662e-06,6.154412e-08,8.09541e-08,3.719658e-09,1.3271645e-06,1.2915185e-05,5.484921e-06,1.570768e-07,6.8833344e-07,6.9961006e-06,6.9684056e-06,1.0736859e-07,2.0121917e-05,1.9557549e-05,2.9642379e-06,1.8607018e-07,6.950918e-07,2.2251e-06,7.0143165e-07,4.774367e-07,6.581055e-06,2.4056874e-06,2.470035e-05,3.046745e-05,4.00614e-06,1.0911212e-05,1.511555e-05,6.271007e-06,6.609865e-06
7,6.208367e-06,7.715785e-06,7.762054e-06,8.224528e-08,3.7331716e-07,6.262814e-06,4.249637e-06,1.066738e-05,3.5020585e-06,3.3932356e-06,2.9755654e-06,5.0282837e-05,3.0635687e-07,2.4180275e-07,5.9878024e-05,5.6219033e-08,3.3792682e-07,5.5906537e-07,2.1738018e-05,1.403587e-08,6.031993e-07,6.221938e-07,1.0494028e-08,6.4887075e-08,7.856732e-07,1.5347425e-06,9.7073e-06,8.343065e-06,3.0987824e-08,1.0499685e-06,8.819621e-06,1.2743952e-05,3.5591566e-07,1.5077868e-05,2.478158e-05,4.235041e-06,2.30203e-07,7.396509e-07,3.76678e-06,1.4281002e-06,1.5174542e-06,9.951099e-06,1.159564e-06,2.8421164e-05,1.7770757e-05,5.4733036e-06,6.060799e-06,2.024237e-05,8.413683e-06,7.811393e-06
8,8.130922e-06,1.0791804e-05,4.6278083e-06,2.4517166e-07,6.448386e-07,9.482907e-06,5.502535e-06,7.217673e-06,4.859979e-06,6.483839e-06,3.1160423e-06,6.034699e-05,2.427736e-07,1.469226e-12,7.385717e-05,1.0343533e-09,9.435857e-09,2.311686e-06,2.8703053e-05,6.710043e-07,1.9750382e-06,8.7989264e-08,3.6942052e-09,3.918699e-08,3.2099113e-06,1.5799837e-06,6.501566e-06,1.1027843e-05,6.507532e-07,1.4873883e-06,9.917494e-06,1.9451974e-05,7.4729405e-07,9.7029815e-06,2.809726e-05,5.290164e-06,1.9721203e-06,7.183573e-07,5.437414e-06,2.5083625e-06,3.3454912e-06,1.3110868e-05,2.9141438e-07,2.9821254e-05,7.722054e-06,6.635866e-06,2.3814173e-06,2.4243765e-05,1.0011146e-05,8.234763e-06
9,9.603958e-06,1.357046e-05,2.072278e-06,4.816212e-07,9.444456e-07,1.2735045e-05,6.4146416e-06,4.1882017e-06,6.0315306e-06,1.0088355e-05,2.9868918e-06,6.625338e-05,1.56875e-07,2.762559e-07,8.324655e-05,3.8793264e-08,6.993162e-07,5.620502e-06,3.449107e-05,3.3868444e-06,4.0763225e-06,5.4247845e-08,5.1648456e-08,1.352744e-08,7.702333e-06,1.4480084e-06,3.5867592e-06,1.3150756e-05,2.2326851e-06,2.0282723e-06,1.0096283e-05,2.6201182e-05,1.2464623e-06,4.7385383e-06,2.8968476e-05,5.954844e-06,5.4143125e-06,6.292822e-07,7.022432e-06,4.0004634e-06,6.157138e-06,1.560294e-05,3.615858e-09,2.8679004e-05,1.4581999e-06,7.3027736e-06,3.0182923e-07,2.654492e-05,1.0796915e-05,7.8015555e-06
10,1.0401527e-05,1.5591539e-05,4.276196e-07,7.550499e-07,1.2296043e-06,1.5582698e-05,6.808993e-06,1.8146138e-06,6.8488284e-06,1.3820819e-05,2.5813956e-06,6.716674e-05,6.974747e-08,1.1737442e-06,8.6830114e-05,1.8935694e-07,2.6651376e-06,1.0866583e-05,3.8314454e-05,8.651032e-06,6.6481603e-06,6.3021895e-07,1.4669962e-07,1.6688442e-10,1.4692252e-05,1.1587924e-06,1.31718e-06,1.4393224e-05,4.994021e-06,2.7185006e-06,9.311803e-06,3.1958414e-05,1.7888603e-06,1.1393989e-06,2.7232045e-05,6.1144565e-06,1.0424453e-05,4.835008e-07,8.3188e-06,5.9444146e-06,1.0144727e-05,1.7048718e-05,5.198771e-07,2.5137711e-05,2.471396e-07,7.3538085e-06,2.6438363e-07,2.6800693e-05,1.0626523e-05,6.584578e-06
11,1.0388033e-05,1.6453407e-05,3.9692562e-08,1.014342e-06,1.4555259e-06,1.7603461e-05,6.5821278e-06,3.5014716e-07,7.18712e-06,1.7279202e-05,1.9459085e-06,6.290734e-05,9.83026e-09,2.7697643e-06,8.412516e-05,4.420729e-07,6.1481655e-06,1.842095e-05,3.956766e-05,1.6927974e-05,9.271099e-06,1.897059e-06,2.65212e-07,1.1383548e-08,2.456983e-05,7.6940904e-07,9.87091e-08,1.4550622e-05,9.129049e-06,3.623961e-06,7.682862e-06,3.5710007e-05,2.286374e-06,4.39877e-08,2.3133674e-05,5.731991e-06,1.671046e-05,3.0627066e-07,9.137018e-06,8.347679e-06,1.5473697e-05,1.7198878e-05,2.0681166e-06,1.9710418e-05,5.427405e-06,6.7604806e-06,2.6844625e-06,2.494114e-05,9.504607e-06,4.8121065e-06
12,9.53918e-06,1.5898415e-05,1.2310139e-06,1.20181e-06,1.5822824e-06,1.8442408e-05,5.7328784e-06,4.552386e-08,6.984261e-06,2.0075871e-05,1.1890847e-06,5.399552e-05,8.835697e-09,5.0956432e-06,7.543564e-05,7.5543676e-07,1.13403785e-05,2.8600065e-05,3.7951733e-05,2.859897e-05,1.1455947e-05,3.8852645e-06,3.7433202e-07,5.5462138e-08,3.7628135e-05,3.7079164e-07,3.6036488e-07,1.3561689e-05,1.477707e-05,4.84142e-06,5.4913094e-06,3.665342e-05,2.6431978e-06,2.7080252e-06,1.7326365e-05,4.858671e-06,2.3803052e-05,1.3623371e-07,9.342055e-06,1.1168651e-05,2.2251037e-05,1.5975747e-05,4.854277e-06,1.3255561e-05,1.8312605e-05,5.5997457e-06,7.89537e-06,2.1194403e-05,7.595602e-06,2.8430366e-06
13,7.959002e-06,1.38925025e-05,4.2514307e-06,1.2689305e-06,1.5829946e-06,1.7880808e-05,4.382054e-06,1.1214187e-06,6.252773e-06,2.1875114e-05,4.815399e-07,4.1651685e-05,9.4835904e-08,8.114639e-06,6.186248e-05,1.0624592e-06,1.8342946e-05,4.1606334e-05,3.35086e-05,4.3885535e-05,1.2722874e-05,6.550229e-06,4.4132332e-07,1.3285319e-07,5.3990312e-05,7.759151e-08,2.5124884e-06,1.1538572e-05,2.198311e-05,6.5053755e-06,3.1545583e-06,3.437222e-05,2.7741044e-06,1.0395457e-05,1.0821458e-05,3.6354265e-06,3.1059797e-05,2.1363807e-08,8.871135e-06,1.4300096e-05,3.0486504e-05,1.350548e-05,9.027695e-06,6.9194134e-06,4.0056853e-05,4.055307e-06,1.6079744e-05,1.6086185e-05,5.219114e-06,1.1215321e-06
14,5.879029e-06,1.0686909e-05,9.218935e-06,1.1890533e-06,1.450432e-06,1.5893684e-05,2.7732403e-06,3.7344985e-06,5.0882754e-06,2.2432057e-05,4.4353918e-08,2.7712442e-05,2.833554e-07,1.1701561e-05,4.524576e-05,1.286623e-06,2.7119904e-05,5.7456287e-05,2.673031e-05,6.276234e-05,1.272321e-05,9.750158e-06,4.44092e-07,2.3308544e-07,7.3526964e-05,1.0738624e-08,6.8902277e-06,8.763699e-06,3.065488e-05,8.812956e-06,1.1791944e-06,2.8997008e-05,2.623737e-06,2.4226201e-05,4.8943803e-06,2.2787244e-06,3.7696125e-05,1.1908453e-08,7.755258e-06,1.7556684e-05,4.004963e-05,1.0131084e-05,1.4639679e-05,2.0383932e-06,7.148097e-05,2.402564e-06,2.719312e-05,1.0408358e-05,2.821118e-06,1.1185122e-07
15,3.6398371e-06,6.833453e-06,1.6057284e-05,9.694717e-07,1.2006137e-06,1.2699388e-05,1.2519982e-06,7.939321e-06,3.6614395e-06,2.1626498e-05,1.2204431e-07,1.44742435e-05,5.678065e-07,1.5628444e-05,2.8010752e-05,1.3625614e-06,3.7451835e-05,7.5903845e-05,1.8540382e-05,8.486272e-05,1.1348553e-05,1.3231387e-05,3.7807357e-07,3.3453549e-07,9.5769836e-05,2.7367224e-07,1.3685012e-05,5.6729123e-06,4.0521954e-05,1.2057548e-05,8.697509e-08,2.128957e-05,2.1916685e-06,4.497846e-05,9.221702e-07,1.0520395e-06,4.284667e-05,1.5039961e-07,6.1260857e-06,2.0670457e-05,5.0627492e-05,6.3929015e-06,2.1597627e-05,3.3973537e-09,0.000112864625,9.764589e-07,4.0885378e-05,5.140726e-06,9.182786e-07,2.1160922e-07
