,LOSS0,LOSS1,LOSS2,LOSS3,LOSS4,LOSS5,LOSS6,LOSS7,LOSS8,LOSS9,LOSS10,LOSS11,LOSS12,LOSS13,LOSS14,LOSS15,LOSS16,LOSS17,LOSS18,LOSS19,LOSS20,LOSS21,LOSS22,LOSS23,LOSS24,LOSS25,LOSS26,LOSS27,LOSS28,LOSS29,LOSS30,LOSS31,LOSS32,LOSS33,LOSS34,LOSS35,LOSS36,LOSS37,LOSS38,LOSS39,LOSS40,LOSS41,LOSS42,LOSS43,LOSS44,LOSS45,LOSS46,LOSS47,LOSS48,LOSS49
0,1.3183135,5.60826,0.6775205,1.6239022,3.3968046,1.3823568,2.2452028,3.235589,0.60686016,0.80395013,12.814885,9.101137,8.563106,9.046502,1.920184,3.0679538,6.8050947,13.415993,1.0062407,1.2059369,0.93901134,1.6505674,1.3351524,5.853571,2.4507768,6.5540013,5.1908956,11.851401,1.6916282,0.35474128,2.407198,1.9851439,6.1203065,1.9336019,0.42383686,1.5360802,7.978063,5.2425084,9.846922,9.706554,36.356228,0.968794,0.38345674,2.2818475,1.2645397,0.9262968,5.241556,6.07749,1.0408695,2.7743635
1,0.7581262,1.8142166,1.1165042,0.52119917,1.2480649,1.0930176,0.82662255,0.8198484,0.38902617,0.38284382,59.12664,2.624262,1.6731564,1.92763,0.6195981,0.41507187,1.867146,2.255727,0.7658182,0.3860799,0.69554013,1.175624,0.5587397,1.4551059,1.1351463,2.206182,0.4179368,2.2932458,0.7363137,0.19020796,0.30127284,0.997548,2.6766522,1.1997563,0.28855392,0.9739349,2.6407852,1.4121152,2.282374,2.0404415,1.0931505,0.6885008,0.34853038,1.4194106,0.67933565,0.43828252,0.648208,0.71425945,0.81391233,1.0151329
2,0.42365626,0.46805817,11.617886,0.2936158,0.7115028,5.5658045,0.5750605,0.24554485,0.1991043,0.27440494,17.062035,0.33357686,0.32254672,2.6782272,0.57037055,0.33791584,0.5646112,0.5478807,0.52150184,0.15564904,0.54336566,0.68977994,0.33301196,0.3887695,0.45105162,0.5113314,0.3089312,0.38645563,0.23649637,0.13093981,0.30281302,0.3494699,1.2033278,0.7139433,0.2487351,1.0192866,1.6803656,0.2750963,0.46409687,0.68133056,3.586941,0.43558645,0.29426295,0.6430409,0.3145015,0.19485179,0.6084567,0.46146297,0.56864727,0.31270954
3,0.3986089,0.74055064,19.487389,0.36200157,0.8200247,8.7608385,0.6185772,0.46493605,0.14341226,0.20337786,12242.657,0.42429867,0.9723869,1.6252257,0.5179264,0.4609652,0.60363716,0.18955614,0.37315074,0.16631709,0.43888015,0.41896453,0.387075,0.787223,0.45893815,0.63281804,0.2478758,0.9191388,0.24235386,0.13545623,0.2768093,0.19712678,0.43827957,0.37359175,0.24624687,0.8058073,0.85971785,0.5990584,0.8619488,0.52716786,1.6101067,0.3165542,0.23761013,0.3039556,0.29645276,0.19328898,0.59010893,0.6293018,0.4226758,0.4290973
4,0.4621057,0.98102766,0.89745116,0.33253646,0.7492013,2.529816,0.5545012,0.5874308,0.16481037,0.21036306,9349178.0,0.31108597,1.2198786,1.037482,0.4593234,0.34459746,0.6926686,0.30454248,0.31932816,0.16954653,0.365377,0.3648077,0.38915953,1.0833461,0.62016565,1.0428196,0.22463067,1.2394598,0.33943605,0.12839742,0.25827846,0.2803119,0.42362845,0.2231792,0.22942849,0.48683742,0.719516,0.8184066,0.9703622,0.5215807,0.588149,0.28529155,0.19112702,0.2856385,0.37109682,0.27269655,0.4311464,0.51009417,0.37253702,0.622968
5,0.47387588,0.8428893,1.2614563,0.28083605,0.56331605,0.997541,0.48677924,0.48237094,0.18144569,0.2331405,1.03134046e+24,0.3949128,0.96511626,0.73921007,0.39621907,0.23269589,0.7015078,0.4078419,0.32980537,0.16548228,0.3429004,0.4328935,0.32784075,0.98153985,0.6338653,1.1028423,0.2208122,1.0821232,0.33176118,0.11184218,0.24445654,0.3834612,0.5688703,0.20410071,0.20797135,0.26892474,0.6291518,0.689261,0.7140346,0.41274643,0.5758507,0.27979338,0.16176213,0.37233427,0.3672574,0.3333576,0.3515237,0.3511335,0.3650311,0.59939617
6,0.43062648,0.5875759,1.1545569,0.26263943,0.42517954,0.4666281,0.46122956,0.31041217,0.17256446,0.23838809,nan,0.45697302,0.6295938,0.5213801,0.3370724,0.20557234,0.6228568,0.38148838,0.36323625,0.15087852,0.3607504,0.5211223,0.27520606,0.71541744,0.51904297,0.87407714,0.2226889,0.7180305,0.25758043,0.100054815,0.22977321,0.3971821,0.6611753,0.2488178,0.18976972,0.33459342,0.5305136,0.46498498,0.46334332,0.36527833,0.6459996,0.27572167,0.15145604,0.4332728,0.29817834,0.3414375,0.3208261,0.27405784,0.3611833,0.43443543
7,0.37495005,0.4007408,1.0480808,0.25903833,0.3542537,0.35646853,0.45249504,0.18813443,0.15789248,0.22135007,nan,0.44530216,0.41585913,0.31596148,0.28409046,0.21422108,0.47679305,0.3129438,0.3787704,0.12513192,0.38871267,0.56587875,0.2519983,0.48976284,0.3873778,0.59428936,0.2199181,0.3825559,0.19445471,0.092124335,0.21486531,0.3199221,0.65336007,0.304497,0.17200404,0.37400758,0.48611763,0.3042251,0.33084053,0.35082024,0.63731205,0.2713464,0.15776667,0.4385943,0.23371351,0.30146357,0.2892474,0.26562834,0.35317764,0.2826127
8,0.3313672,0.31164947,1.1247971,0.2512304,0.31013197,0.4609463,0.43853053,0.13951911,0.15185852,0.19492103,nan,0.3972849,0.33152714,0.22360614,0.23714639,0.21643493,0.3274519,0.24568486,0.35719687,0.104824185,0.40255755,0.5522928,0.24206872,0.35890487,0.30301684,0.3977118,0.2082178,0.21857394,0.16781385,0.085191146,0.1999221,0.21643898,0.57244927,0.33927524,0.15343371,0.38186824,0.47197574,0.22717041,0.27704665,0.34096327,0.56912935,0.2631502,0.1745258,0.40972602,0.20389718,0.23854649,0.24933983,0.28285202,0.34845555,0.21569626
9,0.30215916,0.28568548,1.1926593,0.23888358,0.26664594,0.5542005,0.4157971,0.14325859,0.1507916,0.17223859,nan,0.3642924,0.31795022,0.21461733,0.19699423,0.20674478,0.2367328,0.20175567,0.3066521,0.09759292,0.39212883,0.49769196,0.2290514,0.3025454,0.27064273,0.30272585,0.18968841,0.26816136,0.1635231,0.07980804,0.18505959,0.14523116,0.4636719,0.34084845,0.13544482,0.3562444,0.43820792,0.20190775,0.2528172,0.3251215,0.48529503,0.24337006,0.19331256,0.3739452,0.19621877,0.18529235,0.2095864,0.29671395,0.3512539,0.21455394
10,0.2829243,0.28526387,1.1878446,0.22679463,0.22248945,0.55146307,0.3882518,0.16899346,0.14591837,0.15897632,nan,0.3768943,0.32092643,0.18606861,0.16468142,0.19443472,0.2270364,0.19855544,0.24781941,0.096851654,0.3595925,0.42778966,0.20905346,0.28774917,0.26739112,0.27768424,0.17025672,0.44035304,0.16262569,0.07656353,0.17058189,0.122437105,0.36264518,0.3118085,0.119122826,0.30612776,0.38423926,0.19547772,0.23944423,0.30274287,0.4132018,0.21058547,0.20599282,0.344073,0.18950984,0.16434178,0.17598313,0.29658818,0.3568113,0.22922991
11,0.26948288,0.28762543,1.3374752,0.21659712,0.1858794,0.47789636,0.35916626,0.19199722,0.13549384,0.15397458,nan,0.4361285,0.31421882,0.14340957,0.14056817,0.18628871,0.27304164,0.2339076,0.19729576,0.094291285,0.31469244,0.3616206,0.18612005,0.28858045,0.26961166,0.28558916,0.15576799,0.573139,0.15709901,0.07501751,0.15673584,0.13220103,0.2877235,0.26321647,0.10484273,0.24987094,0.32829523,0.18855804,0.23650101,0.27752084,0.362436,0.1732982,0.20743744,0.3186871,0.17509064,0.17272602,0.15004042,0.28316867,0.3559207,0.22897016
