,MSE0,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20,MSE21,MSE22,MSE23,MSE24,MSE25,MSE26,MSE27,MSE28,MSE29,MSE30,MSE31,MSE32,MSE33,MSE34,MSE35,MSE36,MSE37,MSE38,MSE39,MSE40,MSE41,MSE42,MSE43,MSE44,MSE45,MSE46,MSE47,MSE48,MSE49
0,1.1504599e-07,2.136927e-09,3.8470293e-07,1.3543052e-08,5.024215e-09,1.0196752e-05,1.2670003e-08,2.2871145e-08,8.8212846e-07,,,7.04446e-08,3.474931e-07,1.4805963e-07,1.3906548e-08,1.8493285e-11,1.1804724e-07,2.8937714e-06,2.8868087e-07,8.012924e-07,5.696493e-07,3.5732128e-09,7.734513e-08,5.909469e-07,8.405072e-08,2.7000448e-05,3.107867e-07,7.839613e-08,1.5025337e-07,4.7757135e-07,1.6555886e-07,1.8039673e-08,1.169889e-06,2.687642e-08,2.1255367e-08,5.3035045e-08,5.553674e-07,1.7186305e-06,1.3307869e-06,1.1120397e-08,5.972701e-08,1.7178733e-07,8.393482e-08,3.1206324e-10,5.8983296e-10,5.0435386e-08,1.6377959e-07,1.3557207e-08,2.798363e-08,6.2271326e-08
1,7.8799633e-11,6.141019e-08,1.1001766e-08,2.8018704e-08,1.32946045e-08,9.033062e-06,1.6595534e-08,4.4189332e-07,2.3429276e-07,,,1.0119643e-06,5.7314056e-09,9.305326e-08,8.755057e-08,9.160285e-09,1.1582174e-07,1.1199514e-06,8.232857e-09,7.505268e-08,2.0368747e-08,3.5650952e-10,5.256114e-08,2.2228913e-07,1.0541541e-09,1.0424197e-05,1.3155577e-10,1.06771104e-07,3.72726e-08,3.8754077e-08,9.819807e-08,9.735398e-08,2.8743673e-07,1.444528e-08,5.785714e-11,1.8959723e-07,2.997527e-07,3.3705086e-07,2.8943747e-10,2.5701722e-08,2.3400714e-08,2.756068e-08,3.0279094e-07,2.6872429e-09,1.4197161e-08,1.6872588e-07,3.0588296e-08,3.8920558e-07,4.7652182e-07,5.454252e-10
2,6.51223e-08,1.1260102e-07,1.0425799e-07,3.0379017e-08,6.654306e-08,7.756811e-06,8.2459486e-08,1.3681852e-06,2.0196438e-09,,,2.7447882e-06,1.1987984e-07,6.503496e-09,2.9890745e-07,2.9872325e-08,9.1591865e-08,1.8034697e-07,8.12374e-08,6.038223e-08,1.439064e-07,4.1237285e-09,2.1785421e-08,2.8035904e-08,3.5324984e-08,1.9062531e-06,2.1336615e-07,5.5212814e-07,3.7408498e-07,7.5237585e-07,2.5545722e-08,4.2422886e-07,3.016908e-06,3.0158265e-09,1.8686379e-08,2.4530652e-07,2.1489627e-06,6.45735e-09,9.2182927e-07,4.4919805e-08,2.0612192e-09,3.458698e-07,4.45977e-07,9.642849e-09,4.546254e-08,2.1721378e-07,1.6940689e-10,6.427599e-07,1.5328498e-06,2.13189e-08
3,2.0714566e-07,1.0987177e-07,4.4018998e-07,2.0577732e-08,1.2360705e-07,6.3901525e-06,1.3834423e-07,1.9741806e-06,1.363702e-07,,,2.9424175e-06,4.6014716e-07,4.711291e-08,4.330056e-07,5.059169e-08,5.2985854e-08,3.5756695e-08,3.4649793e-07,4.4330747e-07,6.539683e-07,6.9397665e-09,1.6994545e-09,1.8801789e-08,1.3650101e-07,1.0878504e-07,6.3883874e-07,9.71777e-07,7.7327996e-07,1.776885e-06,1.3035472e-09,7.7689964e-07,6.4514134e-06,7.5362744e-10,5.8097456e-08,1.8869414e-07,4.1721983e-06,4.3917328e-07,2.815041e-06,6.413331e-08,4.922102e-09,7.47104e-07,4.335719e-07,1.5156054e-08,6.8299414e-08,1.7027887e-07,2.643231e-08,5.426667e-07,2.267145e-06,7.036021e-08
4,3.5149966e-07,6.671531e-08,8.4273853e-07,6.7285133e-09,1.5254194e-07,4.9711275e-06,1.5518737e-07,1.9957981e-06,5.6093614e-07,,,1.6642804e-06,8.51662e-07,2.771352e-07,4.284567e-07,6.229066e-08,1.5960183e-08,5.9479623e-07,6.716901e-07,9.790955e-07,1.3071055e-06,6.863002e-09,6.8870953e-09,1.8943133e-07,2.5981686e-07,3.55047e-06,1.057741e-06,1.1534611e-06,1.0268508e-06,2.5861243e-06,6.51258e-08,1.0082525e-06,8.83474e-06,1.4745669e-08,1.0234699e-07,7.670737e-08,5.3495387e-06,1.3396253e-06,4.728453e-06,7.6755114e-08,3.4896466e-08,1.0171452e-06,2.9136265e-07,1.6611997e-08,7.205125e-08,7.374062e-08,7.693866e-08,2.5896728e-07,2.3384284e-06,1.16902406e-07
5,4.5180306e-07,1.9049287e-08,1.1833375e-06,3.293916e-12,1.4081955e-07,3.5577084e-06,1.3286804e-07,1.5267942e-06,1.1753374e-06,,,3.0203046e-07,1.1704468e-06,6.343151e-07,3.1552034e-07,6.04869e-08,5.3165958e-11,1.7146064e-06,9.556419e-07,1.4896196e-06,1.910812e-06,4.8738045e-09,4.661205e-08,5.168621e-07,3.676336e-07,1.06516145e-05,1.3351341e-06,1.0585971e-06,1.0585131e-06,2.9268242e-06,2.2961923e-07,1.045911e-06,9.404054e-06,4.8674295e-08,1.3876019e-07,2.5351905e-09,5.3617464e-06,2.4210497e-06,6.039763e-06,7.666275e-08,8.8446306e-08,1.074967e-06,1.1000849e-07,1.4007901e-08,5.7457523e-08,4.480477e-09,1.3079023e-07,3.5786922e-08,1.8142186e-06,1.4641635e-07
6,4.864678e-07,5.949187e-11,1.3809417e-06,9.842765e-09,9.523678e-08,2.2317297e-06,8.761971e-08,8.400957e-07,1.8626305e-06,,,9.676067e-08,1.3420942e-06,9.722783e-07,1.6377078e-07,4.5655053e-08,2.6633773e-08,3.204972e-06,1.129466e-06,1.8592269e-06,2.3294235e-06,2.5463573e-09,1.2122482e-07,9.5824e-07,4.3185636e-07,1.9796229e-05,1.4069276e-06,7.651267e-07,8.9191195e-07,2.756422e-06,4.753264e-07,8.9055504e-07,8.199695e-06,1.006721e-07,1.5837783e-07,4.719532e-08,4.3821965e-06,3.4238385e-06,6.438054e-06,6.117912e-08,1.5627003e-07,9.344886e-07,3.2065943e-09,8.974633e-09,3.287756e-08,3.146459e-08,1.7603845e-07,2.5623995e-08,1.0030853e-06,1.5628504e-07
7,4.535877e-07,2.528679e-08,1.3993588e-06,4.031251e-08,3.8750947e-08,1.1016787e-06,4.0154053e-08,2.4872e-07,2.499302e-06,,,1.2274717e-06,1.3353798e-06,1.143803e-06,4.3026137e-08,2.3654442e-08,1.12254206e-07,4.8406946e-06,1.159455e-06,2.028547e-06,2.4855822e-06,9.2065255e-10,2.2130817e-07,1.4529384e-06,4.3685708e-07,2.9407092e-05,1.2725305e-06,4.0551893e-07,6.068319e-07,2.189585e-06,7.557668e-07,6.02907e-07,5.8083233e-06,1.630258e-07,1.5675505e-07,2.475409e-07,2.857887e-06,4.1375024e-06,5.8914866e-06,3.4100893e-08,2.2578452e-07,6.668081e-07,6.855882e-08,3.8400754e-09,1.00940865e-08,1.9017747e-07,2.076003e-07,2.3930036e-07,2.890741e-07,1.4896852e-07
8,3.6667348e-07,8.841204e-08,1.2428094e-06,8.820239e-08,2.526827e-09,3.03794e-07,8.1436005e-09,5.364833e-10,2.970502e-06,,,2.8874076e-06,1.1615217e-06,1.0607142e-06,4.2271835e-11,4.7162434e-09,2.65083e-07,6.37995e-06,1.043844e-06,1.9853317e-06,2.3613366e-06,2.0117055e-10,3.2864347e-07,1.925833e-06,3.803649e-07,3.8036756e-05,9.796381e-07,1.1642541e-07,3.059602e-07,1.4214802e-06,1.0047144e-06,2.8423284e-07,3.0918818e-06,2.2226558e-07,1.3443892e-07,5.8075005e-07,1.3302256e-06,4.4182675e-06,4.5993374e-06,7.529727e-09,2.8199446e-07,3.6788245e-07,3.582134e-07,5.6788474e-10,2.2398909e-11,4.6850005e-07,2.24843e-07,5.7500523e-07,1.0274421e-12,1.3032584e-07
9,2.4973403e-07,1.660824e-07,9.540006e-07,1.4331177e-07,1.36836515e-08,4.6413615e-12,5.205383e-10,2.198377e-07,3.183932e-06,,,4.007599e-06,8.646241e-07,7.502836e-07,4.625284e-08,1.3967618e-09,4.7611562e-07,7.5846624e-06,8.122617e-07,1.7552834e-06,1.9912502e-06,2.9447812e-11,4.1974295e-07,2.2977779e-06,2.7613427e-07,4.4465076e-05,6.103762e-07,2.4082783e-10,8.281576e-08,6.794246e-07,1.1563358e-06,5.217501e-08,9.322811e-07,2.625166e-07,9.629066e-08,9.670525e-07,2.7969156e-07,4.208622e-06,2.9269004e-06,2.0520685e-09,3.1167778e-07,1.2721333e-07,8.603117e-07,2.409868e-10,9.646588e-09,8.093019e-07,2.2937e-07,8.8330444e-07,3.1553628e-07,1.0591572e-07
