,LOSS0,LOSS1,LOSS2,LOSS3,LOSS4,LOSS5,LOSS6,LOSS7,LOSS8,LOSS9,LOSS10,LOSS11,LOSS12,LOSS13,LOSS14,LOSS15,LOSS16,LOSS17,LOSS18,LOSS19,LOSS20,LOSS21,LOSS22,LOSS23,LOSS24,LOSS25,LOSS26,LOSS27,LOSS28,LOSS29,LOSS30,LOSS31,LOSS32,LOSS33,LOSS34,LOSS35,LOSS36,LOSS37,LOSS38,LOSS39,LOSS40,LOSS41,LOSS42,LOSS43,LOSS44,LOSS45,LOSS46,LOSS47,LOSS48,LOSS49
0,0.48165703,0.452296,0.33647445,0.27652448,0.26174086,0.26871234,0.41248393,0.2920349,0.2653753,0.22658911,0.3714136,0.20998327,0.29550055,0.9248327,0.36873126,0.2448757,0.23067376,0.30732682,0.41831902,0.3274876,0.28951234,0.28569058,0.38726258,0.30876994,0.36705634,0.40563917,0.24832168,0.25060117,0.28612995,0.34061402,0.2617201,0.3579289,0.24714284,0.48579225,0.34545484,0.2150334,0.60746276,0.24874195,0.2573734,0.21526416,0.26904732,0.51503146,0.4302121,0.32649037,0.2906924,0.29664168,0.22606741,0.31958255,0.2307875,0.5348309
1,0.46136504,0.43518576,0.33063498,0.27233857,0.25821304,0.2663622,0.40233508,0.29017395,0.2601721,0.22575553,0.3604306,0.20964605,0.29114452,0.8752125,0.3592081,0.2435702,0.23008959,0.3059316,0.40889826,0.32087788,0.28711522,0.28053123,0.37580654,0.3053244,0.3590755,0.39222366,0.24667326,0.24946335,0.2829825,0.33454385,0.2596777,0.34753358,0.2465442,0.4660967,0.33994883,0.21452753,0.58450663,0.24836676,0.25608313,0.21422465,0.26829952,0.49645838,0.41466847,0.32135683,0.28502747,0.2943684,0.2249376,0.31232774,0.229564,0.51493484
2,0.42496258,0.40396363,0.31986567,0.26475728,0.2517024,0.26201484,0.38345748,0.28674084,0.25072995,0.22421575,0.34037665,0.20899113,0.28320947,0.78628814,0.34190547,0.24112242,0.2289798,0.30331975,0.39141676,0.30874586,0.28269964,0.2710981,0.35490984,0.2989506,0.34436682,0.3679419,0.2436592,0.24733928,0.2771729,0.32338607,0.2559179,0.3287837,0.24540295,0.43023708,0.32968083,0.21354116,0.542222,0.24764061,0.2536629,0.21228054,0.26686049,0.46249866,0.38669103,0.3118251,0.2747737,0.29012764,0.222851,0.2989968,0.22728994,0.47847876
3,0.378748,0.36326823,0.30556822,0.2549791,0.24304551,0.2562191,0.358076,0.28217894,0.23851825,0.22216554,0.314203,0.2080478,0.27288723,0.67350507,0.31949967,0.23778063,0.227435,0.2997664,0.36797565,0.292772,0.27684692,0.25875604,0.32766432,0.2904491,0.32486275,0.3366815,0.23970701,0.24446334,0.26944992,0.30865705,0.25093985,0.30477226,0.24380656,0.3836549,0.31580776,0.2121125,0.4862591,0.24660024,0.25035512,0.20963913,0.26481673,0.41805604,0.3509906,0.2990385,0.2615696,0.28439242,0.22007541,0.28141713,0.22423077,0.43059474
4,0.32989302,0.31862414,0.28940946,0.24438371,0.23322971,0.24963646,0.3289124,0.2770116,0.22524557,0.21983658,0.2854119,0.20685098,0.26157838,0.5543111,0.2951362,0.23383567,0.22556582,0.29559982,0.3410913,0.2749591,0.270244,0.24512234,0.29770842,0.28078005,0.30286354,0.30296254,0.23530744,0.24111694,0.2607067,0.29216245,0.24533276,0.27905834,0.24186365,0.33278793,0.2997317,0.21028872,0.4234418,0.24529037,0.24644162,0.20654681,0.2622732,0.36893195,0.31298098,0.2843809,0.2473147,0.2777311,0.21693131,0.2617774,0.22070077,0.37736067
5,0.28520635,0.27563784,0.27308497,0.23429923,0.2232454,0.24295191,0.29884824,0.2717647,0.21258794,0.21746184,0.25753698,0.20543694,0.25067642,0.44514057,0.2719466,0.22957693,0.22348933,0.29115552,0.313356,0.25734422,0.26358193,0.23182699,0.2686772,0.27092922,0.28071278,0.271208,0.23093164,0.23759116,0.25185433,0.27573827,0.23968713,0.25507352,0.2396922,0.2841014,0.28292313,0.20812142,0.36085466,0.24375843,0.2421995,0.20325364,0.25934103,0.32097375,0.2778753,0.2692977,0.23386145,0.27073228,0.21374616,0.24232,0.21701711,0.32492232
6,0.25010705,0.2392466,0.25810733,0.22580105,0.21395111,0.23678924,0.2706002,0.26689556,0.20195238,0.21524417,0.23366219,0.20383921,0.24137509,0.3590035,0.2526147,0.22525278,0.22131598,0.28673443,0.2871356,0.24173301,0.25746503,0.22029357,0.24371433,0.2617847,0.26050535,0.24510361,0.22695984,0.23415227,0.2437086,0.26101413,0.23451371,0.23561427,0.23740783,0.24319558,0.2667583,0.20566225,0.30498192,0.24204981,0.23786162,0.19998041,0.25612563,0.2793131,0.24991666,0.25513044,0.22274578,0.2639363,0.21081157,0.22505248,0.21345708,0.27871412
7,0.227939,0.21311347,0.24564415,0.21956919,0.20597029,0.23164162,0.24644299,0.2627395,0.19430438,0.21333131,0.2160402,0.20208505,0.23452269,0.30395067,0.23904742,0.22104101,0.21913837,0.2825689,0.26433912,0.22949012,0.25234148,0.21156843,0.22510488,0.25403705,0.24386437,0.22712818,0.22363198,0.23101458,0.23690128,0.24922697,0.2301809,0.22248644,0.2351136,0.21410182,0.2523906,0.20295872,0.2609966,0.24020351,0.23358798,0.19689217,0.25271693,0.247785,0.23184414,0.24298374,0.21499355,0.25778288,0.20834845,0.21151407,0.21022537,0.24286659
8,0.21968667,0.1992297,0.23642036,0.21582107,0.19962963,0.22782436,0.22800636,0.259479,0.1900762,0.21180102,0.20585226,0.20019309,0.23053886,0.2824858,0.2321825,0.21703225,0.21702307,0.278802,0.24628003,0.2214054,0.24846189,0.20621619,0.21406323,0.24811463,0.23180512,0.21830475,0.22102532,0.22832336,0.23182552,0.24110168,0.22687764,0.21633805,0.23289168,0.19884533,0.24066402,0.20005111,0.2322673,0.23824911,0.22945078,0.19408165,0.2491824,0.22857988,0.22464134,0.23363468,0.21102162,0.25257787,0.2064837,0.20262036,0.20743378,0.21984401
9,0.2240848,0.19776459,0.23068734,0.21432278,0.19494464,0.22545345,0.21616206,0.25713646,0.18915826,0.21065667,0.2031314,0.19817229,0.22939871,0.2918533,0.23194641,0.21322773,0.21500568,0.27547997,0.23363003,0.21764626,0.24586791,0.20428792,0.21068507,0.24415763,0.22469154,0.21818647,0.21906051,0.22614807,0.22861671,0.23680808,0.22460443,0.21668425,0.23079754,0.19731848,0.23207214,0.19696993,0.22011706,0.23620494,0.22543444,0.1915633,0.24556339,0.22214006,0.22757149,0.22748964,0.21063836,0.24848188,0.20524108,0.19859886,0.20509522,0.21032226
10,0.23805928,0.20716786,0.2282529,0.21446933,0.1916487,0.22445033,0.21100423,0.25559056,0.19096652,0.2098335,0.20684864,0.19602193,0.23067977,0.3250414,0.2373541,0.20954987,0.21309006,0.2725581,0.22645478,0.21779314,0.24440862,0.2053612,0.21405014,0.24203126,0.2222778,0.22505793,0.21753165,0.22448605,0.22716688,0.23599069,0.22319125,0.22210276,0.22885777,0.20746571,0.22675774,0.19373465,0.22383747,0.23407792,0.22144903,0.18927856,0.2418748,0.22728492,0.2384626,0.2245853,0.21313404,0.24551746,0.204546,0.19901682,0.20313215,0.21328793
11,0.25740016,0.22450237,0.22856006,0.2154163,0.18925901,0.22456995,0.21191666,0.25461024,0.19456954,0.20921351,0.21514016,0.19373304,0.233659,0.37228414,0.24672562,0.20586331,0.21125081,0.26991758,0.22431092,0.22094546,0.24377997,0.20863758,0.22244717,0.241371,0.22381823,0.2363061,0.21615341,0.22327395,0.22716597,0.23786327,0.22233781,0.2305557,0.22707015,0.22574006,0.22454655,0.19035377,0.24093506,0.23186456,0.21735401,0.18711016,0.23810779,0.24152157,0.25417766,0.22462824,0.21743928,0.24359156,0.20424302,0.20289047,0.20139603,0.22632258
12,0.27753988,0.24595277,0.23079814,0.21623634,0.18716575,0.22544648,0.21771006,0.2539,0.19885287,0.20864616,0.22563605,0.19129068,0.2374422,0.4228087,0.2579817,0.20200232,0.20943896,0.26739013,0.22638157,0.22587863,0.24357955,0.21308227,0.23368008,0.2416526,0.22822385,0.24889272,0.21461569,0.22240452,0.22816215,0.24134994,0.22166799,0.23977661,0.22540686,0.2477518,0.22500528,0.18682508,0.26756287,0.2295529,0.21298748,0.18490326,0.23423451,0.26148495,0.27118364,0.22706394,0.22232205,0.24252738,0.2041226,0.20885664,0.19969478,0.24602406
13,0.29430792,0.267431,0.23402935,0.21607532,0.18473107,0.22664931,0.22680761,0.25314924,0.20269483,0.2079719,0.23583765,0.18867658,0.24110483,0.4665559,0.2689715,0.19779973,0.2075896,0.26478606,0.23162487,0.23122758,0.24336855,0.21758188,0.24540873,0.24227446,0.23424035,0.2598513,0.21263649,0.2217459,0.22963125,0.24525283,0.22079001,0.24765716,0.22381946,0.26900053,0.2275149,0.18313777,0.29907608,0.22712539,0.20819607,0.18248998,0.23021466,0.2834417,0.28612676,0.23116413,0.2265901,0.24209988,0.20395324,0.21538083,0.19782361,0.26850805
14,0.3045422,0.28518623,0.23731387,0.214282,0.18138304,0.22774203,0.2374534,0.25207806,0.205128,0.20704494,0.24348605,0.1858724,0.24382435,0.495618,0.27778363,0.19311403,0.20563045,0.26192248,0.23891701,0.23567197,0.2427326,0.22109947,0.25547644,0.24264126,0.24062335,0.26673046,0.21000484,0.22115996,0.23104636,0.24842197,0.2193533,0.25256893,0.22224563,0.28556934,0.2313502,0.17927426,0.33063832,0.22456196,0.20286115,0.17971364,0.22600247,0.30379048,0.2963249,0.23612311,0.2292674,0.24207012,0.20351402,0.22097206,0.19559477,0.28992802
15,0.3064731,0.29632354,0.23981875,0.21049422,0.17669272,0.22833629,0.24791762,0.25047392,0.20546387,0.20575218,0.24686764,0.18286228,0.24498603,0.50519294,0.28299686,0.18785,0.20349073,0.2586477,0.24717258,0.23809966,0.24133308,0.22280578,0.26218194,0.24223863,0.24628936,0.26791894,0.20660774,0.22051804,0.2319398,0.2499035,0.21709411,0.25357237,0.22061642,0.29466933,0.2357584,0.17521293,0.35780656,0.22184287,0.1969169,0.17644982,0.2215536,0.3194978,0.30010793,0.24115112,0.2297188,0.24221417,0.20262368,0.22437605,0.19286205,0.30694908
16,0.29983965,0.29915679,0.24090035,0.20467097,0.17042509,0.22813457,0.25667664,0.24821456,0.20336564,0.20402606,0.24501546,0.17963527,0.24424993,0.493949,0.28383756,0.18197124,0.20110886,0.2548593,0.25543433,0.23773047,0.23894396,0.222172,0.26446307,0.24068967,0.25042552,0.26281196,0.20243889,0.21971211,0.23195043,0.24904843,0.2138652,0.25048766,0.21886353,0.29495385,0.24002953,0.17093094,0.37702507,0.2189515,0.19035907,0.17262156,0.21683091,0.32842016,0.29696652,0.24555647,0.2277081,0.24234365,0.20116183,0.22472216,0.18953755,0.31711975
17,0.28574932,0.29334977,0.24015284,0.19707067,0.16255897,0.22695775,0.2625505,0.24527584,0.19886295,0.20185024,0.23778369,0.1761868,0.24157324,0.46380836,0.28022859,0.17550333,0.19843856,0.25051454,0.2629291,0.23418698,0.23547043,0.2190147,0.26197422,0.23778836,0.25254864,0.2518055,0.19758949,0.21866126,0.23085308,0.24556814,0.2096464,0.24382897,0.216926,0.2865686,0.24355462,0.166407,0.38597703,0.21587598,0.18324368,0.168207,0.2118095,0.32948196,0.28750393,0.24880832,0.2233871,0.24231765,0.19908077,0.22160698,0.18559891,0.3190974
18,0.26633537,0.27984017,0.23742183,0.18818432,0.15327676,0.22475475,0.2647865,0.24172516,0.19231208,0.19925763,0.22579427,0.17251922,0.23718874,0.41925943,0.272732,0.168528,0.1954526,0.24563223,0.26909125,0.227509,0.23094867,0.21349126,0.25505617,0.23350786,0.25251228,0.23613723,0.19222504,0.21731311,0.22856817,0.23953502,0.20453647,0.23462981,0.21475565,0.27095604,0.24586713,0.16162416,0.38375962,0.2126105,0.17567618,0.16323903,0.20647943,0.32269925,0.2732215,0.25057495,0.21722494,0.24204503,0.19640622,0.21510772,0.1810867,0.31270787
