,MSE0,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20,MSE21,MSE22,MSE23,MSE24,MSE25,MSE26,MSE27,MSE28,MSE29,MSE30,MSE31,MSE32,MSE33,MSE34,MSE35,MSE36,MSE37,MSE38,MSE39,MSE40,MSE41,MSE42,MSE43,MSE44,MSE45,MSE46,MSE47,MSE48,MSE49
0,3.4258974e-07,2.7316366e-06,4.106815e-06,7.941095e-07,8.9983337e-07,1.0280188e-06,1.9019737e-09,2.733426e-08,7.8174725e-07,3.5498022e-06,1.6575391e-06,4.8940155e-06,1.566811e-05,1.4327188e-06,3.3328278e-11,3.9598123e-07,3.600511e-08,3.3240894e-06,6.597845e-07,1.2990635e-06,4.5642623e-06,1.8702758e-06,2.7962756e-06,6.1309116e-08,2.0944101e-07,7.78596e-07,1.1570847e-06,8.052176e-07,4.555958e-06,3.2929975e-07,9.139016e-06,3.3122403e-06,6.560389e-06,6.909891e-07,1.7774186e-06,5.475252e-06,1.6773946e-06,5.814119e-07,1.8990667e-07,2.654572e-06,1.6550763e-06,3.6026418e-06,3.3207763e-07,6.3142664e-07,1.563649e-07,3.904735e-06,3.4639234e-07,2.8057848e-10,3.5000326e-08,3.7756006e-06
1,4.297328e-09,8.90478e-07,9.83745e-07,4.5267722e-08,1.5890484e-07,7.409021e-07,6.575422e-09,2.6368447e-11,1.8336662e-08,1.2640603e-06,3.2799275e-07,1.5387124e-06,2.9369685e-06,5.6495156e-07,5.356772e-08,6.272938e-08,3.286658e-08,8.2004163e-07,3.4938832e-08,3.1041418e-07,5.0320284e-07,3.1854657e-07,9.3129177e-07,4.4822928e-09,5.704183e-09,2.6391982e-07,2.7820388e-07,1.8889314e-07,9.265884e-07,6.771271e-09,2.042176e-06,1.0743066e-06,1.0029324e-06,2.8082007e-07,1.0381289e-06,1.5442878e-06,4.907105e-07,8.537615e-08,1.2914647e-08,7.225033e-07,3.959536e-07,1.0796304e-06,6.165127e-09,3.8421333e-09,3.584961e-08,9.949564e-07,4.4828738e-08,2.290111e-08,1.5285021e-08,5.8999063e-07
2,1.3528171e-07,7.6620374e-08,2.3001978e-09,1.5027832e-07,1.0426185e-08,4.267108e-07,6.3419754e-09,2.3784402e-08,2.5064952e-07,1.5045289e-07,6.571342e-09,1.1001127e-07,8.4492584e-08,1.0234941e-07,1.726278e-07,9.13084e-09,2.0032077e-08,4.881431e-09,1.3551148e-07,1.7904052e-10,2.9631528e-07,2.7379677e-08,7.680397e-08,1.2790478e-08,2.573503e-07,2.0718048e-08,1.8267028e-10,3.854405e-11,9.8072155e-09,1.123709e-07,1.6648988e-10,8.70639e-08,1.3732385e-07,5.635112e-08,4.5996848e-07,5.2585403e-08,2.1691113e-08,2.0949654e-08,2.6463e-08,1.663364e-08,5.5251426e-10,5.4226685e-08,1.2844208e-07,3.1661003e-07,4.6360776e-07,1.04685105e-08,1.9138382e-08,9.041532e-08,1.6497644e-07,7.5956116e-08
3,5.0864855e-07,1.14502555e-07,6.3366696e-07,8.124335e-07,2.9889938e-07,1.5906369e-07,2.146861e-09,7.7568195e-08,1.0387245e-06,9.956413e-08,4.4147848e-07,2.5298698e-07,4.1836124e-06,8.251093e-09,2.9372538e-07,1.6287012e-07,5.9012137e-09,4.5679047e-07,7.1560476e-07,2.323982e-07,2.6110647e-06,6.6080435e-07,1.4231242e-07,8.025233e-08,6.915572e-07,4.7596522e-08,2.0844575e-07,1.7218193e-07,1.0812313e-06,4.5406364e-07,1.6729512e-06,1.5547936e-07,2.3878283e-06,1.7315333e-09,1.0071304e-07,4.751117e-07,1.2764777e-07,2.90312e-07,1.5144661e-07,2.756402e-07,2.7382208e-07,2.599229e-07,5.3157714e-07,1.1506127e-06,1.1535916e-06,4.897789e-07,2.0416982e-07,1.8261655e-07,4.2556206e-07,1.3934682e-06
4,9.4167285e-07,7.96278e-07,2.3463456e-06,1.742229e-06,8.614469e-07,1.1316649e-08,1.1924808e-10,1.3949392e-07,2.006736e-06,9.4935433e-07,1.3635141e-06,1.566907e-06,1.2541572e-05,2.2336643e-07,3.6932968e-07,4.4624215e-07,4.084559e-11,1.7494935e-06,1.5367083e-06,8.459822e-07,6.2348704e-06,1.8731474e-06,9.67164e-07,1.8950732e-07,1.0900192e-06,3.1684564e-07,7.6241247e-07,6.1028675e-07,3.4232025e-06,8.6443947e-07,5.768505e-06,1.0419634e-06,6.3202547e-06,9.1441905e-08,3.0899703e-09,2.2557956e-06,6.486271e-07,7.73169e-07,3.1579333e-07,1.2156133e-06,1.0056442e-06,1.3864449e-06,1.0574819e-06,2.1410672e-06,1.8601347e-06,1.9611937e-06,5.182128e-07,2.780109e-07,7.291086e-07,3.759902e-06
5,1.2973545e-06,1.891507e-06,4.622109e-06,2.6755404e-06,1.5380666e-06,4.531264e-08,6.947464e-09,1.9056023e-07,2.855244e-06,2.4843503e-06,2.5003353e-06,3.6197966e-06,2.2757587e-05,6.693942e-07,3.738528e-07,7.801395e-07,1.01252695e-08,3.468894e-06,2.381356e-06,1.6646711e-06,1.0113611e-05,3.3237288e-06,2.32778e-06,3.1319712e-07,1.3076846e-06,7.745475e-07,1.5044362e-06,1.1968934e-06,6.350579e-06,1.2094162e-06,1.1076869e-05,2.4758265e-06,1.0684437e-05,2.9028777e-07,1.8622927e-07,4.8295724e-06,1.4142447e-06,1.3374466e-06,4.598957e-07,2.5434358e-06,1.9791657e-06,3.0918964e-06,1.5653866e-06,2.9963708e-06,2.3929078e-06,3.9612687e-06,8.717928e-07,3.555748e-07,1.0050765e-06,6.474301e-06
6,1.4898433e-06,3.1592526e-06,6.981007e-06,3.3914757e-06,2.179969e-06,2.9878592e-07,2.6102486e-08,2.1583138e-07,3.3781637e-06,4.4410513e-06,3.597769e-06,5.972561e-06,3.2767504e-05,1.2507749e-06,3.054082e-07,1.0901896e-06,3.921476e-08,5.2308787e-06,3.0644758e-06,2.510758e-06,1.339413e-05,4.701894e-06,3.9571205e-06,4.203722e-07,1.279565e-06,1.3429172e-06,2.2721897e-06,1.8051533e-06,9.244543e-06,1.3976082e-06,1.6510947e-05,4.165196e-06,1.4465395e-05,5.5543927e-07,6.402417e-07,7.648832e-06,2.254041e-06,1.8519627e-06,5.425118e-07,3.971883e-06,2.9834703e-06,5.023987e-06,1.9421364e-06,3.5114774e-06,2.626491e-06,6.055966e-06,1.1788752e-06,3.97695e-07,1.189284e-06,8.943443e-06
7,1.4822263e-06,4.3663954e-06,9.003487e-06,3.7341645e-06,2.6621226e-06,7.7643415e-07,5.5742355e-08,2.0752414e-07,3.467234e-06,6.525399e-06,4.4383773e-06,8.204636e-06,4.0918596e-05,1.8642406e-06,1.885174e-07,1.3136906e-06,8.4908805e-08,6.7082624e-06,3.4495688e-06,3.2214614e-06,1.5460699e-05,5.743769e-06,5.56509e-06,4.815459e-07,1.0263507e-06,1.927808e-06,2.912684e-06,2.313459e-06,1.1581279e-05,1.3859008e-06,2.1150676e-05,5.818612e-06,1.6925982e-05,8.3918417e-07,1.3230527e-06,1.0215647e-05,3.010249e-06,2.2018867e-06,5.439472e-07,5.23957e-06,3.82869e-06,6.840268e-06,2.1082444e-06,3.5808516e-06,2.5099255e-06,7.865103e-06,1.3681873e-06,3.9276895e-07,1.2343334e-06,1.0707713e-05
8,1.2860511e-06,5.3054955e-06,1.0360967e-05,3.6294975e-06,2.8953064e-06,1.4446525e-06,8.802726e-08,1.6698361e-07,3.1157742e-06,8.4321e-06,4.864195e-06,9.946308e-06,4.601399e-05,2.4074977e-06,6.82266e-08,1.4052752e-06,1.3846736e-07,7.645103e-06,3.4593231e-06,3.664583e-06,1.5962678e-05,6.2585523e-06,6.872421e-06,4.7674638e-07,6.3858596e-07,2.42905e-06,3.3014242e-06,2.6184925e-06,1.2972415e-05,1.1820315e-06,2.4289295e-05,7.1677146e-06,1.7643852e-05,1.0929275e-06,2.1594176e-06,1.2114942e-05,3.5500066e-06,2.3073492e-06,4.6754195e-07,6.131059e-06,4.364569e-06,8.241177e-06,2.0294017e-06,3.1978882e-06,2.0709338e-06,9.088966e-06,1.3946459e-06,3.3852282e-07,1.1202567e-06,1.1469447e-05
9,9.532278e-07,5.8172113e-06,1.0838983e-05,3.0949918e-06,2.8343181e-06,2.2302181e-06,1.1187879e-07,1.05587716e-07,2.4136757e-06,9.868196e-06,4.7931876e-06,1.0913156e-05,4.7362235e-05,2.789175e-06,1.6959314e-09,1.3452756e-06,1.882936e-07,7.887117e-06,3.088371e-06,3.7566783e-06,1.4835181e-05,6.150356e-06,7.645915e-06,4.0185378e-07,2.5431427e-07,2.7542344e-06,3.3566002e-06,2.6539371e-06,1.3190663e-05,8.412477e-07,2.5470606e-05,7.990374e-06,1.6523187e-05,1.2739263e-06,3.0473016e-06,1.3048396e-05,3.7824207e-06,2.1347244e-06,3.372563e-07,6.4964315e-06,4.4935346e-06,8.994907e-06,1.7197498e-06,2.4568847e-06,1.414746e-06,9.530194e-06,1.247437e-06,2.4423022e-07,8.634299e-07,1.1105526e-05
