,LOSS0,LOSS1,LOSS2,LOSS3,LOSS4,LOSS5,LOSS6,LOSS7,LOSS8,LOSS9,LOSS10,LOSS11,LOSS12,LOSS13,LOSS14,LOSS15,LOSS16,LOSS17,LOSS18,LOSS19,LOSS20,LOSS21,LOSS22,LOSS23,LOSS24,LOSS25,LOSS26,LOSS27,LOSS28,LOSS29,LOSS30,LOSS31,LOSS32,LOSS33,LOSS34,LOSS35,LOSS36,LOSS37,LOSS38,LOSS39,LOSS40,LOSS41,LOSS42,LOSS43,LOSS44,LOSS45,LOSS46,LOSS47,LOSS48,LOSS49
0,400.0815,20.887026,52.660873,217.84315,119.42963,125.711296,184.50435,52.081425,13.645481,53.085556,40.08767,62.314075,116.75466,22.727495,346.17258,133.9595,42.037376,64.10709,73.11878,18.415384,98.38956,18.977707,52.95364,1527.653,75.09463,38.56367,13.488977,15.093245,115.7952,85.28625,107.16783,68.66346,49.098824,38.15148,197.15407,4.3255086,86.10527,208.94267,21.265518,147.11617,539.7529,76.06379,106.03382,26.939463,10.907193,12.537084,25.359016,44.847683,1.5739938,16.958363
1,219.10934,10.002152,15.838424,1.4581708,3.5878065,9.55215,4.8972783,3.8212516,3.3443153,12.632471,12.970743,14.759524,1.3797745,3.1815083,24.083387,203.20438,6.2087417,134.91927,3.157078,10.99264,68.556984,5.1660757,8.448129,2311.9734,27.5163,11.613095,6.426045,4.6333213,84.69697,4.366677,73.95192,18.177889,3.2870715,8.241634,63.047054,1.4558543,2.8163044,24.913372,1.3766302,94.66682,52.11816,138.41043,0.89313704,8.506363,48.856632,0.8543304,3.678811,4.821242,0.9106286,2.2255113
2,1.5886708,26.50328,2.5469048,10.038441,4.3156743,1.465229,8.033312,3.951707,0.9496045,1.4746113,7.57141,1.1920218,9.117426,1.1613984,29.406452,2.1105926,1.0956707,76.34222,1.150725,9.526631,25.064625,4.168093,5.8511314,149.2572,6.161539,2.5353446,2.2225363,0.8219455,32.227623,1.4859474,18.819448,13.942279,1.1621999,0.4319885,8.709966,0.5613739,7.772941,9.926074,1.9677135,8.83404,839.597,17.150105,6.1286163,1.8904803,889.78754,0.728851,1.5734497,1.6938325,0.8697969,4.557951
3,3.5372825,1.5112917,1.9719468,4.6785083,1.3892518,3.6823924,5.857547,1.9871007,1.6617252,3.941056,4.5965567,1.7391804,5.340886,2.0306692,15.124916,5.191095,2.1802154,11.145651,1.7096099,5.651707,42.99679,1.4348049,3.1922243,872021.1,7.253082,0.97475135,1.9726094,0.8296367,19.453707,2.1319926,0.26650828,2.6983507,2.0262158,3.0034807,9.738786,0.5418917,3.797521,4.6346574,1.2892838,16.59903,27.480192,11.566553,4.401137,1.0730188,11.940084,0.6989254,1.417777,3.6620884,0.80594206,0.5195051
4,2.9800773,2.9036055,2.8786829,1.1115454,0.5782028,1.904919,3.0841155,0.67337817,1.5586071,4.1420107,2.768483,3.8506024,1.3317969,1.6687486,1.9111753,1.8991467,1.5494884,5.5932817,2.0302668,3.433101,33.728054,1.6564773,2.1332507,5.1502853e+19,6.727248,0.9918525,1.8641237,1.0948328,9.419101,2.2962456,1.2780553,0.63682663,1.1551968,4.537619,5.8160596,0.6030019,0.5769072,5.445991,0.57486165,16.635538,3.9184682,58.455517,1.6538597,1.7641574,16.174353,0.47514945,1.398137,3.60696,0.73487157,0.2865931
5,1.5157627,4.2608953,3.1907895,0.531786,0.8513171,1.332116,2.8899264,0.18750162,0.8565248,2.497071,1.6960692,4.0729237,0.61158264,0.8595744,1.9004872,268.77338,1.0329833,3.3930204,1.9237404,2.0708427,18.163443,1.3024999,1.9340109,nan,5.986245,1.2464492,1.6611433,0.8476184,4.159669,1.129962,2.1046124,1.3066342,0.3330065,3.4995308,3.3132184,0.46205786,0.44318005,2.509047,0.68320847,8.613556,4.928253,90.86262,0.7330105,2.071808,15.758518,0.34151295,1.0216463,2.4438014,0.6665897,0.25471413
6,4.890681,2.875987,3.517192,0.73183346,1.0942036,1.8723196,2.9862769,0.45610815,0.41652235,1.0507423,0.9818609,2.765807,1.312524,0.39025587,6.006976,251.37122,0.93216974,2.558684,1.6553311,1.3822135,9.402154,0.9243447,1.3002892,nan,3.3968868,1.2100998,1.3683724,0.4797563,2.437853,0.22005156,1.4985024,1.2393489,0.109340064,1.75998,2.9484227,0.25411305,1.541494,1.269197,0.61281246,3.3486195,250.17111,3.3949256,0.7932903,1.6878114,137.03757,0.2898752,0.72750944,1.3704696,0.5834932,0.22515555
7,12.807191,2.3454087,3.5795908,1.359611,0.9668697,1.8748775,3.0893903,0.72620463,0.34482077,0.43608075,0.4620492,1.6747556,2.43845,0.28261322,5.405207,1219.8187,0.9254028,24.124428,1.1730033,1.1577425,4.7947836,0.7779699,0.8919605,nan,2.113794,1.0349444,1.1053638,0.32179204,3.6849911,0.3901116,0.9294069,0.75421834,0.19690001,0.5642936,2.7252786,0.1331567,1.5068519,0.47209522,0.29040873,0.561781,355.55908,6.214371,1.2100143,1.0870694,110.64792,0.2412551,0.6037909,0.766912,0.4917988,0.20442432
8,25.991585,1.841133,2.1787336,1.7770681,0.69750655,1.5903964,3.6089306,0.6745702,0.33203217,0.3528693,0.22623198,0.9640731,2.0940077,0.30964842,3.0877354,3372.5513,0.89832777,201.80716,0.917604,1.2959645,1.6563952,0.66104347,0.5924991,nan,2.4119866,0.7696589,0.8682047,0.29761252,3.5168378,0.5332977,1.0844842,0.5689481,0.3147016,0.13324213,2.707469,0.11371815,1.5432594,0.2937418,0.3045438,0.33699474,1276059000.0,9.592744,2.0838652,0.6905107,1785.855,0.18917137,0.56148887,0.5661758,0.41575444,0.18964952
9,44.0032,0.88213754,1.5178314,6.7732654,0.43432185,1.3000163,4.0059185,0.43101043,0.26829493,0.35255653,0.23749436,0.63314855,1.0181596,0.31373575,1.1036549,117647170.0,0.862411,23.242031,0.67020273,1.5742705,0.17680655,0.61048955,0.5303643,nan,1.936662,0.47390735,0.6577928,0.34364635,3.3399303,0.41650924,1.1997652,0.32769674,0.3717511,0.25121412,2.9322596,0.12443879,1.3311946,0.27699366,0.30236903,1.7624675,4.156146e+35,10.470725,2.7743623,0.5948851,2135.1462,0.15252617,0.52085763,0.5836481,0.34445706,0.17567016
10,22.690023,0.25559634,1.792808,286.12717,0.35050416,1.1540977,4.422674,0.24145664,0.17751184,0.3270248,0.33456224,0.597872,0.4288789,0.26343226,0.43440413,1.0651355e+34,0.8271873,36.171017,0.5167613,1.8277346,0.70772606,0.5562658,0.4888847,nan,1.6001103,0.2933802,0.46621603,0.4029514,8.133519,0.41533613,1.3181024,0.34892488,0.37622014,0.61411065,120.69914,0.12800543,0.6970932,0.42219716,0.26175275,2.2973502,nan,4.2396564,3.1918137,0.59081554,1249.5054,0.13350914,0.45974177,0.6556815,0.284967,0.15799882
11,21.820505,0.100804344,2.1479616,3.885429,0.81910414,1.1506816,4.0972896,0.20461302,0.10394655,0.32538572,0.47242865,0.69997084,0.47992858,0.18205321,0.5283282,nan,0.78450245,33.925385,0.3657813,1.942697,3.133458,0.49086106,0.42962408,nan,1.3191085,0.3058485,0.301693,0.42717594,19.098072,0.45548227,1.7404791,0.43244404,0.35192356,0.94144195,334.11673,0.117265366,0.20857346,0.51164573,0.2534422,1.924511,nan,3.7995973,3.1075804,0.56137383,539.1277,0.13234088,0.3848252,0.7421311,0.24531493,0.15386643
