,MSE0,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20,MSE21,MSE22,MSE23,MSE24,MSE25,MSE26,MSE27,MSE28,MSE29,MSE30,MSE31,MSE32,MSE33,MSE34,MSE35,MSE36,MSE37,MSE38,MSE39,MSE40,MSE41,MSE42,MSE43,MSE44,MSE45,MSE46,MSE47,MSE48,MSE49
0,,,,,,,,7.6197506e-07,9.834942e-09,2.5869556e-06,4.9286444e-07,,,4.8373668e-08,,,1.04519815e-08,,,1.5637729e-06,,3.3598047e-07,,,,,7.164127e-06,4.900977e-07,,,,,,7.9435534e-07,,6.654266e-09,,,,,,,,,,1.4194842e-07,2.174358e-08,,2.1997762e-07,3.8475773e-07
1,,,,,,,,6.979747e-07,1.7805429e-11,1.1120641e-06,5.972302e-08,,,2.577515e-07,,,2.4779604e-08,,,7.011028e-07,,2.0577795e-07,,,,,2.733981e-06,4.1958735e-08,,,,,,3.8594868e-07,,1.8100893e-08,,,,,,,,,,1.7543645e-07,1.3404924e-09,,1.9738809e-07,3.5245188e-07
2,,,,,,,,6.564135e-07,1.6494369e-08,2.7341335e-07,3.7227405e-08,,,6.6577104e-07,,,5.4081323e-08,,,1.9803356e-07,,1.0881666e-07,,,,,3.7154197e-07,9.662288e-08,,,,,,1.09656014e-07,,4.3503245e-08,,,,,,,,,,2.331737e-07,8.928716e-09,,1.9458298e-07,2.9825023e-07
3,,,,,,,,6.7130566e-07,7.805247e-08,3.4356484e-10,3.6302427e-07,,,1.3284774e-06,,,1.13017954e-07,,,6.482668e-09,,5.960075e-08,,,,,2.1400113e-07,7.3041275e-07,,,,,,1.4846754e-10,,9.620357e-08,,,,,,,,,,3.300148e-07,6.361639e-08,,2.16407e-07,2.2097751e-07
4,,,,,,,,7.38881e-07,2.2086044e-07,1.9997016e-07,9.4789476e-07,,,2.330706e-06,,,2.2865467e-07,,,6.035551e-08,,3.6639786e-08,,,,,2.473826e-06,2.064608e-06,,,,,,1.18700605e-07,,2.0312487e-07,,,,,,,,,,4.963978e-07,2.0306504e-07,,2.7920103e-07,1.2676574e-07
5,,,,,,,,9.12662e-07,5.0523954e-07,7.4332286e-07,1.6756412e-06,,,3.810932e-06,,,4.4941882e-07,,,2.718609e-07,,3.848048e-08,,,,,7.473057e-06,4.2825827e-06,,,,,,5.6579347e-07,,4.1047008e-07,,,,,,,,,,7.8350536e-07,4.8745756e-07,,4.1222722e-07,3.6734743e-08
6,,,,,,,,1.2464727e-06,1.0384679e-06,1.4653256e-06,2.3955397e-06,,,5.975065e-06,,,8.650073e-07,,,5.320648e-07,,6.524318e-08,,,,,1.569452e-05,7.670302e-06,,,,,,1.5051014e-06,,8.0775834e-07,,,,,,,,,,1.282796e-06,1.0264514e-06,,6.763803e-07,1.6139687e-09
7,,,,,,,,1.8776923e-06,2.0005243e-06,2.1631588e-06,2.932714e-06,,,9.149726e-06,,,1.6322117e-06,,,7.22027e-07,,1.6531496e-07,,,,,2.785414e-05,1.2655615e-05,,,,,,3.201857e-06,,1.5479842e-06,,,,,,,,,,2.1552885e-06,2.0059636e-06,,1.1896484e-06,1.2963478e-07
8,,,,,,,,2.9735393e-06,3.70965e-06,2.6132245e-06,3.1141078e-06,,,1.3836685e-05,,,3.0270141e-06,,,7.323554e-07,,4.6140997e-07,,,,,4.4996974e-05,1.9890134e-05,,,,,,6.083449e-06,,2.9047649e-06,,,,,,,,,,3.6818008e-06,3.7381267e-06,,2.1727876e-06,6.3078903e-07
9,,,,,,,,5.0570034e-06,6.673226e-06,2.6046102e-06,2.7809833e-06,,,2.0816278e-05,,,5.521483e-06,,,5.100724e-07,,1.1985551e-06,,,,,6.86693e-05,3.0360352e-05,,,,,,1.0833584e-05,,5.347681e-06,,,,,,,,,,6.331673e-06,6.7546607e-06,,4.017547e-06,1.8944841e-06
10,,,,,,,,8.650797e-06,1.1762419e-05,2.0243106e-06,1.90746e-06,,,3.1295756e-05,,,9.914007e-06,,,1.4693889e-07,,2.9005264e-06,,,,,0.00010108019,4.5549856e-05,,,,,,1.853748e-05,,9.673029e-06,,,,,,,,,,1.0910958e-05,1.1925803e-05,,7.4212708e-06,4.612016e-06
11,,,,,,,,1.5264308e-05,2.0404186e-05,9.845502e-07,7.327097e-07,,,4.713553e-05,,,1.7529199e-05,,,3.4967357e-08,,6.5032045e-06,,,,,0.00014546205,6.769778e-05,,,,,,3.0900293e-05,,1.7368917e-05,,,,,,,,,,1.8746347e-05,2.0683527e-05,,1.3565222e-05,9.971745e-06
12,,,,,,,,2.6322987e-05,3.486335e-05,6.759038e-08,8.864584e-10,,,7.1194445e-05,,,3.054023e-05,,,1.1212579e-06,,1.367574e-05,,,,,0.00020645667,0.000100158904,,,,,,5.0597286e-05,,3.158191e-05,,,,,,,,,,3.200743e-05,3.531312e-05,,2.4439014e-05,7.858964e-06
13,,,,,,,,4.5652312e-05,5.8795176e-05,7.1716397e-07,1.373368e-06,,,0.00010785241,,,5.2427946e-05,,,5.3143544e-06,,2.7261447e-05,,,,,0.0002907572,0.0001479281,,,,,,8.1771854e-05,,5.5443892e-05,,,,,,,,,,5.4164866e-05,5.9485123e-05,,4.3283908e-05,3.1723484e-06
14,,,,,,,,7.7894125e-05,9.7875374e-05,5.8399805e-06,8.045486e-06,,,3.4055924e-05,,,8.870173e-05,,,1.6120039e-05,,3.988009e-06,,,,,0.00040793416,0.00021845577,,,,,,0.0001307621,,9.478419e-05,,,,,,,,,,9.072728e-05,9.891204e-05,,7.529918e-05,1.4925523e-06
15,,,,,,,,0.00013168821,0.00016090283,2.0721833e-05,9.993752e-06,,,6.728023e-06,,,0.0001479023,,,3.9563583e-05,,7.275951e-06,,,,,0.00019433293,0.00032270595,,,,,,0.0002071658,,0.00015852133,,,,,,,,,,0.00015022689,0.00016240861,,0.0001286324,1.5090662e-06
16,,,,,,,,8.198821e-05,0.00026124026,5.437219e-05,5.5580562e-09,,,1.3976496e-09,,,0.00024306723,,,8.558899e-05,,4.4932065e-05,,,,,3.5630976e-05,0.00047669277,,,,,,0.00032536054,,0.00026024415,,,,,,,,,,0.00024567885,0.0002633695,,0.0002158472,3.6904735e-06
17,,,,,,,,2.511898e-06,0.00041876856,3.230174e-05,6.1866335e-06,,,2.8762386e-06,,,0.00039375466,,,0.0001699279,,9.773731e-05,,,,,1.3899364e-06,0.00016857435,,,,,,0.0005064909,,0.00042009616,,,,,,,,,,0.00039660218,0.00042175667,,0.00035590067,1.18081125e-05
18,,,,,,,,2.3998547e-05,0.0006627006,5.739877e-07,1.5371936e-05,,,6.005487e-06,,,0.0006286993,,,0.0003167782,,0.000146202,,,,,5.4001495e-05,8.6987893e-07,,,,,,0.00078126194,,0.0006676611,,,,,,,,,,0.0006317001,0.0006668272,,0.0005768117,3.5170764e-05
19,,,,,,,,0.00010461954,0.0010350919,9.1038455e-06,1.7663135e-05,,,4.218971e-06,,,0.000989479,,,0.0005622825,,0.00017264277,,,,,0.00015293833,9.9340556e-05,,,,,,0.0011935738,,0.0010454644,,,,,,,,,,0.0009924608,0.0010407892,,0.00091930036,9.169618e-05
20,,,,,,,,0.00020241641,0.0015956196,2.9714754e-05,9.884688e-06,,,1.0006187e-07,,,0.0015350009,,,0.00022166285,,0.0001651481,,,,,0.0002574009,0.00038124522,,,,,,0.0018050931,,0.0012084356,,,,,,,,,,0.0010425587,0.00096540217,,0.001441271,0.00012039628
21,,,,,,,,0.00027818518,0.00066532294,4.017596e-05,2.90486e-07,,,8.809523e-06,,,0.00068292243,,,3.493525e-06,,0.00012140077,,,,,0.0003303081,0.000758312,,,,,,0.00061983266,,9.3189796e-05,,,,,,,,,,7.1425064e-05,5.2940046e-05,,0.0006965308,2.0013134e-05
22,,,,,,,,0.00030207602,9.748989e-06,2.983481e-05,1.4662058e-05,,,6.424147e-05,,,1.1905011e-05,,,8.810978e-05,,5.5057444e-05,,,,,0.0003437897,0.0011415114,,,,,,5.09306e-06,,0.00018747064,,,,,,,,,,0.00018556845,0.00021773936,,1.3690739e-05,6.8528706e-08
23,,,,,,,,0.00025819178,0.00030834827,6.7459014e-06,7.716644e-05,,,0.00022655401,,,0.00029733125,,,0.00034795573,,3.3618533e-06,,,,,0.0002862796,0.001447492,,,,,,0.0003383546,,0.0012284077,,,,,,,,,,0.0011362176,0.0012110851,,0.000289084,9.0486055e-06
24,,,,,,,,0.00015747192,0.0012978582,6.1748156e-06,2.070354e-05,,,0.00059072254,,,0.0012759242,,,0.00066067436,,5.5586743e-06,,,,,0.00017111702,0.0016070846,,,,,,0.001356343,,0.0029364538,,,,,,,,,,0.0026600643,0.0027696118,,0.0012593967,1.2515424e-05
25,,,,,,,,4.347438e-05,0.0027091322,0.00010017498,7.615958e-06,,,5.4517655e-05,,,0.0026785873,,,0.0009188138,,2.4704984e-06,,,,,4.62518e-05,0.0015752726,,,,,,0.0027900434,,0.005024973,,,,,,,,,,0.0044894116,0.0046255183,,0.0026555746,2.6414289e-06
26,,,,,,,,4.111045e-06,0.0042796675,0.00011908819,1.312738e-05,,,6.9934926e-05,,,0.0042426595,,,0.0010410798,,8.117213e-06,,,,,4.5518054e-06,0.0013422343,,,,,,0.004377001,,0.0072131637,,,,,,,,,,0.0063639944,0.0065192515,,0.004214791,8.649378e-06
27,,,,,,,,2.7804366e-05,0.0057671415,2.6123782e-05,5.374726e-05,,,0.0004521001,,,0.0057259044,,,0.00098429,,1.6372426e-06,,,,,0.0001936161,0.0009447612,,,,,,0.0058753015,,0.009240553,,,,,,,,,,0.008046074,0.008213069,,0.0056949696,0.0001072031
28,,,,,,,,0.00025166885,0.0069651217,0.00032859118,0.00013061413,,,0.00097057305,,,0.006921609,,,0.0007547675,,7.948619e-06,,,,,6.995714e-06,0.00047651475,,,,,,0.0070785396,,0.010881967,,,,,,,,,,0.0093350345,0.0095066065,,0.0068890625,7.86067e-07
29,,,,,,,,0.00054360926,0.007716474,0.0007848028,2.5241485e-05,,,0.0014377026,,,0.0076727276,,,0.00041797018,,5.501599e-05,,,,,3.2038606e-05,9.590632e-05,,,,,,0.007830368,,0.0119636115,,,,,,,,,,0.010081617,0.010251328,,0.007639928,0.0001120232
30,,,,,,,,0.0007607555,0.007927001,0.0012045052,1.3975214e-05,,,0.0017209803,,,0.007884693,,,0.000104429644,,0.0002090256,,,,,0.00011597542,2.439465e-05,,,,,,0.008036827,,0.012374951,,,,,,,,,,0.01020112,0.010363412,,0.007853112,0.00035565117
31,,,,,,,,0.0008205365,0.007573089,0.0014589388,8.648045e-05,,,0.0017514849,,,0.0075336723,,,1.0284072e-05,,0.00033469577,,,,,0.00016071802,9.014578e-05,,,,,,0.0076748864,,0.012079484,,,,,,,,,,0.00968104,0.009830876,,0.0075043,0.00057274965
32,,,,,,,,0.0007060944,0.0067044715,0.0014864119,0.00013753034,,,0.0015276419,,,0.006669159,,,0.00039065364,,0.0003610462,,,,,0.00013117741,0.00029522702,,,,,,0.0067950594,,0.011117202,,,,,,,,,,0.008584497,0.0087178275,,0.0066431137,0.0006694078
33,,,,,,,,0.00046316508,0.0054398566,0.0012910104,0.00012485479,,,0.0011113692,,,0.0054098195,,,0.0005888853,,0.00027977262,,,,,5.2522046e-05,0.00046070287,,,,,,0.005516973,,0.009601639,,,,,,,,,,0.0070442627,0.007158164,,0.005387703,0.00061665836
34,,,,,,,,0.00018852898,0.0039552073,0.0009342243,6.2073304e-05,,,0.0006174283,,,0.003930894,,,0.0004050517,,0.0001371001,,,,,8.99941e-08,0.000664628,,,,,,0.004016885,,0.0077081798,,,,,,,,,,0.005251505,0.005343767,,0.0039131185,0.0004431266
35,,,,,,,,1.2438577e-05,0.0024618548,0.00051949755,4.736086e-06,,,0.00019462634,,,0.002443777,,,0.0003383028,,1.8364357e-05,,,,,8.199174e-05,0.0010565482,,,,,,0.0025074095,,0.0056545907,,,,,,,,,,0.0034335803,0.0035032097,,0.002430706,0.00022084541
36,,,,,,,,7.492574e-05,0.0011809818,0.00017008996,3.0295789e-05,,,1.1585734e-06,,,0.0011692536,,,0.00034737447,,2.6169042e-05,,,,,0.00041566356,0.0016979862,,,,,,0.0012104174,,0.0036747928,,,,,,,,,,0.0018273435,0.0018746916,,0.0011607903,4.4799515e-05
37,,,,,,,,0.00049679325,0.0003118553,3.372654e-06,0.00021426252,,,0.00017564604,,,0.0003062244,,,0.00041360027,,0.00016653907,,,,,0.0011005999,0.0026381784,,,,,,0.00032593217,,0.0019880978,,,,,,,,,,0.000647426,0.000673561,,0.0003022405,8.578879e-06
38,,,,,,,,0.0013519442,1.205423e-08,0.00010427651,0.00049386686,,,0.0008079726,,,1.4871979e-09,,,0.00052347337,,7.276329e-05,,,,,0.0021907606,0.0038891027,,,,,,2.2386304e-07,,0.00076804013,,,,,,,,,,5.325722e-05,6.0287744e-05,,2.0754559e-08,0.00017940078
39,,,,,,,,0.0026414336,0.00030945794,0.0006333053,0.00088578905,,,0.0019140197,,,0.00031430632,,,0.0006540523,,1.8566956e-05,,,,,0.0036709348,0.0054043937,,,,,,0.0002978896,,0.00011420419,,,,,,,,,,0.00012101524,0.00011185072,,0.0003177415,0.00043474
