,LOSS0,LOSS1,LOSS2,LOSS3,LOSS4,LOSS5,LOSS6,LOSS7,LOSS8,LOSS9,LOSS10,LOSS11,LOSS12,LOSS13,LOSS14,LOSS15,LOSS16,LOSS17,LOSS18,LOSS19,LOSS20,LOSS21,LOSS22,LOSS23,LOSS24,LOSS25,LOSS26,LOSS27,LOSS28,LOSS29,LOSS30,LOSS31,LOSS32,LOSS33,LOSS34,LOSS35,LOSS36,LOSS37,LOSS38,LOSS39,LOSS40,LOSS41,LOSS42,LOSS43,LOSS44,LOSS45,LOSS46,LOSS47,LOSS48,LOSS49
0,358.19287,4.3133607,28.79933,5.1494946,13.361934,96.57924,8.161129,17.91929,21.872412,266.2963,13.101554,58.754906,128.7365,7.096372,41.458916,124.53583,77.22969,108.56483,23.355137,279.3392,78.019806,321.24097,17.939213,32.913445,51.618473,12.593504,47.99611,100.73472,82.4635,149.21753,311.53906,14.236236,18.789024,268.47278,57.178345,147.25847,20.151827,557.5319,9.575613,203.43906,10.689784,152.43939,91.11264,29.339468,19.111404,1.8611989,404.57202,27.599665,107.835175,63.423523
1,1.761574,1.8204185,1.611271,1.0880555,0.94233567,4.109674,6.0462976,8.334841,4.3573694,778.5005,7.3625946,8.2447,2.723045,2.0307596,4.9345207,20.609161,2.2224016,15.264888,5.114206,2.9709456,8.570455,15.669142,19.087154,5.6081157,5.423044,8.340635,10.293522,15.906514,4.681123,102.18287,1.2034245,5.6875176,1.7993879,6.765766,17.57959,3.65233,6.253365,202.79527,0.5517432,7.93525,4.070462,366.92462,2.1864188,5.9767942,3.2883708,1.7684163,6.6823907,7.0758758,7.4450283,15.727954
2,11.215133,0.7398747,2.3861682,2.7048147,0.40344942,6.3415713,28.603506,53.438946,0.8355625,6.231319,3.6797962,2.5451882,6.8107944,0.59359086,0.3351002,28.403074,2.9738338,2.5919414,10.390957,7.1422634,3.0920007,17.28241,84.96096,0.9409363,4.7464833,3.5756826,0.9607684,7.1587667,4.4628515,10.118953,3.4250631,82.44295,0.80414206,2.2400124,1.3292167,12.9576645,0.53205436,21.060282,0.19703773,3.7910523,1.108512,7.3509974,6.917736,0.6327781,0.42733628,7.3298903,7.413399,0.88000524,10.6638975,1.0656627
3,11.362124,0.69970876,0.61482084,4.113021,0.35495174,1.9455527,61.739468,93.18054,0.944069,1.5675467,2.3865104,5.419012,3.4890034,0.6277027,0.90030354,18.165176,1.3334129,2.995244,0.27049056,7.5952396,3.2178848,4.453386,3.8861928,1.2354112,2.9246387,1.0990682,3.217552,13.770246,2.8677232,4.9822025,2.2924423,482.2179,0.5787126,10.262694,1.8565407,4.170502,0.76682365,4.19251,0.20176096,2.0745316,1.4639477,22.237589,6.8004503,0.88121766,0.70495576,55.746086,8.90394,2.3507197,4.082333,3.73787
4,7.7952023,0.8876589,0.24258332,5.3638563,0.28696933,0.35266048,11.6523905,8.243319,1.8579587,1.9183276,2.3605068,4.2355037,1.7833154,0.57108706,1.4297801,9.766305,1.007142,4.6393485,0.59142697,5.7940273,1.4883363,0.3852541,8.84191,1.5957795,3.3006456,0.29259422,5.815104,11.090346,1.5512972,1.0811385,0.562842,20.210361,0.5485989,14.123642,1.8076346,0.6308616,2.2040987,2.5567913,0.10827013,0.45948604,1.7130605,5.04187,2.1766431,1.0140989,1.237999,218.87286,9.803722,3.03132,0.70471585,2.5084069
5,4.450374,0.83032376,0.2623517,2.3984697,0.2877211,0.6121702,1.1207273,0.31599373,1.617867,4.070196,2.8980231,3.1397836,1.3796229,0.4081917,1.1374484,7.0975018,0.33433118,3.0919511,0.41053742,3.1317568,0.904281,1.951758,7.4996448,1.4797665,3.5717816,0.30324727,5.970819,6.9894557,1.4449735,1.0316261,1.0419692,1.2174749,0.43719304,4.784605,1.5417902,0.5564469,2.5882788,2.6819148,0.09772304,4.111333,1.6701794,2.8866289,0.31443745,0.72970134,1.0569704,664.121,8.3454075,2.1754267,0.60755426,0.62224513
6,2.4629488,0.5975386,0.22198015,0.16248666,0.27109274,1.3184682,1.8640325,2.490833,0.9004977,7.620054,3.1703439,2.3369951,1.7529494,0.3338278,0.47475663,4.853905,0.15428622,1.5218694,0.19050156,1.9415702,0.84790254,0.7751076,4.1118536,1.0298307,3.286373,0.82385063,4.1300426,3.3793852,1.3428313,0.4507441,1.9320668,1.1403092,0.35570407,48.819614,0.79452634,0.6933571,2.0123029,2.6833513,0.09892495,4.425559,1.5847989,13.389653,0.74263334,0.53563017,0.5793991,45.343563,48.474518,1.17865,1.1497571,0.13380353
7,1.3028177,0.38433003,0.13738786,0.16816226,0.235342,1.7989355,1.4727681,3.5920837,0.45993215,11.380525,2.8893902,1.5494294,2.0600016,0.27031627,0.12445418,2.1462893,0.3365383,1.3539474,0.16519307,3.3030133,0.94063616,0.14824268,4.1042843,0.52912515,2.617678,1.4470236,2.5607872,1.3570151,1.1626116,0.44816825,172.99062,3.3881192,0.34490103,123.08933,0.46052158,0.6265323,1.1567247,1.939885,0.09637992,1.3183923,1.4254887,325.40747,1.4925177,0.5090146,0.2700163,41.428978,202.99785,0.593762,1.0652249,0.23509203
8,7.336219,0.29549238,0.10183389,0.13963707,0.21726382,1.3967903,1.5831486,3.643529,0.3790587,15.617571,2.2687998,1.0600846,1.7819442,0.22184354,0.16462806,0.60421044,0.23986322,1.0637742,0.27306348,4.822135,0.8195836,0.3111301,1.2225434,0.22875436,1.7606431,1.8551323,1.6640377,1.6228678,0.9667318,0.9737873,1598.8314,2.734217,0.37049466,6.517313,0.521631,0.4179614,0.4494548,0.9788849,0.09342524,2.2228525,1.2263576,849.979,1.601282,0.48837903,0.13615993,8.489174,1.4331431,0.4182279,0.5331289,0.38914138
9,119.94675,0.2624591,0.16401757,0.12853934,0.22012189,0.6918453,2.0180407,1.6353756,0.48967302,19.8459,1.5358288,0.8248628,1.7548985,0.18348911,0.39720547,0.5137047,0.14440282,0.68102944,0.36541262,19.585012,0.64504594,1.4026533,0.23368426,0.24255131,0.9813332,1.9147525,0.98053694,1.5535449,0.85826486,1.1414309,295.74008,2.8438127,0.38781735,5.8718762,0.7482031,0.23140335,0.15049016,0.61256814,0.091312714,1.1787953,0.98684204,10.511368,0.8358391,0.4495879,0.09760852,8.060817,1.3304468,0.42959565,0.39728686,0.34522548
