,MSE0,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20,MSE21,MSE22,MSE23,MSE24,MSE25,MSE26,MSE27,MSE28,MSE29,MSE30,MSE31,MSE32,MSE33,MSE34,MSE35,MSE36,MSE37,MSE38,MSE39,MSE40,MSE41,MSE42,MSE43,MSE44,MSE45,MSE46,MSE47,MSE48,MSE49
0,3.0568413e-06,1.3170448e-06,3.5591864e-08,1.9908623e-06,5.291048e-10,2.3189861e-11,5.5813352e-08,0.99975324,8.2967524e-08,,7.2202106e-08,1.0128168e-07,0.99975324,3.274506e-07,0.99975324,3.4900609e-06,2.1644228e-05,2.261791e-07,5.8646044e-09,,7.439048e-07,0.99975324,,1.47362025e-08,0.00094583887,1.1957783e-06,0.99975324,0.99975324,0.99975324,3.3166518e-07,0.99975324,,2.5603583e-07,0.99975324,,0.99975324,8.1703755e-10,0.99975324,4.8224372e-08,0.99975324,2.4491895e-08,0.99975324,2.2979052e-06,2.53674e-07,5.198921e-06,0.99975324,0.99975324,6.513136e-08,0.99975324,4.552708e-08
1,2.8748595e-06,1.6096345e-06,8.867479e-12,4.9027985e-06,7.800219e-09,3.324324e-09,3.3638177e-08,0.99964756,1.4986826e-08,,1.0339175e-07,1.377072e-07,0.99964756,4.7659688e-07,0.99964756,3.6902866e-06,8.961528e-06,2.792322e-07,1.6750073e-08,,8.3784835e-07,0.99964756,,3.0505685e-08,0.0006146456,1.7417394e-06,0.99964756,0.99964756,0.99964756,3.953205e-07,0.99964756,,2.9000748e-07,0.99964756,,0.99964756,1.4951937e-08,0.99964756,7.469964e-08,0.99964756,3.64699e-08,0.99964756,9.3260866e-07,8.581487e-08,3.28111e-06,0.99964756,0.99964756,9.489471e-08,0.99964756,3.243426e-08
2,2.6304942e-06,1.8744837e-06,4.1421316e-08,3.9753686e-06,3.0304683e-08,1.7244462e-08,1.20441666e-08,0.9995002,4.0906736e-09,,1.5618863e-07,1.9780293e-07,0.9995002,6.886642e-07,0.9995002,3.978721e-06,1.7265862e-06,3.6250694e-07,4.124282e-08,,9.781244e-07,0.9995002,,6.192671e-08,0.0003553344,7.784596e-07,0.9995002,0.9995002,0.9995002,4.933747e-07,0.9995002,,3.5030635e-07,0.9995002,,0.9995002,5.6306373e-08,0.9995002,1.2129848e-07,0.9995002,6.0525615e-08,0.9995002,1.5571534e-07,3.800267e-09,1.8590574e-06,0.9995002,0.9995002,1.4570332e-07,0.9995002,3.0588762e-07
3,2.3103269e-06,2.0761336e-06,1.9228982e-07,1.529493e-06,8.320113e-08,5.4392572e-08,6.149602e-11,0.99929655,7.7742776e-08,,2.471194e-07,2.9883103e-07,0.99929655,9.937985e-07,0.99929655,4.3956356e-06,1.5511148e-07,4.9560117e-07,9.301722e-08,,1.1900753e-06,0.99929655,,1.2340155e-07,0.00016736418,1.7346612e-07,0.99929655,0.99929655,0.99929655,6.4691517e-07,0.99929655,,4.5353906e-07,0.99929655,,0.99929655,1.4443533e-07,0.99929655,2.037301e-07,0.99929655,1.0828551e-07,0.99929655,4.1920032e-08,3.9353996e-08,8.907667e-07,0.99929655,0.99929655,2.338835e-07,0.99929655,6.017618e-07
4,1.904598e-06,2.1754122e-06,5.0639875e-07,2.6789974e-07,1.9410801e-07,1.3922327e-07,1.7440442e-08,0.99901676,2.8262917e-07,,4.0578846e-07,4.713627e-07,0.99901676,1.4459636e-06,0.99901676,5.0018484e-06,4.5782945e-06,7.121565e-07,1.979284e-07,,1.5148931e-06,0.99901676,,2.417891e-07,4.9862454e-05,7.613877e-09,0.99901676,0.99901676,0.99901676,8.9154116e-07,0.99901676,,6.2930235e-07,0.99901676,,0.99901676,3.148495e-07,0.99901676,3.511447e-07,0.99901676,2.0304265e-07,0.99901676,7.085116e-07,2.4623523e-07,3.1571975e-07,0.99901676,0.99901676,3.8877624e-07,0.99901676,3.2006162e-07
5,1.4148235e-06,2.1257438e-06,1.0716095e-06,2.2753348e-08,4.1397854e-07,3.1779658e-07,1.041162e-07,0.99863577,6.9725127e-07,,6.849605e-07,7.694215e-07,0.99863577,2.1268606e-06,0.99863577,5.8907635e-06,1.5494204e-05,1.070194e-06,4.0385973e-07,,2.0204293e-06,0.99863577,,4.6615213e-07,1.5293181e-06,4.1163733e-07,0.99863577,0.99863577,0.99863577,1.2878227e-06,0.99863577,,9.2871625e-07,0.99863577,,0.99863577,6.292607e-07,0.99863577,6.1503215e-07,0.99863577,3.870227e-07,0.99863577,2.3402488e-06,7.135292e-07,5.3326577e-08,0.99863577,0.99863577,6.628034e-07,0.99863577,9.3294474e-08
6,8.681817e-07,1.8887417e-06,2.0330406e-06,5.6577744e-07,8.344154e-07,6.7475605e-07,3.3683077e-07,0.99812084,1.4536597e-06,,1.1779287e-06,1.2879243e-06,0.99812084,3.1742345e-06,0.99812084,7.2080984e-06,3.363893e-05,1.6697876e-06,7.9780705e-07,,2.8194404e-06,0.99812084,,8.854527e-07,2.0437847e-05,1.5955138e-06,0.99812084,0.99812084,0.99812084,1.9391218e-06,0.99812084,,1.4420071e-06,0.99812084,,0.99812084,1.1920561e-06,0.99812084,1.0883632e-06,0.99812084,7.425034e-07,0.99812084,5.220931e-06,1.588318e-06,1.1182304e-09,0.99812084,0.99812084,1.1488156e-06,0.99812084,4.9595633e-10
7,3.4342537e-07,1.4458353e-06,3.6277577e-06,1.6013747e-06,1.6168443e-06,1.3622927e-06,8.576777e-07,0.9974301,2.7693407e-06,,2.047938e-06,2.192192e-06,0.9974301,4.809107e-06,0.9974301,9.184099e-06,6.008732e-05,2.6828484e-06,1.5349675e-06,,4.1000444e-06,0.9974301,,1.6570215e-06,0.000103848055,3.8913836e-06,0.9974301,0.9974301,0.9974301,3.021552e-06,0.9974301,,2.3302089e-06,0.9974301,,0.9974301,2.1871485e-06,0.9974301,1.9320414e-06,0.9974301,1.4135618e-06,0.9974301,9.785141e-06,3.1130598e-06,4.3795804e-08,0.9974301,0.9974301,2.009493e-06,0.9974301,1.9160775e-07
8,1.5811445e-08,8.3903336e-07,6.2389427e-06,2.7696062e-06,3.0417455e-06,2.648608e-06,1.9220784e-06,0.9965109,5.005309e-06,,3.5771798e-06,3.7670413e-06,0.9965109,7.391763e-06,0.9965109,1.218575e-05,9.6388496e-05,4.4025346e-06,2.8873471e-06,,6.1759115e-06,0.9965109,,3.0553624e-06,0.0002479203,7.822356e-06,0.9965109,0.9965109,0.9965109,4.83359e-06,0.9965109,,3.866988e-06,0.9965109,,0.9965109,3.9212796e-06,0.9965109,3.427146e-06,0.9965109,2.6576727e-06,0.9965109,1.6692184e-05,5.6736253e-06,7.320544e-08,0.9965109,0.9965109,3.5263108e-06,0.9965109,9.369016e-07
9,2.3261346e-07,2.3214959e-07,1.0490563e-05,3.6679132e-06,5.5911605e-06,4.9974524e-06,3.977767e-06,0.9952974,8.750222e-06,,6.246936e-06,6.4970463e-06,0.9952974,1.1507441e-05,0.9952974,1.6800597e-05,0.00014476433,7.323873e-06,5.3234644e-06,,9.567774e-06,0.9952974,,5.5532532e-06,0.00044743795,1.420292e-05,0.9952974,0.9952974,0.9952974,7.876927e-06,0.9952974,,6.5245245e-06,0.9952974,,0.9952974,6.913573e-06,0.9952974,6.054882e-06,0.9952974,4.9274663e-06,0.9952974,2.6946242e-05,9.90978e-06,3.3981383e-08,0.9952974,0.9952974,6.1796545e-06,0.9952974,2.7091169e-06
