,LOSS0,LOSS1,LOSS2,LOSS3,LOSS4,LOSS5,LOSS6,LOSS7,LOSS8,LOSS9,LOSS10,LOSS11,LOSS12,LOSS13,LOSS14,LOSS15,LOSS16,LOSS17,LOSS18,LOSS19,LOSS20,LOSS21,LOSS22,LOSS23,LOSS24,LOSS25,LOSS26,LOSS27,LOSS28,LOSS29,LOSS30,LOSS31,LOSS32,LOSS33,LOSS34,LOSS35,LOSS36,LOSS37,LOSS38,LOSS39,LOSS40,LOSS41,LOSS42,LOSS43,LOSS44,LOSS45,LOSS46,LOSS47,LOSS48,LOSS49
0,2.3798227,23.97647,1.6081556,14.3334465,14.296035,0.43135336,27.341473,45.981197,37.05074,7.394609,46.49252,12.807937,1.2607551,27.324757,9.2036,25.320503,26.663685,4.1173143,14.125164,47.75586,133.78772,80.10405,44.488205,14.185846,3.2260416,8.767542,2.2685392,63.895878,5.4232063,12.54156,6.870269,34.79965,2.353619,24.527113,43.566116,13.653778,0.4507352,3.660224,2.0305023,7.2844687,3.8986652,2.3047054,7.2451367,7.6080384,17.241009,2.4196923,1.567852,16.320004,1.1959677,1.8565629
1,1.6841173,16.202269,1.2368956,10.765909,10.40389,0.4014346,19.702175,34.031807,24.487484,4.3294883,30.61086,8.474202,0.94722337,19.645271,6.004869,18.469027,18.235067,3.1044319,9.939258,29.278984,83.472305,54.146217,32.76415,10.395101,2.4612646,6.104259,1.6314944,44.103073,3.9663463,8.453958,5.218682,24.767492,1.9090773,17.554104,29.387503,8.88868,0.40764028,2.8913126,1.5466602,5.81583,2.9950747,1.5410726,5.250684,5.4949865,11.779098,1.9492496,1.1228966,10.366896,0.92087245,1.4747086
2,0.87390816,7.1084943,0.7654086,5.9088073,5.267132,0.36348897,9.758108,18.210865,10.276333,1.4289181,12.2148905,3.4323657,0.55697185,9.661737,2.3632598,9.380061,7.9167767,1.756169,4.630514,9.62473,28.904585,22.775028,17.252014,5.421079,1.4569824,2.8471403,0.8924045,19.575779,2.122833,3.5661416,2.9641597,11.933,1.3223594,8.598801,12.71806,3.5077775,0.34560636,1.9445482,0.9685971,3.801802,1.8714589,0.7295127,2.6993644,2.7725098,5.190587,1.3073922,0.6098589,3.772108,0.585348,1.078992
3,0.41799662,1.8304971,0.4443835,2.1063974,1.4905593,0.33662933,2.5498593,6.381409,2.7694304,0.49229988,2.025524,0.60713595,0.30337417,2.4990258,0.42365146,2.5868368,1.4213967,0.7467675,1.0366588,0.655799,2.084834,3.5137262,5.6330667,1.7890316,0.72768235,0.8021755,0.47815374,3.6659167,0.8784105,0.6521858,1.1992896,2.9150236,0.88513184,2.2969453,2.968995,0.68746436,0.29177457,1.33104,0.62098825,2.2081158,1.1322863,0.36422086,0.95455,0.87436867,1.1401327,0.8022007,0.32920763,0.4845449,0.37564328,0.89173084
4,0.40331388,1.4120479,0.36493582,0.5823163,0.26275185,0.32636574,0.23542835,2.1673045,2.9938571,1.0085986,1.9398644,0.54744977,0.25710645,0.33791122,0.48857713,0.21425402,0.4524186,0.39416802,0.21381725,2.3603127,4.764166,1.0524704,1.4552457,0.6153605,0.4991654,0.49985498,0.46383575,0.7455125,0.58674544,0.39483103,0.4987783,0.31715313,0.722089,0.504397,2.1302207,0.8199293,0.26350158,1.1927192,0.57711756,1.5446008,0.9613529,0.43572372,0.5390577,0.37883595,0.6119394,0.5921928,0.32999435,0.82424146,0.34387666,0.87569505
5,0.6133676,3.6837997,0.45595983,1.1506126,1.1499197,0.3258701,1.9174286,4.4160986,6.6548433,1.5957488,6.838482,1.908456,0.3504492,2.1666517,1.4845152,1.6212829,3.002128,0.59907126,1.3911588,7.613624,19.414564,8.845942,3.6403365,1.4503908,0.6692224,1.2997147,0.649978,6.488359,0.9634564,1.6705006,0.7664512,2.7127512,0.7748021,2.2086728,6.217479,2.2746568,0.26305398,1.3401715,0.6989251,1.7261709,1.149506,0.63566905,1.0757374,0.9403134,2.2575407,0.647969,0.4660439,2.6232831,0.420786,0.87700367
6,0.7755601,5.740628,0.575768,2.6952803,2.7974863,0.32445273,5.058301,9.214144,8.990292,1.5163018,10.454503,2.986803,0.46106628,5.2806597,2.1743634,4.533632,5.765141,1.0168024,2.9719336,10.032727,28.401106,16.973898,8.405123,2.9849207,0.9586505,2.1587813,0.789416,13.159475,1.4503086,2.861104,1.4611818,6.6888742,0.8896646,4.964224,9.858251,3.2318292,0.28026024,1.480317,0.7976699,2.2730455,1.3510423,0.7017556,1.7751747,1.7589926,3.9895947,0.81906617,0.5623875,3.6571963,0.49819764,0.7981792
7,0.7556653,5.927381,0.61529094,3.9686673,3.898593,0.31558335,7.2372255,12.662872,8.114817,0.972983,9.9430275,2.9363165,0.5001461,7.2082434,2.0300472,6.6567874,6.534333,1.303808,3.6884005,8.087239,25.53278,19.155663,11.923625,3.9815102,1.1148945,2.381074,0.76229703,15.357204,1.6213312,3.018696,1.9911127,9.196454,0.9298497,6.6029572,10.069328,2.9552438,0.2999869,1.4296875,0.77063745,2.6627092,1.3373317,0.5898257,2.0265336,2.1634,4.4432364,0.94278604,0.54079664,3.177711,0.50724727,0.6516179
8,0.5930844,4.3648825,0.5499405,4.232894,3.8494182,0.29966193,7.2964525,12.805755,5.144164,0.49597457,6.4330897,1.9929942,0.45249963,6.9250326,1.3108271,6.8267145,5.1279054,1.2915063,3.205563,4.119693,15.282085,15.026723,12.219937,3.8828802,1.0409404,1.9096005,0.6062266,12.421059,1.3838005,2.2090747,2.02886,8.954243,0.84408516,6.263161,7.189968,1.8642197,0.30997205,1.1888515,0.6355957,2.6103873,1.0952109,0.4150325,1.700634,1.9426377,3.515278,0.9288011,0.43521893,1.8350517,0.44646695,0.50356716
9,0.41162908,2.2456298,0.42667556,3.4719262,2.8467147,0.28159562,5.5177183,9.983054,2.2681348,0.34629357,2.706674,0.9224415,0.36109406,4.9278226,0.59129393,5.246102,2.7801855,1.0206014,2.0032456,1.093366,5.3930683,8.150634,9.566061,2.8860118,0.80049646,1.1414776,0.434518,7.0514874,0.92391557,1.1086042,1.6032488,6.5192723,0.6689658,4.4230494,3.439897,0.80926174,0.3054855,0.88022304,0.4769885,2.1483874,0.76285785,0.30002898,1.0676126,1.3172644,1.991261,0.78407073,0.32700545,0.6745293,0.35968176,0.40026626
