,MSE0,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20,MSE21,MSE22,MSE23,MSE24,MSE25,MSE26,MSE27,MSE28,MSE29,MSE30,MSE31,MSE32,MSE33,MSE34,MSE35,MSE36,MSE37,MSE38,MSE39,MSE40,MSE41,MSE42,MSE43,MSE44,MSE45,MSE46,MSE47,MSE48,MSE49
0,1.3076846e-06,1.0679974e-05,1.3974948e-08,3.4287334e-06,1.5627855e-05,1.5866747e-06,8.969535e-06,1.9532177e-05,1.2816209e-06,3.914223e-08,7.278059e-05,3.3688805e-06,9.821264e-07,6.4541764e-06,1.4405758e-05,1.7412936e-05,1.1723424e-05,1.4135668e-06,1.1075969e-07,2.2552382e-07,7.015158e-05,1.0940372e-05,2.3088669e-05,1.3175747e-06,7.4505756e-06,3.6001908e-05,3.6751047e-05,9.979226e-06,5.4065713e-06,3.7364748e-07,1.0286423e-05,8.610443e-05,4.2291565e-05,5.6064977e-07,6.4412257e-07,2.6892074e-05,2.4227418e-06,8.821332e-06,2.3582674e-05,5.3881644e-07,2.6968837e-05,2.322051e-05,1.6375117e-05,2.168603e-05,8.081038e-08,1.9443612e-06,1.485526e-05,2.4889365e-05,2.4974106e-05,1.2509326e-05
1,2.592463e-06,1.4362712e-06,7.0644154e-07,4.091344e-06,3.6883982e-06,5.003293e-06,8.663971e-06,6.0822294e-06,9.70347e-09,9.352883e-07,2.548527e-05,6.146495e-07,1.1028994e-09,1.6027518e-06,4.430611e-06,5.0607428e-06,3.2172948e-06,9.877597e-08,3.8452293e-07,1.2615598e-06,6.777583e-05,1.0563521e-05,4.9436067e-06,1.4992577e-06,1.6596957e-06,2.198491e-05,1.1568955e-05,2.1129802e-06,1.1404383e-06,8.0931414e-07,1.7513637e-06,6.991398e-05,1.2193661e-05,3.0854142e-06,9.993788e-07,7.921681e-06,2.7842434e-06,1.9495176e-06,8.102872e-06,2.2011855e-06,8.885977e-06,7.0946103e-06,5.2475393e-06,5.5317278e-06,5.1226255e-07,2.220388e-06,4.4940844e-06,8.004293e-06,7.1501768e-06,3.1437467e-06
2,3.9701413e-06,4.4326725e-07,2.1445833e-06,4.556802e-06,2.0164694e-09,9.534478e-06,8.160313e-06,4.1452222e-07,6.804575e-07,3.982347e-06,3.2899075e-06,3.4754272e-08,9.258183e-07,8.385543e-09,2.914915e-07,2.0404673e-07,7.5877516e-08,2.7997457e-06,7.774645e-07,2.7916751e-06,6.331716e-05,9.858291e-06,2.1075278e-08,1.6306884e-06,2.8447118e-09,1.1657764e-05,8.737264e-07,1.1480565e-08,7.547823e-09,4.9893756e-06,1.6799262e-07,5.4240838e-05,5.221113e-07,7.0131528e-06,1.392794e-06,3.71504e-07,2.9856967e-06,1.142786e-09,9.187452e-07,4.526737e-06,8.6155563e-07,4.4305406e-07,4.2609932e-07,4.860808e-08,2.6276098e-06,2.3843143e-06,2.5235627e-07,6.6713494e-07,2.7619654e-07,1.691563e-08
3,5.207904e-06,5.3393615e-06,3.922142e-06,4.751833e-06,2.7399824e-06,1.4418659e-05,7.4215386e-06,1.0577068e-06,2.6508126e-06,8.266893e-06,1.3183065e-06,1.1332836e-06,3.1818722e-06,9.422552e-07,7.8246256e-07,1.4424342e-06,1.2397829e-06,8.2517345e-06,1.2347434e-06,4.447109e-06,5.6860597e-05,8.8047e-06,5.2013283e-06,1.6878816e-06,1.6382688e-06,4.7389817e-06,1.7375856e-06,2.2734098e-06,1.2656391e-06,1.1396317e-05,3.9044526e-06,3.9514187e-05,3.19088e-06,1.1615061e-05,1.7796496e-06,1.9848658e-06,2.992695e-06,1.7113829e-06,6.2120586e-07,7.058606e-06,8.997468e-07,1.3406609e-06,7.258882e-07,2.9588184e-06,5.845392e-06,2.4097135e-06,9.661636e-07,1.061982e-06,2.0488499e-06,1.8902921e-06
4,6.111836e-06,1.3865845e-05,5.6620793e-06,4.626739e-06,9.998371e-06,1.8915225e-05,6.427645e-06,6.4079845e-06,5.298843e-06,1.2926794e-05,1.4552711e-05,3.3763563e-06,6.1736864e-06,3.6410597e-06,4.6436644e-06,7.218405e-06,5.557402e-06,1.5186323e-05,1.6891033e-06,5.9023605e-06,4.8612375e-05,7.4217846e-06,1.732335e-05,1.6476815e-06,5.6465874e-06,9.577172e-07,1.1135375e-05,7.4666123e-06,4.1441353e-06,1.8587716e-05,1.1265488e-05,2.6216272e-05,1.6092978e-05,1.6173977e-05,2.1071974e-06,1.0367574e-05,2.789482e-06,5.828672e-06,5.638969e-06,9.378053e-06,6.9249168e-06,7.773979e-06,4.8694023e-06,1.1885873e-05,9.561769e-06,2.274395e-06,5.383328e-06,7.252993e-06,1.0098889e-05,7.4186287e-06
5,6.5291106e-06,2.393104e-05,7.0440456e-06,4.157884e-06,1.9866719e-05,2.2358146e-05,5.1956426e-06,1.4799905e-05,8.051055e-06,1.7164624e-05,3.7964e-05,6.212236e-06,9.318149e-06,7.3364304e-06,1.0607059e-05,1.5885102e-05,1.1833738e-05,2.2360093e-05,2.068198e-06,6.889269e-06,3.8974005e-05,5.7733287e-06,3.3285396e-05,1.4938545e-06,1.1067652e-05,3.2315494e-08,2.604151e-05,1.4179914e-05,7.865978e-06,2.5259937e-05,2.055228e-05,1.4939347e-05,3.5207097e-05,2.0008049e-05,2.3176108e-06,2.3075268e-05,2.3843606e-06,1.1165287e-05,1.4290142e-05,1.1116911e-05,1.6826163e-05,1.7712166e-05,1.1514728e-05,2.4440378e-05,1.31861825e-05,1.9787835e-06,1.220448e-05,1.7257062e-05,2.2049331e-05,1.5189888e-05
6,6.3758457e-06,3.368147e-05,7.813276e-06,3.3797232e-06,3.0495663e-05,2.4223988e-05,3.7905775e-06,2.4563542e-05,1.0404481e-05,2.0335374e-05,6.6676505e-05,9.100336e-06,1.2076236e-05,1.12935695e-05,1.7436978e-05,2.5778305e-05,1.8870587e-05,2.8657376e-05,2.307544e-06,7.215166e-06,2.8569453e-05,3.9729634e-06,5.015944e-05,1.2298387e-06,1.6942677e-05,1.6795523e-06,4.3504573e-05,2.1088625e-05,1.17062555e-05,3.0332663e-05,3.0142804e-05,6.347079e-06,5.673113e-05,2.2541986e-05,2.3614164e-06,3.7693837e-05,1.8173254e-06,1.6632011e-05,2.4849143e-05,1.2006931e-05,2.8555694e-05,2.917169e-05,1.9335748e-05,3.8309376e-05,1.6166483e-05,1.5498912e-06,2.0121899e-05,2.9090766e-05,3.5598972e-05,2.3804429e-05
7,5.6484296e-06,4.1578212e-05,7.824298e-06,2.3806115e-06,4.0212497e-05,2.4153087e-05,2.3368439e-06,3.41241e-05,1.1964756e-05,2.1929556e-05,9.611842e-05,1.1551921e-05,1.3991361e-05,1.4841365e-05,2.400447e-05,3.530597e-05,2.5540588e-05,3.3134045e-05,2.3505938e-06,6.809501e-06,1.8258952e-05,2.2257766e-06,6.53318e-05,8.788761e-07,2.235853e-05,5.608126e-06,6.076936e-05,2.7023725e-05,1.5009102e-05,3.299417e-05,3.8573635e-05,1.1741723e-06,7.723764e-05,2.3354016e-05,2.206651e-06,5.1942334e-05,1.1633962e-06,2.1297456e-05,3.5636487e-05,1.1882724e-05,4.0193067e-05,4.029745e-05,2.7037346e-05,5.136003e-05,1.8052766e-05,1.0360258e-06,2.7893273e-05,4.0871586e-05,4.8630005e-05,3.1931515e-05
8,4.435635e-06,4.646345e-05,7.048173e-06,1.3218163e-06,4.7584286e-05,2.205625e-05,1.0356567e-06,4.208592e-05,1.2470188e-05,2.1682174e-05,0.0001222585,1.3155866e-05,1.4740472e-05,1.7426277e-05,2.932273e-05,4.3059405e-05,3.086553e-05,3.5095723e-05,2.1707797e-06,5.717132e-06,9.139962e-06,7.9657843e-07,7.665352e-05,4.936899e-07,2.6533515e-05,1.1504402e-05,7.5448675e-05,3.105046e-05,1.7250706e-05,3.2795862e-05,4.4612832e-05,1.9257085e-07,9.384982e-05,2.2234122e-05,1.8505796e-06,6.3835294e-05,5.389343e-07,2.4440847e-05,4.5109602e-05,1.0724536e-05,5.0078823e-05,4.948846e-05,3.351051e-05,6.174545e-05,1.8526775e-05,5.2243416e-07,3.441793e-05,5.094942e-05,5.931553e-05,3.8399554e-05
9,2.9326543e-06,4.7660436e-05,5.5938754e-06,4.289144e-07,5.1572733e-05,1.8140665e-05,1.6767211e-07,4.731916e-05,1.1825791e-05,1.9574916e-05,0.00014174951,1.3643511e-05,1.4157639e-05,1.8660994e-05,3.2649757e-05,4.791838e-05,3.4054403e-05,3.4188863e-05,1.779285e-06,4.115363e-06,2.5414047e-06,3.7465846e-08,8.254835e-05,1.6071309e-07,2.8846038e-05,1.901579e-05,8.5595726e-05,3.253898e-05,1.8075982e-05,2.970047e-05,4.739137e-05,4.1678595e-06,0.00010433754,1.924334e-05,1.3336686e-06,7.1745926e-05,9.980426e-08,2.5589978e-05,5.1972394e-05,8.674674e-06,5.6870394e-05,5.5487228e-05,3.7819605e-05,6.802436e-05,1.74478e-05,1.2920513e-07,3.878383e-05,5.796293e-05,6.6196204e-05,4.2284482e-05
