,LOSS0,LOSS1,LOSS2,LOSS3,LOSS4,LOSS5,LOSS6,LOSS7,LOSS8,LOSS9,LOSS10,LOSS11,LOSS12,LOSS13,LOSS14,LOSS15,LOSS16,LOSS17,LOSS18,LOSS19,LOSS20,LOSS21,LOSS22,LOSS23,LOSS24,LOSS25,LOSS26,LOSS27,LOSS28,LOSS29,LOSS30,LOSS31,LOSS32,LOSS33,LOSS34,LOSS35,LOSS36,LOSS37,LOSS38,LOSS39,LOSS40,LOSS41,LOSS42,LOSS43,LOSS44,LOSS45,LOSS46,LOSS47,LOSS48,LOSS49
0,102.74377,333.27917,295.34305,91.80677,157.04141,91.25489,11.261874,80.07733,5.8646684,78.23794,4.7438707,140.75194,20.10797,655.73193,21.442085,189.93929,55.454414,80.10812,9.676738,87.35334,412.8403,217.90121,73.771034,8.932384,7.6421065,16.186308,113.70164,403.71622,10.279487,102.18571,167.22408,84.979866,114.078995,4.0942464,4.6315055,64.58358,180.80923,51.797688,0.71879643,77.16123,11.289859,74.50868,9.767656,63.143036,580.9912,98.37897,107.93897,19.038862,500.05276,52.3417
1,32.37547,368.38232,346.44534,17.866806,53.348812,39.67002,3.8853967,10.908613,1.3343078,58.302105,2.199654,5.3563504,11.281413,1.8092178,6.7186456,188.1959,17.81245,3.2854676,4.0990233,22.07639,692.29376,15.58143,6.060021,3.490556,0.6445985,3.143792,12.956273,360.28195,6.1385016,10.969224,96.327515,3.7985234,32.386536,2.2260633,1.3791219,32.321842,39.25346,15.173393,0.39944455,25.362381,3.3310254,147.40698,3.5697196,18.119268,138.1486,100.73156,21.483564,6.660521,577.0331,95.4887
2,17.121489,108.69652,47.769318,3.2039907,1.6448512,254.63734,11.820581,4.384942,4.345435,102.869484,6.284323,3.224942,44.920414,44.70663,5.016735,14.105969,8.323462,6.5913496,4.3434014,23.32103,28.568468,6.203995,2.9333625,0.6525541,0.5211787,22.76872,9.970715,212.13513,17.404325,3.928454,83.76645,2.258819,136.73143,0.76027596,0.6547859,42.869164,1.8152,4.850235,1.0507858,2.845807,0.89796996,218.85191,0.85891193,39.838737,2.7594795,153.07799,0.42845643,0.70153445,1.2933899,428.72037
3,3.5495963,83.907524,25.755764,7.456467,0.9370637,40.400627,7.0380197,2.6895006,2.1418486,65.96837,6.61832,2.1485696,17.10272,52.47959,19.353374,21.708998,20.268919,12.068078,4.8416243,16.365925,17.74617,1.5002936,0.82895833,0.42758033,0.41819388,156.91333,11.423813,6.6290493,19.138504,10.778463,72.34044,2.4105394,32.777683,0.2689442,0.7878075,10.647051,1.0223495,1.326685,2.22412,1.38209,0.6409202,37.170692,0.21434116,27.016434,3.2505517,61.632687,5.363183,0.670437,8.506834,1.5378382
4,6.9357533,62.816906,13.301308,8.2991085,1.0505841,40.84574,1.7819426,1.347585,1.4261922,21.84314,5.7093153,1.7889422,4.5289617,38.731033,43.36289,11.903692,28.731976,9.949033,6.412442,4.2774673,7.7457013,0.69682956,1.2148463,1.0190774,0.42665935,262.26315,6.0918074,19.177042,9.154002,9.716506,39.23514,1.6709903,47.122417,0.5386714,0.817889,0.5084871,2.4029086,3.6637967,5.3535266,6.0772414,0.50167114,3.1389053,0.78057206,10.403597,4.4762464,14.614435,10.217399,2.3482995,10.938942,5.9658995
5,4.4545984,44.737724,8.145062,5.5317264,1.0160595,25.909712,1.1424311,1.4797266,0.19579314,5.1861353,0.76094216,1.8066126,0.46674287,24.560036,7.95288,6.5081916,5.722388,5.981092,5.4683886,1.4803468,3.5429742,0.6025045,2.1463337,1.1461419,0.41393924,91.56283,1.4419663,6.4079957,2.3838851,5.205992,21.079182,1.0244726,26.028524,0.906426,0.55352974,0.48404405,3.095482,4.2656336,9.8552265,9.190505,0.6165741,0.7407162,1.4185264,4.2245126,4.0988846,5.8268905,9.489362,3.1094968,10.904055,6.7888002
6,1.8256837,29.642628,5.583899,2.5951047,0.8702418,16.01934,0.46171647,1.7785981,0.19684276,0.73377323,1.1531662,1.8179916,1.2391158,14.914279,11.528288,4.23582,2.9192147,2.9409797,3.1942937,2.860622,1.9152304,0.6979401,2.4336772,0.76617026,0.3756504,20.950895,0.24018542,2.402228,1.120899,1.7727704,11.26456,0.6729983,11.142357,0.95663154,0.39958075,1.5795664,2.9612088,3.3285959,9.09561,8.827296,0.8022943,0.87012047,1.5518429,1.7792286,3.631182,4.6782393,6.07888,2.6605155,9.762099,3.415025
7,0.54956496,19.355995,4.339875,0.9538055,0.77943563,9.522269,0.37449917,1.5769194,0.18026118,0.33843544,1.0569427,1.7857475,2.7726746,9.051083,4.652699,2.952584,1.642072,1.1256609,0.6031976,3.7825391,5.2508373,0.82362616,2.05071,0.36572334,0.3347218,6.4904304,1.332976,1.212816,1.0729402,0.424423,5.3507605,0.5612992,4.509867,0.73138756,0.33220887,2.3762088,2.1140409,1.8914322,0.7225376,6.1161475,0.76532143,1.3394239,1.198165,0.67331654,3.1841307,4.1606107,2.9018595,1.7057451,8.687145,0.5948515
8,0.25628546,13.092407,3.7758043,0.5383424,0.7876352,5.1462083,0.36712623,1.0226876,0.17178816,1.3509544,0.7634379,1.7619716,3.4922411,5.5085235,0.7681736,2.0610113,0.4802536,0.31216663,0.42446932,3.6427424,7.8590956,0.83453155,1.4195427,0.20566016,0.30603072,2.02895,2.8187716,0.37524363,0.84982705,0.5507902,2.6119735,0.60350555,1.6623971,0.43011644,0.29691917,3.0065362,0.984768,0.7587055,0.7035126,2.9504979,0.53943586,1.9133613,0.67046136,0.34755793,2.7162554,2.973452,1.0694407,0.86215335,7.967889,0.72250235
9,0.47648102,9.025482,3.5344079,0.7819276,0.81943864,2.3989375,0.32335788,0.48560134,0.17328912,2.6360853,0.5505296,1.7431712,3.2743344,3.2961817,0.4059558,1.4072357,0.29993135,0.29481128,0.2802567,2.96868,8.875574,0.70124286,0.8913388,0.2344474,0.28791872,0.5736989,3.493765,0.5138578,0.530782,1.2842029,2.6252294,0.717479,0.478553,0.2549377,0.24900764,3.5938354,0.29448158,0.2493648,0.23758844,0.80963624,0.30522326,2.4209375,0.2713809,0.40860784,2.2629428,1.4931648,0.49989387,0.3704791,7.371662,2.45578
