,MSE0,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20,MSE21,MSE22,MSE23,MSE24,MSE25,MSE26,MSE27,MSE28,MSE29,MSE30,MSE31,MSE32,MSE33,MSE34,MSE35,MSE36,MSE37,MSE38,MSE39,MSE40,MSE41,MSE42,MSE43,MSE44,MSE45,MSE46,MSE47,MSE48,MSE49
0,9.44191e-06,4.158547e-06,0.00025182503,1.069355e-05,2.0026691e-05,7.354465e-06,2.0862808e-06,3.541893e-05,2.6639704e-05,2.391948e-06,1.00867155e-05,1.8284295e-06,8.129606e-06,0.99975324,5.949409e-08,0.99975324,5.5272644e-06,1.0739914e-05,9.007944e-06,4.0753484e-06,0.99975324,2.1668531e-07,2.227103e-05,1.6713805e-06,7.080299e-06,3.0725612e-06,1.3832803e-05,3.3419994e-05,3.3019543e-05,5.472537e-06,1.0005227,7.734353e-05,2.340246e-05,1.8915018e-05,4.810715e-07,1.4990462e-05,0.00028531288,3.296173e-05,4.1856077e-07,7.406221e-06,1.7191342e-08,9.918916e-06,1.8078128e-05,1.282038e-05,1.5185342e-06,3.2382425e-06,1.3606968e-05,1.134998e-06,0.00039251862,0.9990375
1,5.621542e-06,7.0759233e-06,0.0002502984,9.307226e-06,1.8363127e-05,7.0720134e-06,2.5243216e-06,9.665002e-06,8.712054e-06,2.3510522e-06,8.630902e-06,1.5300126e-06,6.164116e-06,0.99964756,2.36576e-09,0.99964756,4.3355985e-06,8.512748e-06,5.884636e-06,3.7317043e-06,0.99964756,2.0344831e-07,1.9046469e-05,4.7891643e-07,2.6047442e-06,3.012891e-06,1.3075133e-05,3.0589334e-05,3.059327e-05,4.3700966e-06,1.0004168,7.040485e-05,2.0708718e-05,5.5187797e-06,1.7497712e-09,1.37237685e-05,0.00026185092,2.877726e-05,8.4636457e-07,6.328642e-06,3.0807792e-09,8.763587e-06,5.8555256e-06,1.0141074e-05,2.0022283e-06,4.284274e-06,1.1363971e-05,1.6255146e-06,0.00039042762,0.9989318
2,2.5225822e-06,1.0939861e-05,0.00024818815,7.792395e-06,1.6538936e-05,6.687895e-06,2.8644758e-06,2.1208707e-07,7.2300725e-07,2.318972e-06,7.0997585e-06,1.2222572e-06,4.239259e-06,0.9995002,3.107103e-08,0.9995002,3.1516004e-06,6.281663e-06,3.33658e-06,3.3417791e-06,0.9995002,1.9089744e-07,1.5670079e-05,1.037016e-08,3.2514527e-07,3.0074507e-06,1.208818e-05,2.7648253e-05,2.7895123e-05,3.2697603e-06,1.0002697,6.285237e-05,1.7834092e-05,2.2526125e-07,3.630075e-07,1.2324779e-05,0.00023676938,2.4266561e-05,1.3147578e-06,5.1982647e-06,1.4679881e-10,7.539976e-06,5.045901e-07,7.502798e-06,2.6341547e-06,5.4555976e-06,9.044012e-06,1.5890673e-06,0.00038752204,0.99878454
3,5.1607094e-07,1.5833206e-05,0.00024530056,6.188637e-06,1.45718495e-05,6.1748433e-06,3.0612575e-06,3.86881e-06,1.2434512e-06,2.3025145e-06,5.535038e-06,9.1525305e-07,2.4782057e-06,0.99929655,1.8790034e-07,0.99929655,2.0357734e-06,4.1534e-06,1.4666318e-06,2.9079888e-06,0.99929655,1.8000424e-07,1.2230539e-05,2.158094e-07,2.0222424e-07,3.04559e-06,1.0871032e-05,2.4491921e-05,2.493838e-05,2.220857e-06,1.0000658,5.475701e-05,1.4831769e-05,1.5663393e-06,1.001102e-06,1.0806456e-05,0.00021026251,1.9534644e-05,1.7434058e-06,4.047221e-06,2.0840234e-11,6.2714525e-06,7.412999e-07,5.0208105e-06,3.452067e-06,6.7126994e-06,6.723592e-06,1.1048938e-06,0.00038352035,0.99858093
4,5.9737445e-08,2.1816448e-05,0.00024139143,4.557822e-06,1.2492562e-05,5.5049086e-06,3.0786084e-06,1.719259e-05,8.51178e-06,2.3110745e-06,3.996414e-06,6.229566e-07,1.047115e-06,0.99901676,5.26017e-07,0.99901676,1.0686348e-06,2.2728939e-06,3.4546065e-07,2.4368992e-06,0.99901676,1.7199692e-07,8.853619e-06,9.844451e-07,2.0290495e-06,3.107782e-06,9.4389925e-06,2.1146923e-05,2.1754218e-05,1.2873415e-06,0.9997859,4.624104e-05,1.1779225e-05,7.911412e-06,1.5593955e-06,9.192739e-06,0.00018263054,1.4739978e-05,2.058246e-06,2.9204439e-06,2.9874297e-12,4.9903824e-06,5.1841e-06,2.8430657e-06,4.498754e-06,7.992561e-06,4.509729e-06,4.58506e-07,0.0003780603,0.99830127
5,1.7028926e-06,2.891545e-05,0.00023616079,2.9888927e-06,1.0346531e-05,4.655809e-06,2.8963836e-06,3.6607456e-05,2.0502363e-05,2.3575776e-06,2.5638744e-06,3.633096e-07,1.6106159e-07,0.99863577,1.1094958e-06,0.99863577,3.5244503e-07,8.292858e-07,1.1174286e-09,1.9404506e-06,0.99863577,1.6842559e-07,5.7084935e-06,2.1501126e-06,5.433682e-06,3.1622583e-06,7.8286575e-06,1.767593e-05,1.8396191e-05,5.479652e-07,0.9994047,3.7489404e-05,8.781254e-06,1.7527535e-05,1.8578623e-06,7.5206576e-06,0.00015430301,1.0104544e-05,2.1998355e-06,1.8766619e-06,1.9261791e-10,3.7387672e-06,1.241003e-05,1.1515509e-06,5.820207e-06,9.203685e-06,2.5447193e-06,3.0271114e-08,0.00037068434,0.9979204
6,6.0847033e-06,3.7106216e-05,0.00022925079,1.6020748e-06,8.195572e-06,3.6235167e-06,2.5172735e-06,5.855249e-05,3.5033558e-05,2.4599806e-06,1.3389175e-06,1.5780081e-07,8.7330285e-08,0.99812084,2.0118298e-06,0.99812084,1.1046765e-08,5.9212418e-08,4.1133595e-07,1.4373466e-06,0.99812084,1.7131336e-07,3.0106744e-06,3.5042979e-06,9.901689e-06,3.1624716e-06,6.102809e-06,1.416851e-05,1.4943773e-05,9.437578e-08,0.9988896,2.8760562e-05,5.971165e-06,2.8630615e-05,1.846089e-06,5.8419373e-06,0.00012585429,5.9214362e-06,2.1322567e-06,9.882285e-07,1.2201666e-09,2.5682614e-06,2.098047e-05,1.6045944e-07,7.4619556e-06,1.0224075e-05,1.0091378e-06,1.7850213e-07,0.00036082757,0.99740565
7,1.3922375e-05,4.6299076e-05,0.00022025184,5.5143687e-07,6.1170117e-06,2.4453336e-06,1.9731524e-06,7.9664474e-05,4.9878647e-05,2.643618e-06,4.4362633e-07,3.0196176e-08,1.1443684e-06,0.9974301,3.3121437e-06,0.9974301,1.8672765e-07,2.4696612e-07,1.4976622e-06,9.541363e-07,0.9974301,1.8343017e-07,1.0223933e-06,4.8186553e-06,1.47914525e-05,3.0478502e-06,4.353895e-06,1.074029e-05,1.1505492e-05,2.6542844e-08,0.9981986,2.0393372e-05,3.508321e-06,3.951048e-05,1.5759696e-06,4.2234806e-06,9.801188e-05,2.5588515e-06,1.8523797e-06,3.3882552e-07,2.9881124e-09,1.5393983e-06,2.9541769e-05,1.09393184e-07,9.463155e-06,1.0903343e-05,1.221593e-07,1.1537957e-06,0.00034781225,0.9967151
8,2.5985068e-05,5.6323937e-05,0.00020872087,2.4842873e-08,4.2011407e-06,1.2398413e-06,1.3305004e-06,9.696627e-05,6.2938416e-05,2.9448522e-06,1.6573113e-08,4.282678e-09,3.693878e-06,0.9965109,5.088132e-06,0.9965109,1.0330236e-06,1.7190702e-06,3.124967e-06,5.260095e-07,0.9965109,2.087427e-07,4.713429e-08,5.8641626e-06,1.9414843e-05,2.7526644e-06,2.7059298e-06,7.5306884e-06,8.219086e-06,4.4432136e-07,0.9972791,1.2810618e-05,1.5719502e-06,4.8638463e-05,1.1480746e-06,2.7460503e-06,7.1658425e-05,4.5683598e-07,1.3974455e-06,1.8521844e-08,4.3034256e-09,7.200367e-07,3.6869642e-05,1.2497692e-06,1.18479675e-05,1.1076658e-05,1.3729107e-07,3.0303845e-06,0.00033085584,0.9957963
9,4.3048876e-05,6.6918554e-05,0.0001942203,2.3950827e-07,2.5455904e-06,2.7276775e-07,6.9225587e-07,0.00010808433,7.238443e-05,3.416521e-06,2.0446943e-07,1.00362e-07,8.123303e-06,0.9952974,7.4052195e-06,0.9952974,2.7020621e-06,4.830895e-06,5.105662e-06,1.9672736e-07,0.9952974,2.5294844e-07,4.1583704e-07,6.4500805e-06,2.3111717e-05,2.2268512e-06,1.3123473e-06,4.697334e-06,5.2488367e-06,1.4346396e-06,0.9960651,6.513434e-06,3.484715e-07,5.4705113e-05,6.835132e-07,1.5004308e-06,4.781816e-05,1.1349573e-07,8.500877e-07,1.1535886e-07,3.862211e-09,1.8255554e-07,4.195721e-05,3.822463e-06,1.4613724e-05,1.0591929e-05,1.3319303e-06,5.6756576e-06,0.0003091056,0.9945832
10,6.582771e-05,7.772639e-05,0.00017638467,1.4318399e-06,1.246381e-06,6.07521e-08,1.9503533e-07,0.00011144265,7.6849974e-05,4.1357284e-06,1.1485741e-06,3.3072698e-07,1.4815643e-05,0.9937077,1.03011225e-05,0.9937077,5.325459e-06,9.942573e-06,7.2119997e-06,1.7386974e-08,0.9937077,3.2382925e-07,2.4630567e-06,6.4467185e-06,2.5284757e-05,1.4771744e-06,3.4877297e-07,2.4057442e-06,2.7785256e-06,3.0539757e-06,0.99447477,2.064518e-06,1.20411965e-08,5.683241e-05,2.9346467e-07,5.809772e-07,2.7613809e-05,2.0576422e-06,3.3816568e-07,7.031443e-07,1.5255668e-09,4.4657866e-10,4.4102973e-05,8.025895e-06,1.771672e-05,9.356905e-06,3.988561e-06,8.761678e-06,0.0002817154,0.9929941
