,MSE0,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20,MSE21,MSE22,MSE23,MSE24,MSE25,MSE26,MSE27,MSE28,MSE29,MSE30,MSE31,MSE32,MSE33,MSE34,MSE35,MSE36,MSE37,MSE38,MSE39,MSE40,MSE41,MSE42,MSE43,MSE44,MSE45,MSE46,MSE47,MSE48,MSE49
0,1.17260434e-07,4.582498e-08,0.99968207,6.6143366e-09,0.99975324,2.3867859e-05,0.9997585,0.99975324,0.00071622356,2.275463e-06,0.99975324,1.1606888e-06,3.2654818e-06,6.0823567e-07,0.99975324,7.748283e-09,2.413848e-08,0.99975324,5.454808e-07,0.9997313,0.00066873955,,0.99975324,0.99975324,0.99975324,2.1982207e-06,0.0010542229,4.0968948e-07,4.1612626e-07,0.99975324,1.650207e-05,1.4104796e-06,1.9772215e-05,1.3881289e-06,,0.9997773,0.0008502824,6.4198207e-07,0.99975324,2.1362676e-07,0.9997493,2.4802344e-07,4.5065375e-11,,0.99975324,1.8912802e-05,9.4665756e-07,1.8908859e-06,,2.5417094e-05
1,7.319422e-07,5.414593e-08,0.9995764,1.153466e-11,0.99964756,1.8715613e-05,0.9996509,0.99964756,0.0007310925,1.0599873e-06,0.99964756,1.6501778e-07,1.2140335e-06,1.6962173e-06,0.99964756,7.420841e-08,7.649761e-07,0.99964756,1.3743312e-06,0.9996256,0.00067951967,,0.99964756,0.99964756,0.99964756,1.0490207e-06,0.0010507945,4.2771816e-07,5.024943e-09,0.99964756,1.672091e-05,1.692191e-07,1.369141e-05,1.5154354e-06,,0.9996716,0.0008472035,1.18304044e-07,0.99964756,2.990759e-08,0.9996436,6.465617e-08,4.515717e-09,,0.99964756,1.5281226e-05,3.0757747e-08,4.7473265e-09,,2.1672362e-05
2,1.303548e-06,2.912931e-07,0.99942905,4.8070254e-09,0.9995002,1.3663509e-05,0.99950236,0.9995002,0.000748021,2.9702122e-07,0.9995002,2.3196026e-06,1.4011448e-07,7.3974106e-06,0.9995002,1.0698781e-07,1.3223209e-06,0.9995002,1.7659532e-06,0.9994783,0.00069180474,,0.9995002,0.9995002,0.9995002,2.5707214e-07,0.0010460244,3.3004773e-07,3.861761e-07,0.9995002,1.6997605e-05,2.6247708e-06,8.077336e-06,1.7022197e-06,,0.9995243,0.0008429208,1.4051493e-06,0.9995002,4.1622164e-07,0.9994963,6.410915e-07,2.6059903e-08,,0.9995002,1.1608291e-05,3.3403532e-07,1.0669349e-06,,1.7797056e-05
3,1.5044026e-06,5.193232e-07,0.99922544,1.6877216e-08,0.99929655,8.941489e-06,0.999298,0.99929655,0.00076717563,3.6988768e-09,0.99929655,5.258053e-06,1.2581803e-07,1.2344503e-05,0.99929655,7.9307895e-08,1.1759574e-06,0.99929655,1.5521816e-06,0.9992746,0.0007056983,,0.99929655,0.99929655,0.99929655,5.4477947e-09,0.0010394431,1.7183096e-07,1.0337427e-06,0.99929655,1.7328013e-05,6.043927e-06,3.4728712e-06,1.9785105e-06,,0.9993206,0.00083701406,3.0543224e-06,0.99929655,9.3072396e-07,0.9992926,1.3391899e-06,6.951189e-08,,0.99929655,8.0436275e-06,1.5747837e-06,3.652175e-06,,1.3897113e-05
4,1.2848695e-06,6.1908247e-07,0.99894565,3.0716375e-08,0.99901676,4.8486945e-06,0.9990177,0.99901676,0.00078869046,1.7245799e-07,0.99901676,7.499252e-06,1.1301604e-06,1.3984375e-05,0.99901676,2.7345678e-08,6.034478e-07,0.99901676,9.268896e-07,0.9989948,0.00072126935,,0.99901676,0.99901676,0.99901676,5.2227676e-07,0.0010304415,3.4606078e-08,1.6104528e-06,0.99901676,1.7691254e-05,8.7125e-06,5.774585e-07,2.391661e-06,,0.99904084,0.0008289385,4.2283887e-06,0.99901676,1.3065519e-06,0.9990128,1.8020389e-06,1.2393711e-07,,0.99901676,4.7943845e-06,3.3241852e-06,6.5113773e-06,,1.0114725e-05
5,7.953783e-07,5.829719e-07,0.99856466,4.084129e-08,0.99863577,1.7602168e-06,0.99863625,0.99863577,0.000812643,7.6357225e-07,0.99863577,8.339756e-06,2.986932e-06,1.2029549e-05,0.99863577,5.553197e-11,1.0329461e-07,0.99863577,2.71475e-07,0.99861383,0.0007385286,,0.99863577,0.99863577,0.99863577,2.0828375e-06,0.0010182406,9.20011e-09,1.9341348e-06,0.99863577,1.8039116e-05,9.814302e-06,2.1798883e-07,3.0175433e-06,,0.99865985,0.00081799907,4.580567e-06,0.99863577,1.4318505e-06,0.99863183,1.8941902e-06,1.5579205e-07,,0.99863577,2.1354613e-06,5.0570966e-06,8.685936e-06,,6.6291636e-06
6,2.7954056e-07,4.392546e-07,0.99804974,4.339845e-08,0.99812084,1.301357e-07,0.9981213,0.99812084,0.00083902193,1.700922e-06,0.99812084,7.69471e-06,5.416159e-06,7.740555e-06,0.99812084,2.7409225e-08,3.8678266e-08,0.99812084,1.3242472e-09,0.9980989,0.000757405,,0.99812084,0.99812084,0.99812084,5.007372e-06,0.0010018606,1.7066623e-07,1.948598e-06,0.99812084,1.8284718e-05,9.201228e-06,3.2548255e-06,3.9792617e-06,,0.99814487,0.00080332457,4.1224084e-06,0.99812084,1.3014259e-06,0.9981169,1.6391582e-06,1.2387065e-07,,0.99812084,4.1708796e-07,6.2482595e-06,9.594612e-06,,3.6537122e-06
7,6.06551e-09,2.5100925e-07,0.997359,3.772466e-08,0.9974301,4.873213e-07,0.9974303,0.9974301,0.0008676892,2.8717034e-06,0.9974301,5.9158374e-06,8.05194e-06,3.1596069e-06,0.9974301,1.06156435e-07,4.9791277e-07,0.9974301,4.438524e-07,0.99740815,0.00077771157,,0.9974301,0.9974301,0.9974301,9.652886e-06,0.0009800935,5.584413e-07,1.6914469e-06,0.9974301,1.8295344e-05,7.2527846e-06,1.0389176e-05,5.478157e-06,,0.9974541,0.00078384567,3.097767e-06,0.9974301,9.829457e-07,0.99742615,1.1622508e-06,3.3021486e-08,,0.9974301,6.8157895e-08,6.484408e-06,9.05977e-06,,1.4246599e-06
8,1.8228435e-07,8.991799e-08,0.9964399,2.5792492e-08,0.9965109,3.4211282e-06,0.99651116,0.9965109,0.0008983246,4.130834e-06,0.9965109,3.6289118e-06,1.0479482e-05,3.1460903e-07,0.9965109,2.065281e-07,1.2957781e-06,0.9965109,1.7540617e-06,0.99648905,0.00079909794,,0.9965109,0.9965109,0.9965109,1.6394833e-05,0.0009514857,1.1668856e-06,1.2571295e-06,0.9965109,1.7898621e-05,4.6423206e-06,2.184879e-05,7.8446365e-06,,0.99653494,0.0007582843,1.8576558e-06,0.9965109,5.9402146e-07,0.996507,6.3045593e-07,2.3376524e-08,,0.9965109,1.5919103e-06,5.6152376e-06,7.2921025e-06,,1.8252013e-07
9,9.0680885e-07,5.44532e-09,0.9952264,1.2307132e-08,0.9952974,9.552709e-06,0.9952976,0.9952974,0.0009303701,5.310264e-06,0.9952974,1.5280123e-06,1.2292557e-05,5.692944e-07,0.9952974,2.8442687e-07,2.1117385e-06,0.9952974,3.872801e-06,0.9952755,0.00082100666,,0.9952974,0.9952974,0.9952974,2.5598265e-05,0.0009143438,1.9362321e-06,7.654529e-07,0.9952974,1.691237e-05,2.141538e-06,3.697107e-05,1.16204055e-05,,0.9953214,0.00072516664,7.653816e-07,0.9952974,2.4622605e-07,0.99529344,2.0489098e-07,4.5690615e-07,,0.9952974,5.5502524e-06,3.833577e-06,4.808674e-06,,1.4284112e-07
10,2.1497226e-06,2.4477576e-08,0.9936367,2.4446547e-09,0.9937077,1.9488909e-05,0.9937077,0.9937077,0.0009629553,6.2385684e-06,0.9937077,2.2279289e-07,1.3149086e-05,4.2228808e-06,0.9937077,3.0411567e-07,2.6103905e-06,0.9937077,6.524877e-06,0.99368584,0.000842619,,0.9937077,0.9937077,0.9937077,3.757316e-05,0.00086677825,2.7573335e-06,3.362566e-07,0.9937077,1.5203398e-05,4.4453648e-07,5.3796346e-05,1.7689534e-05,,0.9937317,0.0006828761,1.09184136e-07,0.9937077,3.5436607e-08,0.9937038,6.311964e-09,1.9403617e-06,,0.9937077,1.2532096e-05,1.7343611e-06,2.3090756e-06,,1.4606157e-06
11,3.7373939e-06,1.4044593e-07,0.99157125,3.812144e-10,0.9916421,3.3754644e-05,0.9916421,0.9916421,0.0009948171,6.7595606e-06,0.9916421,1.134962e-07,1.2834433e-05,1.040748e-05,0.9916421,2.542274e-07,2.5878962e-06,0.9916421,9.273362e-06,0.9916203,0.00086278777,,0.9916421,0.9916421,0.9916421,5.2513064e-05,0.0008068155,3.4896477e-06,6.434677e-08,0.9916421,1.2763727e-05,3.3763357e-08,6.891685e-05,2.7483713e-05,,0.99166614,0.000629774,5.5265573e-08,0.9916421,1.745206e-08,0.9916382,9.091648e-08,5.240235e-06,,0.9916421,2.3101935e-05,2.2054502e-07,5.1839316e-07,,4.194656e-06
12,5.4001016e-06,3.2097054e-07,0.98890895,8.101045e-09,0.9889797,5.2703912e-05,0.9889797,0.9889797,0.0010242328,6.7630467e-06,0.9889797,1.3056477e-06,1.132438e-05,1.7371247e-05,0.9889797,1.5407586e-07,2.0469547e-06,0.9889797,1.159265e-05,0.9889579,0.0008799999,,0.9889797,0.9889797,0.9889797,7.0421294e-05,0.00073261233,3.9881375e-06,7.516984e-09,0.9889797,9.771598e-06,1.0818325e-06,7.793932e-05,4.3298733e-05,,0.98900366,0.0005644242,6.221569e-07,0.9889797,1.9885631e-07,0.9889758,4.4466006e-07,1.1099625e-05,,0.9889797,3.7726495e-05,2.911972e-07,2.5829037e-08,,8.285527e-06
