,MSE0,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20,MSE21,MSE22,MSE23,MSE24,MSE25,MSE26,MSE27,MSE28,MSE29,MSE30,MSE31,MSE32,MSE33,MSE34,MSE35,MSE36,MSE37,MSE38,MSE39,MSE40,MSE41,MSE42,MSE43,MSE44,MSE45,MSE46,MSE47,MSE48,MSE49
0,6.024316e-08,3.467577e-10,7.6732346e-07,7.4574474e-10,4.6232654e-07,6.91456e-07,8.6856886e-07,1.3702509e-06,2.5857886e-07,3.9368147e-06,2.372728e-07,3.5818475e-06,3.3274139e-06,7.135152e-08,1.1128133e-05,1.0408721e-06,7.615679e-08,3.216264e-05,1.9765325e-06,2.5897223e-06,8.392928e-06,2.3059852e-07,5.457684e-08,7.9233494e-08,3.5980809e-06,1.8697482e-07,1.5990144e-08,1.3566715e-06,1.00982504e-07,8.887198e-06,1.1060697e-06,1.5500525e-07,4.5205383e-07,7.735556e-07,5.14767e-09,1.0278821e-06,3.481641e-08,8.466629e-07,8.4834915e-07,2.247992e-05,2.1210115e-05,3.4522245e-07,7.816145e-08,1.6920925e-05,4.907273e-07,7.18937e-07,9.07676e-09,3.6668582e-06,1.5229979e-08,7.776805e-08
1,6.5702224e-08,2.90189e-08,2.2365703e-07,2.1115812e-10,5.2346987e-08,9.770537e-08,1.7823771e-07,1.4703119e-07,1.4593779e-07,1.0932364e-06,3.9788105e-08,3.0760516e-06,4.221898e-07,1.1345263e-07,2.8059567e-06,7.2957886e-07,1.1433963e-07,2.5039242e-05,9.706529e-07,4.7162004e-07,1.9642484e-06,1.9192836e-07,7.798009e-08,9.95954e-12,1.1137529e-06,5.073891e-08,1.01042225e-07,3.6151337e-07,1.2106027e-07,5.4746506e-06,3.3682687e-07,9.182057e-09,1.7841545e-08,1.4641537e-07,5.1299404e-10,2.1662619e-07,1.0246527e-09,2.0121405e-07,4.7086516e-07,2.020497e-05,1.7595556e-05,4.507897e-08,2.065513e-09,6.493604e-06,4.0796508e-08,1.322734e-07,1.707418e-07,1.1781004e-06,3.1064474e-08,1.8160738e-07
2,5.0578006e-08,1.12892984e-07,7.3169173e-09,8.75207e-10,3.3065227e-08,2.1642935e-08,1.9243567e-09,9.8929206e-08,5.7578582e-08,3.3375503e-08,2.194386e-09,2.4874494e-06,1.2874855e-07,5.439963e-07,2.8078423e-08,4.452312e-07,5.337838e-07,1.842433e-05,3.5305578e-07,2.1090935e-08,1.0822484e-09,7.294971e-08,7.292962e-08,6.223287e-08,6.8290866e-08,4.922894e-07,3.600349e-07,7.596095e-09,9.370969e-08,2.7520584e-06,1.2186784e-08,2.597196e-08,5.990465e-07,5.4227374e-09,9.201394e-11,1.002156e-09,3.909493e-08,8.3043426e-11,1.642426e-07,1.7295772e-05,1.3901959e-05,1.7140371e-08,8.875211e-08,1.1359641e-06,7.745874e-07,7.2506925e-09,3.0797082e-07,9.550235e-08,6.2456195e-08,8.017571e-07
3,2.4536186e-08,2.2446035e-07,7.789291e-08,3.8074544e-09,2.9583552e-07,2.9603132e-07,2.1224041e-07,8.3871413e-07,7.4495365e-09,3.5505158e-07,6.3194726e-08,1.8361495e-06,1.4407221e-06,9.1764986e-07,1.3775438e-06,2.5881067e-07,8.7510017e-07,1.24765165e-05,5.3695715e-08,7.7316184e-07,1.4289503e-06,1.1616054e-11,4.484003e-08,2.1238215e-07,2.2481005e-07,1.0096431e-06,5.464838e-07,1.368094e-07,4.2523865e-08,8.875362e-07,1.16991146e-07,1.3969023e-07,1.5550112e-06,2.3342612e-07,7.682742e-10,2.2356171e-07,9.805778e-08,1.6013104e-07,8.01761e-09,1.3929233e-05,1.0258553e-05,1.906096e-07,2.2919491e-07,1.0132186e-07,1.8044583e-06,2.4026724e-07,3.0559417e-07,1.6281408e-07,1.2377475e-07,1.3335473e-06
4,3.3587866e-09,3.3729327e-07,3.7569066e-07,1.091493e-08,7.2432994e-07,7.6512316e-07,6.7876533e-07,1.9963175e-06,5.610575e-09,1.6438296e-06,1.6982933e-07,1.1677297e-06,3.515084e-06,1.0479064e-06,5.463055e-06,6.532828e-08,9.699166e-07,7.388419e-06,1.0860498e-08,2.259851e-06,5.1450165e-06,1.1769494e-07,1.2919959e-08,3.797423e-07,1.2997531e-06,1.3264784e-06,5.7118586e-07,5.855337e-07,3.4049101e-09,3.6242994e-08,5.84481e-07,2.886803e-07,2.4109795e-06,7.021318e-07,1.1435043e-09,7.26626e-07,1.4572342e-07,5.7481844e-07,6.028423e-08,1.0301411e-05,6.83792e-06,4.855239e-07,3.4941698e-07,2.5159077e-06,2.5696997e-06,7.143739e-07,1.9239056e-07,1.08544e-06,2.417891e-07,1.5186653e-06
5,3.9391495e-09,4.2584273e-07,8.2312874e-07,1.9318138e-08,1.2011245e-06,1.2885749e-06,1.2732119e-06,3.2345934e-06,5.667349e-08,3.4858094e-06,2.8116645e-07,5.408796e-07,5.678091e-06,9.2370533e-07,1.0971927e-05,7.0019386e-11,8.3142436e-07,3.4357852e-06,1.7177301e-07,4.03088e-06,1.0065129e-05,5.558033e-07,2.9121924e-10,5.0013483e-07,2.972584e-06,1.3460722e-06,4.5248865e-07,1.1926248e-06,1.42875916e-08,3.448158e-07,1.3054153e-06,4.2361407e-07,2.8886034e-06,1.2828034e-06,9.284968e-10,1.3592216e-06,1.6411624e-07,1.1229405e-06,3.4231147e-07,6.707107e-06,3.845509e-06,8.2084216e-07,4.0693152e-07,7.40077e-06,2.8148734e-06,1.3013279e-06,5.9983655e-08,2.5404102e-06,4.6557247e-07,1.3379977e-06
6,3.851026e-08,4.6883622e-07,1.3297841e-06,2.6936613e-08,1.6164532e-06,1.7481016e-06,1.8710317e-06,4.269667e-06,1.5623189e-07,5.487246e-06,3.6614765e-07,9.247705e-08,7.434613e-06,6.3611907e-07,1.6714097e-05,9.360612e-08,5.547469e-07,8.7871314e-07,4.892345e-07,5.691046e-06,1.5167088e-05,1.4115664e-06,2.8346564e-08,5.290869e-07,4.9058017e-06,1.0991794e-06,2.611175e-07,1.8105244e-06,9.785174e-08,1.9224196e-06,2.1388635e-06,5.057206e-07,2.8589561e-06,1.8486197e-06,4.610364e-10,1.9817278e-06,1.5108353e-07,1.6816717e-06,8.3530443e-07,3.511892e-06,1.5351773e-06,1.116984e-06,3.914162e-07,1.372052e-05,2.517482e-06,1.8754159e-06,9.432336e-12,4.201012e-06,8.836556e-07,9.201076e-07
7,1.1048715e-07,4.539808e-07,1.801387e-06,2.8543731e-08,1.8823625e-06,2.0527295e-06,2.3642845e-06,4.8973056e-06,2.9501925e-07,7.2891116e-06,4.081568e-07,5.6729345e-08,8.460732e-06,3.1528901e-07,2.166778e-05,5.8511023e-07,2.6113432e-07,9.316139e-10,9.194128e-07,6.900511e-06,1.9549736e-05,2.7566211e-06,1.07625354e-07,4.5662605e-07,6.7562096e-06,7.108361e-07,8.738978e-08,2.3138793e-06,2.5723284e-07,4.805218e-06,2.9289247e-06,5.1635834e-07,2.368825e-06,2.2883387e-06,9.671576e-11,2.478016e-06,1.153776e-07,2.1294845e-06,1.476175e-06,1.1286056e-06,2.0125118e-07,1.3147517e-06,3.1417508e-07,2.0431422e-05,1.8366082e-06,2.3244768e-06,6.614398e-08,5.751394e-06,1.6531973e-06,4.505707e-07
8,2.1256545e-07,3.84502e-07,2.1507415e-06,2.1048859e-08,1.9421436e-06,2.144795e-06,2.6635641e-06,4.9971404e-06,4.5336378e-07,8.597172e-06,4.037411e-07,8.4429433e-07,8.610096e-06,7.818842e-08,2.5056095e-05,4.5415695e-06,5.668854e-08,1.0919492e-06,1.4211771e-06,7.4369914e-06,2.2506167e-05,4.6166474e-06,2.3470062e-07,3.0918835e-07,8.216294e-06,3.20826e-07,2.2732705e-09,2.6133318e-06,4.711948e-07,8.935093e-06,3.5202968e-06,4.540678e-07,1.5849216e-06,2.517019e-06,3.5291605e-13,2.7584301e-06,6.91125e-08,2.3779112e-06,2.1673648e-06,2.5544987e-08,1.6498942e-07,1.3614952e-06,2.0386219e-07,2.6547e-05,1.0225175e-06,2.5537245e-06,2.56335e-07,6.9259168e-06,3.048686e-06,1.0508037e-07
9,3.253347e-07,2.7106353e-07,2.3056284e-06,8.155455e-09,1.7769247e-06,2.0067835e-06,2.7100195e-06,4.548914e-06,6.063008e-07,9.202106e-06,3.551659e-07,3.1471016e-06,7.889241e-06,4.1794465e-10,2.6366768e-05,1.2876693e-05,2.3645088e-09,4.39089e-06,1.95041e-06,7.1968484e-06,2.3555052e-05,7.059034e-06,3.8934851e-07,1.4207394e-07,9.049037e-06,6.1059055e-08,4.3489955e-08,2.6512841e-06,6.9816076e-07,1.41174005e-05,3.7882148e-06,3.3556162e-07,7.5708414e-07,2.486469e-06,3.603129e-11,2.7751112e-06,2.7327316e-08,2.3631494e-06,2.791689e-06,6.813801e-07,1.7503082e-06,1.2518786e-06,9.4934585e-08,3.1199328e-05,3.425174e-07,2.515178e-06,5.175627e-07,7.522024e-06,5.5417513e-06,2.521715e-09
