,LOSS0,LOSS1,LOSS2,LOSS3,LOSS4,LOSS5,LOSS6,LOSS7,LOSS8,LOSS9,LOSS10,LOSS11,LOSS12,LOSS13,LOSS14,LOSS15,LOSS16,LOSS17,LOSS18,LOSS19,LOSS20,LOSS21,LOSS22,LOSS23,LOSS24,LOSS25,LOSS26,LOSS27,LOSS28,LOSS29,LOSS30,LOSS31,LOSS32,LOSS33,LOSS34,LOSS35,LOSS36,LOSS37,LOSS38,LOSS39,LOSS40,LOSS41,LOSS42,LOSS43,LOSS44,LOSS45,LOSS46,LOSS47,LOSS48,LOSS49
0,0.21001394,0.60753924,0.48947492,1.3302888,0.19055256,0.28965423,0.31446055,0.35270098,0.34957144,0.24241304,0.31351075,0.8285408,0.30471003,0.25258926,0.329712,0.25384942,0.62143975,0.79038006,0.2542657,0.43364656,0.3180317,0.37558484,0.29929125,0.26035807,0.4987318,0.3414385,1.0008966,0.40701312,0.270117,0.22637692,0.43695447,0.2584276,0.5504481,0.25934485,0.34977362,0.31899753,0.2760342,0.32716683,0.33716306,0.5219414,0.60572577,0.3314809,0.33294067,0.33276877,0.56671894,0.2328275,0.57770497,0.27359858,0.4376915,0.6122152
1,0.20942304,0.48970556,0.4518495,0.8813845,0.18822603,0.2823923,0.30664876,0.33773327,0.34196085,0.24197924,0.3030236,0.60797876,0.30035704,0.25189668,0.3209994,0.24812683,0.58405024,0.6253083,0.25093505,0.4082369,0.3161984,0.33151436,0.29684547,0.25709608,0.45278847,0.33665913,0.880629,0.37420025,0.2674325,0.22062033,0.40989348,0.2525194,0.5079403,0.25893676,0.34485447,0.30622485,0.2728265,0.32286814,0.32881302,0.49567088,0.5617805,0.32206085,0.32231688,0.32201794,0.5204473,0.2312128,0.5348609,0.26841488,0.41742957,0.58048433
2,0.20837316,0.35038742,0.3921204,0.45835248,0.18430354,0.26971418,0.29330707,0.31615713,0.32869294,0.2411252,0.28489146,0.38577032,0.29297328,0.25060895,0.30647567,0.23796347,0.5201004,0.42011935,0.24526344,0.3668577,0.31267086,0.27960125,0.292909,0.25135982,0.38514796,0.32810178,0.69729257,0.3250682,0.26287502,0.2104706,0.3681116,0.2426974,0.43824464,0.25812197,0.33635083,0.28716084,0.26719135,0.31497222,0.3145209,0.45632264,0.4949493,0.30639988,0.3054412,0.3035576,0.44458395,0.22829394,0.46611133,0.26006952,0.38310057,0.52523184
3,0.20712392,0.2677279,0.32967195,0.28894076,0.17968836,0.25433207,0.27765676,0.2967409,0.31254464,0.2398978,0.2628724,0.27207315,0.2844491,0.24885593,0.28977254,0.22625478,0.44410285,0.28142455,0.2385877,0.32182857,0.30768788,0.2469626,0.288427,0.24429972,0.3225805,0.31676114,0.51150554,0.2782051,0.25749224,0.19810836,0.326921,0.23168889,0.36078075,0.2569412,0.32611892,0.26931584,0.2602089,0.30446273,0.29740748,0.41730034,0.42668766,0.28821188,0.28739187,0.28135338,0.3611432,0.22450261,0.3953229,0.2514145,0.34326544,0.4578726
4,0.20589013,0.25551826,0.2797026,0.32636395,0.17507188,0.23902187,0.26300135,0.28454822,0.2962687,0.23842132,0.2408017,0.2672251,0.27655992,0.2467978,0.2742024,0.21587422,0.37135497,0.24468145,0.23212093,0.28356466,0.30153963,0.23954323,0.28381902,0.23715478,0.28280547,0.30438572,0.36452135,0.24695759,0.2521213,0.1861655,0.2982909,0.22186728,0.29246253,0.25538898,0.3160423,0.25813958,0.2530297,0.2922769,0.28048187,0.3861503,0.36074343,0.2705202,0.27188158,0.25987518,0.28891164,0.22032647,0.33692098,0.24354813,0.3064815,0.39154541
5,0.20486972,0.28248245,0.2504885,0.41792378,0.17082968,0.22617052,0.25176114,0.27999315,0.28213438,0.23676696,0.22208555,0.3138006,0.27051678,0.24454512,0.26122984,0.20925646,0.3140195,0.28117466,0.22663918,0.25851128,0.29451627,0.24778225,0.27893597,0.2309905,0.27007928,0.29234034,0.27297977,0.23558043,0.24719098,0.17642817,0.28727174,0.21479867,0.2442841,0.25351712,0.30758852,0.2542463,0.2466098,0.27923724,0.26593184,0.36354917,0.3058038,0.2550229,0.26043886,0.24157953,0.23976324,0.21652652,0.30072698,0.23729339,0.27943334,0.3373485
6,0.20413244,0.31276444,0.24294098,0.45164245,0.16692512,0.2173653,0.24491978,0.28006968,0.27159014,0.23491184,0.20861384,0.35191867,0.26667306,0.24216893,0.25328672,0.20644483,0.27900794,0.33542374,0.22242865,0.2480759,0.28694203,0.25637376,0.27337423,0.22650547,0.27766946,0.28152323,0.23712002,0.23617752,0.24267721,0.16999657,0.2914365,0.21082118,0.22039112,0.2513276,0.30144304,0.2554158,0.24146901,0.2661158,0.25489783,0.34636986,0.26833692,0.24209523,0.2527224,0.22837767,0.21819921,0.21343963,0.28912544,0.23266378,0.26531366,0.30222097
7,0.20366552,0.32166395,0.2521637,0.40712166,0.16320342,0.21309735,0.24198093,0.28077847,0.26500624,0.23287323,0.20104112,0.3532443,0.26458177,0.23971307,0.24732377,0.20676862,0.26754186,0.3630277,0.21911882,0.24968502,0.27909264,0.255547,0.26678854,0.22392625,0.2934551,0.27239272,0.2439141,0.2443274,0.23826548,0.16691315,0.3029595,0.20927876,0.21913396,0.24885683,0.29741704,0.2578589,0.23777159,0.2537141,0.24755199,0.33184692,0.25093284,0.23156685,0.24739107,0.22096993,0.22154705,0.2106818,0.29833114,0.22910535,0.2637015,0.2880319
8,0.20336126,0.3054737,0.27007073,0.3244529,0.15945941,0.21280964,0.24157275,0.27904934,0.26198083,0.2306805,0.19886908,0.3219925,0.26328114,0.2371636,0.24137606,0.20857647,0.27571636,0.34964705,0.21606521,0.25768927,0.27122602,0.24436863,0.25917238,0.22301449,0.30609146,0.2656538,0.27495706,0.25533825,0.23350924,0.16631214,0.31286067,0.20882969,0.23488107,0.24611318,0.29468533,0.25815198,0.23532717,0.24238499,0.24342419,0.3195688,0.25254372,0.22296847,0.24305487,0.2188983,0.24208228,0.20813945,0.31844988,0.22593565,0.27116248,0.29135412
9,0.2030957,0.27575523,0.28784737,0.25106558,0.15589657,0.21507528,0.2417362,0.27373514,0.2614725,0.22835551,0.20066409,0.27804983,0.26153517,0.23447193,0.23411058,0.21062848,0.29618672,0.30757493,0.2126502,0.2671615,0.26354122,0.22801328,0.2507578,0.22316778,0.30873016,0.26101497,0.3137937,0.26327896,0.2283075,0.16723822,0.3151487,0.20806278,0.26042232,0.24313875,0.2921164,0.25459945,0.23362821,0.2325184,0.24157639,0.3108086,0.2685631,0.21605751,0.23889148,0.22107597,0.2700483,0.20566462,0.33791602,0.22246668,0.2832234,0.30498323
10,0.20271523,0.24697949,0.29941598,0.21207821,0.15274619,0.21816087,0.24049148,0.26547047,0.2620962,0.22593185,0.2046996,0.23990704,0.25830823,0.23159647,0.22469708,0.21196695,0.32024902,0.25968087,0.20841289,0.27358514,0.25619587,0.21265437,0.24178906,0.22361536,0.30036592,0.25703412,0.3463117,0.26653314,0.22237775,0.16875912,0.30810854,0.20588243,0.28777233,0.2399228,0.2887225,0.24737328,0.2321007,0.2245388,0.24095531,0.30665752,0.2919521,0.21078035,0.23456241,0.22524776,0.29539552,0.20306154,0.34796724,0.21837682,0.2946529,0.32022858
11,0.20210798,0.22866334,0.30130425,0.20761812,0.14989898,0.22051664,0.23652533,0.25600094,0.26250565,0.2234281,0.20887895,0.21695183,0.25313994,0.22851394,0.21306913,0.21182328,0.3400133,0.22413772,0.20320581,0.2744954,0.24924684,0.20211908,0.23272383,0.22347026,0.28403562,0.2535237,0.3672822,0.2644711,0.21589284,0.17006376,0.29399323,0.20179872,0.3112098,0.23649643,0.28388935,0.23814915,0.2301819,0.21896203,0.24028493,0.30647492,0.31496856,0.20716362,0.23023114,0.22949514,0.31082198,0.20019014,0.34445587,0.21342278,0.30125517,0.32979593
12,0.20121248,0.22211453,0.29314235,0.22376254,0.14751056,0.22037885,0.2294385,0.24710728,0.26168352,0.22085409,0.21110399,0.21001992,0.24627489,0.22520888,0.19992135,0.20995502,0.34993383,0.20787852,0.19712432,0.2694468,0.24275434,0.19685328,0.22383963,0.22203276,0.2642704,0.25012317,0.3729922,0.2575629,0.20915681,0.17035297,0.2773286,0.19604969,0.32650757,0.23289886,0.27755088,0.22890037,0.22742228,0.2154246,0.2387012,0.30808124,0.33129022,0.20524825,0.22648175,0.23246983,0.31260842,0.19702436,0.32883874,0.20758808,0.30093887,0.32955563
13,0.2000741,0.22311683,0.2771207,0.24439096,0.14566201,0.21719895,0.21963449,0.23991942,0.2590076,0.21823777,0.21003148,0.21481854,0.23817784,0.22172013,0.18588686,0.20647553,0.34815925,0.20745258,0.19050895,0.25969833,0.23659982,0.19484165,0.21483202,0.2190251,0.2450319,0.24662033,0.36355904,0.2471993,0.20244932,0.16908519,0.26232263,0.18908373,0.33172545,0.22911784,0.270057,0.22131412,0.22355647,0.21379574,0.23590685,0.30845913,0.3368567,0.20473482,0.22316314,0.23315713,0.30139422,0.19367215,0.30565783,0.20091645,0.29326367,0.31918225
14,0.19866283,0.22639395,0.2569406,0.25788933,0.1442302,0.2110696,0.20823695,0.23434013,0.2544112,0.21558054,0.20510063,0.2252843,0.229742,0.218039,0.17212662,0.20195901,0.33493304,0.21406698,0.18375671,0.24717039,0.23079991,0.1935155,0.20551684,0.21461008,0.22866125,0.2429308,0.34174177,0.23540406,0.19591737,0.16597916,0.25161886,0.18179852,0.32704383,0.22519548,0.26199302,0.21585418,0.21855594,0.21399516,0.23180635,0.30528387,0.33105358,0.20511654,0.21975403,0.2314056,0.28078315,0.18998575,0.28058094,0.19359964,0.28008512,0.30107042
15,0.19712017,0.22645053,0.23661566,0.26018783,0.14289021,0.20238644,0.19660136,0.22968684,0.24813446,0.21353807,0.19647272,0.23627342,0.22191463,0.21424563,0.159662,0.1970667,0.31302708,0.21897212,0.17719428,0.23462932,0.22517437,0.19106227,0.19600405,0.20899929,0.21585277,0.23897515,0.3129479,0.22399387,0.18956316,0.16101952,0.24574804,0.17490564,0.31419158,0.22113633,0.25392395,0.21166313,0.21258977,0.21561593,0.2264089,0.29728296,0.31567213,0.20573339,0.21544385,0.22764511,0.2559567,0.186003,0.25873375,0.18569478,0.2638325,0.27910757
