,MSE0,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20,MSE21,MSE22,MSE23,MSE24,MSE25,MSE26,MSE27,MSE28,MSE29,MSE30,MSE31,MSE32,MSE33,MSE34,MSE35,MSE36,MSE37,MSE38,MSE39,MSE40,MSE41,MSE42,MSE43,MSE44,MSE45,MSE46,MSE47,MSE48,MSE49
0,3.3652935e-08,8.468973e-06,1.6936913e-07,1.8206607e-05,7.639841e-06,4.612019e-06,1.1196676e-06,1.4224016e-06,4.369248e-06,3.2289909e-09,5.143396e-08,1.9797262e-08,1.9100747e-07,6.0671573e-07,6.9597704e-08,3.7759568e-07,9.264711e-08,4.950247e-07,0.00018508716,1.96724e-07,2.4199649e-06,4.1766853e-06,2.21133e-07,2.3186518e-05,2.031262e-08,1.9170932e-06,5.5148683e-07,3.5065103e-05,5.7680037e-08,3.117015e-06,2.2191621e-07,2.7330094e-07,2.88215e-07,4.8244414e-07,5.068002e-06,1.9485384e-07,1.5218417e-08,9.684121e-08,3.4782688e-06,1.37569095e-05,2.48187e-07,2.355536e-06,3.2165957e-08,2.7539512e-08,5.3066945e-08,6.1095693e-07,8.21315e-09,0.00019644723,7.555549e-07,9.325573e-07
1,3.3974894e-09,3.938873e-06,2.1260988e-07,8.407288e-06,3.5079793e-06,3.3665615e-06,8.733242e-07,1.0420874e-06,3.8461974e-07,8.791074e-09,5.9685576e-08,2.5095156e-08,9.949123e-08,3.9652325e-05,1.71069e-07,4.6041643e-07,1.1321786e-07,2.1262879e-07,0.0001574573,1.8422179e-07,1.4418912e-06,5.2498203e-06,1.1041163e-07,2.3728542e-05,4.4161578e-08,1.0664997e-06,9.472334e-09,2.9969513e-06,9.7722825e-09,1.271687e-06,2.3260827e-07,2.2309906e-07,3.2302955e-07,4.0414224e-07,3.84772e-06,2.7037581e-08,5.050567e-09,6.052776e-08,2.1118117e-06,8.213357e-06,2.984782e-07,2.1565968e-06,1.5634298e-09,7.733852e-08,8.3007656e-08,5.116744e-07,6.8501843e-10,0.00011694435,6.667997e-06,9.675991e-07
2,2.1080766e-09,1.0787337e-06,2.8226012e-07,2.2841016e-06,9.233189e-07,2.3843436e-06,6.2423976e-07,7.558567e-07,7.590431e-07,1.1870645e-08,7.981657e-08,2.4311696e-08,2.9943305e-08,0.00014008967,1.2350921e-06,5.831776e-07,1.5192053e-07,3.8840685e-08,0.00013155928,1.9007986e-07,6.808426e-07,4.441581e-05,3.0443125e-08,1.3095286e-05,8.923025e-08,4.9247404e-07,5.984797e-08,6.1564124e-06,3.9424672e-09,2.1955205e-07,2.6510787e-07,1.6144472e-07,3.8520173e-07,3.561191e-07,2.7251845e-06,1.7692088e-08,8.190776e-08,4.062296e-08,1.129369e-06,4.0092395e-06,3.7847997e-07,1.9089823e-06,1.4678389e-08,1.691256e-07,1.3321588e-07,4.4848215e-07,3.3265368e-09,5.827863e-05,1.8630186e-05,1.0429243e-06
3,1.4886577e-08,4.0737484e-09,3.9676877e-07,8.954732e-09,4.3283305e-10,1.6403495e-06,3.8046736e-07,5.5754896e-07,5.715435e-06,9.31574e-09,1.2191163e-07,1.5456703e-08,5.6992007e-12,7.9559104e-05,3.3767988e-06,7.6644284e-07,2.2189319e-07,8.905381e-09,0.00010463964,2.2198088e-07,1.7759234e-07,0.00012244578,1.5363318e-10,5.7339926e-06,1.726095e-07,1.5911303e-07,1.7697529e-07,4.5168625e-05,6.430806e-08,4.7903008e-08,3.3145417e-07,9.163968e-08,4.9178067e-07,3.4463008e-07,1.7203018e-06,2.105298e-07,2.8082852e-07,3.438974e-08,4.900529e-07,1.2326176e-06,5.072331e-07,1.6028847e-06,9.6136056e-08,3.2742983e-07,2.2254244e-07,4.2542158e-07,2.8768591e-08,2.0082181e-05,3.2042012e-06,1.1839434e-06
4,2.5575511e-08,8.9985434e-07,5.873476e-07,1.8494464e-06,9.1688867e-07,1.1162626e-06,1.6473265e-07,4.3786065e-07,1.5595753e-05,2.1293713e-09,2.0570904e-07,3.0356841e-09,4.280896e-08,1.0400665e-05,6.774601e-06,1.0543816e-06,3.4820943e-07,1.7976453e-07,7.711232e-05,2.966804e-07,4.2959247e-10,8.04549e-05,5.6136724e-08,1.4600316e-06,3.2507106e-07,1.8029699e-08,4.0280486e-07,0.00012097506,2.3199654e-07,8.917009e-07,4.5452398e-07,2.751759e-08,6.720517e-07,3.780077e-07,8.745306e-07,6.7662916e-07,6.5761884e-07,4.2938126e-08,1.4117245e-07,3.2324472e-08,7.178501e-07,1.23814e-06,2.8823337e-07,5.954741e-07,3.7953686e-07,4.531542e-07,1.0298497e-07,1.8682973e-06,5.3242866e-07,1.421076e-06
5,2.1693008e-08,4.0480827e-06,9.093154e-07,8.209488e-06,3.9461447e-06,7.7823364e-07,2.0940902e-08,3.9373097e-07,3.087968e-05,3.0924816e-09,3.7052843e-07,4.2195345e-09,2.1683502e-07,3.872233e-06,1.1681101e-05,1.5092733e-06,5.777254e-07,6.475557e-07,5.305141e-05,4.4694514e-07,2.6401014e-07,2.4442294e-05,2.6235247e-07,5.3170375e-09,6.018477e-07,6.3931886e-09,8.0807257e-07,0.00023492532,5.791875e-07,2.9584166e-06,6.7872236e-07,4.8505544e-10,9.782598e-07,4.808338e-07,2.5750558e-07,1.5302327e-06,1.3067555e-06,7.829513e-08,1.0378964e-08,6.407985e-07,1.0670069e-06,8.2531034e-07,6.6347116e-07,1.0440086e-06,6.571943e-07,5.544454e-07,2.721799e-07,2.8795616e-06,1.0229584e-05,1.8151643e-06
6,4.5553685e-09,9.873508e-06,1.4593932e-06,1.969519e-05,9.500832e-06,6.002472e-07,3.3806945e-08,4.3556315e-07,5.2308445e-05,5.0270714e-08,6.9039527e-07,5.8033244e-08,6.2810466e-07,8.505172e-06,1.8311397e-05,2.2411962e-06,9.945858e-07,1.5685057e-06,1.988542e-05,7.3808707e-07,1.151382e-06,9.703957e-07,7.31021e-07,9.907686e-07,1.0987449e-06,5.147581e-08,1.5150997e-06,0.00038899688,1.2263303e-06,6.5695344e-06,1.082078e-06,7.647109e-08,1.5016406e-06,7.03697e-07,1.5939379e-10,2.9520297e-06,2.379448e-06,1.7577622e-07,1.0987295e-08,3.4169282e-06,1.6533182e-06,4.0600204e-07,1.3441314e-06,1.7926446e-06,1.150357e-06,7.8027415e-07,6.24687e-07,2.203147e-05,1.6684997e-05,2.4625713e-06
7,1.0051791e-08,1.9016688e-05,2.4036692e-06,3.7189664e-05,1.820247e-05,5.719425e-07,3.6077768e-07,6.099453e-07,3.5860994e-05,2.3080115e-07,1.3030171e-06,1.583094e-07,1.4568931e-06,1.4265596e-05,2.6585692e-05,3.4382788e-06,1.7481068e-06,3.1962484e-06,7.0584935e-07,1.2951438e-06,2.9603725e-06,4.8640204e-06,1.651461e-06,3.9038387e-06,1.9850452e-06,8.164788e-08,2.7242431e-06,0.000585958,2.3761734e-06,1.2210658e-05,1.8079181e-06,3.831852e-07,2.4020574e-06,1.1507233e-06,3.2516982e-07,5.2357013e-06,4.1203825e-06,4.185879e-07,4.991612e-08,8.905195e-06,2.6458697e-06,7.748013e-08,2.5351083e-06,3.0405836e-06,2.0236096e-06,1.2310708e-06,1.3133576e-06,5.7796857e-05,1.1247248e-05,3.53443e-06
8,1.4646527e-07,2.380551e-05,4.0292807e-06,6.198714e-05,3.0970426e-05,7.2545896e-07,2.5625645e-06,1.0336267e-06,2.2941336e-05,7.253269e-07,2.4522278e-06,4.4843318e-07,3.0143947e-06,2.045694e-05,3.7797712e-05,5.406514e-06,3.1048955e-06,5.9460235e-06,8.3698515e-06,2.345575e-06,6.1633236e-06,7.06425e-06,3.3479114e-06,8.07426e-06,3.5503156e-06,5.2911304e-08,4.7729413e-06,0.00082973577,4.3698515e-06,2.0612159e-05,3.110773e-06,1.1580133e-06,3.9553775e-06,2.0187736e-06,1.6060404e-06,8.833959e-06,6.925428e-06,9.788679e-07,5.182894e-08,1.7931923e-05,4.3353057e-06,3.838022e-08,4.5759543e-06,5.124667e-06,3.5623837e-06,2.1040387e-06,2.6154348e-06,0.00010808793,6.2909353e-06,5.3087674e-06
9,6.606136e-07,6.21446e-06,6.821564e-06,9.596153e-05,4.9158178e-05,1.1986912e-06,7.83241e-06,1.9591182e-06,1.3987649e-05,1.8785593e-06,4.572354e-06,1.1879321e-06,5.822107e-06,2.6224347e-05,5.3100423e-05,8.666824e-06,5.519551e-06,1.0474015e-05,1.657719e-11,4.2947327e-06,1.1513348e-05,8.778605e-06,6.3631533e-06,1.2670285e-05,6.2853233e-06,7.259465e-10,8.21696e-06,0.0011256763,7.769036e-06,3.2870314e-05,5.4316433e-06,2.6770517e-06,6.6332022e-06,3.6753343e-06,4.461992e-06,1.4470123e-05,1.1432048e-05,2.188292e-06,7.0376176e-09,3.1727333e-05,7.2113617e-06,6.6776283e-07,8.0340205e-06,8.592377e-06,6.2451704e-06,3.7634522e-06,5.0003378e-06,0.0001701176,2.2950885e-06,8.27789e-06
