,LOSS0,LOSS1,LOSS2,LOSS3,LOSS4,LOSS5,LOSS6,LOSS7,LOSS8,LOSS9,LOSS10,LOSS11,LOSS12,LOSS13,LOSS14,LOSS15,LOSS16,LOSS17,LOSS18,LOSS19,LOSS20,LOSS21,LOSS22,LOSS23,LOSS24,LOSS25,LOSS26,LOSS27,LOSS28,LOSS29,LOSS30,LOSS31,LOSS32,LOSS33,LOSS34,LOSS35,LOSS36,LOSS37,LOSS38,LOSS39,LOSS40,LOSS41,LOSS42,LOSS43,LOSS44,LOSS45,LOSS46,LOSS47,LOSS48,LOSS49
0,0.2532487,0.2326249,0.25568217,0.28235713,0.28627226,0.24791202,0.2696274,0.28019822,0.34119296,0.38556498,0.27245274,0.5850598,0.39551717,0.30709803,0.2380193,0.26050773,0.2532421,0.70862234,1.1540896,0.33879763,0.34512433,0.32854623,0.2534728,0.32856956,1.2893919,0.26004708,0.31506157,0.26102212,0.24195844,0.33680177,0.32347444,0.2816789,0.38480145,0.23419888,0.6891642,0.988344,0.7119995,0.5204067,0.328287,0.2780068,0.19136336,0.33128646,0.36962488,0.38636,0.32473546,0.26880464,0.3496296,0.32512152,0.27866113,0.32658303
1,0.24942908,0.23014952,0.25382188,0.2804217,0.28407934,0.24580479,0.26864365,0.27557895,0.32986966,0.37275997,0.2679538,0.5407217,0.37138817,0.29930896,0.23735969,0.25832704,0.25013155,0.6501146,0.92764354,0.33211598,0.33823976,0.3168412,0.25279906,0.31949762,0.87807035,0.25415567,0.31310472,0.25999662,0.24155563,0.33403513,0.30535224,0.27774927,0.36966258,0.23297922,0.61366385,0.80838686,0.63007253,0.48236632,0.31855014,0.27639288,0.1894136,0.319386,0.3498917,0.37391484,0.32022586,0.26603928,0.3386607,0.3229328,0.27676222,0.3206002
2,0.24262384,0.22594033,0.25034195,0.27694085,0.2803531,0.24190393,0.2669373,0.26761067,0.31038323,0.35088933,0.2599975,0.46919242,0.33299276,0.28550258,0.23608896,0.25433272,0.24441291,0.552482,0.62691826,0.32058892,0.32690972,0.29866272,0.25153154,0.30515105,0.47546235,0.2445801,0.3096502,0.2580529,0.24077414,0.3292302,0.27564254,0.2714628,0.3444619,0.23091573,0.4980384,0.5550609,0.5042673,0.42035198,0.3033606,0.27340123,0.18610722,0.2998153,0.31964713,0.3527598,0.31282893,0.26111338,0.31990218,0.31895044,0.27315384,0.31001
3,0.23408829,0.22087961,0.24562094,0.27255517,0.2759431,0.23654605,0.26482055,0.2578409,0.28722256,0.32445705,0.2500982,0.39385113,0.29241955,0.2682126,0.2342801,0.24908134,0.23683661,0.45041314,0.38604516,0.3066314,0.31414664,0.27996016,0.24977392,0.2901035,0.2840955,0.23415181,0.30532178,0.25534627,0.23964983,0.32333526,0.24270353,0.26459423,0.31618562,0.22862081,0.3832668,0.33968756,0.37865552,0.35269502,0.2877943,0.26939887,0.18216056,0.2783816,0.2900454,0.32773364,0.30451587,0.2548478,0.29774982,0.31349352,0.2681353,0.29671985
4,0.22514442,0.21567382,0.24009673,0.26787212,0.2715898,0.23047718,0.26252785,0.24789977,0.26532036,0.29705268,0.2398625,0.33188203,0.2598439,0.25009856,0.23202103,0.24321382,0.22809356,0.3734039,0.26495892,0.29264334,0.30275038,0.2648817,0.24763843,0.2779098,0.2927157,0.22533473,0.30071583,0.2520708,0.2382254,0.31722525,0.2142401,0.2580506,0.29152375,0.22639911,0.30083725,0.23102643,0.2854766,0.2957632,0.2753696,0.2647447,0.17812362,0.2604284,0.2685094,0.30386677,0.29704645,0.24815227,0.27664083,0.30680892,0.26206407,0.28262612
5,0.21700759,0.21096976,0.23427066,0.26338026,0.26772958,0.22434655,0.26014766,0.23884195,0.24828455,0.27114582,0.23069637,0.28665555,0.24123156,0.2336662,0.22940561,0.23736191,0.21879363,0.33672908,0.2555428,0.28004774,0.2944639,0.2546885,0.24528003,0.26998723,0.3785327,0.21944484,0.29624304,0.24841328,0.23654512,0.31156003,0.19535236,0.2520741,0.27526578,0.22465776,0.26274812,0.23379014,0.23926164,0.25998223,0.2673955,0.2597278,0.17436022,0.24921735,0.25705084,0.28593987,0.2914547,0.24173461,0.2601732,0.2993757,0.25532013,0.269236
6,0.21050483,0.2071099,0.22855188,0.25929338,0.2644101,0.21834575,0.25762925,0.23125754,0.2376023,0.2484046,0.22367021,0.2612222,0.23694609,0.22081755,0.226471,0.23204571,0.21008098,0.33975065,0.31273225,0.2699414,0.2895072,0.24825062,0.2427344,0.2659223,0.43184662,0.21657021,0.2920542,0.24453594,0.23465082,0.3066218,0.18786092,0.24635927,0.26912868,0.22323288,0.2634995,0.3010379,0.2370935,0.24820834,0.26311797,0.25453436,0.17098853,0.24550448,0.25474393,0.27565768,0.2878282,0.2361529,0.25021127,0.29146022,0.24825439,0.25756976
7,0.20602845,0.20448437,0.22332264,0.2556804,0.26138604,0.21287137,0.25484034,0.22533552,0.23350562,0.23021,0.21912509,0.2541616,0.24346793,0.21268943,0.22339213,0.22760491,0.2024854,0.36636358,0.3865965,0.26215863,0.28693995,0.24333394,0.24004322,0.26386267,0.41525048,0.21579076,0.28805152,0.2405494,0.23257816,0.30229974,0.19057827,0.2405846,0.27184117,0.22201644,0.28915796,0.36439362,0.26509622,0.25650784,0.260646,0.24924913,0.16807769,0.24762209,0.2584673,0.2725158,0.28546992,0.23155977,0.24688363,0.28313464,0.24120355,0.24808243
8,0.20352481,0.2024417,0.21879959,0.25240335,0.25825754,0.20794691,0.25164795,0.22089829,0.23483099,0.2169666,0.21698734,0.26126,0.25486606,0.20951612,0.22019185,0.22421834,0.1961651,0.39745975,0.43961856,0.25605798,0.28508693,0.23800947,0.23731433,0.2617822,0.3503282,0.21563247,0.2839917,0.23654841,0.2303561,0.29825515,0.20017621,0.23449586,0.2798722,0.22071305,0.32175434,0.39204845,0.30432695,0.2764726,0.25804102,0.24384806,0.16563015,0.2523088,0.26400155,0.27446258,0.28329524,0.22784893,0.24875067,0.27442196,0.23444201,0.24048102
9,0.20252876,0.2003167,0.21511649,0.24926223,0.25465658,0.20359677,0.24798332,0.21784936,0.23944968,0.20930254,0.21676522,0.27654767,0.26476473,0.21071275,0.21686038,0.22180356,0.190992,0.4181519,0.45412606,0.25103718,0.28234354,0.231431,0.23454441,0.25820476,0.27580532,0.21468356,0.27955404,0.23256928,0.22800733,0.29404598,0.21240295,0.22796412,0.28872472,0.21909454,0.34715742,0.37510365,0.3369337,0.298264,0.254068,0.23833637,0.16359583,0.25611502,0.26608437,0.27858728,0.28024906,0.22479542,0.25349662,0.26555178,0.22817612,0.23434897
