,MSE0,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20,MSE21,MSE22,MSE23,MSE24,MSE25,MSE26,MSE27,MSE28,MSE29,MSE30,MSE31,MSE32,MSE33,MSE34,MSE35,MSE36,MSE37,MSE38,MSE39,MSE40,MSE41,MSE42,MSE43,MSE44,MSE45,MSE46,MSE47,MSE48,MSE49
0,1.3338361e-07,2.7073304e-06,2.356289e-08,9.35005e-08,2.907113e-08,8.2581685e-08,1.2708469e-08,2.933629e-09,1.8353656e-08,4.6935213e-08,5.0374493e-10,1.8825192e-08,5.3487963e-08,1.5827196e-06,7.831164e-06,5.9950915e-09,3.304632e-05,5.0618473e-07,2.974446e-08,4.8160705e-06,1.4660172e-08,2.4545438e-06,5.2035203e-09,8.319614e-08,5.0014925e-05,5.6100017e-08,4.986838e-09,4.2417767e-07,3.2518493e-08,1.4115199e-07,5.554063e-10,3.6717115e-06,1.1081162e-07,3.807111e-07,2.6267497e-07,1.3127645e-06,1.894272e-09,1.1382958e-08,3.8687704e-06,4.9880573e-08,1.4465799e-06,8.9017425e-09,5.231053e-08,3.1120217e-12,6.266346e-07,2.5183006e-10,9.768309e-06,5.8001942e-06,1.5905226e-10,9.014707e-05
1,1.8125602e-05,9.0322345e-07,9.190601e-12,6.9948875e-08,3.4519278e-08,1.014811e-07,2.5615359e-08,1.4412501e-08,3.702912e-08,2.669812e-07,6.2231753e-09,9.851344e-10,7.50265e-08,1.6880153e-07,7.109317e-06,3.5126572e-08,2.4396979e-05,3.2981248e-07,4.902778e-08,4.0836e-06,7.383131e-12,4.0814084e-06,1.6088148e-08,2.895037e-08,2.9068624e-05,1.2112458e-06,8.614667e-09,2.4608426e-07,5.119503e-08,1.8034208e-07,9.961271e-09,2.3019493e-06,1.3867549e-08,2.155968e-06,4.1860747e-07,2.9339373e-07,3.3264964e-08,9.69899e-07,5.467695e-06,6.477039e-08,2.413686e-07,8.9517616e-10,1.2051851e-07,5.6180887e-09,2.5862792e-07,4.8122373e-09,6.099845e-06,4.4203684e-06,4.641481e-09,0.00015097433
2,6.674802e-05,5.5155486e-08,3.2549863e-08,4.0973735e-08,4.924164e-08,1.372495e-07,5.2209682e-08,4.2673804e-08,7.319019e-08,2.6738354e-07,2.449925e-08,9.1725e-09,1.13584676e-07,4.4124827e-06,6.3175858e-06,1.0143063e-07,1.2942886e-05,1.7320347e-07,8.5084054e-08,3.4890893e-06,2.1545228e-08,6.2243657e-06,4.085016e-08,5.2821783e-09,1.3927863e-05,5.842096e-06,8.831906e-09,1.0257572e-07,8.580254e-08,2.0526355e-07,3.8999975e-08,1.2979301e-06,1.6988835e-07,5.4788266e-06,2.0950239e-07,2.1246842e-07,1.17138065e-07,4.396442e-06,7.456413e-06,9.365007e-08,5.8034747e-08,3.0820062e-09,2.3672395e-07,2.8610957e-08,7.778438e-08,1.039253e-08,3.3673182e-06,3.3042775e-06,2.889941e-08,0.00022676456
3,0.00014666806,2.592491e-07,1.4905274e-07,1.259054e-08,8.2156774e-08,2.0318778e-07,1.0574435e-07,1.0372691e-07,1.4166972e-07,2.9737365e-07,6.882138e-08,6.304308e-08,1.8377499e-07,1.4581478e-05,5.4417605e-06,2.2756795e-07,8.07278e-08,5.2957372e-08,1.5216294e-07,3.0388217e-06,1.0213186e-07,8.9848845e-06,9.341103e-08,1.10877505e-11,4.4120056e-06,1.3730683e-05,4.5124358e-09,1.3554045e-08,1.5040813e-07,2.0517511e-07,1.0451061e-07,6.2352575e-07,3.4812746e-08,1.0504044e-05,8.713535e-09,1.2406768e-07,2.810264e-07,1.047881e-05,9.930183e-06,1.4937807e-07,1.0026736e-06,2.8752531e-08,4.278192e-07,8.509302e-08,5.9931944e-09,1.1363125e-08,1.5092293e-06,2.4361395e-06,9.0066536e-08,0.00031690742
4,0.00025888553,1.6657248e-06,3.9654236e-07,2.5684557e-10,1.512121e-07,3.2378043e-07,2.1131184e-07,2.2517511e-07,2.7130832e-07,3.7581626e-07,1.6465893e-07,1.9715924e-07,3.1151973e-07,3.107835e-05,4.4694075e-06,4.5474087e-07,1.7673889e-05,3.395454e-11,2.7697575e-07,2.7438848e-06,2.8123682e-07,8.376943e-06,2.0005449e-07,7.7822376e-10,2.5712146e-07,9.590685e-06,5.193066e-12,1.5748364e-08,2.713402e-07,6.6756655e-08,2.3712454e-07,2.283141e-07,5.930834e-09,1.7467057e-05,4.6509535e-07,4.213745e-08,5.7169785e-07,1.9495472e-05,1.3030182e-05,2.5398114e-07,3.23911e-06,1.030783e-07,7.395698e-07,2.0444797e-07,7.4393967e-09,5.3365454e-09,4.3542164e-07,1.8025866e-06,2.1905929e-07,0.0004205495
5,0.00035593013,4.5104457e-06,8.540051e-07,3.799909e-08,2.9354067e-07,5.444596e-07,4.1596803e-07,4.5939885e-07,5.1236253e-07,5.3217803e-07,3.6058617e-07,4.7344267e-07,5.4512253e-07,5.4483506e-05,3.4009902e-06,7.026962e-07,6.682221e-05,7.238901e-08,5.087322e-07,2.6260773e-06,6.2668784e-07,4.17115e-06,4.0927355e-07,6.6832116e-11,1.0725307e-06,4.017686e-06,1.2897342e-08,1.749709e-07,4.96402e-07,2.5162052e-09,4.9212656e-07,4.700385e-08,1.5351368e-07,2.671521e-05,1.7455517e-06,6.176974e-11,1.0670535e-06,3.1859614e-05,1.696628e-05,4.5256553e-07,7.0168944e-06,2.7379522e-07,1.2448597e-06,4.398854e-07,3.9683794e-08,3.5700822e-08,2.0178378e-08,1.3791106e-06,4.7159878e-07,0.0005364786
6,0.00012559185,9.138041e-06,1.6529883e-06,1.9451986e-07,5.807483e-07,9.4863475e-07,8.055134e-07,8.9820765e-07,9.560064e-07,8.348785e-07,7.4311123e-07,9.975615e-07,9.7245e-07,8.56586e-05,2.273591e-06,1.0623222e-06,0.00014913676,3.73425e-07,9.3588153e-07,2.7277788e-06,1.25478e-06,1.5812477e-06,8.080852e-07,6.069473e-09,6.3063258e-06,7.133131e-07,8.767847e-08,6.053894e-07,9.127858e-07,1.8129666e-07,9.660206e-07,5.18511e-10,5.9706485e-07,3.8747854e-05,4.1112526e-06,6.605895e-08,1.8956571e-06,4.8170506e-05,3.3521683e-05,8.2537554e-07,1.2710282e-05,6.289112e-07,2.0709103e-06,8.8625404e-07,5.995415e-08,5.270581e-07,9.531601e-08,1.1520222e-06,9.457874e-07,0.0006630373
7,1.3214484e-05,1.6083812e-05,3.0108401e-06,6.0097886e-07,1.1454474e-06,1.6847758e-06,1.5324027e-06,1.7070039e-06,1.7633616e-06,1.4070656e-06,1.4677377e-06,1.954278e-06,1.7458833e-06,0.00012581848,1.1727092e-06,1.720409e-06,0.00026692174,1.0840034e-06,1.7144907e-06,3.1356287e-06,2.361758e-06,3.14249e-07,1.5532316e-06,6.388657e-08,1.5201686e-05,1.6237314e-07,3.2133647e-07,1.5030757e-06,1.6751386e-06,7.910179e-07,1.8284031e-06,6.9366295e-09,1.5441182e-06,5.4304528e-05,7.963493e-06,3.717186e-07,3.270993e-06,6.9297705e-05,9.8220255e-05,1.5185698e-06,2.0879614e-05,1.3239102e-06,3.4234317e-06,1.7103102e-06,4.0948763e-08,1.3794842e-06,4.5071855e-07,1.1245567e-06,1.8127936e-06,0.0007979985
8,5.683287e-10,2.6136913e-05,5.2851783e-06,1.4977679e-06,2.2293802e-06,3.0158494e-06,2.8655145e-06,3.1656307e-06,3.2129044e-06,2.4757144e-06,2.807956e-06,3.655319e-06,3.1379466e-06,0.00014265935,2.9540195e-07,2.9134828e-06,0.0004234654,2.514662e-06,3.118422e-06,4.017826e-06,4.2757674e-06,4.737916e-10,2.917888e-06,2.934005e-07,2.6747939e-05,3.1159996e-06,9.0645113e-07,3.1979869e-06,3.0537255e-06,2.154214e-06,3.372442e-06,5.595003e-09,3.3373656e-06,7.444284e-05,1.3921096e-05,1.1599783e-06,5.546095e-06,9.649587e-05,0.00020010695,2.7895849e-06,3.2355103e-05,2.6348634e-06,5.6481986e-06,3.1995926e-06,2.0971709e-09,2.2756572e-06,8.457019e-07,1.351251e-06,3.3663675e-06,0.0009384291
9,1.0576116e-05,4.0480136e-05,9.065164e-06,3.3132544e-06,4.259486e-06,5.395892e-06,5.27126e-06,5.7640527e-06,5.782168e-06,4.7678163e-06,5.2322125e-06,6.6195466e-06,5.6136982e-06,4.772092e-05,2.0638664e-08,5.062069e-06,0.000623303,5.1899424e-06,5.618373e-06,5.692265e-06,8.658121e-06,2.0843231e-07,5.3729595e-06,1.291382e-07,3.9655097e-05,1.0727841e-05,2.206289e-06,6.2429585e-06,5.5155447e-06,4.81284e-06,6.0912616e-06,6.693856e-09,6.5463264e-06,0.00013588989,2.2923705e-05,2.862435e-06,9.29727e-06,0.00013155089,0.00034332328,5.0935705e-06,4.8367576e-05,5.0304134e-06,9.303958e-06,5.843792e-06,6.717335e-08,2.8726954e-06,1.0405246e-06,1.99337e-06,6.1053206e-06,0.0010805137
