,LOSS0,LOSS1,LOSS2,LOSS3,LOSS4,LOSS5,LOSS6,LOSS7,LOSS8,LOSS9,LOSS10,LOSS11,LOSS12,LOSS13,LOSS14,LOSS15,LOSS16,LOSS17,LOSS18,LOSS19,LOSS20,LOSS21,LOSS22,LOSS23,LOSS24,LOSS25,LOSS26,LOSS27,LOSS28,LOSS29,LOSS30,LOSS31,LOSS32,LOSS33,LOSS34,LOSS35,LOSS36,LOSS37,LOSS38,LOSS39,LOSS40,LOSS41,LOSS42,LOSS43,LOSS44,LOSS45,LOSS46,LOSS47,LOSS48,LOSS49
0,0.29480922,0.24169646,0.37874758,0.43778726,0.96746844,0.23500113,0.26493964,0.29163453,0.25094435,0.24464798,0.26950175,0.3783041,0.23639199,0.43454173,0.25937563,0.78579533,0.38156334,0.5223139,0.24350514,0.23173274,0.26852408,0.23626706,0.24819358,0.9122275,0.24496359,0.4678992,0.30677244,0.27627176,1.71959,0.36166656,0.24367669,0.24597254,0.55271244,0.7826788,0.8518191,0.45769405,0.38270083,0.40927306,0.5381467,0.3657177,0.39450246,0.4227485,0.231495,0.29315853,0.25807256,0.27674943,0.63170147,0.25279805,0.25920555,0.25686607
1,0.2792365,0.240231,0.34098598,0.38829333,0.7940073,0.23382272,0.25693938,0.2759468,0.24531354,0.24119738,0.2600779,0.3415875,0.23536707,0.38332444,0.25234252,0.64935935,0.34524754,0.45362657,0.24074925,0.23163368,0.2598529,0.23499353,0.24382307,0.7466469,0.2413925,0.40765244,0.2874303,0.26478937,1.363751,0.32978702,0.24124229,0.2427217,0.47312063,0.64735883,0.69639903,0.4000085,0.34532243,0.3638809,0.4641859,0.3325123,0.3542801,0.3750762,0.23149224,0.27740642,0.25129786,0.26544622,0.53153247,0.24749956,0.25226218,0.25008026
2,0.25755084,0.23818061,0.28906244,0.3185567,0.54791635,0.23221311,0.24581477,0.25448424,0.23763026,0.23640524,0.24712808,0.2908137,0.2339284,0.31302685,0.24266766,0.45978653,0.29387072,0.3561992,0.23692395,0.23149551,0.24767019,0.23323433,0.23777586,0.5143631,0.2364557,0.32484275,0.26075017,0.248887,0.8612887,0.28518927,0.23780067,0.23820964,0.36213183,0.4585558,0.48130852,0.32040745,0.29299387,0.30134836,0.3602043,0.28615817,0.2984404,0.30868936,0.23148715,0.25564498,0.24194667,0.24984178,0.39276335,0.2402597,0.24262655,0.2408699
3,0.23991813,0.2364969,0.24786706,0.26056537,0.34049776,0.23095216,0.23679385,0.23762114,0.23162387,0.23252767,0.23686498,0.25007942,0.23274033,0.25742984,0.23498394,0.3062597,0.25081477,0.2741342,0.23383245,0.23138274,0.23759396,0.23182572,0.23291852,0.3227235,0.23249699,0.2591831,0.23945105,0.23609233,0.44110343,0.24860214,0.23491986,0.23456365,0.27162504,0.30443347,0.30838975,0.2568007,0.25000644,0.25154206,0.27408665,0.24828549,0.2532959,0.25470427,0.23148017,0.23822011,0.23447151,0.23736365,0.2810387,0.23458396,0.23484248,0.23374495
4,0.23215684,0.23573253,0.23096156,0.23345059,0.23998334,0.23045278,0.23285155,0.23089583,0.22926372,0.23084103,0.23266366,0.232811,0.23219424,0.23480295,0.23181908,0.23939538,0.23027088,0.23444913,0.23249334,0.23133206,0.23294817,0.23123102,0.2308505,0.23489526,0.23082009,0.23227876,0.23054975,0.23062405,0.24109143,0.2320973,0.23354864,0.23298559,0.23145047,0.23583013,0.23455134,0.23013468,0.23054636,0.23085457,0.23424049,0.23139043,0.23373048,0.23093277,0.23147154,0.23087426,0.23133516,0.23212288,0.23319471,0.23233314,0.23147544,0.23103493
5,0.23408026,0.23588169,0.23691097,0.237829,0.25111988,0.23065364,0.23386675,0.23355366,0.2302489,0.23128267,0.23415303,0.23804578,0.23229429,0.24303761,0.23291238,0.25698882,0.2330011,0.23897383,0.23285446,0.23134223,0.23378883,0.23141304,0.23146047,0.2515248,0.231328,0.24180612,0.23343669,0.23221621,0.26794204,0.23560134,0.2337338,0.23341407,0.24091044,0.25171375,0.25608802,0.2386562,0.23458244,0.23775125,0.2412599,0.23525006,0.2390205,0.23681292,0.23146127,0.23316225,0.23233314,0.23378336,0.24698377,0.23323843,0.2323921,0.23230448
6,0.24113075,0.23652552,0.25394806,0.2601557,0.32870826,0.2311768,0.23747952,0.24060206,0.23276836,0.23282784,0.23839,0.25465733,0.23275346,0.26610005,0.23607947,0.3187372,0.24932456,0.26974314,0.23409535,0.23138428,0.23770306,0.23198326,0.23342663,0.32629603,0.23293637,0.26898244,0.24217497,0.23741478,0.4271059,0.25002673,0.23482312,0.23488174,0.2769369,0.31296524,0.32632643,0.26472628,0.25149757,0.25824517,0.27465734,0.25028554,0.25723013,0.2584061,0.2314492,0.24028727,0.23539239,0.23889114,0.29232547,0.23560557,0.23552473,0.23532344
7,0.2476658,0.23713449,0.2684475,0.28252533,0.41040784,0.23159985,0.24079219,0.24640438,0.23480448,0.23422831,0.24197821,0.26936835,0.23320086,0.28556618,0.2387846,0.3752777,0.26613498,0.30203623,0.23521869,0.23142253,0.24155268,0.23248157,0.23516896,0.3993722,0.23435435,0.2920876,0.24977568,0.24206522,0.59116805,0.26383,0.23593806,0.23621216,0.31072283,0.37059042,0.38920563,0.28751758,0.2677529,0.27596334,0.30767357,0.2644711,0.27380913,0.2784456,0.23143515,0.24655512,0.2380643,0.2433616,0.33297566,0.23753445,0.23836075,0.2376726
8,0.24990132,0.23734404,0.27203536,0.29199988,0.44910544,0.23167591,0.24188104,0.24761651,0.23518293,0.23466317,0.24283877,0.27367625,0.23337504,0.2902125,0.23946218,0.39392388,0.27371854,0.31721815,0.23557027,0.23143306,0.24310881,0.2326164,0.23567306,0.42854047,0.2347579,0.2977904,0.25184384,0.24347942,0.6657886,0.2690268,0.23643067,0.23663317,0.32273355,0.39126924,0.4084488,0.29386973,0.2739452,0.28067768,0.32121727,0.26960173,0.2791752,0.28534093,0.23141897,0.24834387,0.23880208,0.2446097,0.34543815,0.23790812,0.23925295,0.23800154
9,0.24720281,0.23708196,0.26422012,0.2852652,0.43026072,0.23140633,0.24044704,0.24419348,0.23391764,0.2340142,0.24085996,0.26663652,0.23321648,0.27949518,0.2380107,0.36968493,0.26930022,0.3095975,0.23505802,0.23141198,0.24184461,0.23235916,0.23482305,0.4041308,0.23405877,0.28532547,0.24799252,0.24132422,0.6238255,0.26397887,0.23611948,0.23603545,0.30942044,0.3688418,0.37950662,0.28253764,0.2681011,0.27156723,0.31067604,0.2641286,0.27192852,0.27713338,0.23140073,0.24528196,0.2374609,0.2423865,0.32674697,0.23672464,0.23797041,0.23640199
10,0.24154386,0.2365245,0.25046226,0.26765156,0.3701198,0.23097113,0.23752241,0.23849444,0.23187155,0.23273335,0.23740977,0.25326428,0.2328423,0.2608698,0.23543969,0.32018465,0.25652078,0.28568643,0.23404464,0.23137188,0.2387338,0.23188652,0.23321368,0.34493586,0.23274697,0.26340526,0.24093547,0.23714401,0.5001891,0.25248274,0.23525198,0.23484635,0.2806319,0.3199628,0.3231312,0.26154116,0.25463662,0.2550407,0.28426033,0.25211895,0.25731662,0.25984737,0.23138052,0.23954305,0.23498538,0.23826294,0.29032403,0.23478758,0.23542726,0.23395392
11,0.23586994,0.23594774,0.23786026,0.24841426,0.30044198,0.2305892,0.2346205,0.23344631,0.23008996,0.2314728,0.23425789,0.24049228,0.23244521,0.24392883,0.23307145,0.27116442,0.24211493,0.25811318,0.23305129,0.23133145,0.23540455,0.23143882,0.2316706,0.2819573,0.23149686,0.24334157,0.23432058,0.2331093,0.3598448,0.24054712,0.23428042,0.23368053,0.25138077,0.27013633,0.26855484,0.24174814,0.24059542,0.23963863,0.25582865,0.2398423,0.24293724,0.2424922,0.2313585,0.23410067,0.23265402,0.2343718,0.2550805,0.23308265,0.23293628,0.23190203
12,0.23243262,0.2355707,0.23120768,0.23541625,0.2500844,0.23039825,0.23288186,0.23093022,0.22922662,0.23071775,0.23259312,0.23328774,0.23218334,0.23508644,0.23180561,0.24197523,0.23202057,0.23830108,0.23246415,0.23130484,0.23320748,0.23118563,0.23078722,0.2407072,0.23078936,0.23276617,0.23069374,0.23079798,0.2604269,0.2329738,0.23360081,0.23299393,0.23333971,0.2392611,0.23710664,0.2308056,0.23163643,0.23127511,0.23694998,0.23221241,0.23445897,0.23196648,0.23133476,0.23106496,0.23136467,0.23221563,0.2348013,0.23223564,0.23146987,0.23097846
13,0.23189212,0.23546602,0.23124762,0.23182294,0.23258093,0.23040797,0.2326234,0.2311266,0.22932218,0.2305962,0.23259237,0.23275678,0.23211476,0.23526248,0.23178928,0.2379681,0.22884302,0.23154725,0.23238346,0.23129618,0.23265354,0.23116174,0.23069786,0.23066886,0.23072906,0.23285572,0.23054573,0.23058668,0.22779138,0.23139681,0.23338409,0.2329055,0.23015043,0.23363471,0.2339924,0.23026207,0.22971736,0.23103876,0.23208229,0.23080117,0.23339729,0.23030862,0.23130941,0.23088239,0.23129682,0.2321003,0.23283117,0.23229699,0.23128,0.23117235
14,0.23341288,0.23556323,0.23538221,0.23581761,0.2438008,0.23052944,0.23339991,0.23288049,0.22994877,0.23091002,0.23360184,0.23661947,0.23219566,0.24088754,0.23254363,0.2515694,0.23148915,0.23612653,0.23264955,0.23130007,0.23338756,0.23128566,0.23113245,0.24494573,0.23109177,0.23946655,0.23261394,0.23178181,0.25221598,0.23432055,0.23355366,0.23322746,0.23776118,0.24647667,0.24999464,0.23641704,0.23311724,0.2359327,0.23829612,0.23394997,0.2374642,0.23497905,0.23128243,0.23255515,0.23201306,0.23330012,0.24319164,0.23287077,0.23196404,0.23193695
15,0.23544556,0.23571835,0.23982522,0.2426924,0.2681872,0.23064558,0.23441303,0.23462817,0.23054801,0.23131429,0.23467669,0.24119326,0.23232657,0.24683858,0.23336297,0.26922816,0.23658746,0.24581002,0.23298655,0.23130675,0.23457211,0.23142946,0.23165232,0.26761675,0.23151891,0.24656563,0.23495512,0.23323181,0.30166873,0.23861912,0.23388207,0.23363447,0.2483138,0.264481,0.26964092,0.24348769,0.23817942,0.24140462,0.24849735,0.23837915,0.24264497,0.2412434,0.23125377,0.23450114,0.23283267,0.23467976,0.25587624,0.23343019,0.23282707,0.2326097
16,0.2366433,0.23580019,0.24175613,0.24773979,0.28858867,0.23067668,0.23498125,0.23527424,0.23074181,0.23151945,0.23511817,0.24352622,0.23241268,0.24934572,0.23371714,0.2793788,0.24059144,0.2537957,0.23316422,0.23130763,0.23539731,0.23149264,0.23190469,0.28338814,0.23172489,0.24966097,0.23606256,0.23399712,0.34180278,0.24141349,0.23413251,0.2338545,0.2548159,0.27572986,0.2802089,0.24693969,0.24151129,0.24395692,0.25575414,0.24114428,0.24555391,0.2449738,0.2312234,0.23546824,0.23322375,0.2353484,0.2626732,0.23361209,0.233289,0.23277426
