,MSE0,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20,MSE21,MSE22,MSE23,MSE24,MSE25,MSE26,MSE27,MSE28,MSE29,MSE30,MSE31,MSE32,MSE33,MSE34,MSE35,MSE36,MSE37,MSE38,MSE39,MSE40,MSE41,MSE42,MSE43,MSE44,MSE45,MSE46,MSE47,MSE48,MSE49
0,7.851937e-06,4.2787273e-05,7.5344637e-06,1.2855902e-07,6.860878e-09,8.9379785e-07,1.1028366e-09,3.4572982e-05,1.1625851e-05,1.1098374e-06,3.9844235e-06,2.0479329e-06,8.3398145e-06,8.548433e-07,1.4133971e-06,1.2094673e-05,2.8369213e-05,2.1431686e-05,8.745244e-06,4.4575636e-06,3.696662e-06,5.2324567e-09,4.7609924e-06,2.071533e-06,2.2382121e-06,1.3178361e-06,2.4270585e-05,1.2957464e-05,3.501265e-06,7.2989787e-06,8.151139e-06,2.2773482e-05,3.2744927e-06,2.4753794e-05,1.1161984e-06,6.921774e-06,1.5901577e-07,1.8774319e-06,1.0031775e-06,6.0401667e-06,1.3238927e-12,4.5380148e-06,4.9859693e-05,2.2066884e-05,8.889057e-06,2.9773211e-05,2.1166916e-05,1.4600378e-05,3.0986164e-06,7.136677e-06
1,6.8864924e-06,1.4969548e-05,2.1268975e-06,1.1658782e-06,1.8481065e-07,9.693615e-08,6.291277e-07,1.2090448e-05,2.832574e-06,1.6587254e-06,7.31017e-07,5.7729303e-06,1.0206685e-06,1.1344604e-07,3.985049e-06,1.09506445e-05,7.859864e-06,5.0048234e-06,5.9942613e-06,7.782447e-07,1.0779919e-09,2.102687e-07,7.86732e-07,2.0135879e-07,1.7998542e-07,2.2842687e-06,2.041971e-05,1.228648e-05,6.253504e-07,2.112414e-06,9.0498215e-06,1.8546141e-05,2.1311591e-07,2.2450182e-05,3.086156e-08,6.161903e-06,6.665891e-07,3.2464127e-06,1.6546228e-07,7.0465276e-06,5.3661074e-07,6.144142e-07,3.7128564e-05,1.5870026e-05,9.1538905e-06,2.3146036e-05,1.7217286e-05,3.650189e-06,3.0293077e-06,7.637475e-06
2,5.8262754e-06,1.8288391e-06,6.86556e-08,2.870355e-06,7.626511e-07,8.2784325e-08,2.3309888e-06,1.5382185e-06,1.21171455e-08,2.183097e-06,3.072963e-08,1.0490721e-05,5.2863726e-07,4.4312433e-08,7.24255e-06,9.568029e-06,2.2654638e-07,1.8809523e-09,3.7543189e-06,6.175043e-08,3.2494402e-06,8.215683e-07,8.4988e-08,1.8992166e-07,2.957951e-07,3.2803023e-06,1.652396e-05,1.1261189e-05,4.0348187e-08,9.025458e-08,9.5363375e-06,1.43109355e-05,6.264396e-07,1.9747877e-05,3.9058992e-07,5.3781787e-06,1.3632921e-06,4.65822e-06,1.8564908e-08,7.680795e-06,1.9096324e-06,2.0171746e-07,2.6053058e-05,1.0647956e-05,9.004113e-06,1.6978169e-05,1.3271558e-05,2.2098396e-08,2.8723348e-06,7.79473e-06
3,4.6808727e-06,9.674521e-07,6.898579e-07,4.814601e-06,1.5415915e-06,7.0882766e-07,4.6543514e-06,6.6005794e-07,1.6803764e-06,2.6109954e-06,1.17686e-06,1.5422593e-05,5.314361e-06,5.0042223e-07,1.0645121e-05,7.975972e-06,2.679954e-06,3.7413172e-06,2.027328e-06,1.6046957e-06,1.1347622e-05,1.6039679e-06,1.8001173e-06,1.4516852e-06,1.9512777e-06,4.1611343e-06,1.2675134e-05,9.882995e-06,1.1922142e-06,5.5617886e-07,9.530703e-06,1.0231261e-05,3.7369825e-06,1.6695361e-05,1.7855758e-06,4.5521256e-06,2.0831396e-06,5.909696e-06,3.8248305e-07,7.854089e-06,3.7581965e-06,2.4157287e-06,1.6738542e-05,6.4186083e-06,8.419664e-06,1.1439278e-05,9.480065e-06,2.0965647e-06,2.6115417e-06,7.562317e-06
4,3.485777e-06,9.681837e-06,3.2640382e-06,6.6149205e-06,2.3345258e-06,1.7972201e-06,7.146199e-06,7.088229e-06,6.372201e-06,2.8773372e-06,3.46991e-06,1.985021e-05,1.3724703e-05,1.3126861e-06,1.3687736e-05,6.2364225e-06,1.2366669e-05,1.3532983e-05,8.1961895e-07,4.660624e-06,2.220237e-05,2.3509808e-06,5.065983e-06,3.4275126e-06,4.5111915e-06,4.792784e-06,8.993881e-06,8.200293e-06,3.4987404e-06,2.801314e-06,8.988109e-06,6.5091554e-06,8.6815e-06,1.3379771e-05,3.793374e-06,3.6801252e-06,2.6805951e-06,6.813554e-06,1.0645873e-06,7.519344e-06,5.72748e-06,6.3428633e-06,9.317701e-06,3.212179e-06,7.4201557e-06,6.73166e-06,6.024827e-06,8.2064635e-06,2.2427332e-06,6.9243442e-06
5,2.3045613e-06,2.505865e-05,7.037467e-06,7.954464e-06,2.976322e-06,3.1389948e-06,9.3852e-06,1.8402787e-05,1.2680077e-05,2.9302362e-06,6.2506774e-06,2.3149525e-05,2.405104e-05,2.2956078e-06,1.5925776e-05,4.4418175e-06,2.6459315e-05,2.6758045e-05,1.4476225e-07,8.4757185e-06,3.381211e-05,2.8973352e-06,9.0463245e-06,5.607256e-06,7.3647834e-06,5.071709e-06,5.6570043e-06,6.296885e-06,6.3765474e-06,6.111423e-06,7.91646e-06,3.387277e-06,1.4547319e-05,9.941371e-06,5.998005e-06,2.7728097e-06,3.0310407e-06,7.2242374e-06,1.8723496e-06,6.6885564e-06,7.4835093e-06,1.10733135e-05,3.947339e-06,1.0765473e-06,6.05796e-06,3.0866886e-06,3.128253e-06,1.6688513e-05,1.7766408e-06,5.908161e-06
6,1.2351051e-06,4.4070646e-05,1.1267824e-05,8.607343e-06,3.3420308e-06,4.506995e-06,1.1006404e-05,3.2236047e-05,1.9312645e-05,2.7425247e-06,8.923062e-06,2.4840783e-05,3.461955e-05,3.2634823e-06,1.7017192e-05,2.7274957e-06,4.224695e-05,4.095558e-05,2.2765132e-08,1.2325875e-05,4.4340468e-05,3.1279994e-06,1.296793e-05,7.5453104e-06,9.9625495e-06,4.9328687e-06,2.8706202e-06,4.304652e-06,9.271523e-06,9.797571e-06,6.392075e-06,1.1366719e-06,2.0423548e-05,6.5873305e-06,8.009882e-06,1.8672289e-06,3.056437e-06,7.0473334e-06,2.6233956e-06,5.425751e-06,8.740503e-06,1.5749865e-05,7.975477e-07,7.168601e-08,4.452996e-06,7.543912e-07,1.0421153e-06,2.5947604e-05,1.2455005e-06,4.589448e-06
7,4.1262265e-07,6.375357e-05,1.5251221e-05,8.447425e-06,3.3575147e-06,5.6869358e-06,1.17407135e-05,4.634226e-05,2.5155987e-05,2.3243356e-06,1.10010515e-05,2.4628904e-05,4.387706e-05,4.0441796e-06,1.6765212e-05,1.2691394e-06,5.7256515e-05,5.3921136e-05,4.7465508e-07,1.5566644e-05,5.224776e-05,2.9929681e-06,1.6169206e-05,8.896016e-06,1.1853192e-05,4.368695e-06,8.926037e-07,2.4243614e-06,1.1687781e-05,1.3221647e-05,4.566955e-06,5.272744e-08,2.5448859e-05,3.586402e-06,9.498751e-06,1.031719e-06,2.7330768e-06,6.2693675e-06,3.1658171e-06,3.876999e-06,9.28799e-06,1.9616655e-05,5.203975e-08,2.6677895e-07,2.7792523e-06,4.5994835e-09,4.4813138e-08,3.453096e-05,7.0734933e-07,3.1059533e-06
8,1.1738148e-08,8.135742e-05,1.8383918e-05,7.483499e-06,3.0101303e-06,6.483595e-06,1.1442652e-05,5.8731304e-05,2.931927e-05,1.7212245e-06,1.2127197e-05,2.2461374e-05,5.050603e-05,4.4979392e-06,1.5127805e-05,2.8198892e-07,6.937746e-05,6.3832704e-05,1.5173613e-06,1.7676854e-05,5.6358058e-05,2.5112488e-06,1.8149954e-05,9.433595e-06,1.2716662e-05,3.4356372e-06,1.6706915e-08,9.0588185e-07,1.3237909e-05,1.586228e-05,2.6800626e-06,4.4223916e-07,2.8885246e-05,1.2799621e-06,1.0213429e-05,3.6860118e-07,2.1103294e-06,4.9721843e-06,3.3916529e-06,2.2632696e-06,9.00872e-06,2.2069506e-05,1.8896973e-06,1.7270758e-06,1.280723e-06,1.1002155e-06,4.2857232e-07,4.120321e-05,2.5407948e-07,1.6603718e-06
9,2.408723e-07,9.4542746e-05,2.0202433e-05,5.860348e-06,2.3550506e-06,6.747314e-06,1.010389e-05,6.7766654e-05,3.1204563e-05,1.0322216e-06,1.2111803e-05,1.8554245e-05,5.351658e-05,4.531906e-06,1.2290485e-05,1.7962826e-08,7.698852e-05,6.9348076e-05,3.1575198e-06,1.8316041e-05,5.601669e-05,1.7810594e-06,1.8593924e-05,9.062219e-06,1.23922655e-05,2.2789234e-06,5.6290924e-07,6.749065e-08,1.3666029e-05,1.7323377e-05,1.0550201e-06,2.5945092e-06,3.019885e-05,7.79407e-08,1.0027589e-05,1.8487226e-08,1.3109709e-06,3.3446106e-06,3.248858e-06,8.755849e-07,7.9177535e-06,2.272695e-05,6.461938e-06,4.505263e-06,2.5447574e-07,4.278744e-06,2.4726976e-06,4.5032903e-05,1.05568025e-08,5.1822667e-07
