,MSE0,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20,MSE21,MSE22,MSE23,MSE24,MSE25,MSE26,MSE27,MSE28,MSE29,MSE30,MSE31,MSE32,MSE33,MSE34,MSE35,MSE36,MSE37,MSE38,MSE39,MSE40,MSE41,MSE42,MSE43,MSE44,MSE45,MSE46,MSE47,MSE48,MSE49
0,1.35418e-05,2.4349529e-05,1.3320663e-06,1.2728414e-05,1.3285367e-05,1.4322093e-05,8.831893e-06,1.7203254e-06,2.7170497e-06,1.4705039e-06,4.074028e-05,1.490405e-05,1.1675513e-05,6.505015e-07,1.0902835e-06,7.759252e-06,7.1158875e-06,3.1682277e-06,1.5044963e-06,5.642659e-06,9.0816364e-08,1.7258817e-06,7.629771e-06,8.696425e-06,1.2060688e-06,6.9747075e-05,3.845767e-06,1.2629743e-05,4.991575e-05,8.7700326e-05,1.5312773e-05,9.153338e-06,2.3598972e-05,8.745581e-06,2.1225916e-05,5.343648e-06,1.944375e-05,2.9394623e-06,3.1451244e-05,8.4545735e-07,4.486754e-06,8.427514e-07,2.9383516e-06,2.3451688e-05,4.1872536e-06,1.38755295e-05,1.6596909e-05,2.6378624e-05,4.7331476e-05,1.4088936e-05
1,4.873721e-06,8.732967e-06,2.6027024e-07,4.132702e-06,4.7833096e-06,4.0598957e-06,2.6419173e-06,5.5968627e-07,7.815286e-07,5.1780535e-07,1.0898077e-05,5.1774964e-06,4.1314083e-06,4.071423e-08,8.897474e-07,2.8768538e-06,3.1680006e-06,8.751468e-07,3.7431641e-07,1.9179586e-06,6.017738e-11,3.4272338e-07,2.693319e-06,3.031972e-06,3.7415117e-07,2.345273e-05,1.0371847e-06,3.937761e-06,1.7793951e-05,2.5426241e-05,5.009166e-06,2.5885408e-06,6.5257655e-06,2.6910143e-06,7.223968e-06,1.7999577e-06,5.3560925e-06,7.736717e-07,9.585555e-06,1.1306355e-07,1.2186199e-06,1.9154803e-07,4.4847897e-07,7.3811184e-06,1.257673e-06,3.3734682e-06,6.072348e-06,9.464739e-06,1.4122007e-05,3.714783e-06
2,6.466159e-07,1.1599981e-06,7.794649e-09,3.4859747e-07,6.372723e-07,1.343942e-07,1.2952789e-07,4.256131e-08,2.7132947e-08,4.815386e-08,2.2532109e-07,5.850056e-07,5.110411e-07,1.112585e-07,5.727241e-07,4.196255e-07,7.2371773e-07,2.3950449e-08,7.1580386e-10,1.8667156e-07,7.39966e-08,9.138987e-09,3.248086e-07,3.224471e-07,2.0598419e-08,2.4722794e-06,1.8978167e-08,2.676106e-07,2.3355842e-06,1.1904827e-06,4.3063363e-07,8.44103e-08,1.789756e-07,1.7213067e-07,7.587264e-07,1.7945982e-07,1.5449116e-07,9.806884e-09,5.931916e-07,4.068586e-08,2.5716071e-08,5.5633265e-10,8.739466e-08,5.251091e-07,6.245835e-08,1.2013268e-08,8.310378e-07,1.2756876e-06,8.039094e-07,6.183274e-08
3,2.6558942e-07,4.6168853e-07,3.981822e-07,5.564027e-07,2.5516846e-07,1.3093132e-06,6.5468055e-07,9.237006e-08,2.5005718e-07,7.5920745e-08,4.3068926e-06,4.2573242e-07,2.7111025e-07,6.2918264e-07,2.4536624e-07,1.1978086e-07,9.493357e-09,3.0576427e-07,2.6826984e-07,2.2059126e-07,2.3704602e-07,5.161664e-07,1.9110801e-07,3.0527892e-07,8.8626706e-08,2.05207e-06,4.4792154e-07,6.9188144e-07,9.600411e-07,6.0887473e-06,6.6428834e-07,8.3883407e-07,2.3043988e-06,5.0099294e-07,6.7847765e-07,1.8519974e-07,1.7978119e-06,3.7938347e-07,1.8256585e-06,4.6890986e-07,4.914348e-07,2.0815278e-07,1.3646984e-06,1.2427341e-06,3.0964992e-07,2.0800626e-06,3.1859295e-07,4.7000592e-07,2.8407662e-06,1.6087434e-06
4,3.008542e-06,5.257551e-06,1.2270342e-06,3.847481e-06,2.9113637e-06,6.25329e-06,3.4816103e-06,5.9652325e-07,1.2103472e-06,5.6528097e-07,1.8726681e-05,3.8307503e-06,2.7483372e-06,1.3706349e-06,2.9397087e-08,1.6161055e-06,1.0795341e-06,1.3878494e-06,1.0218051e-06,1.7049426e-06,4.1991115e-07,1.6153283e-06,1.8641205e-06,2.5621935e-06,4.938918e-07,1.7172171e-05,1.937112e-06,4.1896315e-06,1.075168e-05,3.1479114e-05,4.6546606e-06,3.9860224e-06,1.0563027e-05,2.944029e-06,5.648401e-06,1.4583217e-06,8.253072e-06,1.5733096e-06,1.0555935e-05,1.2164166e-06,2.1556646e-06,7.228052e-07,3.7401276e-06,7.737587e-06,1.65202e-06,7.864516e-06,3.7739758e-06,5.5146347e-06,1.5767877e-05,6.8056484e-06
5,8.044479e-06,1.3996261e-05,2.2744132e-06,9.248118e-06,7.768452e-06,1.3584524e-05,7.808419e-06,1.4117655e-06,2.6423095e-06,1.4279066e-06,3.9192004e-05,9.78884e-06,7.1800387e-06,2.13131e-06,4.0289315e-08,4.4622466e-06,3.7971656e-06,2.927176e-06,2.0744621e-06,4.2481784e-06,5.6482077e-07,3.0316307e-06,4.8362654e-06,6.534814e-06,1.1280024e-06,4.2688385e-05,4.0738087e-06,9.681269e-06,2.853621e-05,6.916698e-05,1.1236846e-05,8.624367e-06,2.2594397e-05,6.744266e-06,1.4189532e-05,3.5919313e-06,1.7546461e-05,3.2568291e-06,2.4052168e-05,2.0917769e-06,4.5327565e-06,1.4280167e-06,6.6487232e-06,1.8110843e-05,3.7015752e-06,1.570114e-05,1.0245989e-05,1.4727312e-05,3.5304383e-05,1.412384e-05
6,1.4466095e-05,2.5019319e-05,3.318955e-06,1.5754904e-05,1.3910633e-05,2.1924148e-05,1.2805905e-05,2.3737925e-06,4.2682987e-06,2.5279194e-06,6.168252e-05,1.7195423e-05,1.2735764e-05,2.7395083e-06,3.6558058e-07,8.145478e-06,7.839339e-06,4.58867e-06,3.2210423e-06,7.401429e-06,6.31177e-07,4.4823723e-06,8.543768e-06,1.1552356e-05,1.8654933e-06,7.351804e-05,6.4406618e-06,1.607599e-05,5.0987273e-05,0.00011160655,1.9184594e-05,1.3856587e-05,3.6109708e-05,1.1151043e-05,2.4736282e-05,6.151419e-06,2.782838e-05,5.0887943e-06,3.9668615e-05,2.908505e-06,7.137581e-06,2.1913252e-06,9.534621e-06,3.0430347e-05,6.051053e-06,2.40378e-05,1.862988e-05,2.6338255e-05,5.7468642e-05,2.211426e-05
7,2.1328877e-05,3.6639933e-05,4.159947e-06,2.2379867e-05,2.0392494e-05,2.9967432e-05,1.7665085e-05,3.3103058e-06,5.8174273e-06,3.69321e-06,8.2614875e-05,2.4906889e-05,1.855977e-05,3.0693484e-06,1.0456407e-06,1.211179e-05,1.27102185e-05,6.066607e-06,4.2561146e-06,1.06840225e-05,5.999977e-07,5.7024863e-06,1.2400885e-05,1.6873346e-05,2.5743716e-06,0.00010483749,8.638719e-06,2.2329346e-05,7.476593e-05,0.00015214585,2.7270944e-05,1.8835637e-05,4.898566e-05,1.5455476e-05,3.571036e-05,8.701929e-06,3.7445705e-05,6.7440583e-06,5.4953907e-05,3.502644e-06,9.514918e-06,2.8761779e-06,1.1891345e-05,4.2821815e-05,8.301292e-06,3.1500564e-05,2.7719527e-05,3.857017e-05,7.871567e-05,2.9470553e-05
8,2.7709417e-05,4.7243044e-05,4.6366836e-06,2.8206376e-05,2.6295424e-05,3.6557325e-05,2.1656886e-05,4.058549e-06,7.046614e-06,4.731228e-06,9.900433e-05,3.182385e-05,2.382804e-05,3.0522276e-06,2.0589116e-06,1.5803364e-05,1.7778013e-05,7.108255e-06,4.9962377e-06,1.3619083e-05,4.778244e-07,6.469689e-06,1.5840493e-05,2.1742379e-05,3.1296204e-06,0.00013233144,1.032427e-05,2.7509372e-05,9.669219e-05,0.00018524796,3.434933e-05,2.2817632e-05,5.9381236e-05,1.9032263e-05,4.560957e-05,1.0841344e-05,4.501923e-05,7.94397e-06,6.776793e-05,3.7537347e-06,1.1274517e-05,3.3582833e-06,1.3308596e-05,5.356957e-05,1.009254e-05,3.697266e-05,3.6293022e-05,4.9738435e-05,9.608495e-05,3.5104164e-05
9,3.2765947e-05,5.5401244e-05,4.649731e-06,3.245073e-05,3.080302e-05,4.0766863e-05,2.418935e-05,4.484494e-06,7.762559e-06,5.4575503e-06,0.00010863856,3.6972047e-05,2.7808657e-05,2.686487e-06,3.317059e-06,1.8704857e-05,2.2359261e-05,7.5366825e-06,5.3017507e-06,1.5779258e-05,2.977018e-07,6.6371476e-06,1.8363686e-05,2.5458781e-05,3.4287982e-06,0.00015242444,1.1231266e-05,3.086668e-05,0.000113940354,0.0002067249,3.943287e-05,2.5220303e-05,6.586293e-05,2.1382339e-05,5.311871e-05,1.223705e-05,4.9521772e-05,8.483592e-06,7.6407945e-05,3.6009874e-06,1.2128824e-05,3.5424748e-06,1.3518876e-05,6.123036e-05,1.1139358e-05,3.966386e-05,4.3196163e-05,5.8358422e-05,0.000107322085,3.821588e-05
