,LOSS0,LOSS1,LOSS2,LOSS3,LOSS4,LOSS5,LOSS6,LOSS7,LOSS8,LOSS9,LOSS10,LOSS11,LOSS12,LOSS13,LOSS14,LOSS15,LOSS16,LOSS17,LOSS18,LOSS19,LOSS20,LOSS21,LOSS22,LOSS23,LOSS24,LOSS25,LOSS26,LOSS27,LOSS28,LOSS29,LOSS30,LOSS31,LOSS32,LOSS33,LOSS34,LOSS35,LOSS36,LOSS37,LOSS38,LOSS39,LOSS40,LOSS41,LOSS42,LOSS43,LOSS44,LOSS45,LOSS46,LOSS47,LOSS48,LOSS49
0,0.3275219,0.3156126,0.23906761,0.23958695,0.45704952,0.23931691,0.5509015,0.30803204,0.7704608,0.41528147,0.24663767,0.3322089,0.2838955,0.35871118,0.27035087,0.45719007,0.20699863,0.400374,0.27330226,0.2475341,0.24841888,0.2934144,0.38930917,0.34621117,0.27061453,0.32191983,0.27015117,0.32752016,0.4820349,0.2638714,0.35800856,0.20800667,0.5182906,0.45116812,0.25565404,0.27466065,0.24564049,0.5158743,0.2568155,0.27846184,0.26237503,0.332289,0.24827546,0.31388053,0.26708302,0.3937814,0.23467688,0.2919385,0.41585124,0.3664769
1,0.3248324,0.3087451,0.2363481,0.23864822,0.4469452,0.23902798,0.52943224,0.30377385,0.72236216,0.37041247,0.24321675,0.31935537,0.28197494,0.3449679,0.26986888,0.43169183,0.20619194,0.3913924,0.27069706,0.24696761,0.2471066,0.28862536,0.3775803,0.33957583,0.26545846,0.31190374,0.26784497,0.31988588,0.44840553,0.26190788,0.34718943,0.20685026,0.4781127,0.42794707,0.25508165,0.2698639,0.24472108,0.46746117,0.25484693,0.27520332,0.25976306,0.3243925,0.24775831,0.30905688,0.26448384,0.379515,0.23328075,0.29059133,0.40411878,0.3571534
2,0.31996357,0.2966768,0.2314841,0.23690014,0.42877686,0.23848172,0.49025518,0.29590365,0.6379317,0.30937368,0.23705466,0.2977898,0.27845854,0.32161465,0.2689406,0.39018455,0.20472902,0.3749389,0.2659912,0.24587263,0.24473232,0.28003114,0.35664135,0.32811627,0.2565542,0.29426187,0.26370522,0.30635068,0.3959006,0.25828326,0.32793838,0.20487955,0.4130375,0.3884432,0.25397578,0.26180327,0.24300255,0.39200494,0.25122377,0.2692786,0.25480723,0.31047747,0.2467678,0.30045867,0.25971776,0.3553342,0.23082261,0.28813213,0.38269076,0.3407768
3,0.3136714,0.281821,0.22532727,0.2345357,0.40552014,0.2377246,0.4391878,0.28543195,0.5343047,0.26028898,0.22917552,0.2729645,0.27381194,0.29441088,0.26761985,0.34485123,0.20283122,0.35335708,0.25995114,0.24430554,0.24167307,0.269099,0.33024654,0.31423637,0.24592103,0.2724925,0.2584373,0.28947654,0.34159043,0.25346872,0.30383727,0.20251682,0.34221315,0.3422502,0.2523966,0.25256288,0.24066022,0.3151095,0.24641047,0.26158407,0.24792442,0.29330128,0.245369,0.2896426,0.25344637,0.3266378,0.22777905,0.2848997,0.35472137,0.320604
4,0.30679637,0.26675022,0.21882096,0.2317743,0.38039663,0.23680902,0.38315994,0.27358836,0.43007776,0.23756048,0.22074635,0.24990375,0.26853138,0.26908126,0.26597062,0.30632195,0.20074162,0.32945588,0.2534612,0.2423323,0.23835818,0.257472,0.30259982,0.30016896,0.23567255,0.25039923,0.25283173,0.27208316,0.29832238,0.24803355,0.2789318,0.20010225,0.28202322,0.29891494,0.25041905,0.24413683,0.23788579,0.25703844,0.24092767,0.25315052,0.2396266,0.27587062,0.24363776,0.27833456,0.24644591,0.2980281,0.22464539,0.28125405,0.32397196,0.30006573
5,0.30010897,0.253664,0.2128231,0.22882614,0.35624593,0.2357836,0.32921046,0.26166227,0.34182176,0.24006201,0.21287502,0.23208989,0.26304984,0.24992096,0.26405868,0.28083712,0.19867687,0.30611008,0.24737358,0.24001977,0.23519485,0.2466682,0.27759948,0.2874604,0.2275593,0.23135427,0.24761958,0.25669578,0.27228475,0.24256855,0.25700077,0.19780305,0.24250358,0.26583648,0.2481259,0.23793697,0.23485143,0.22795765,0.23526612,0.24496819,0.23046502,0.2608489,0.24165058,0.26810023,0.23948735,0.27244785,0.22182666,0.2775019,0.29426292,0.28206697
6,0.29419065,0.24401213,0.20796745,0.22586417,0.335093,0.23468609,0.2835524,0.25084838,0.2814337,0.25649202,0.20644055,0.22109869,0.25767973,0.23896033,0.2619439,0.2692441,0.1967897,0.2858828,0.24237779,0.23742788,0.23250504,0.23783861,0.25824156,0.276812,0.22265802,0.21775138,0.24335596,0.2451135,0.26365033,0.23761283,0.24093549,0.19561139,0.22669156,0.24706936,0.24560097,0.23454337,0.2316824,0.22735901,0.22982396,0.23783691,0.22098093,0.2501033,0.23947644,0.26008248,0.23323004,0.25121358,0.21956514,0.27384588,0.26896077,0.26852793
7,0.28936604,0.23832339,0.20458235,0.2230072,0.31798112,0.23353809,0.25081253,0.2421158,0.25446993,0.27311772,0.2019786,0.21680214,0.25259414,0.2358287,0.2596745,0.26780948,0.19514723,0.27071604,0.238907,0.23460442,0.23048405,0.23161633,0.24625593,0.26823616,0.22124463,0.21070433,0.24034765,0.23816667,0.26853883,0.23359342,0.2323108,0.19341026,0.2318151,0.24302456,0.2429236,0.23370616,0.22844332,0.24636377,0.22487397,0.23226148,0.21166715,0.24445342,0.23717175,0.25484547,0.2281421,0.23451993,0.21791385,0.27036417,0.25056365,0.2602006
8,0.2856891,0.23624277,0.20267206,0.22031477,0.30505428,0.23234424,0.23352242,0.23611322,0.25957564,0.28023052,0.19963297,0.21786848,0.24784157,0.23827806,0.25728303,0.27042603,0.19372787,0.261724,0.23709407,0.23158245,0.22918347,0.22807233,0.2419952,0.26138,0.22284602,0.20999776,0.23863192,0.23568913,0.28111404,0.23078275,0.23119973,0.19106522,0.25130206,0.25093165,0.24016419,0.23454623,0.22513875,0.27193084,0.22055806,0.22840595,0.20294262,0.24364284,0.23477806,0.25234073,0.22445631,0.22201821,0.21675427,0.26702285,0.24043323,0.25673127
9,0.28297636,0.23674174,0.20195478,0.21779162,0.2958066,0.23109373,0.23191155,0.23311865,0.28918776,0.27503592,0.19917382,0.22233517,0.24338019,0.24314745,0.25478548,0.2712859,0.19243622,0.25911027,0.23677972,0.22838065,0.2285198,0.22677137,0.24455307,0.25584444,0.22643344,0.21426706,0.23800288,0.23668885,0.2953198,0.22927848,0.23625739,0.18849947,0.2769688,0.26587468,0.23738158,0.23587248,0.22172587,0.2917771,0.21690309,0.22610869,0.19513868,0.24651907,0.23232242,0.2519884,0.22216418,0.21324787,0.2158469,0.26371065,0.23869832,0.25690576
