,MSE0,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20,MSE21,MSE22,MSE23,MSE24,MSE25,MSE26,MSE27,MSE28,MSE29,MSE30,MSE31,MSE32,MSE33,MSE34,MSE35,MSE36,MSE37,MSE38,MSE39,MSE40,MSE41,MSE42,MSE43,MSE44,MSE45,MSE46,MSE47,MSE48,MSE49
0,3.831177e-08,2.0985276e-06,7.26334e-08,7.503396e-08,3.207007e-08,2.0179952e-08,2.2890575e-07,2.1354342e-08,4.423733e-08,4.113722e-07,2.3669518e-06,1.0277534e-08,3.921545e-07,4.9233474e-08,2.2876718e-09,5.234461e-07,6.4868937e-07,4.747195e-05,7.9309503e-10,3.318968e-08,6.6946143e-07,1.3140234e-06,2.9371433e-10,1.1115407e-06,2.6524248e-07,1.4925211e-08,3.1569182e-06,5.663362e-07,3.1710834e-07,1.94946e-08,2.1095943e-06,3.1761751e-06,8.3021877e-07,1.2520427e-07,2.8103155e-09,3.639145e-08,6.1593147e-07,9.5351174e-07,4.473584e-08,3.5745066e-07,1.4417177e-08,3.680207e-08,1.8300213e-07,8.954687e-07,6.3858124e-07,1.3585233e-06,6.0240984e-07,6.755058e-08,1.575511e-06,1.3629501e-06
1,1.2381939e-07,1.0270844e-06,1.9090176e-07,2.3501023e-07,6.0395315e-08,8.108896e-09,2.414544e-08,2.9611083e-08,1.389738e-07,4.675797e-07,1.365273e-06,1.9930084e-07,3.2061422e-07,2.4169387e-07,9.28108e-08,4.1716706e-07,1.0057e-07,1.5721651e-05,3.1612515e-08,2.813313e-08,1.2312906e-07,8.592359e-07,4.1408356e-08,5.256907e-07,2.7839098e-07,2.679383e-07,1.2976502e-06,3.706949e-09,1.9611701e-09,6.727657e-10,1.9843074e-10,1.1009158e-06,7.65753e-07,4.7021655e-07,7.1797096e-08,4.5812706e-07,2.5520882e-07,6.3324126e-07,1.5064126e-08,6.17412e-07,1.4056337e-07,7.6136054e-08,9.495894e-08,5.657552e-07,6.2599014e-08,1.8008036e-07,5.220558e-07,7.403654e-08,1.0855731e-08,6.498629e-10
2,1.6669608e-07,2.8339724e-07,8.438583e-07,3.3824725e-07,2.9635856e-07,1.9141961e-09,1.599182e-08,1.5904915e-07,6.089199e-07,3.8089976e-07,5.1128575e-07,4.1772782e-07,1.720904e-07,9.619762e-07,2.772161e-07,2.581896e-07,1.3732573e-06,1.5485144e-06,9.4195045e-08,1.6535348e-07,1.4647512e-06,3.7572235e-07,9.826426e-08,1.3306548e-07,2.2286713e-07,5.5730516e-07,2.2981078e-07,4.8227236e-07,2.692067e-07,2.292966e-08,1.256852e-06,1.05278474e-07,5.122111e-07,1.9884023e-06,2.2295629e-07,9.1917906e-07,2.1250466e-06,2.830794e-07,1.1957547e-07,6.5500944e-07,5.0853055e-07,3.47198e-07,7.128785e-07,2.2606484e-07,5.6752977e-08,4.5334822e-08,3.6335666e-07,4.0669087e-07,1.3676544e-06,7.5983917e-07
3,1.4353806e-07,4.0580822e-10,1.4302518e-06,3.3158094e-07,5.2478066e-07,6.1310497e-12,1.3186619e-07,2.9423924e-07,1.0460348e-06,2.0805815e-07,3.9360156e-08,5.133833e-07,3.6974257e-08,1.596448e-06,3.9886882e-07,1.0046533e-07,3.1272853e-06,1.5600821e-06,1.3504872e-07,2.98001e-07,3.175725e-06,5.0091266e-08,1.2571212e-07,2.1680494e-10,1.2660647e-07,6.8347e-07,3.4161523e-08,1.3382788e-06,7.507326e-07,5.672943e-08,3.8635344e-06,1.4220278e-07,2.0716759e-07,3.4024265e-06,3.2697133e-07,1.1196959e-06,4.3822342e-06,4.0949892e-08,2.2307272e-07,4.7784994e-07,8.2222033e-07,5.8337275e-07,1.42046e-06,1.8609578e-08,4.352846e-07,5.558182e-07,1.8001475e-07,7.252323e-07,3.811442e-06,2.362155e-06
4,7.771742e-08,2.5618843e-07,1.6695986e-06,2.3152201e-07,6.339844e-07,1.1557247e-09,3.0355667e-07,3.7338572e-07,1.2421403e-06,4.7157748e-08,1.2965097e-07,4.557312e-07,6.5449943e-09,1.8496459e-06,4.019498e-07,6.5643064e-09,4.502155e-06,1.2191781e-05,1.3622481e-07,3.577205e-07,4.376112e-06,4.7996128e-08,1.13303635e-07,1.5984214e-07,3.5036944e-08,6.058657e-07,6.976181e-07,2.1262967e-06,1.197297e-06,8.332564e-08,6.427004e-06,1.0810688e-06,1.3531719e-08,4.0650607e-06,3.360967e-07,9.948517e-07,5.9293516e-06,2.97509e-08,2.6673814e-07,2.0769913e-07,9.419719e-07,6.690663e-07,1.8616176e-06,5.8881938e-08,1.0135454e-06,1.3762569e-06,3.8403535e-08,8.666274e-07,6.084276e-06,3.9389606e-06
5,1.5359984e-08,1.0573842e-06,1.5188533e-06,9.8212226e-08,5.954958e-07,4.343958e-09,4.7304658e-07,3.7672723e-07,1.1527355e-06,6.578018e-09,8.7760174e-07,2.928534e-07,1.4639721e-07,1.6716459e-06,3.0206513e-07,3.594425e-08,5.053047e-06,2.9812252e-05,1.0261565e-07,3.3279827e-07,4.7004046e-06,4.7934134e-07,7.2726074e-08,6.031558e-07,5.1441296e-10,3.8797174e-07,2.1079222e-06,2.594355e-06,1.4649997e-06,9.365096e-08,8.11977e-06,2.712676e-06,7.631353e-08,3.8290264e-06,2.602986e-07,6.4365867e-07,6.3000625e-06,3.279824e-07,2.4398636e-07,1.663364e-08,8.4700656e-07,5.9298577e-07,1.9024268e-06,4.0929896e-07,1.6219032e-06,2.2416878e-06,5.1483413e-09,8.0090865e-07,7.4585114e-06,4.981482e-06
6,4.6020654e-09,2.3335813e-06,1.0892716e-06,7.986062e-09,4.4225536e-07,8.741382e-09,5.9764204e-07,3.1350848e-07,8.4406224e-07,1.7519554e-07,2.2733684e-06,1.1287891e-07,4.7878154e-07,1.1822649e-06,1.5736354e-07,2.33058e-07,4.7037197e-06,5.08555e-05,5.400482e-08,2.465229e-07,4.169679e-06,1.372209e-06,2.7238766e-08,1.2775854e-06,6.915603e-08,1.4677671e-07,4.0596997e-06,2.6520947e-06,1.4990248e-06,8.697794e-08,8.586888e-06,4.764172e-06,4.8612725e-07,2.8877148e-06,1.4376344e-07,2.498707e-07,5.5247283e-06,9.512518e-07,1.7716553e-07,6.812884e-08,5.9914237e-07,4.1010028e-07,1.5789055e-06,1.06542e-06,2.116503e-06,2.9575913e-06,1.3484969e-07,5.8417237e-07,7.653671e-06,5.280143e-06
7,7.796306e-08,3.9372585e-06,5.688368e-07,2.9923534e-08,2.4220242e-07,1.3761985e-08,6.5103274e-07,2.1015586e-07,4.5135621e-07,5.991956e-07,4.194794e-06,6.516423e-09,9.734849e-07,5.95039e-07,3.787037e-08,6.160536e-07,3.6505592e-06,7.196862e-05,1.3652512e-08,1.3813808e-07,3.0533865e-06,2.6602402e-06,1.2301253e-09,2.092461e-06,2.6954604e-07,6.9544037e-09,6.2693525e-06,2.3326925e-06,1.3149396e-06,6.724729e-08,7.8550665e-06,6.9158505e-06,1.2570387e-06,1.6402315e-06,4.1212843e-08,1.41514365e-08,3.9644196e-06,1.8487549e-06,9.7672874e-08,4.7007927e-07,3.03914e-07,2.0238282e-07,1.037759e-06,1.9542908e-06,2.3924024e-06,3.4003835e-06,4.5866366e-07,3.1528967e-07,6.746367e-06,4.85805e-06
8,2.4218707e-07,5.6551153e-06,1.5510372e-07,2.0630628e-07,7.305156e-08,1.8779303e-08,6.261042e-07,1.0184159e-07,1.2634948e-07,1.266776e-06,6.4128976e-06,4.13274e-08,1.5517628e-06,1.4036323e-07,1.4067953e-09,1.1686158e-06,2.2527495e-06,9.0183756e-05,2.1841319e-10,4.7236757e-08,1.7424591e-06,4.186095e-06,1.1804332e-08,2.9240482e-06,6.06547e-07,6.324045e-08,8.40551e-06,1.7544512e-06,9.796586e-07,4.1986986e-08,6.223406e-06,8.838234e-06,2.3178313e-06,5.464312e-07,9.146089e-13,9.696658e-08,2.1631747e-06,2.9059208e-06,3.3949675e-08,1.2443428e-06,7.420213e-08,4.7941743e-08,4.771511e-07,2.9418045e-06,2.3941661e-06,3.5149494e-06,9.757598e-07,9.585448e-08,5.070604e-06,3.8963576e-06
9,4.7372149e-07,7.2353423e-06,5.981376e-11,5.3919854e-07,3.0988767e-10,2.3586955e-08,5.326637e-07,2.30636e-08,2.9465503e-11,2.103686e-06,8.619529e-06,2.4259836e-07,2.1020262e-06,5.145126e-09,7.8293404e-08,1.8365704e-06,9.446341e-07,0.00010309242,2.2871223e-08,2.3374374e-09,6.3691255e-07,5.7162965e-06,6.423366e-08,3.636501e-06,1.0526228e-06,3.5585586e-07,1.0128144e-05,1.0805397e-06,5.8807996e-07,1.880918e-08,4.1493345e-06,1.0222129e-05,3.520498e-06,1.3157599e-08,4.632297e-08,5.7763907e-07,6.899931e-07,3.9573574e-06,2.5563949e-09,2.3144473e-06,1.7139669e-09,9.813453e-10,9.028784e-08,3.8567605e-06,2.120312e-06,3.3045242e-06,1.6472868e-06,1.0553507e-09,3.0972194e-06,2.6623977e-06
