,MSE0,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20,MSE21,MSE22,MSE23,MSE24,MSE25,MSE26,MSE27,MSE28,MSE29,MSE30,MSE31,MSE32,MSE33,MSE34,MSE35,MSE36,MSE37,MSE38,MSE39,MSE40,MSE41,MSE42,MSE43,MSE44,MSE45,MSE46,MSE47,MSE48,MSE49
0,3.2596912e-08,3.9119584e-07,3.3222018e-06,1.255493e-08,8.198447e-10,1.5009867e-06,3.2936693e-08,1.9885289e-07,1.2947024e-07,3.2641678e-06,3.6533532e-07,6.2197914e-06,3.0016855e-07,7.9951235e-07,1.1213282e-07,6.9799826e-12,5.492952e-07,1.9984236e-08,2.8517135e-07,1.9304101e-08,9.139174e-07,1.6514075e-08,2.1812866e-08,5.078154e-11,1.7155866e-09,1.3466596e-09,8.9608614e-07,9.179966e-09,5.362512e-06,1.831675e-07,9.583076e-07,1.4509074e-07,4.497719e-06,3.2994033e-06,1.812183e-06,2.5255463e-07,6.802004e-08,1.6906925e-07,5.0298495e-06,8.268732e-07,1.7362426e-06,3.7540465e-07,1.1292886e-07,1.1786468e-07,1.357029e-09,1.0897826e-08,1.19044884e-07,7.2888713e-07,1.9623953e-06,8.344171e-08
1,9.758478e-09,1.3212504e-07,2.374006e-06,8.2040563e-10,3.8088623e-07,6.7614087e-07,1.0447889e-09,7.859474e-09,2.0094676e-07,2.7885544e-06,1.1621891e-07,8.895148e-07,1.040146e-08,9.713499e-09,1.4860872e-07,1.008345e-09,2.0851384e-07,3.8765766e-08,1.5716127e-08,2.5921183e-08,2.0846787e-07,2.029198e-08,1.4653555e-09,5.865068e-08,2.9271348e-07,2.5571495e-07,1.11823e-06,5.933685e-09,1.1414795e-06,7.249485e-08,1.6802497e-08,1.0321581e-07,2.7060946e-06,1.1234673e-06,2.2474129e-07,1.24544e-07,2.9031698e-08,5.6004033e-09,4.9043847e-06,3.2075405e-07,8.177722e-07,7.618772e-08,1.2676461e-08,1.6959659e-07,4.842747e-09,8.196947e-10,1.4510445e-07,1.4958005e-07,1.5043939e-06,1.7181192e-08
2,9.2551855e-11,1.2000189e-06,1.530783e-06,1.7937519e-09,9.4464076e-07,1.3423322e-07,9.441224e-09,2.5570301e-07,1.0995001e-06,2.2812053e-06,8.960952e-09,1.8635421e-07,3.888585e-07,8.1398605e-07,1.3750048e-07,3.5761711e-09,3.0062335e-08,4.110557e-08,3.9424248e-07,1.06663556e-07,2.0420356e-10,1.2177442e-07,4.1796295e-09,1.1905212e-07,7.100191e-07,7.4434047e-07,1.1941975e-06,3.0788726e-08,4.6425317e-09,1.2165402e-08,3.491369e-07,6.051231e-08,1.354857e-06,1.178331e-07,9.17145e-08,3.1482124e-08,2.4816043e-09,5.7937324e-08,4.5741717e-06,6.7981766e-08,2.5231293e-07,5.6022724e-09,2.1587222e-07,1.928585e-07,1.46669e-08,9.442587e-09,7.924944e-07,1.7518712e-06,1.0588005e-06,2.1774254e-07
3,7.201193e-09,2.4761052e-06,8.333815e-07,1.0297527e-08,1.156619e-06,1.5526387e-08,4.547777e-08,6.371612e-07,2.091515e-06,1.7592099e-06,1.6928139e-08,2.6236585e-06,1.0232835e-06,2.3001705e-06,8.748506e-08,6.3962142e-09,1.06511475e-08,2.6533893e-08,9.679919e-07,1.440349e-07,1.3520423e-07,2.341198e-07,2.5013442e-08,1.1838911e-07,8.1975224e-07,1.0929355e-06,1.1081711e-06,4.513314e-08,1.1639427e-06,2.0410693e-09,1.3770776e-06,2.3841201e-08,4.610764e-07,1.04836296e-07,9.421299e-07,3.002661e-10,7.7784446e-09,2.7936247e-07,4.0377518e-06,4.565164e-11,1.3754229e-08,1.7704903e-07,5.2263636e-07,1.7972248e-07,1.7039747e-08,1.3917242e-08,1.4171868e-06,3.8223343e-06,6.509111e-07,5.1173214e-07
4,3.2673555e-08,3.2572232e-06,3.2365605e-07,2.229907e-08,9.493575e-07,3.9677977e-07,1.0379826e-07,9.311912e-07,2.7251529e-06,1.2431935e-06,1.0790877e-07,6.8162867e-06,1.5914283e-06,3.7755526e-06,2.765073e-08,8.238044e-09,1.3373852e-07,6.9605313e-09,1.4497541e-06,1.2108883e-07,4.7023556e-07,2.9632764e-07,5.668086e-08,7.194142e-08,6.044034e-07,1.1441609e-06,8.7792563e-07,4.0458005e-08,3.8033115e-06,3.7146016e-08,2.5980469e-06,2.146351e-09,3.6855656e-08,8.665544e-07,2.296959e-06,4.9790927e-08,5.380081e-08,6.086913e-07,3.319984e-06,5.5771245e-08,5.967585e-08,5.504525e-07,7.9065336e-07,1.3331764e-07,1.22064225e-08,1.15511325e-08,1.677799e-06,5.2205946e-06,3.128245e-07,7.686986e-07
5,7.407896e-08,3.2414275e-06,4.2835858e-08,3.4912933e-08,5.1850645e-07,1.2681895e-06,1.8142282e-07,1.0203552e-06,2.8061645e-06,7.661331e-07,2.469355e-07,1.1526056e-05,1.8812545e-06,4.77097e-06,9.133735e-11,8.317874e-09,3.6564484e-07,6.84978e-10,1.6893351e-06,6.969657e-08,8.7834917e-07,2.861976e-07,9.0533504e-08,2.1501513e-08,2.6368028e-07,9.075577e-07,5.601632e-07,2.399856e-08,7.1177806e-06,1.0697609e-07,3.6142314e-06,6.005683e-09,8.6196465e-08,2.1506082e-06,3.7054542e-06,1.8611495e-07,1.380685e-07,9.709853e-07,2.4701208e-06,1.8256323e-07,3.3108626e-07,1.0374491e-06,9.3673583e-07,6.9700256e-08,5.355663e-09,6.5578187e-09,1.50236e-06,5.4079583e-06,8.216192e-08,9.045372e-07
6,1.2468446e-07,2.4915937e-06,2.8677256e-08,4.626919e-08,1.3453284e-07,2.5235227e-06,2.7140248e-07,8.89521e-07,2.3600157e-06,3.6663323e-07,3.988576e-07,1.5717962e-05,1.8029351e-06,5.0401636e-06,4.953838e-08,6.49568e-09,6.5503025e-07,2.3914899e-08,1.6451792e-06,2.5998148e-08,1.2543534e-06,2.1554139e-07,1.17730465e-07,3.1480547e-11,2.8931144e-08,5.1183383e-07,2.400457e-07,7.530142e-09,1.0363492e-05,1.9574819e-07,4.1623653e-06,4.6505832e-08,5.981688e-07,3.682636e-06,4.784698e-06,3.995551e-07,2.4911395e-07,1.2873188e-06,1.5725852e-06,3.3699808e-07,7.5560393e-07,1.5162251e-06,9.265245e-07,1.520351e-08,8.56502e-10,2.7639555e-09,1.0189269e-06,4.404507e-06,9.236827e-11,8.848766e-07
7,1.7322716e-07,1.359322e-06,3.0782104e-07,5.508952e-08,9.385771e-10,3.96454e-06,3.52393e-07,6.066154e-07,1.5728299e-06,9.325821e-08,5.321697e-07,1.8604364e-05,1.3933796e-06,4.548395e-06,2.131782e-07,3.5000085e-09,9.352766e-07,8.308218e-08,1.3594046e-06,4.7494644e-09,1.5208433e-06,1.1870596e-07,1.3041638e-07,1.7247322e-08,3.8954898e-08,1.4560044e-07,2.8006236e-08,8.781503e-11,1.2908123e-05,2.8445245e-07,4.121962e-06,1.3323442e-07,1.5402986e-06,5.184422e-06,5.263811e-06,6.6334167e-07,3.6872643e-07,1.484974e-06,7.5155765e-07,4.8561225e-07,1.2512506e-06,1.8599874e-06,7.739025e-07,2.690824e-09,1.2839539e-10,1.1465454e-09,4.6391966e-07,2.6843595e-06,1.0665322e-07,7.211763e-07
8,2.0654016e-07,3.6145494e-07,8.883033e-07,6.0464814e-08,1.7637218e-07,5.324713e-06,3.9024337e-07,2.8888198e-07,7.268864e-07,5.829531e-10,6.224574e-07,1.9687941e-05,8.032767e-07,3.455735e-06,5.1201584e-07,7.7509943e-10,1.1349565e-06,1.7075945e-07,9.293274e-07,9.110497e-11,1.6315951e-06,3.607923e-08,1.2385328e-07,5.989604e-08,2.891754e-07,5.369795e-10,4.4855582e-08,4.3015778e-09,1.4280756e-05,3.533184e-07,3.5217136e-06,2.7180212e-07,2.8499699e-06,6.3915486e-06,5.0200165e-06,9.348725e-07,4.7692663e-07,1.5122747e-06,1.6718957e-07,6.043349e-07,1.7365702e-06,1.9651052e-06,5.2868756e-07,6.428265e-08,1.7249441e-09,1.1217913e-09,7.790573e-08,9.822367e-07,4.346673e-07,4.6704713e-07
9,2.123917e-07,3.8450114e-09,1.7507771e-06,6.197215e-08,5.6802196e-07,6.3165644e-06,3.494121e-07,5.894991e-08,1.2813895e-07,1.4550601e-07,6.541768e-07,1.880245e-05,2.5871697e-07,2.0736168e-06,9.3999716e-07,1.2656574e-10,1.1928494e-06,2.6366175e-07,4.7998526e-07,4.0204184e-11,1.5739596e-06,2.6344826e-10,9.871846e-08,1.0314334e-07,6.5380925e-07,2.2079482e-07,4.045999e-07,1.6337017e-08,1.422907e-05,3.8542856e-07,2.5231832e-06,4.603331e-07,4.428228e-06,7.087461e-06,4.106112e-06,1.1614236e-06,5.540639e-07,1.3519401e-06,1.3936523e-08,6.784909e-07,2.132619e-06,1.7847835e-06,2.6394326e-07,2.2199443e-07,3.0855067e-09,3.2995429e-09,2.3852667e-08,4.723352e-08,1.0019594e-06,2.0407407e-07
