,LOSS0,LOSS1,LOSS2,LOSS3,LOSS4,LOSS5,LOSS6,LOSS7,LOSS8,LOSS9,LOSS10,LOSS11,LOSS12,LOSS13,LOSS14,LOSS15,LOSS16,LOSS17,LOSS18,LOSS19,LOSS20,LOSS21,LOSS22,LOSS23,LOSS24,LOSS25,LOSS26,LOSS27,LOSS28,LOSS29,LOSS30,LOSS31,LOSS32,LOSS33,LOSS34,LOSS35,LOSS36,LOSS37,LOSS38,LOSS39,LOSS40,LOSS41,LOSS42,LOSS43,LOSS44,LOSS45,LOSS46,LOSS47,LOSS48,LOSS49
0,0.5257582,0.37939045,0.35996166,0.62103826,0.23867024,0.28073496,0.4161227,0.23530848,0.2913761,1.0737242,0.8047409,0.24059816,1.6068442,0.6456641,0.2279181,0.29636878,0.51045156,0.22922008,0.26081476,0.5454283,0.24565853,0.2320959,0.391861,0.6899032,0.28900307,0.23588678,1.5223894,0.23419069,0.23212206,0.5629486,0.34071788,0.22922784,0.24069287,0.32904765,0.24232505,0.33006746,0.23354344,0.6272221,0.31639168,0.29885447,0.46615127,0.24834576,0.68696,0.30410543,0.31079593,0.22965038,0.26206136,0.23926236,0.23168662,0.5199398
1,2.4401305,2.937778,2.4408338,1.8639951,3.7249599,2.7336173,3.182043,3.158426,3.2734494,1.1922525,1.2816765,3.5067594,0.72840047,1.92916,3.363568,3.14326,1.7233005,3.0956635,3.535756,2.2164311,3.265896,3.0852013,2.4435213,1.5174766,3.0010238,3.2931159,0.4596428,4.046397,3.4652016,1.7638714,2.4076831,3.7968898,3.8023808,2.7262955,3.8230338,2.184025,3.564391,1.9432377,2.5592678,2.5644412,1.9579519,3.211812,1.4145522,3.4122066,2.9903917,3.146899,3.004905,3.509368,3.9448395,1.9069148
2,0.3515565,0.30234203,0.26487517,0.33460104,0.23156981,0.24211891,0.3019363,0.23429155,0.2514617,0.32852465,0.2695582,0.23074129,0.27295223,0.3730332,0.22987035,0.2455969,0.2899534,0.25139204,0.23764758,0.34992713,0.23229918,0.23889835,0.27789485,0.31646702,0.23993081,0.22929434,0.2315113,0.2294296,0.22783789,0.33012214,0.25494266,0.22109772,0.23389916,0.26570046,0.23751727,0.25314924,0.24485925,0.35442114,0.2550213,0.24613997,0.3046345,0.2299205,0.3038476,0.24864614,0.23463674,0.24332434,0.23461412,0.23344655,0.22892664,0.28106123
3,0.2362918,0.23409362,0.22952877,0.2337715,0.22686277,0.23068526,0.23337024,0.23100476,0.22836931,0.23465793,0.23271511,0.22935624,0.23344736,0.24287736,0.21811925,0.23032911,0.23290892,0.21640787,0.22926067,0.23143399,0.23090452,0.2201909,0.22941919,0.2321721,0.2301597,0.22778371,0.23063442,0.22568901,0.22669561,0.23413454,0.23355107,0.2199426,0.23087816,0.23317195,0.23424464,0.23235595,0.22304533,0.22928996,0.2320053,0.23246804,0.23099214,0.22826816,0.2355336,0.23052344,0.23080902,0.22771934,0.22877376,0.2231152,0.22696574,0.23327197
4,0.23365518,0.23058484,0.2291046,0.23180069,0.22528324,0.23039296,0.23001473,0.22989619,0.22772686,0.23399295,0.23053414,0.22884564,0.23257454,0.23827626,0.2171562,0.229967,0.23222837,0.21566278,0.22869052,0.23009641,0.23014472,0.21762744,0.22913991,0.22928303,0.2294551,0.22685038,0.23048618,0.22525452,0.22575268,0.23325351,0.23293097,0.21911022,0.2304984,0.23152508,0.2337868,0.23110071,0.22121488,0.22878893,0.23108923,0.23189948,0.2301585,0.22761816,0.23475924,0.22907008,0.23021005,0.22461504,0.22829832,0.22235858,0.22563928,0.23088305
5,0.23274551,0.23001228,0.22878218,0.23134415,0.22409937,0.23017797,0.22973774,0.22925332,0.22738144,0.23379835,0.23023377,0.22843508,0.23214267,0.23724596,0.21629806,0.22974487,0.23194842,0.21495451,0.22824089,0.2298718,0.22941992,0.21592504,0.22887969,0.22895227,0.22906454,0.22603168,0.23034795,0.2248532,0.22485721,0.23277842,0.2324803,0.21837178,0.2301839,0.23115201,0.23337916,0.2304348,0.22021236,0.22845104,0.23077492,0.23136918,0.22981094,0.22700557,0.2344359,0.22872835,0.22973959,0.22259933,0.22787507,0.22162753,0.22469853,0.23052189
6,0.23189645,0.22949746,0.22846033,0.23092881,0.22301815,0.22997259,0.22951795,0.22880918,0.22703221,0.23361282,0.22999214,0.22809091,0.23172235,0.2363124,0.21549602,0.22952841,0.231667,0.21423881,0.22780171,0.22965433,0.22871503,0.21442655,0.22862379,0.22864656,0.22867359,0.22526968,0.23021254,0.22446004,0.22400542,0.23232687,0.23205113,0.2176753,0.22987202,0.23079814,0.23297663,0.22980541,0.21924263,0.22812064,0.23046663,0.23086259,0.22946464,0.22641289,0.23413341,0.22842999,0.22929737,0.22096089,0.22745493,0.22090797,0.22386874,0.23020776
7,0.2310895,0.22898604,0.22813834,0.23054212,0.2219862,0.229774,0.229302,0.22840409,0.22667715,0.23343344,0.22976008,0.22779314,0.23130643,0.23542419,0.21472976,0.22931503,0.23138288,0.21351358,0.22736774,0.2294408,0.22802438,0.21303488,0.22837022,0.22833245,0.22827516,0.22454217,0.23007885,0.22407188,0.22317018,0.23189437,0.2316372,0.2169988,0.22956018,0.23044176,0.23257759,0.22919703,0.21827671,0.22779562,0.2301578,0.23037113,0.22911748,0.22583205,0.23384796,0.22813876,0.22887209,0.21955465,0.22703421,0.22019668,0.22307636,0.22990699
8,0.23031552,0.22847605,0.2278156,0.23017897,0.22098196,0.22958072,0.2290879,0.22800164,0.22631592,0.23325954,0.22953328,0.22752781,0.23089375,0.23457178,0.21398564,0.22910325,0.23109512,0.21277703,0.22693563,0.22923033,0.22734407,0.21169598,0.22811735,0.22800823,0.2278671,0.22383562,0.22994609,0.22368658,0.22234397,0.23147765,0.23123413,0.21633253,0.22924694,0.23008008,0.232181,0.22860205,0.21730353,0.22747423,0.2298468,0.22988857,0.22876768,0.2252567,0.23357694,0.22785003,0.22845739,0.21829928,0.22661039,0.21949118,0.2223058,0.22961399
9,0.22956742,0.22796676,0.22749153,0.22983515,0.21999137,0.22939143,0.22887488,0.22758843,0.22594804,0.23309053,0.22930941,0.22728504,0.23048322,0.23374787,0.21325415,0.22889192,0.23080283,0.21202752,0.22650287,0.22902218,0.22667098,0.21037716,0.22786391,0.22767268,0.22744764,0.22314094,0.22981359,0.2233025,0.22151698,0.23107381,0.2308387,0.2156704,0.22893125,0.22971062,0.23178597,0.22801408,0.21631557,0.227155,0.22953236,0.22941075,0.22841358,0.22468196,0.2333182,0.22756149,0.22804898,0.2171419,0.22618125,0.21878953,0.22154753,0.2293252
10,0.22883956,0.2274574,0.22716564,0.2295069,0.21900505,0.22920524,0.2286624,0.22716056,0.22557305,0.2329259,0.22908647,0.22705759,0.2300739,0.2329465,0.21252844,0.22868016,0.23050521,0.21126354,0.22606735,0.22881553,0.22600253,0.20905815,0.22760873,0.22732474,0.22701514,0.22245163,0.2296809,0.22291833,0.220684,0.23068042,0.23044837,0.21500827,0.22861202,0.22933148,0.23139179,0.22742769,0.2153076,0.2268366,0.22921324,0.22893485,0.22805375,0.22410382,0.23306996,0.22727138,0.22764392,0.21604684,0.22574513,0.21809022,0.22079717,0.22903791
11,0.22812758,0.2269475,0.22683741,0.22919114,0.21801619,0.2290213,0.22844982,0.22671607,0.22519064,0.23276523,0.22886297,0.22684033,0.22966486,0.23216303,0.21180339,0.22846738,0.2302014,0.21048371,0.22562759,0.22860979,0.22533646,0.20772609,0.22735077,0.22696346,0.22656806,0.2217629,0.22954749,0.222533,0.21984026,0.23029532,0.23006108,0.21434312,0.22828843,0.22894095,0.23099765,0.2268378,0.2142759,0.22651806,0.22888827,0.2284588,0.22768669,0.22351909,0.23283075,0.22697833,0.2272401,0.21498945,0.22530048,0.21739192,0.22005072,0.2287502
12,0.22742788,0.22643638,0.22650635,0.22888502,0.21701978,0.22883886,0.22823678,0.22625385,0.22480035,0.23260804,0.22863749,0.2266293,0.22925517,0.23139365,0.21107502,0.22825292,0.22989064,0.20968688,0.22518228,0.22840439,0.22467077,0.2063727,0.22708921,0.22658788,0.22610505,0.22107093,0.22941302,0.22214568,0.21898243,0.22991657,0.22967511,0.21367246,0.2279596,0.2285376,0.23060293,0.22623998,0.21321791,0.22619839,0.22855653,0.22798112,0.22731093,0.22292505,0.23259927,0.22668138,0.22683585,0.21395245,0.22484595,0.21669368,0.21930526,0.22846045
13,0.22673744,0.22592357,0.226172,0.22858614,0.21601197,0.22865729,0.2280229,0.22577284,0.22440174,0.23245399,0.22840887,0.22642173,0.228844,0.23063512,0.21034028,0.22803634,0.22957222,0.2088717,0.22473043,0.2281988,0.22400358,0.20499225,0.22682321,0.22619721,0.22562487,0.22037266,0.22927718,0.22175556,0.21810739,0.2295424,0.2292889,0.21299458,0.22762477,0.2281202,0.23020698,0.2256307,0.2121319,0.22587676,0.228217,0.2275005,0.22692515,0.22231945,0.23237446,0.22637965,0.22642994,0.21292359,0.2243804,0.21599466,0.21855816,0.22816753
14,0.22605379,0.22540851,0.22583391,0.2282924,0.21498975,0.22847603,0.2278078,0.22527203,0.22399443,0.2323027,0.228176,0.22621536,0.22843042,0.22988504,0.20959671,0.22781731,0.22924536,0.20803708,0.22427113,0.22799253,0.22333317,0.2035809,0.22655213,0.22579068,0.2251264,0.21966548,0.22913966,0.22136211,0.21721269,0.22917113,0.22890122,0.21230796,0.22728324,0.22768731,0.22980922,0.22500706,0.21101664,0.22555257,0.22786883,0.22701576,0.22652805,0.22170036,0.23215534,0.22607246,0.22602136,0.21189393,0.22390285,0.21529415,0.21780723,0.22787037
15,0.22537485,0.22489072,0.22549161,0.22800186,0.2139506,0.22829458,0.22759119,0.22475037,0.22357808,0.23215385,0.22793786,0.22600855,0.22801362,0.22914113,0.2088422,0.22759554,0.22890936,0.20718195,0.22380356,0.22778524,0.2226579,0.20213585,0.22627522,0.22536758,0.22460872,0.21894717,0.22900021,0.22096476,0.21629591,0.22880127,0.22851087,0.21161132,0.2269343,0.2272377,0.22940913,0.22436675,0.20987141,0.22522509,0.22751115,0.22652589,0.22611855,0.22106604,0.231941,0.2257592,0.22560924,0.210857,0.22341222,0.21459155,0.21705052,0.22756825
16,0.22469878,0.22436975,0.22514467,0.22771291,0.21289259,0.22811244,0.22737275,0.22420678,0.22315215,0.23200718,0.22769353,0.2257999,0.22759278,0.22840177,0.20807502,0.2273706,0.22856353,0.20630522,0.22332716,0.22757645,0.22197624,0.20065495,0.225992,0.22492728,0.22407094,0.21821566,0.22885862,0.220563,0.21535507,0.22843134,0.22811678,0.21090366,0.22657728,0.22677007,0.22900613,0.22370799,0.20869578,0.22489388,0.22714314,0.22602986,0.22569564,0.22041498,0.23173071,0.22543924,0.22519277,0.20980786,0.22290768,0.2138864,0.21628633,0.22726043
17,0.224024,0.22384512,0.22479272,0.22742403,0.21181399,0.22792917,0.22715217,0.22364016,0.22271632,0.23186237,0.227442,0.2255884,0.22716701,0.22766533,0.20729366,0.22714232,0.22820711,0.20540586,0.22284128,0.22736585,0.22128662,0.19913657,0.22570181,0.22446918,0.2235122,0.21746914,0.22871463,0.2201564,0.21438797,0.22806007,0.22771801,0.21018423,0.22621155,0.22628309,0.2285997,0.22302935,0.2074896,0.22455837,0.22676396,0.22552669,0.22525847,0.21974577,0.23152377,0.2251121,0.22477126,0.2087428,0.22238834,0.2131782,0.21551311,0.2269463
18,0.22334905,0.22331637,0.22443525,0.22713394,0.21071334,0.22774437,0.22692929,0.2230494,0.2222702,0.23171915,0.22718243,0.22537318,0.22673549,0.2269305,0.20649679,0.22691049,0.2278395,0.20448285,0.22234538,0.22715308,0.22058767,0.19757931,0.22540419,0.22399275,0.22293186,0.21670598,0.22856808,0.21974464,0.21339294,0.2276862,0.22731361,0.20945217,0.2258365,0.22577552,0.22818932,0.22232963,0.20625277,0.22421816,0.22637281,0.22501543,0.22480628,0.21905707,0.23131947,0.22477734,0.22434406,0.20765896,0.2218534,0.21246657,0.21472946,0.22662531
