,LOSS0,LOSS1,LOSS2,LOSS3,LOSS4,LOSS5,LOSS6,LOSS7,LOSS8,LOSS9,LOSS10,LOSS11,LOSS12,LOSS13,LOSS14,LOSS15,LOSS16,LOSS17,LOSS18,LOSS19,LOSS20,LOSS21,LOSS22,LOSS23,LOSS24,LOSS25,LOSS26,LOSS27,LOSS28,LOSS29,LOSS30,LOSS31,LOSS32,LOSS33,LOSS34,LOSS35,LOSS36,LOSS37,LOSS38,LOSS39,LOSS40,LOSS41,LOSS42,LOSS43,LOSS44,LOSS45,LOSS46,LOSS47,LOSS48,LOSS49
0,0.24847792,2.259202,0.6378321,0.5549303,0.47732317,0.9921168,1.3350261,0.23459277,0.25479496,0.3011493,0.32892206,0.97356546,0.38991922,0.3133513,1.8365809,0.29102895,0.52195925,0.31212008,1.2547941,0.42499912,1.81561,0.40180525,0.2339729,0.23261926,0.47430545,0.4675489,0.37582985,0.33064523,0.7248256,0.23307753,0.32832146,0.2614883,0.7606956,1.2471205,0.85647756,1.5156987,0.24610615,0.23021965,0.94507545,0.24028325,0.62393636,0.6651089,0.6379327,0.23185909,0.5068424,0.48411784,0.23104796,0.8796241,0.62734973,0.36960158
1,0.2313171,1.9209391,0.49421006,0.42668048,0.36879635,0.7875746,1.0873765,0.23081459,0.2323099,0.25120732,0.2680952,0.7725665,0.30595946,0.2556689,1.5408658,0.24795578,0.40593052,0.25520656,1.0004641,0.33181113,1.504014,0.31598857,0.23597522,0.23510227,0.3710039,0.36473745,0.2954743,0.26704532,0.56902117,0.23269661,0.2643719,0.23407494,0.5960308,1.0096579,0.67125344,1.2444439,0.23503387,0.24159928,0.749325,0.23243892,0.48821712,0.50979066,0.5001565,0.24124451,0.3935189,0.3734936,0.23503353,0.6997581,0.49003792,0.2879645
2,0.2436987,1.5108929,0.34787214,0.30400482,0.27162617,0.5605897,0.798732,0.23387122,0.24182668,0.22931834,0.23289707,0.5499224,0.24261038,0.2288225,1.1866043,0.2358464,0.29543445,0.23068178,0.7122651,0.2533889,1.1341987,0.24727355,0.23074222,0.23103851,0.27632168,0.27145424,0.23885715,0.23067883,0.40371537,0.23172934,0.23111312,0.24062751,0.42116216,0.73545164,0.47081205,0.9273739,0.24496692,0.22951074,0.5319894,0.24127708,0.35070893,0.35222256,0.35736355,0.2309261,0.28724647,0.27448508,0.22883941,0.5014543,0.3486593,0.23332791
3,0.24285765,1.1036944,0.24943654,0.23724785,0.23026834,0.37055194,0.53351736,0.22774142,0.24984589,0.25340885,0.25016844,0.36501396,0.23926544,0.25547603,0.8423425,0.26137254,0.2356686,0.25951102,0.46050364,0.23095088,0.7806881,0.23420717,0.23117287,0.2313284,0.23240423,0.23056245,0.2434515,0.24912734,0.28110227,0.22893512,0.2558017,0.25476092,0.2892247,0.4879494,0.3130144,0.63130933,0.23780705,0.24132681,0.35152024,0.23424505,0.25812855,0.2494292,0.25850028,0.23989782,0.23385695,0.23379712,0.23217793,0.33854547,0.25347468,0.24242073
4,0.23101647,0.7471379,0.22880517,0.25024846,0.25824863,0.25552276,0.3361074,0.22985063,0.23828873,0.27405632,0.2837696,0.25666213,0.28480256,0.28073943,0.552843,0.27117229,0.24769093,0.28240472,0.2912773,0.26949123,0.49276477,0.27522147,0.22967787,0.23205787,0.25512555,0.25682813,0.28953052,0.28403705,0.23506445,0.23164375,0.28807107,0.24448073,0.23282656,0.3116134,0.23480754,0.4004233,0.23089297,0.23510939,0.24723972,0.23170659,0.23615141,0.23575753,0.2349016,0.23513296,0.25317305,0.26571828,0.22917762,0.2461896,0.2364108,0.28891122
5,0.23079596,0.47301775,0.28248978,0.31768864,0.3171214,0.23381242,0.23704883,0.2292901,0.23007652,0.26311257,0.28554276,0.24321221,0.31489423,0.26898044,0.34787628,0.2550776,0.30811018,0.26808116,0.23058356,0.31735283,0.30397072,0.31513456,0.22574866,0.22859353,0.31188795,0.3140198,0.31153244,0.28531587,0.27286613,0.22829437,0.28150767,0.23165485,0.25943813,0.23580697,0.24931473,0.264136,0.23618038,0.22882332,0.23869678,0.23714674,0.28082028,0.30364317,0.28675494,0.22973521,0.3152357,0.32660693,0.22639051,0.24058269,0.29435024,0.30758595
6,0.23766862,0.30028936,0.3573974,0.37141064,0.34772158,0.29529554,0.24784826,0.22484158,0.23686676,0.24015684,0.2616789,0.31157175,0.30286574,0.24155547,0.24351908,0.23637798,0.35574338,0.24116969,0.27695245,0.32686096,0.23172909,0.3156859,0.22665773,0.23041907,0.34433052,0.34366715,0.29348055,0.26016095,0.35610232,0.2281322,0.2525301,0.23493765,0.33858815,0.26743728,0.33177954,0.23572762,0.23482722,0.23571996,0.31249014,0.23365542,0.3493508,0.3864753,0.36195934,0.23488088,0.35677058,0.35379738,0.22823669,0.3078262,0.36933634,0.2869052
7,0.23367077,0.2350797,0.3950098,0.3742771,0.3341659,0.39394805,0.3466393,0.22625116,0.24184243,0.22835152,0.23713279,0.41064575,0.2677268,0.22632399,0.2403212,0.23446156,0.3577554,0.22951275,0.39070812,0.30034614,0.27209094,0.2861149,0.22311416,0.2290648,0.33395034,0.33021623,0.25873756,0.23489927,0.41957572,0.22880328,0.23093401,0.244646,0.41209388,0.37520918,0.42087737,0.30419493,0.22769326,0.23477206,0.41341093,0.22955234,0.39116812,0.41982403,0.39996582,0.2337664,0.35133803,0.3349325,0.22472334,0.39746037,0.40148926,0.2514182
8,0.22601381,0.26837555,0.3814021,0.33632508,0.2943676,0.4705844,0.47234437,0.22534314,0.2350014,0.23608248,0.23130375,0.48195693,0.23698741,0.23483503,0.3193126,0.24758074,0.32343048,0.2414464,0.5054466,0.261525,0.39153725,0.25101948,0.22085646,0.22704735,0.296901,0.29139748,0.23404375,0.22931851,0.4295149,0.22581767,0.23409703,0.24189387,0.43978548,0.4913223,0.4645065,0.42488703,0.22786738,0.228178,0.47922754,0.23274972,0.38855314,0.39501762,0.38611984,0.22824608,0.31278735,0.29152408,0.22295354,0.45515734,0.3811622,0.22821447
9,0.2266698,0.37249243,0.33435023,0.28439915,0.25330392,0.49335265,0.5594871,0.22151443,0.22828788,0.24999781,0.24546131,0.49815956,0.22940731,0.2516719,0.4405552,0.2544379,0.2770346,0.25744584,0.56965417,0.23379901,0.53051466,0.23178388,0.22041237,0.2283912,0.2571025,0.25175583,0.23444873,0.24402522,0.39273086,0.22619666,0.25306207,0.23236875,0.41838178,0.5572651,0.45170328,0.53599393,0.23050997,0.2301991,0.48543295,0.23269686,0.35212162,0.33650422,0.33864444,0.22973348,0.2667243,0.25050342,0.22357008,0.46003163,0.32971683,0.23188426
