,MSE0,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20,MSE21,MSE22,MSE23,MSE24,MSE25,MSE26,MSE27,MSE28,MSE29,MSE30,MSE31,MSE32,MSE33,MSE34,MSE35,MSE36,MSE37,MSE38,MSE39,MSE40,MSE41,MSE42,MSE43,MSE44,MSE45,MSE46,MSE47,MSE48,MSE49
0,4.4306785e-07,2.104557e-05,,2.2885117e-06,,1.7952148e-05,,4.3394753e-05,1.6714035e-05,6.4139914e-07,2.1941238e-05,1.1040994e-06,2.4712983e-05,5.960816e-05,2.9891767e-06,6.398896e-05,1.5136003e-05,4.9467246e-05,3.269361e-05,1.4560282e-05,,1.4041617e-06,,6.896464e-05,2.4609635e-06,6.87404e-06,6.984869e-05,5.673186e-05,4.1432017e-05,8.667963e-05,8.289152e-06,4.3925626e-05,1.69312e-06,5.191185e-05,6.124235e-05,4.5583703e-05,2.959148e-07,2.8667475e-06,4.3621476e-05,5.0829818e-05,3.5472247e-05,3.644139e-05,6.446123e-06,5.226119e-05,2.9356852e-05,,8.0825026e-05,8.591248e-07,4.335681e-05,3.0509947e-05
1,8.7112585e-07,1.9400646e-05,,1.5615065e-06,,2.058427e-05,,4.6058227e-05,1.9498286e-05,2.8352312e-07,2.0468118e-05,6.6509557e-07,2.7006445e-05,5.3116295e-05,3.9227725e-06,5.788117e-05,1.7894816e-05,5.4183023e-05,2.9902993e-05,1.2794819e-05,,1.8937893e-06,,6.497717e-05,1.6762377e-06,6.4750143e-06,6.6133915e-05,5.1657382e-05,4.4523767e-05,8.141119e-05,7.197236e-06,4.7983474e-05,1.0754969e-06,5.396794e-05,6.474311e-05,4.9400096e-05,6.831524e-07,1.9898916e-06,4.5966866e-05,4.7601832e-05,3.2328215e-05,4.0492803e-05,5.5476517e-06,4.879041e-05,2.6253076e-05,,7.767157e-05,1.4269485e-06,4.7675665e-05,2.7469527e-05
2,1.3594431e-06,1.7881182e-05,,1.0111828e-06,,2.3152023e-05,,4.8665013e-05,2.2151156e-05,8.341582e-08,1.9035931e-05,3.633053e-07,2.9241133e-05,4.7428282e-05,4.916123e-06,5.2415842e-05,2.0641446e-05,5.8744386e-05,2.7494792e-05,1.1187381e-05,,2.4420924e-06,,6.10522e-05,1.0776021e-06,6.213968e-06,6.274776e-05,4.723951e-05,4.750542e-05,7.652329e-05,6.279667e-06,5.186412e-05,6.1996275e-07,5.6083474e-05,6.836818e-05,5.316879e-05,1.1685529e-06,1.3026333e-06,4.8387956e-05,4.4729662e-05,2.956299e-05,4.4272336e-05,4.7700446e-06,4.5716046e-05,2.3521558e-05,,7.455775e-05,2.1042872e-06,5.1823263e-05,2.4854822e-05
3,1.8490227e-06,1.651715e-05,,6.1677486e-07,,2.5562871e-05,,5.113731e-05,2.456309e-05,5.5112923e-09,1.769405e-05,1.7375274e-07,3.1345095e-05,4.2550346e-05,5.924989e-06,4.7630154e-05,2.3275e-05,6.301445e-05,2.5479345e-05,9.766647e-06,,3.0271153e-06,,5.7290057e-05,6.4688635e-07,6.0961515e-06,5.9737362e-05,4.3488482e-05,5.028524e-05,7.2111936e-05,5.533409e-06,5.5442102e-05,3.1090386e-07,5.8182388e-05,7.201351e-05,5.6790745e-05,1.6967629e-06,7.939791e-07,5.080951e-05,4.224812e-05,2.7197555e-05,4.7654703e-05,4.11779e-06,4.3068074e-05,2.117645e-05,,7.1578695e-05,2.8552731e-06,5.5673896e-05,2.2669194e-05
4,2.2834843e-06,1.5333044e-05,,3.5292845e-07,,2.7715281e-05,,5.338426e-05,2.6627476e-05,1.1369752e-08,1.6490609e-05,6.861455e-08,3.3234617e-05,3.8486956e-05,6.89744e-06,4.3548112e-05,2.5682475e-05,6.684955e-05,2.3868559e-05,8.550401e-06,,3.6189e-06,,5.37958e-05,3.587375e-07,6.1286482e-06,5.7153626e-05,4.0404786e-05,5.27679e-05,6.8265814e-05,4.9548426e-06,5.8592555e-05,1.2483234e-07,6.0173097e-05,7.555988e-05,6.0149e-05,2.211049e-06,4.433915e-07,5.314496e-05,4.018798e-05,2.5247333e-05,5.05152e-05,3.5931573e-06,4.087061e-05,1.9227049e-05,,6.8831156e-05,3.6328204e-06,5.9092297e-05,2.0915257e-05
5,2.6135858e-06,1.4351858e-05,,1.906183e-07,,2.9507948e-05,,5.5310993e-05,2.8242466e-05,6.210314e-08,1.5463027e-05,2.020822e-08,3.4829023e-05,3.5230067e-05,7.777096e-06,4.0190786e-05,2.7753096e-05,7.0095586e-05,2.2667668e-05,7.5531752e-06,,4.1790554e-06,,5.0664534e-05,1.8286525e-07,6.3224534e-06,5.5038567e-05,3.798949e-05,5.4849657e-05,6.50675e-05,4.5406e-06,6.1184364e-05,3.242491e-08,6.195967e-05,7.88639e-05,6.3122374e-05,2.6562423e-06,2.230521e-07,5.5292494e-05,3.8577546e-05,2.3726778e-05,5.2736636e-05,3.194742e-06,3.91469e-05,1.7676892e-05,,6.640444e-05,4.3825803e-06,6.194231e-05,1.9590809e-05
6,2.8016593e-06,1.3593614e-05,,1.0095292e-07,,3.08441e-05,,5.6819474e-05,2.9326246e-05,1.2216952e-07,1.4647509e-05,3.7353796e-09,3.604244e-05,3.277319e-05,8.505627e-06,3.757235e-05,2.9376948e-05,7.2609706e-05,2.1884745e-05,6.780267e-06,,4.666163e-06,,4.7987487e-05,8.744096e-08,6.690239e-06,5.343451e-05,3.6245005e-05,5.6432647e-05,6.258754e-05,4.2863458e-06,6.309354e-05,1.8826845e-09,6.3441155e-05,8.177357e-05,6.558134e-05,2.9829403e-06,9.99642e-08,5.714777e-05,3.7442016e-05,2.2648464e-05,5.421978e-05,2.921078e-06,3.791835e-05,1.6530377e-05,,6.4382104e-05,5.046277e-06,6.4093605e-05,1.8696359e-05
7,2.8246805e-06,1.3075062e-05,,5.8345407e-08,,3.1644435e-05,,5.7821228e-05,2.9814708e-05,1.6321256e-07,1.4070947e-05,4.7547566e-10,3.680241e-05,3.1106312e-05,9.029729e-06,3.5703826e-05,3.0459683e-05,7.425887e-05,2.152596e-05,6.2369645e-06,,5.03812e-06,,4.5844652e-05,4.3386205e-08,7.247819e-06,5.237652e-05,3.5169858e-05,5.743068e-05,6.0897106e-05,4.1907106e-06,6.4215164e-05,2.655829e-09,6.451529e-05,8.412699e-05,6.740449e-05,3.1544487e-06,4.1402316e-08,5.8597652e-05,3.680713e-05,2.2021946e-05,5.489198e-05,2.7705144e-06,3.7207046e-05,1.578993e-05,,6.284311e-05,5.5647392e-06,6.543393e-05,1.823263e-05
8,2.6804178e-06,1.2811148e-05,,4.4759183e-08,,3.1849224e-05,,5.8237478e-05,2.9677407e-05,1.683305e-07,1.3758205e-05,6.880069e-10,3.7049682e-05,3.0232162e-05,9.304296e-06,3.4594283e-05,3.092721e-05,7.493899e-05,2.1599277e-05,5.9246117e-06,,5.2563455e-06,,4.430805e-05,2.8731279e-08,8.010522e-06,5.189585e-05,3.476691e-05,5.776924e-05,6.0056733e-05,4.257258e-06,6.447598e-05,1.0039423e-08,6.5093736e-05,8.5766536e-05,6.8484725e-05,3.1488291e-06,1.937282e-08,5.9535312e-05,3.6690755e-05,2.1861595e-05,5.4712313e-05,2.7436618e-06,3.7028036e-05,1.546242e-05,,6.1856736e-05,5.8873193e-06,6.587478e-05,1.8204628e-05
9,2.3849782e-06,1.2816925e-05,,5.2844914e-08,,3.1431427e-05,,5.8016874e-05,2.8922212e-05,1.3454172e-07,1.3728909e-05,5.6123803e-09,3.6749032e-05,3.0154826e-05,9.3013205e-06,3.4258814e-05,3.0739662e-05,7.4586664e-05,2.2111313e-05,5.850203e-06,,5.292392e-06,,4.3446686e-05,3.329677e-08,8.989017e-06,5.201487e-05,3.5037887e-05,5.7408644e-05,6.0119743e-05,4.4911953e-06,6.383002e-05,9.8498925e-09,6.510379e-05,8.655258e-05,6.873433e-05,2.9647563e-06,1.6215823e-08,5.9874623e-05,3.710887e-05,2.2178525e-05,5.368206e-05,2.8449574e-06,3.7393238e-05,1.5556861e-05,,6.147284e-05,5.97569e-06,6.5366345e-05,1.8618646e-05
