,LOSS0,LOSS1,LOSS2,LOSS3,LOSS4,LOSS5,LOSS6,LOSS7,LOSS8,LOSS9,LOSS10,LOSS11,LOSS12,LOSS13,LOSS14,LOSS15,LOSS16,LOSS17,LOSS18,LOSS19,LOSS20,LOSS21,LOSS22,LOSS23,LOSS24,LOSS25,LOSS26,LOSS27,LOSS28,LOSS29,LOSS30,LOSS31,LOSS32,LOSS33,LOSS34,LOSS35,LOSS36,LOSS37,LOSS38,LOSS39,LOSS40,LOSS41,LOSS42,LOSS43,LOSS44,LOSS45,LOSS46,LOSS47,LOSS48,LOSS49
0,0.2318054,1.027402,0.24277663,0.25396854,0.3244549,0.7609759,0.25986335,1.0538651,0.40652993,0.43920583,0.23445956,0.27346084,0.26700383,1.2517602,0.35768434,0.23920937,0.2772928,0.55518895,0.4549995,0.7433267,0.23372965,0.2520678,0.26791754,0.24278532,0.24078622,0.2828668,0.46684748,0.23062798,0.49500698,0.28661737,0.4125787,1.087803,0.3796644,0.8131266,0.32806718,1.2187699,0.23694707,0.3324439,0.2793363,0.2735124,1.3730646,0.64917815,0.23548338,0.27219817,0.26692042,0.2914155,0.24515842,0.3022088,0.27182385,0.5197179
1,0.27003944,24.29065,0.5302758,0.9651921,3.5613408,16.96086,1.2991263,26.585997,5.889444,6.4596086,0.36275923,1.4705002,1.3350477,35.594547,4.440499,0.48959956,1.6452693,9.670469,8.10361,17.071497,0.24329305,0.8385908,1.3981674,0.58032316,0.60186315,1.98514,7.6547008,0.2421549,9.176846,2.0355797,5.5684896,26.686903,4.9304166,19.907488,3.3545814,33.281464,0.42622504,3.5833907,1.7688129,1.4426355,36.462955,12.3554325,0.3330913,1.4755652,1.4192351,2.1362667,0.6918071,2.6714427,1.5559826,9.309638
2,1.5432678,527.761,9.540198,23.028229,116.08877,440.62537,38.91571,602.8404,172.71214,176.65776,4.73213,36.117252,34.555717,862.90247,134.29626,8.1807165,43.325893,248.30177,257.74628,461.80017,0.5457284,18.96503,36.68368,10.700974,12.874075,57.28916,212.73419,0.5687028,270.13785,57.966442,149.65096,612.55054,142.7457,546.10876,97.10721,737.40436,7.3929386,106.362495,48.930397,36.30272,796.8641,306.3173,3.4605372,39.013634,37.615044,59.225975,15.910209,81.19818,42.692024,260.021
3,43.29241,619.6156,261.23166,559.4779,805.3599,556.27454,946.2372,714.3777,725.2583,400.52753,145.7898,672.374,749.747,1044.4991,1099.126,221.44975,733.8615,440.3779,518.50885,576.27856,10.003124,472.74774,762.3135,276.2454,382.56885,984.04065,448.65662,9.731518,392.9667,1029.0206,588.6096,720.86597,602.5213,670.9658,1005.0158,869.68085,247.85364,930.2323,925.1466,638.1465,949.08484,432.96124,100.49386,754.947,799.52997,920.64124,460.19025,981.0791,855.7323,490.34903
4,808.0323,65.26107,432.4944,671.9059,666.4641,61.699,1129.0668,75.20792,456.53256,133.23192,999.98047,768.4164,895.8524,109.8555,889.4206,435.171,824.7842,99.32116,143.89026,66.276405,266.99182,594.35876,893.2609,400.01794,565.355,1096.4941,144.89484,238.2943,54.519974,1115.5193,336.33887,76.14545,346.278,71.51242,983.3095,91.502495,756.2259,830.6356,1041.6133,691.80646,99.84328,62.49358,1092.751,880.5614,949.70294,986.833,605.78876,973.2419,989.4208,122.04603
5,905.7825,7.0577974,84.572075,71.64032,70.16956,6.7730923,118.73189,8.103807,48.13197,14.223894,808.643,80.8726,94.251686,11.73867,93.57472,116.300545,86.789314,10.993843,15.36312,7.2612324,383.21786,63.42697,93.98402,56.140736,85.91436,115.31248,15.476206,474.80536,6.1166344,117.309616,35.517056,8.224303,36.610283,7.765576,103.43084,9.812429,329.58295,87.40361,109.55127,72.829865,10.688955,7.082381,1018.6071,92.64473,99.90312,103.800545,70.13813,102.37381,104.07239,13.306226
6,95.29222,0.9469517,9.567098,7.7742515,7.572974,0.93543345,12.670786,1.0588615,5.2596602,1.7004268,85.095055,8.696328,10.100563,1.4385953,10.029949,13.53156,9.317606,1.4354725,1.8220165,0.97143745,60.940193,6.9228835,10.072496,6.3170867,9.737539,12.311908,1.8453274,137.40259,0.8435975,12.5215645,3.9343777,1.0786502,4.0633354,1.0240382,11.064609,1.2369193,35.142735,9.382137,11.7071,7.8521533,1.3294773,1.00977,107.136215,9.932294,10.69433,11.103423,7.736943,10.953652,11.131961,1.6395364
7,10.210259,0.30536127,1.2968119,1.0318466,1.0018384,0.313735,1.5369056,0.3192426,0.75909,0.38218448,9.139888,1.1194911,1.2664926,0.35731655,1.2597477,1.9376544,1.1849405,0.38744792,0.39445433,0.2995023,6.8780494,0.94829404,1.263171,0.90356576,1.3327341,1.4993197,0.40901506,16.02257,0.26429406,1.5213395,0.61854416,0.3266905,0.64159495,0.31042886,1.3683739,0.33669704,3.9744637,1.1917549,1.4357933,1.0310427,0.3469109,0.33431035,11.453626,1.2494675,1.3295314,1.3724577,1.0297525,1.3567269,1.3754525,0.37478423
8,1.278689,0.23799941,0.36336854,0.3193981,0.3120269,0.24754333,0.368114,0.24159293,0.28663775,0.24343628,1.1664094,0.32409763,0.33910528,0.24380638,0.3390866,0.5493063,0.33120486,0.27283224,0.2439884,0.2277537,0.98993134,0.31592542,0.33833447,0.31099185,0.3839981,0.36425817,0.2576892,2.290196,0.20081304,0.3665799,0.270419,0.24755237,0.2818888,0.23490311,0.35050136,0.24219519,0.6654877,0.33196187,0.35755315,0.31498945,0.2437602,0.25956935,1.4092683,0.3379792,0.34645,0.35093892,0.30554843,0.34928003,0.35125133,0.23835298
9,0.3410892,0.23092672,0.25909466,0.24411394,0.23961316,0.24046065,0.24541876,0.23344038,0.23704162,0.22883046,0.32938543,0.2405996,0.24174942,0.23189029,0.24243928,0.38451684,0.24158299,0.25983232,0.22812463,0.22006214,0.3420068,0.24900486,0.24124143,0.24628921,0.2776139,0.24510393,0.24174027,0.6355153,0.19380471,0.24535784,0.23386934,0.23920874,0.24406193,0.22689527,0.24364917,0.23227479,0.31446996,0.24170426,0.24436377,0.2398209,0.23293121,0.25114676,0.3548508,0.24229471,0.24324985,0.24370405,0.22746128,0.24352229,0.24373476,0.22360967
