,MSE0,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20,MSE21,MSE22,MSE23,MSE24,MSE25,MSE26,MSE27,MSE28,MSE29,MSE30,MSE31,MSE32,MSE33,MSE34,MSE35,MSE36,MSE37,MSE38,MSE39,MSE40,MSE41,MSE42,MSE43,MSE44,MSE45,MSE46,MSE47,MSE48,MSE49
0,1.0005018,9.804954e-05,0.0024349608,0.00015393758,1.0001459,1.172519e-05,0.9923747,0.9763186,1.0007275,0.03108291,1.0135175,0.93025863,0.77314615,0.8338373,0.9997642,0.5676647,0.99931204,0.00017906504,0.065763496,0.00022238676,2.5677506e-05,0.020488258,1.0300162,7.620342e-05,0.000809778,1.0014164,1.0092613,0.27239323,3.5068524e-06,1.0041002,0.04006376,0.40522733,0.9967681,0.0008895276,0.999528,0.99755794,1.2582755,0.99975264,0.9931974,0.99698484,1.034426,0.00019471694,1.0087932,1.0009956,0.9940055,0.9995124,0.00032102328,0.9997575,0.9945057,0.008310477
1,1.0003839,0.00022434515,0.0025284693,0.00015671263,1.0000143,6.863614e-07,0.99236405,0.9761517,1.0005449,0.031555608,1.012951,0.93112683,0.77840716,0.8356116,0.99965847,0.5647101,0.9992422,0.00014402995,0.063450694,0.00018064871,4.276995e-05,0.021307837,1.0298973,4.1969728e-05,0.0007360642,1.0012661,1.0092244,0.27266014,8.7828107e-07,1.003847,0.020760652,0.4078487,0.9966683,0.0007345947,0.99943286,0.99749184,1.2537552,0.9996467,0.99308985,0.99688643,1.0343857,9.11185e-05,1.0084841,1.0008917,0.9944898,0.9994088,0.00015504638,0.9996516,0.99452996,0.0077298507
2,1.0002246,0.0016002738,0.0026162812,0.00015439939,0.99984276,2.435229e-06,0.9923177,0.97594714,1.0003228,0.0320715,1.0123273,0.9319708,0.7836867,0.837417,0.9995112,0.56196135,0.99913174,0.000111642854,0.060980726,0.00014126422,6.0237122e-05,0.022055479,1.029735,1.857269e-05,0.00066769787,1.001075,1.0092012,0.27299052,8.385794e-09,1.0035567,0.007934763,0.4106643,0.9965269,0.00058700325,0.9992963,0.9973871,1.2489876,0.9994994,0.9929428,0.99674517,1.0342994,2.8894787e-05,1.0081198,1.0007459,0.9949191,0.9992635,5.2836487e-05,0.9995038,0.9945131,0.0071751964
3,1.0000083,0.004245585,0.0026963204,0.00014679838,0.9996162,1.386416e-05,0.9922213,0.97569066,1.0000458,0.032635547,1.0116308,0.9327755,0.78896856,0.83924186,0.9993075,0.5594121,0.9989656,8.228304e-05,0.05834903,0.00010486553,7.5947704e-05,0.022715328,1.0295136,5.0091435e-06,0.00060498336,1.0008274,1.0091839,0.2733931,4.319028e-07,1.0032141,0.0012394598,0.41367784,0.996329,0.00044908584,0.9991029,0.99722874,1.2439442,0.9992957,0.9927424,0.99654627,1.0341512,2.1568858e-06,1.0076846,1.0005432,0.99527824,0.99906206,5.755616e-06,0.9992999,0.9944397,0.0066509815
4,0.99971604,0.008176175,0.0027664327,0.00013400821,0.99931467,3.1809628e-05,0.9920553,0.97536325,0.99969435,0.03325253,1.0108432,0.9335219,0.7942313,0.84106946,0.9990277,0.5570531,0.9987244,5.642596e-05,0.055552565,7.2235795e-05,8.806319e-05,0.02327045,1.0292134,8.055546e-08,0.000548197,1.0005041,1.0091597,0.2738759,1.6956021e-06,1.0027993,0.00030467275,0.41689068,0.99605507,0.00032354408,0.9988334,0.9969971,1.2385924,0.9990158,0.9924688,0.9962702,1.0339214,4.6035398e-06,1.0071603,1.0002637,0.9955469,0.9987844,4.519607e-06,0.9990196,0.9942903,0.006161371
5,0.99932206,0.013403281,0.002824309,0.00011651208,0.9989131,5.3148207e-05,0.9917954,0.9749398,0.9992441,0.03392803,1.0099394,0.93418527,0.7994478,0.8428788,0.99864674,0.5548725,0.99838275,3.4620873e-05,0.052590467,4.43062e-05,9.512544e-05,0.023704082,1.0288088,2.362458e-06,0.00049747585,1.0000794,1.0091106,0.2744457,3.371485e-06,1.0022875,0.004737588,0.42030123,0.99568,0.00021344624,0.99846244,0.9966673,1.232893,0.9986348,0.9920979,0.9958921,1.0335832,2.9582607e-05,1.0065209,0.99988294,0.9956995,0.9984055,3.9346807e-05,0.99863863,0.99403876,0.0057103205
6,0.9987941,0.019932047,0.0028675678,9.5223855e-05,0.9983786,7.489422e-05,0.9914091,0.97438854,0.99866164,0.034666985,1.0088879,0.9347335,0.8045842,0.8446409,0.9981318,0.55285305,0.9979079,1.7516271e-05,0.04946429,2.2163891e-05,9.618419e-05,0.023999518,1.0282662,1.0270242e-05,0.00045297635,0.99952143,1.0090115,0.2751084,5.0808885e-06,1.0016451,0.014123614,0.4239034,0.9951712,0.0001222267,0.9979572,0.99620616,1.2267994,0.9981199,0.99159735,0.9953792,1.0331029,7.025699e-05,1.0057348,0.99936724,0.99570274,0.9978928,0.00010016109,0.9981232,0.9936527,0.005301278
7,0.99808997,0.027760362,0.0028938013,7.15497e-05,0.99766964,9.431863e-05,0.9908552,0.97366816,0.9979049,0.035474833,1.0076487,0.93512577,0.8095977,0.84631854,0.99744105,0.5509725,0.9972577,5.8309206e-06,0.046179898,7.033006e-06,9.088848e-05,0.024140457,1.0275434,2.2096972e-05,0.00041475598,0.9987873,1.0088269,0.27586642,6.5041263e-06,1.0008303,0.028027192,0.4276856,0.9944867,5.3634434e-05,0.997276,0.9955722,1.2202545,0.99742913,0.9909257,0.9946899,1.032437,0.00011980484,1.0047604,0.9986755,0.9955141,0.99720424,0.00017683966,0.99743223,0.9930895,0.0049374513
8,0.9971577,0.036876712,0.0029007662,4.743365e-05,0.9967335,0.00010910594,0.9900817,0.972727,0.99692225,0.03635685,1.0061705,0.93531036,0.81443465,0.8478643,0.9965219,0.5492007,0.9963799,3.280891e-07,0.042746704,2.3924716e-07,7.9579346e-05,0.02411214,1.0265862,3.6085417e-05,0.00038277463,0.99782515,1.0085112,0.2767196,7.398672e-06,0.9997902,0.04599265,0.43162912,0.99357414,1.1668157e-05,0.9963662,0.9947126,1.2131907,0.99650973,0.9900314,0.99377173,1.031531,0.00017162137,1.003546,0.99775463,0.9950807,0.99628735,0.00025946312,0.99651283,0.9922966,0.004621719
9,0.99593043,0.047258094,0.002886409,2.5393285e-05,0.9955041,0.00011746652,0.9890231,0.9715005,0.9956471,0.037317395,1.0043893,0.93522346,0.8190281,0.84921753,0.99530834,0.5474995,0.9952082,1.7859835e-06,0.039179403,3.1556367e-06,6.337357e-05,0.023901518,1.0253276,5.0507137e-05,0.00035703517,0.9965684,1.0080044,0.27766317,7.6289684e-06,0.9984586,0.06754586,0.4357068,0.9923677,4.3750651e-07,0.99516153,0.99356115,1.2055279,0.9952962,0.98884904,0.99255925,1.0303162,0.00021964432,1.0020264,0.9965384,0.99433607,0.99507606,0.00033877694,0.99529904,0.99120724,0.0043566483
10,0.9943271,0.058867026,0.0028490848,8.484167e-06,0.9938995,0.00011831499,0.9875981,0.96990764,0.99399793,0.038360637,1.0022264,0.9347847,0.82329625,0.8503035,0.9937186,0.5458201,0.9936605,1.0926605e-05,0.03549971,1.7111965e-05,4.42224e-05,0.023498917,1.0236849,6.3751446e-05,0.0003374492,0.9949354,1.0072306,0.27868745,7.164551e-06,0.9967538,0.09219409,0.43988052,0.99078536,2.3982171e-05,0.9935804,0.9920364,1.1971714,0.9937065,0.9872976,0.9909708,1.0287085,0.00025856728,1.0001214,0.9949456,0.99319774,0.9934888,0.00040644238,0.9937094,0.9897398,0.0041447496
11,0.99224764,0.07164942,0.0027875903,2.613618e-07,0.99182,0.00011135666,0.9857077,0.9678507,0.99187505,0.03948897,0.9995845,0.9338969,0.8271394,0.85102904,0.991653,0.54410136,0.9916373,2.8335488e-05,0.031734582,4.326577e-05,2.4903704e-05,0.022897394,1.0215557,7.443233e-05,0.00032397074,0.9928265,1.0060949,0.27977547,6.0855396e-06,0.99457526,0.11942719,0.44409946,0.9887279,8.60086e-05,0.9915231,0.99003804,1.1880089,0.9916409,0.985278,0.9889073,1.0266038,0.00028419212,0.99773157,0.9928762,0.9915657,0.99142563,0.00045556595,0.99164355,0.98779374,0.0039885403
