,LOSS0,LOSS1,LOSS2,LOSS3,LOSS4,LOSS5,LOSS6,LOSS7,LOSS8,LOSS9,LOSS10,LOSS11,LOSS12,LOSS13,LOSS14,LOSS15,LOSS16,LOSS17,LOSS18,LOSS19,LOSS20,LOSS21,LOSS22,LOSS23,LOSS24,LOSS25,LOSS26,LOSS27,LOSS28,LOSS29,LOSS30,LOSS31,LOSS32,LOSS33,LOSS34,LOSS35,LOSS36,LOSS37,LOSS38,LOSS39,LOSS40,LOSS41,LOSS42,LOSS43,LOSS44,LOSS45,LOSS46,LOSS47,LOSS48,LOSS49
0,0.3582991,0.40524834,0.32552633,0.6244821,0.50706667,0.40690657,0.2323259,0.3159414,0.27383536,0.34513178,0.5730683,0.23300962,0.31970105,0.95063424,0.2949171,0.5835193,0.37966925,0.3422347,0.28662524,0.3675444,0.3850622,1.9971263,0.26181528,0.9559194,0.23082072,1.5944551,0.36652577,0.724689,0.23998263,0.38632017,0.23363651,0.9234878,0.2340416,0.6508905,0.5843013,0.46854535,0.24678044,0.23156533,0.2313952,0.45328796,0.5226836,0.23126414,0.33381864,0.23247401,0.7671694,0.31124178,0.26424497,0.27029338,0.5434258,0.72209114
1,0.24416518,0.2532814,0.24181722,0.27673218,0.26494968,0.2511627,0.23073904,0.24027385,0.23542628,0.24375325,0.26484808,0.23296984,0.24474096,0.30762333,0.2384922,0.2736129,0.25179264,0.24355902,0.24152787,0.24540333,0.24608546,0.42340526,0.23570186,0.31487307,0.23081438,0.4177885,0.2455419,0.27841797,0.23227105,0.2507437,0.23305807,0.31660157,0.2299881,0.27939132,0.2658277,0.25614563,0.23305637,0.23086248,0.23086558,0.25401726,0.2599469,0.23024645,0.24781957,0.2323661,0.28685123,0.2408378,0.23574312,0.23568155,0.25965965,0.29049805
2,0.2619451,0.26698643,0.25804144,0.3207005,0.28389603,0.27391675,0.2309187,0.25700346,0.24074459,0.2604479,0.3228402,0.23296377,0.2433215,0.41290125,0.24847108,0.30704257,0.268952,0.25877532,0.24133009,0.26914096,0.26599497,0.6509919,0.23938516,0.39868733,0.2308126,0.47554666,0.27115408,0.37025088,0.23307443,0.26612312,0.23309986,0.36934808,0.23052794,0.32753977,0.32265082,0.28540912,0.23581676,0.2309365,0.23090409,0.29074484,0.3116093,0.23036459,0.2550851,0.23237397,0.36899528,0.24810493,0.2383597,0.24299721,0.3197095,0.33919558
3,0.33526975,0.36878678,0.31010813,0.54864985,0.44707784,0.3746749,0.23196168,0.30281594,0.26571366,0.32509685,0.5155157,0.23297124,0.2954596,0.8228883,0.28407386,0.5125504,0.3522951,0.32223415,0.2726132,0.34507316,0.35606185,1.6652895,0.2562887,0.8171161,0.23081161,1.2757498,0.3451199,0.6443642,0.2381651,0.35576418,0.23346293,0.77600324,0.23314482,0.57038164,0.523369,0.4236299,0.24428888,0.23137541,0.23122582,0.4157212,0.4745607,0.23101236,0.31284067,0.23243722,0.67362124,0.29493725,0.25743112,0.2641426,0.4931078,0.6243796
4,0.28693318,0.31862897,0.27042153,0.41596037,0.3714606,0.31076193,0.23137495,0.26432645,0.25037128,0.28099337,0.3715833,0.23293899,0.28314,0.544666,0.25856054,0.40253633,0.3019253,0.2807302,0.2641294,0.28703868,0.29962954,1.0309879,0.24569891,0.56990814,0.2308042,0.96318775,0.28489083,0.42684156,0.2354067,0.3065264,0.23324537,0.5796247,0.23151365,0.4275712,0.37926808,0.33895302,0.23763983,0.23108761,0.23101102,0.323949,0.34918928,0.2306039,0.2851577,0.23239021,0.4604229,0.27031642,0.2479398,0.24690406,0.35261998,0.4687238
5,0.23034526,0.23260012,0.23297498,0.23174347,0.23185964,0.23177251,0.2305097,0.23335467,0.23051757,0.23177491,0.23157799,0.23289867,0.23519082,0.23183976,0.23203659,0.23238997,0.23523906,0.23156874,0.23556727,0.23252968,0.22862004,0.22930759,0.23226935,0.2330797,0.23079614,0.25908563,0.23386092,0.23398228,0.23112899,0.23281738,0.23289661,0.2345277,0.22938734,0.23173423,0.23012027,0.22922477,0.2316379,0.23068991,0.23068793,0.2321588,0.23261556,0.23004545,0.23599362,0.2323236,0.23152737,0.23133455,0.23183459,0.23227142,0.23225905,0.23368646
6,0.2757549,0.2789394,0.26990145,0.35580844,0.30107015,0.29176402,0.23104717,0.26871198,0.24491438,0.27312735,0.36543673,0.23288587,0.24396193,0.49115717,0.25586846,0.3346983,0.28238237,0.27056512,0.24211663,0.2864819,0.28157133,0.8082604,0.24213171,0.4626002,0.23079158,0.5259958,0.289406,0.43450734,0.23363595,0.27885324,0.2330446,0.41346788,0.23086646,0.3650567,0.36454836,0.3086098,0.23779845,0.23090702,0.23081867,0.31773865,0.34897292,0.23038386,0.2614525,0.23234914,0.43033928,0.25427106,0.2406184,0.24814749,0.36184686,0.37834874
7,0.29923072,0.32636032,0.28122813,0.4453851,0.38073698,0.32643917,0.23147257,0.2748991,0.25395605,0.29242533,0.4107266,0.23286635,0.27611303,0.61673707,0.26526967,0.4236315,0.31337163,0.2912221,0.2609435,0.30285254,0.31322974,1.1805202,0.24806733,0.625415,0.23078455,0.9588932,0.30145484,0.48667696,0.2358018,0.31651008,0.2331817,0.6070811,0.23179454,0.45956293,0.41783687,0.3590194,0.23943539,0.23105188,0.23092224,0.3487212,0.383498,0.23061074,0.28894073,0.23236552,0.5168156,0.27482325,0.24941629,0.2515556,0.3912761,0.49966094
8,0.24741867,0.2676339,0.24145737,0.29729995,0.29128867,0.25697318,0.23080045,0.23844273,0.23701683,0.2458023,0.26552078,0.23282121,0.26037082,0.32450518,0.23885149,0.2979141,0.25753585,0.24657847,0.25015715,0.24481899,0.2515441,0.51146233,0.2364167,0.35344344,0.230774,0.59532124,0.24336705,0.2744309,0.23260505,0.26036236,0.2329161,0.3798224,0.22997655,0.30089504,0.2695275,0.26599684,0.23286277,0.23071562,0.23065946,0.25513726,0.25875154,0.23014206,0.2562451,0.23230785,0.29549405,0.24635987,0.23827165,0.23488638,0.25536042,0.32309705
9,0.2359702,0.2324047,0.23983699,0.24007274,0.22985035,0.23806833,0.23050217,0.24141063,0.23177066,0.2374305,0.25494137,0.2327838,0.23137029,0.26523536,0.23570429,0.2356545,0.2388282,0.23627065,0.23339783,0.2425725,0.23380892,0.27211833,0.23298344,0.24862961,0.2307653,0.22836445,0.24571268,0.27335376,0.23101725,0.23489186,0.23274903,0.23151973,0.22937283,0.24104483,0.25127771,0.23633343,0.23283231,0.2305609,0.23050179,0.24658848,0.25451356,0.22994743,0.23544674,0.2322747,0.26017594,0.23185338,0.23178823,0.23556958,0.2594926,0.23935464
