,MSE0,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20,MSE21,MSE22,MSE23,MSE24,MSE25,MSE26,MSE27,MSE28,MSE29,MSE30,MSE31,MSE32,MSE33,MSE34,MSE35,MSE36,MSE37,MSE38,MSE39,MSE40,MSE41,MSE42,MSE43,MSE44,MSE45,MSE46,MSE47,MSE48,MSE49
0,2.0181358e-05,2.1777681e-05,1.729995e-07,2.543915e-06,9.068461e-06,5.5336e-05,5.2591943e-08,1.0237444e-05,2.5565041e-05,4.8530822e-08,3.1033906e-05,2.0055759e-05,1.6574713e-05,2.6577629e-05,2.063226e-05,2.9131503e-05,1.7544464e-05,2.991919e-08,3.8428973e-07,2.4055465e-08,3.4417237e-05,8.603769e-06,2.2713979e-05,6.958813e-06,6.924363e-09,1.8230041e-05,3.875319e-06,4.776907e-05,2.6380428e-06,5.63733e-05,1.7892272e-07,4.4328335e-06,2.0126132e-05,6.980409e-06,5.4398224e-05,4.9069572e-12,7.9366885e-07,7.5054395e-06,2.8639008e-06,3.6515353e-06,1.0768885e-06,5.606351e-07,3.4054378e-06,1.4197056e-05,0.00012134126,1.158189e-06,2.77109e-06,1.1868644e-05,1.1687467e-05,7.209936e-05
1,2.1449108e-05,7.281707e-06,3.0332814e-07,7.741875e-09,2.9777527e-06,4.208553e-05,6.685194e-07,1.5068052e-05,1.9239336e-05,7.589586e-07,9.426621e-06,1.8568866e-05,1.8452409e-05,3.9735303e-05,5.311439e-06,2.7719972e-05,1.1833999e-05,5.1901156e-07,2.7267351e-06,1.1973428e-06,1.3241931e-05,1.3687013e-06,1.2292079e-05,1.0727728e-06,1.4760996e-06,2.0999563e-05,7.013019e-07,4.794345e-05,4.7570515e-07,4.2485073e-05,1.2656532e-06,1.1015324e-05,4.939376e-06,8.7032913e-07,2.5703115e-05,8.739194e-07,1.3343829e-07,6.562398e-06,3.9871975e-06,8.576033e-07,9.87328e-08,3.5458452e-06,6.738992e-08,1.6016587e-05,8.686447e-05,1.788052e-06,6.5826086e-08,2.9559105e-06,4.910345e-06,2.2851571e-05
2,2.2016833e-05,7.8298143e-07,1.9622871e-06,1.6846111e-06,2.6972268e-07,3.0072737e-05,1.730597e-06,1.9727673e-05,1.3560777e-05,3.3871258e-06,5.8335434e-07,1.6648903e-05,1.9597124e-05,5.2407766e-05,5.069061e-08,2.5560474e-05,7.2279754e-06,1.4581198e-06,6.4896194e-06,3.6468766e-06,2.376821e-06,1.8042901e-07,4.9972527e-06,1.8552778e-07,5.65907e-06,2.285474e-05,3.531775e-08,4.652725e-05,2.7654979e-08,2.9995306e-05,2.928411e-06,1.8914396e-05,2.2589218e-08,3.9773423e-07,8.098832e-06,3.1036905e-06,1.4284871e-08,5.520702e-06,4.986524e-06,1.6246851e-12,1.283307e-07,8.347262e-06,1.3416478e-06,1.7267459e-05,5.7514597e-05,2.3414837e-06,1.0776972e-06,1.2531462e-08,1.0962555e-06,1.8406039e-06
3,2.1755994e-05,5.772665e-07,4.5182333e-06,6.4771025e-06,3.5392006e-07,1.959374e-05,2.9392384e-06,2.368764e-05,8.6626105e-06,7.1608133e-06,1.7712434e-06,1.4328328e-05,1.9856023e-05,6.311032e-05,2.8117354e-06,2.2683571e-05,3.734619e-06,2.6273347e-06,1.0866773e-05,6.71057e-06,1.6321074e-07,3.3815752e-06,9.4029684e-07,3.0510305e-06,1.1509891e-05,2.3566576e-05,1.2024223e-06,4.3454194e-05,8.712736e-07,1.9222187e-05,4.7299577e-06,2.6835032e-05,2.9279552e-06,4.1306826e-06,5.2622744e-07,6.085475e-06,3.0827255e-07,4.400453e-06,5.726291e-06,7.4012314e-07,9.415337e-07,1.4076891e-05,5.7357443e-06,1.7783621e-05,3.3737742e-05,2.7134088e-06,4.8538163e-06,1.8524893e-06,5.357555e-09,3.076874e-06
4,2.0581427e-05,4.9413634e-06,7.3653696e-06,1.3210505e-05,2.5654504e-06,1.097351e-05,4.0269383e-06,2.6458869e-05,4.691028e-06,1.1321174e-05,1.0214204e-05,1.1675094e-05,1.911893e-05,7.055422e-05,1.1429156e-05,1.9159528e-05,1.3709822e-06,3.7922766e-06,1.5101045e-05,9.771223e-06,4.738002e-06,9.366382e-06,7.4954066e-08,8.386307e-06,1.7982775e-05,2.2985707e-05,3.5237892e-06,3.8774604e-05,2.5621018e-06,1.0488634e-05,6.2898653e-06,3.3598928e-05,1.1186547e-05,1.0597054e-05,1.6075991e-06,9.242917e-06,8.7272684e-07,3.244194e-06,6.0929096e-06,2.6804883e-06,2.2798388e-06,1.9857986e-05,1.1802895e-05,1.7440283e-05,1.5971988e-05,2.8210115e-06,1.0384107e-05,7.1938116e-06,1.2753392e-06,2.0501271e-05
5,1.8470064e-05,1.2181293e-05,9.967052e-06,2.0682985e-05,6.1920064e-06,4.5883935e-06,4.774663e-06,2.7664097e-05,1.822171e-06,1.5169963e-05,2.3169188e-05,8.812586e-06,1.7365051e-05,7.3736315e-05,2.3662258e-05,1.5147591e-05,1.6291952e-07,4.7255403e-06,1.8529232e-05,1.2289451e-05,1.4101637e-05,1.6617161e-05,2.1800101e-06,1.4922548e-05,2.4082135e-05,2.1083102e-05,6.347095e-06,3.2670807e-05,4.6566543e-06,4.166848e-06,7.3171677e-06,3.8228376e-05,2.2403581e-05,1.8340701e-05,9.673603e-06,1.2045369e-05,1.5587719e-06,2.1144472e-06,6.0139805e-06,5.3786844e-06,3.8691114e-06,2.4868743e-05,1.8204262e-05,1.618096e-05,4.6321725e-06,2.623384e-06,1.6637652e-05,1.4701148e-05,4.4280396e-06,4.8164875e-05
6,1.5505579e-05,2.0695548e-05,1.1875903e-05,2.7731909e-05,1.0493844e-05,8.3983707e-07,5.030644e-06,2.7048403e-05,2.4514975e-07,1.810784e-05,3.8013644e-05,5.931497e-06,1.467461e-05,7.2063245e-05,3.732118e-05,1.0895451e-05,1.374934e-07,5.2362066e-06,2.0627858e-05,1.3835456e-05,2.6190868e-05,2.3771128e-05,6.8493464e-06,2.1461205e-05,2.891785e-05,1.7958675e-05,9.072071e-06,2.5503532e-05,6.735701e-06,6.3073503e-07,7.6244664e-06,4.0012033e-05,3.4346027e-05,2.5993286e-05,2.2815933e-05,1.4050494e-05,2.2216352e-06,1.1081856e-06,5.4640664e-06,8.364905e-06,5.4285497e-06,2.839747e-05,2.3782546e-05,1.4034488e-05,7.921102e-08,2.1352057e-06,2.2627813e-05,2.303592e-05,8.885707e-06,8.0433514e-05
7,1.1881181e-05,2.9045214e-05,1.27687645e-05,3.3313845e-05,1.4759554e-05,1.3204676e-07,4.7366957e-06,2.4565772e-05,1.5774185e-07,1.9670828e-05,5.2366937e-05,3.2856415e-06,1.1261592e-05,6.545144e-05,5.030863e-05,6.7494866e-06,1.3208568e-06,5.1992265e-06,2.1044518e-05,1.4139121e-05,3.900808e-05,2.9682806e-05,1.3489749e-05,2.6956597e-05,3.1781437e-05,1.3887672e-05,1.1203658e-05,1.7827184e-05,8.427815e-06,2.478633e-07,7.1427316e-06,3.8573642e-05,4.504901e-05,3.2342177e-05,3.8962087e-05,1.4933811e-05,2.7324447e-06,3.5136722e-07,4.488027e-06,1.1176297e-05,6.6984126e-06,2.9896735e-05,2.7616452e-05,1.1146499e-05,2.5807e-06,1.4411822e-06,2.745591e-05,3.0927382e-05,1.3987625e-05,0.000112185284
8,7.9349065e-06,3.599019e-05,1.2488382e-05,3.6584737e-05,1.832945e-05,2.859678e-06,3.9285887e-06,2.0390808e-05,1.750201e-06,1.9587013e-05,6.418335e-05,1.2024547e-06,7.488952e-06,5.4424025e-05,6.0813774e-05,3.1702307e-06,3.72611e-06,4.5824413e-06,1.9657984e-05,1.3116139e-05,5.069137e-05,3.347893e-05,2.1338408e-05,3.0567604e-05,3.2204756e-05,9.323029e-06,1.2368149e-05,1.0410176e-05,9.439462e-06,3.348006e-06,5.944105e-06,3.3960507e-05,5.2925527e-05,3.6437286e-05,5.596612e-05,1.452656e-05,2.9927362e-06,5.4629967e-09,3.208873e-06,1.3385597e-05,7.4660165e-06,2.90746e-05,2.9090801e-05,7.796776e-06,1.2254953e-05,6.9620404e-07,3.0411216e-05,3.7258713e-05,1.9047624e-05,0.00013904899
9,4.1716316e-06,4.0600167e-05,1.1043876e-05,3.6984835e-05,2.068243e-05,9.350834e-06,2.7553015e-06,1.4986576e-05,5.1833185e-06,1.782191e-05,7.1897215e-05,8.2883986e-08,3.877906e-06,4.0194725e-05,6.7380286e-05,7.1689624e-07,7.3373762e-06,3.4759726e-06,1.6612457e-05,1.08927015e-05,5.9672544e-05,3.4612724e-05,2.9508541e-05,3.1738626e-05,3.0035737e-05,4.9100313e-06,1.2363839e-05,4.2470533e-06,9.5993e-06,1.0180949e-05,4.238021e-06,2.6717613e-05,5.6880777e-05,3.7642556e-05,7.174954e-05,1.283812e-05,2.9478883e-06,2.5432107e-07,1.8356103e-06,1.4656075e-05,7.5861e-06,2.5908665e-05,2.7944943e-05,4.4213366e-06,2.901167e-05,1.324038e-07,3.1007836e-05,4.111776e-05,2.3387332e-05,0.00015761296
