,LOSS0,LOSS1,LOSS2,LOSS3,LOSS4,LOSS5,LOSS6,LOSS7,LOSS8,LOSS9,LOSS10,LOSS11,LOSS12,LOSS13,LOSS14,LOSS15,LOSS16,LOSS17,LOSS18,LOSS19,LOSS20,LOSS21,LOSS22,LOSS23,LOSS24,LOSS25,LOSS26,LOSS27,LOSS28,LOSS29,LOSS30,LOSS31,LOSS32,LOSS33,LOSS34,LOSS35,LOSS36,LOSS37,LOSS38,LOSS39,LOSS40,LOSS41,LOSS42,LOSS43,LOSS44,LOSS45,LOSS46,LOSS47,LOSS48,LOSS49
0,0.23146904,0.25466448,0.36822775,1.0883926,0.2569988,0.40869245,0.3080337,1.1124834,0.3870709,0.32559592,0.23327819,2.2473612,0.7838138,0.46244714,0.92607677,0.3175169,0.60298365,0.25653636,0.2842552,0.42256254,0.27019614,0.2588816,0.4856053,0.44862685,1.6873026,0.30231997,0.24001376,0.30264056,0.23088554,0.26350138,0.2764634,0.2293901,0.27548337,0.51702416,0.95392156,0.5731215,0.2305373,0.25657392,0.39978105,0.29923403,0.27123502,0.49405855,0.31818888,0.26937446,0.32429165,0.6108111,2.3452237,0.25984296,0.23022205,0.4053828
1,0.23142011,0.2313671,0.2464084,0.31680328,0.23464224,0.2506386,0.23750006,0.32424396,0.25374287,0.24180955,0.23209825,0.4390377,0.27563182,0.2561076,0.3060527,0.23989134,0.27460498,0.2349148,0.2375022,0.25251263,0.23391919,0.23513332,0.26099128,0.25633857,0.3777037,0.23804672,0.23298934,0.2402846,0.22987095,0.23767778,0.23794793,0.22775032,0.23786055,0.25835392,0.30694723,0.26662385,0.23010464,0.23661385,0.24936788,0.23795296,0.23575188,0.26313326,0.2364315,0.23612522,0.24289499,0.27241588,0.4477535,0.2337076,0.23013936,0.2559578
2,0.23139547,0.22879942,0.23151354,0.24402508,0.23201244,0.23433805,0.23056246,0.24236381,0.23177718,0.23212177,0.23194128,0.25806785,0.24061684,0.23662442,0.2397023,0.2322028,0.23635022,0.23234145,0.23289289,0.23343001,0.22937387,0.23210724,0.2338195,0.23395328,0.2486099,0.23026635,0.23203492,0.23094869,0.2297595,0.23361889,0.23333465,0.22758585,0.23410177,0.2351185,0.23920928,0.23632869,0.23003718,0.23419368,0.23191205,0.23247893,0.23152962,0.23555797,0.23070432,0.23201826,0.23196495,0.23532657,0.25854832,0.23035608,0.23011811,0.23315667
3,0.23136765,0.22933127,0.23496601,0.257577,0.23259822,0.23758636,0.23186536,0.25910828,0.23765472,0.23425265,0.23192698,0.29446942,0.24407426,0.24011086,0.25349256,0.23366301,0.2448394,0.23287563,0.2337502,0.23754255,0.2304192,0.23280853,0.24006726,0.23894034,0.2734673,0.23202619,0.23224217,0.23335597,0.22977385,0.23467442,0.23435819,0.22759944,0.23480049,0.23905173,0.25291884,0.2421146,0.23002373,0.23469725,0.23574044,0.23337945,0.23247397,0.2418256,0.23128814,0.23294498,0.23464735,0.24323277,0.29609948,0.2311402,0.2301022,0.23911865
4,0.23132794,0.22864056,0.23121035,0.23700671,0.23192057,0.23313574,0.2299386,0.23683012,0.23318493,0.23172812,0.23183799,0.24424645,0.2336891,0.23466787,0.23579973,0.23153692,0.23502916,0.23217288,0.23246667,0.23255414,0.22926797,0.23204798,0.233146,0.23316176,0.23792028,0.23004015,0.23198816,0.231291,0.2297355,0.2337994,0.2331616,0.22753723,0.23374885,0.23245367,0.23473662,0.23379213,0.22997801,0.23403582,0.23120485,0.23181857,0.23138352,0.23480141,0.22957717,0.23188975,0.23204209,0.23340392,0.24382159,0.23030561,0.23007604,0.2341717
5,0.23127975,0.22843939,0.22996032,0.23266676,0.23170899,0.23203151,0.22949655,0.2312557,0.23055121,0.23095684,0.2317608,0.23210034,0.23251462,0.23353016,0.23118405,0.23104753,0.23207316,0.2319089,0.23216474,0.2311484,0.22884999,0.23176266,0.2308564,0.2314038,0.22985101,0.2293776,0.23186368,0.23028731,0.22971627,0.23332417,0.23275882,0.22750463,0.23348549,0.23119703,0.23018065,0.23192553,0.2299335,0.23377588,0.22980869,0.23151569,0.2310286,0.23256509,0.2293655,0.23151009,0.23101564,0.23072779,0.23144786,0.22999285,0.23004562,0.23168258
6,0.23122303,0.22843982,0.23008889,0.23324955,0.23172617,0.2321276,0.22952537,0.23195155,0.23063916,0.2310127,0.23168154,0.23372313,0.23259355,0.23363401,0.23177262,0.23108718,0.23242138,0.2318564,0.23217256,0.23131351,0.22885425,0.23176314,0.2310575,0.23158988,0.23094338,0.2294124,0.231828,0.23034562,0.22970268,0.23332697,0.23276022,0.22747727,0.23347613,0.231325,0.2307467,0.23216088,0.22988617,0.23371877,0.22989969,0.23152784,0.23104541,0.23280399,0.22936213,0.23150274,0.23110986,0.23105948,0.2331583,0.23000023,0.23001033,0.23185201
7,0.23115733,0.22839795,0.2299951,0.23275205,0.23170286,0.2319734,0.22944888,0.23139338,0.23056382,0.23091733,0.23158844,0.23250882,0.23231913,0.2334549,0.2313524,0.23101076,0.23219551,0.23175372,0.23210907,0.23118958,0.22878622,0.23171587,0.23084493,0.2314356,0.2300957,0.22932595,0.2317727,0.230299,0.22968517,0.23328795,0.23268653,0.22744305,0.23340584,0.23112683,0.23028788,0.23194908,0.2298312,0.23361461,0.22971788,0.23146212,0.2309957,0.232628,0.22929744,0.23142841,0.23105451,0.23082624,0.23194942,0.22995591,0.22996919,0.23178668
8,0.23108296,0.22835848,0.22990848,0.23252894,0.23168205,0.23186283,0.22939286,0.23106286,0.23033497,0.23083207,0.23148423,0.23182,0.23221044,0.23334505,0.23109676,0.23095763,0.23202416,0.23164243,0.23205759,0.2311029,0.22871324,0.23166431,0.2306439,0.23131037,0.2296759,0.22924027,0.2317098,0.23021388,0.22966565,0.23322405,0.23261146,0.22740482,0.2333425,0.23102102,0.23001304,0.23184016,0.22976975,0.23350212,0.22955252,0.23141593,0.23094751,0.23247705,0.229257,0.2313499,0.23098488,0.23067561,0.2313206,0.22990727,0.22992249,0.23161872
9,0.23100016,0.22832456,0.2298857,0.23251174,0.23167078,0.2317984,0.22935219,0.2310082,0.23023139,0.23078007,0.23136964,0.23176964,0.2321304,0.23327872,0.23107657,0.2309231,0.232007,0.23152971,0.23201476,0.23108645,0.22865465,0.23162259,0.23055373,0.23127286,0.22965968,0.22918174,0.23164512,0.23017888,0.22964412,0.23317985,0.23254932,0.22736235,0.233284,0.23096299,0.22996433,0.23181796,0.22970234,0.23338972,0.22944614,0.231378,0.23091353,0.23244102,0.22921859,0.23128316,0.23096941,0.2306612,0.23134072,0.22987047,0.2298703,0.23158161
