,MSE0,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20,MSE21,MSE22,MSE23,MSE24,MSE25,MSE26,MSE27,MSE28,MSE29,MSE30,MSE31,MSE32,MSE33,MSE34,MSE35,MSE36,MSE37,MSE38,MSE39,MSE40,MSE41,MSE42,MSE43,MSE44,MSE45,MSE46,MSE47,MSE48,MSE49
0,5.251868e-06,7.944403e-06,4.771966e-06,5.258271e-06,5.8145206e-06,3.3023152e-06,5.09498e-06,3.3906822e-06,3.7004966e-06,4.1555973e-06,5.4541797e-06,5.740329e-06,4.725964e-06,1.8145473e-06,2.6613511e-06,1.4991457e-05,8.49761e-06,2.8659051e-06,2.6063617e-06,6.8031095e-06,2.1079013e-06,7.6725564e-07,4.7774216e-07,1.3023742e-06,1.4929707e-05,1.51874065e-05,1.1749902e-05,9.562171e-06,3.6165688e-06,1.0053901e-05,1.3864183e-06,2.8286697e-06,4.1004632e-06,3.2200303e-06,5.579231e-06,1.2609044e-05,3.961742e-06,2.55666e-06,1.0519208e-05,6.709653e-06,3.808528e-06,3.080555e-06,1.0117308e-06,6.8262266e-06,6.482937e-06,4.257157e-06,4.0750524e-06,7.940139e-06,6.427978e-06,8.4386575e-06
1,2.1355456e-06,2.681325e-06,1.4320461e-06,8.9281724e-07,1.7535099e-06,9.749546e-07,1.2943821e-06,1.1912496e-06,1.0185371e-06,1.10013e-06,1.5385361e-06,1.7537167e-06,1.1393629e-06,9.585397e-07,5.971813e-07,4.7060184e-06,2.717603e-06,5.765336e-07,8.5609315e-07,1.953737e-06,6.455886e-07,8.4756914e-07,1.1844014e-07,2.7872235e-07,5.5433716e-06,5.8983846e-06,3.946293e-06,3.390327e-06,9.130598e-07,3.3816402e-06,2.401712e-07,9.130749e-07,1.1176825e-06,8.1004254e-07,1.6866755e-06,3.5650712e-06,8.018862e-07,8.1007397e-07,3.1727218e-06,1.6645101e-06,1.1683671e-06,5.5877405e-07,1.5388561e-07,1.7633248e-06,2.1535432e-06,7.063653e-07,9.757099e-07,2.2377812e-06,1.9008914e-06,2.7732683e-06
2,4.2634267e-07,2.7557866e-07,7.674626e-08,6.573912e-08,9.1255885e-08,4.578079e-08,1.2778372e-08,1.4864469e-07,2.7203157e-08,1.680433e-08,4.8702898e-08,1.0284102e-07,3.3648142e-09,3.6176993e-07,5.228893e-11,3.422458e-07,2.2106552e-07,7.37866e-09,7.4428534e-08,7.545945e-08,3.9504688e-08,9.09882e-07,7.5330006e-11,1.1634212e-09,8.3489465e-07,1.0767491e-06,4.1138873e-07,4.4966274e-07,8.544991e-09,3.5599052e-07,1.6459994e-08,7.4823134e-08,2.7710772e-08,3.8787276e-09,9.804411e-08,1.2998544e-07,8.350568e-09,5.335017e-08,1.8662166e-07,1.08998295e-08,6.906939e-08,3.252985e-08,2.7686932e-08,2.3303176e-08,1.9832751e-07,7.112943e-08,2.2460107e-09,7.781854e-08,9.398258e-08,2.558367e-07
3,1.4970384e-08,2.5591368e-07,3.1837246e-07,1.7001444e-06,4.140665e-07,2.432977e-07,6.4988905e-07,7.185745e-08,3.6114523e-07,5.0104666e-07,5.075319e-07,3.6248537e-07,7.1109633e-07,4.833614e-08,4.897237e-07,7.5282367e-07,3.6908529e-07,6.9419593e-07,1.12639135e-07,5.6062316e-07,1.265691e-07,9.4094855e-07,9.392982e-08,2.8911424e-07,1.9440121e-07,6.83083e-08,3.5239916e-07,1.6754086e-07,4.6156276e-07,2.9647867e-07,4.494991e-07,1.2567996e-07,4.0805932e-07,5.015537e-07,3.4130423e-07,1.03753e-06,9.2263167e-07,1.5855878e-07,6.288787e-07,9.1462425e-07,2.430008e-07,1.0361449e-06,4.4075378e-07,8.143284e-07,2.5729585e-07,1.55333e-06,6.2872545e-07,6.74413e-07,4.5029293e-07,3.1560836e-07
4,7.2471084e-07,2.0812784e-06,1.7300016e-06,4.8019783e-06,2.2469865e-06,1.2658428e-06,2.5928712e-06,7.3806206e-07,1.6340076e-06,2.106524e-06,2.3888992e-06,2.0507555e-06,2.6456687e-06,2.4976853e-08,1.6827292e-06,4.725954e-06,2.4688022e-06,2.173589e-06,7.9416986e-07,2.7562187e-06,7.2621543e-07,9.2755624e-07,3.517435e-07,9.498366e-07,2.863583e-06,2.1105334e-06,2.9104915e-06,1.9207068e-06,1.8243079e-06,2.47e-06,1.2771586e-06,8.465988e-07,1.8189327e-06,1.9580511e-06,1.911218e-06,5.0051076e-06,2.9022915e-06,9.5107833e-07,3.5383734e-06,3.5427238e-06,1.3827243e-06,3.0746412e-06,1.1903134e-06,3.338549e-06,1.8961892e-06,4.3633686e-06,2.321781e-06,3.2187481e-06,2.3767368e-06,2.326948e-06
5,2.3095279e-06,5.1631714e-06,3.8582116e-06,8.478013e-06,5.06874e-06,2.7939634e-06,5.238242e-06,1.9001798e-06,3.4534357e-06,4.368665e-06,5.1364646e-06,4.650698e-06,5.2045507e-06,2.7508764e-07,3.2084158e-06,1.1014431e-05,5.80229e-06,3.9987253e-06,1.9111792e-06,5.9923896e-06,1.6426229e-06,8.5825917e-07,7.08396e-07,1.790232e-06,7.952224e-06,6.358453e-06,7.194345e-06,5.051659e-06,3.660321e-06,6.1068167e-06,2.2508543e-06,1.9951337e-06,3.820078e-06,3.9976417e-06,4.2886e-06,1.0764677e-05,5.339921e-06,2.2172878e-06,7.9525025e-06,7.0964757e-06,3.146442e-06,5.6474714e-06,2.0767375e-06,6.8194277e-06,4.6204764e-06,7.751295e-06,4.561051e-06,6.9072335e-06,5.265168e-06,5.626746e-06
6,4.471421e-06,8.883637e-06,6.2551962e-06,1.1969383e-05,8.332846e-06,4.5072293e-06,8.02477e-06,3.2996552e-06,5.434776e-06,6.825087e-06,8.194217e-06,7.633285e-06,7.828519e-06,7.59478e-07,4.7284884e-06,1.8387798e-05,9.657161e-06,5.7694087e-06,3.2438534e-06,9.61058e-06,2.6767143e-06,7.312094e-07,1.0896182e-06,2.6234957e-06,1.4484572e-05,1.1919853e-05,1.231137e-05,8.894416e-06,5.5686924e-06,1.0443166e-05,3.1513343e-06,3.3238296e-06,5.9868257e-06,6.236318e-06,6.9685284e-06,1.7118125e-05,7.700268e-06,3.7134187e-06,1.29499285e-05,1.0832964e-05,5.1820684e-06,8.268169e-06,2.9098364e-06,1.05282425e-05,7.904632e-06,1.1039808e-05,6.8644567e-06,1.0973026e-05,8.513772e-06,9.547344e-06
7,6.874461e-06,1.2640141e-05,8.49203e-06,1.4662596e-05,1.15083985e-05,6.1018486e-06,1.0456507e-05,4.6835034e-06,7.232459e-06,9.04525e-06,1.1039196e-05,1.04944365e-05,1.00312855e-05,1.413981e-06,5.9532044e-06,2.5668007e-05,1.3365373e-05,7.1442587e-06,4.5669053e-06,1.3001335e-05,3.6391264e-06,5.5098866e-07,1.4172278e-06,3.2890055e-06,2.1442807e-05,1.7883558e-05,1.7413015e-05,1.2801271e-05,7.191198e-06,1.474651e-05,3.7991467e-06,4.590742e-06,7.935863e-06,8.302711e-06,9.481746e-06,2.300406e-05,9.542532e-06,5.1879565e-06,1.7678665e-05,1.410921e-05,7.1398945e-06,1.0500249e-05,3.5303449e-06,1.3822895e-05,1.1213479e-05,1.3663118e-05,8.815476e-06,1.47278015e-05,1.15650455e-05,1.3445301e-05
8,9.159662e-06,1.5868141e-05,1.0212704e-05,1.6150143e-05,1.41127975e-05,7.315631e-06,1.21368475e-05,5.821324e-06,8.55204e-06,1.0668593e-05,1.3218036e-05,1.2778489e-05,1.1447509e-05,2.1569201e-06,6.671294e-06,3.18148e-05,1.635264e-05,7.885485e-06,5.6719587e-06,1.5636384e-05,4.368158e-06,3.4060503e-07,1.6218821e-06,3.6661795e-06,2.783516e-05,2.3395973e-05,2.1744514e-05,1.6189644e-05,8.260712e-06,1.8368539e-05,4.0745513e-06,5.5840387e-06,9.354534e-06,9.873556e-06,1.1426046e-05,2.751926e-05,1.055029e-05,6.4024302e-06,2.1433914e-05,1.6409042e-05,8.715913e-06,1.19894585e-05,3.821069e-06,1.6195281e-05,1.4049791e-05,1.5207675e-05,1.0087251e-05,1.7597042e-05,1.3942236e-05,1.6740154e-05
9,1.09983275e-05,1.8105382e-05,1.1135841e-05,1.6208585e-05,1.5755117e-05,7.95263e-06,1.2806828e-05,6.5331164e-06,9.185225e-06,1.1430849e-05,1.4394689e-05,1.4144336e-05,1.1840421e-05,2.894122e-06,6.7574833e-06,3.5985257e-05,1.8169121e-05,7.857631e-06,6.3798007e-06,1.7120357e-05,4.7394196e-06,1.4149076e-07,1.6562093e-06,3.680838e-06,3.2776574e-05,2.770098e-05,2.4695348e-05,1.8580964e-05,8.605195e-06,2.0786367e-05,3.9263214e-06,6.140739e-06,1.0020156e-05,1.06938305e-05,1.250845e-05,3.0021314e-05,1.0559198e-05,7.1558534e-06,2.36661e-05,1.7401731e-05,9.655982e-06,1.2495708e-05,3.723988e-06,1.7284832e-05,1.5994698e-05,1.542662e-05,1.0477619e-05,1.9159637e-05,1.5285037e-05,1.8960187e-05
