,LOSS0,LOSS1,LOSS2,LOSS3,LOSS4,LOSS5,LOSS6,LOSS7,LOSS8,LOSS9,LOSS10,LOSS11,LOSS12,LOSS13,LOSS14,LOSS15,LOSS16,LOSS17,LOSS18,LOSS19,LOSS20,LOSS21,LOSS22,LOSS23,LOSS24,LOSS25,LOSS26,LOSS27,LOSS28,LOSS29,LOSS30,LOSS31,LOSS32,LOSS33,LOSS34,LOSS35,LOSS36,LOSS37,LOSS38,LOSS39,LOSS40,LOSS41,LOSS42,LOSS43,LOSS44,LOSS45,LOSS46,LOSS47,LOSS48,LOSS49
0,0.2360352,0.23409498,0.25964838,0.25123575,0.25955197,1.1113001,0.41240808,0.32593808,0.24900071,0.33172014,0.37065455,0.2678673,0.3639863,0.23101434,0.8213925,0.6788894,0.35586643,0.8073326,0.4280106,0.45594135,0.2526743,0.5298011,0.40536395,0.70945406,0.26272973,0.47486132,0.4041571,0.27416632,0.33780715,0.23184022,0.24826674,0.7965076,0.3514048,0.95097655,0.23931259,1.6291867,0.23605907,0.24522333,0.23304728,0.2584082,1.8632796,0.28983563,0.28554726,0.86578953,0.23089807,0.3987907,0.23908989,0.25762737,0.27383566,0.25905254
1,0.57606936,0.60461545,0.43053782,0.4567917,0.43962237,0.31813985,0.26158264,0.31120607,0.46044424,0.30409583,0.29974422,0.42012668,0.29664925,0.51661175,0.2543029,0.23246792,0.2930555,0.2551698,0.25309402,0.24877103,0.45140553,0.2367908,0.26747012,0.236277,0.4510868,0.25208536,0.27499622,0.4133868,0.28892234,0.5522184,0.41267478,0.24796383,0.30615976,0.27176037,0.48087984,0.53412837,0.5431689,0.51212204,0.51028895,0.42712638,0.6296436,0.3561084,0.39177686,0.27832538,0.54025495,0.27593672,0.5108768,0.4579503,0.41026178,0.4325417
2,0.23498301,0.23367582,0.24808855,0.2434358,0.2480041,0.23848963,0.23524053,0.2455453,0.24342458,0.24683796,0.24428809,0.25159708,0.24475566,0.23201343,0.23431331,0.22896057,0.24001166,0.23305081,0.23193736,0.23215827,0.24411887,0.23213787,0.23449332,0.22941294,0.24967521,0.23277828,0.23959444,0.2503597,0.24109156,0.23148075,0.24089657,0.22832291,0.24610427,0.23108564,0.2368663,0.309555,0.23452646,0.24120288,0.23185948,0.24685456,0.34896925,0.24881735,0.25650263,0.23299254,0.23407705,0.23695442,0.23726346,0.24711843,0.2533325,0.24824153
3,0.23021474,0.23190069,0.232741,0.23125657,0.23355152,0.22964223,0.23161921,0.2327251,0.23335062,0.23471346,0.23345272,0.2343278,0.23447184,0.22545135,0.23286954,0.22866029,0.23193346,0.23189552,0.22967923,0.22982083,0.2323913,0.23181467,0.22985792,0.2290545,0.23323236,0.22989358,0.23321249,0.23300533,0.23211953,0.23029883,0.2310883,0.22764012,0.23378439,0.22909611,0.22711681,0.24972907,0.2313856,0.23076902,0.2296065,0.23322138,0.2644149,0.23269999,0.23511875,0.22825244,0.22609548,0.23094054,0.2309795,0.23319884,0.233632,0.23175384
4,0.22980647,0.2314847,0.23128413,0.22974493,0.23182282,0.22877856,0.23096633,0.23058082,0.23206615,0.23250267,0.23135877,0.23228528,0.23226364,0.22484045,0.23192383,0.22836109,0.2302928,0.23158704,0.22902237,0.22931737,0.23097058,0.23161887,0.2288427,0.22870703,0.23171364,0.22872257,0.23206523,0.230527,0.23080643,0.23008327,0.23005614,0.2274686,0.23158833,0.2288,0.22601585,0.23463021,0.23116174,0.2298135,0.22925983,0.23161107,0.23946245,0.2299869,0.23271917,0.22772534,0.2253307,0.22965968,0.23052028,0.23146574,0.23165238,0.23037235
5,0.22954947,0.23109038,0.2309679,0.22919276,0.23112,0.22858068,0.23067339,0.23001869,0.23140815,0.23173186,0.23053856,0.23179314,0.23140979,0.22439374,0.23108663,0.22805533,0.22966562,0.23129521,0.22853723,0.22900952,0.23032247,0.23142946,0.22830607,0.22835588,0.23128295,0.22776493,0.23163047,0.23003218,0.23051552,0.2298856,0.22974534,0.22729899,0.2309395,0.22853592,0.22532298,0.2311759,0.23099285,0.2293621,0.22899315,0.23121886,0.2326149,0.22923844,0.23207697,0.22752665,0.22479363,0.22904924,0.23030853,0.2310567,0.23119724,0.22982602
6,0.22929361,0.23068835,0.23076414,0.22872558,0.23051216,0.228421,0.23043771,0.22974426,0.23085526,0.23123263,0.229968,0.2314918,0.2308703,0.22393377,0.23033375,0.22774,0.22921315,0.23099773,0.22808488,0.22872832,0.22976735,0.23123932,0.22784394,0.22799762,0.2309475,0.22686839,0.23133294,0.22980386,0.23040985,0.22968774,0.22949429,0.22712429,0.23059343,0.22826621,0.22463469,0.23038457,0.23082267,0.22895952,0.22872785,0.2309662,0.23077671,0.22878706,0.23165785,0.22734258,0.22426532,0.22855568,0.23010372,0.23079544,0.23092061,0.22935659
7,0.2290289,0.23027562,0.23056775,0.22825348,0.22990808,0.22825995,0.23020534,0.22953126,0.23035352,0.23078561,0.22945,0.23121923,0.23042741,0.22345014,0.2296479,0.22741278,0.22879058,0.2306929,0.22764161,0.22844657,0.22923614,0.23104645,0.22738788,0.2276298,0.23061429,0.22599563,0.23106074,0.22962303,0.23034425,0.22948742,0.22924176,0.22694317,0.23031087,0.22798808,0.2239193,0.23011357,0.23064815,0.22857127,0.2284576,0.23073463,0.23016693,0.22839554,0.23126462,0.22715385,0.22373064,0.22807743,0.2298893,0.23055089,0.23066983,0.22889604
8,0.22875348,0.22985016,0.2303626,0.22776023,0.2292923,0.22809453,0.22996393,0.22933124,0.22988744,0.23034593,0.22893985,0.2309473,0.23002858,0.22293982,0.22901477,0.22707169,0.22836234,0.23037972,0.22719967,0.22815718,0.22871345,0.23084961,0.22692019,0.22725031,0.23026982,0.22513175,0.23078746,0.22944751,0.23028845,0.22928298,0.22897792,0.22675474,0.2300403,0.22769977,0.22317141,0.22992682,0.23046787,0.22818999,0.22818068,0.23050484,0.22982456,0.22801135,0.23086423,0.2269586,0.22318429,0.22758935,0.22966248,0.2303005,0.23042011,0.22843318
9,0.2284659,0.22941032,0.23014472,0.2272404,0.22865988,0.22792362,0.2297083,0.22912994,0.22944726,0.22989784,0.2284211,0.2306682,0.22965118,0.22240067,0.22842206,0.22671485,0.2279184,0.23005725,0.2267535,0.22785813,0.22818966,0.2306477,0.22643651,0.22685748,0.22991054,0.22426482,0.23050497,0.22926724,0.2302344,0.229073,0.22869967,0.22655798,0.22976436,0.22739977,0.22238801,0.22974904,0.23028043,0.22781165,0.2278956,0.23027115,0.22953674,0.22762153,0.23044808,0.2267557,0.22262223,0.22708239,0.22942148,0.2300386,0.23016553,0.22796293
