,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49
0,-0.015234389,-0.012870393,0.0049424265,0.0064464873,-0.0108947065,0.009239527,-0.0148127945,0.009800795,-0.018380824,-0.0151843205,-0.026330065,-0.015360125,-0.014392771,0.00788636,-0.014985095,-0.010444331,0.0067574186,,-0.014886471,0.007857431,-0.01003918,0.0091372635,,-0.015220219,0.009185825,-0.010071066,0.011488201,-0.021241419,-0.011274046,0.008152479,0.003029735,0.010816273,-0.01064724,0.0101411855,-0.014986687,0.009382788,0.0059965397,-0.010851796,0.009045048,-0.010315347,0.011935098,0.003067229,-0.0124951815,0.015361048,0.0066419677,0.005758179,-0.010347321,-0.011606893,-0.009333773,0.009679808
1,-0.014961104,-0.012564397,0.005226534,0.0066475635,-0.010641779,0.00935479,-0.0145009095,0.0101547735,-0.018106818,-0.014825199,-0.026170915,-0.015051304,-0.014124188,0.008230695,-0.0146859065,-0.010027299,0.006811893,,-0.014597137,0.0080987085,-0.00965172,0.009369864,,-0.014988216,0.009459412,-0.0097029125,0.011797598,-0.020982563,-0.010840337,0.008521454,0.0034539737,0.010697175,-0.0102347955,0.010462166,-0.014629459,0.009781546,0.0062048384,-0.011001991,0.008951051,-0.010100456,0.012200289,0.0034598825,-0.012265719,0.015609044,0.0070311944,0.0061152196,-0.010063658,-0.011315014,-0.009198334,0.009966397
2,-0.014636794,-0.012203717,0.0055697444,0.006923359,-0.010339879,0.009507902,-0.014127965,0.0105691515,-0.017781632,-0.014404906,-0.025956398,-0.014686669,-0.013801884,0.008632964,-0.014334725,-0.009545793,0.006943636,,-0.014254307,0.008385171,-0.009204014,0.009655145,,-0.014710764,0.00978779,-0.009276709,0.012164425,-0.020678096,-0.0103413025,0.0089502735,0.003940917,0.010645522,-0.009758952,0.010837357,-0.014212001,0.0102299405,0.0064642243,-0.011094647,0.008932425,-0.009842154,0.012515641,0.0039198864,-0.0119729,0.015906129,0.007482992,0.00652843,-0.0097308075,-0.010970606,-0.0090042325,0.01030356
3,-0.0142516745,-0.011778541,0.0059815003,0.0072851703,-0.009979507,0.009709597,-0.013682663,0.011054839,-0.017395264,-0.01391267,-0.025675952,-0.014255636,-0.013415329,0.009103464,-0.013921822,-0.008989918,0.007165002,,-0.013847879,0.00872561,-0.008686285,0.01000297,,-0.014378336,0.010181373,-0.008782863,0.012599352,-0.02031882,-0.00976644,0.009449598,0.0045004487,0.01067232,-0.009209832,0.011276535,-0.013723624,0.010737251,0.006784584,-0.011118015,0.009001101,-0.009531379,0.012890875,0.004457687,-0.011606757,0.01626182,0.008007546,0.0070078755,-0.009339523,-0.010563942,-0.008741072,0.010700723
4,-0.013793931,-0.011277184,0.006472911,0.0077460273,-0.009549367,0.009972866,-0.01315169,0.011624891,-0.016935723,-0.01333589,-0.025317151,-0.013745745,-0.012952021,0.009654517,-0.013435595,-0.008348102,0.007490302,,-0.0133658275,0.009130663,-0.008087115,0.01042513,,-0.013979472,0.01065246,-0.008210216,0.013115128,-0.019893432,-0.009103434,0.010031961,0.005144132,0.010790425,-0.008575938,0.011791471,-0.013151686,0.011314725,0.007177747,-0.011058437,0.009170957,-0.009156943,0.013337791,0.0050854804,-0.011155604,0.016687846,0.008616876,0.0075654043,-0.00887865,-0.010083489,-0.008396761,0.011169036
5,-0.013249486,-0.010685764,0.0070570842,0.00832101,-0.009035865,0.010313644,-0.012519262,0.012294622,-0.01638869,-0.012659558,-0.024865195,-0.013142074,-0.012396998,0.0103007415,-0.012862182,-0.0076068095,0.007936042,,-0.012793751,0.00961306,-0.00739308,0.01093563,,-0.013500213,0.011215716,-0.0075455196,0.013726826,-0.019388366,-0.008338014,0.01071229,0.0058856024,0.011015115,-0.007843809,0.0123961,-0.012481383,0.011975755,0.0076577393,-0.010899663,0.009458143,-0.008705386,0.013870466,0.005817517,-0.010605625,0.017198242,0.009325016,0.008215126,-0.008334808,-0.009515526,-0.00795699,0.011722052
6,-0.012601528,-0.009987903,0.007749439,0.009027979,-0.008422684,0.010751155,-0.011766722,0.013082242,-0.015736816,-0.011865901,-0.024302365,-0.012426836,-0.011732214,0.011059247,-0.012184862,-0.006750101,0.008521411,,-0.012114549,0.010188183,-0.00658838,0.011551419,,-0.012923567,0.011888579,-0.0067731943,0.014452341,-0.018787099,-0.00745338,0.011508221,0.006740876,0.011364284,-0.0069977143,0.013106913,-0.011694942,0.012736329,0.008241348,-0.010622795,0.009881343,-0.008160276,0.014505757,0.006670472,-0.0099405125,0.017809639,0.010148418,0.0089738015,-0.007691807,-0.008843662,-0.007405056,0.012375801
7,-0.011829924,-0.009164034,0.008568294,0.009887414,-0.0076903366,0.011308526,-0.010872052,0.0140092615,-0.01495933,-0.010933959,-0.023607796,-0.011578913,-0.01093628,0.011950674,-0.011383595,-0.0057591833,0.009268613,,-0.011307771,0.010874574,-0.005654393,0.012292678,,-0.012228916,0.012691838,-0.0058748717,0.015312836,-0.018069612,-0.00642987,0.012440639,0.007728929,0.011859103,-0.0060192123,0.013943855,-0.010771377,0.013615746,0.008948456,-0.010205511,0.010462509,-0.0075017475,0.015263789,0.007663925,-0.009141022,0.018542001,0.011106355,0.009861133,-0.0069302223,-0.008048469,-0.0067211455,0.013149637
8,-0.010910602,-0.0081909755,0.009535347,0.010923563,-0.006815337,0.0120134875,-0.009809347,0.015101107,-0.01403143,-0.009838779,-0.022756338,-0.0105731245,-0.009983453,0.012999265,-0.010434285,-0.004611861,0.010203507,,-0.010349058,0.01169459,-0.004569131,0.013183523,,-0.0113912,0.013650194,-0.004828659,0.016333444,-0.017211668,-0.005244536,0.013534224,0.008872173,0.012524615,-0.004886608,0.014930317,-0.009685746,0.014636909,0.009802888,-0.00962149,0.011227162,-0.0067057484,0.01616896,0.008820881,-0.008184343,0.019419327,0.012221352,0.010900704,-0.006026596,-0.0071067754,-0.0058819028,0.014066746
9,-0.009814842,-0.0070411633,0.010676398,0.012164621,-0.005769556,0.012899275,-0.00854791,0.016387844,-0.012923098,-0.008550822,-0.02171825,-0.009379434,-0.008842997,0.014233859,-0.009307985,-0.003281929,0.011356169,,-0.009209396,0.012675246,-0.0033065686,0.014252995,,-0.010380022,0.014793109,-0.0036087097,0.01754379,-0.01618381,-0.003870249,0.014818274,0.010197247,0.013390523,-0.0035742924,0.016094446,-0.008408513,0.015827257,0.010833002,-0.008839877,0.012205271,-0.0057432554,0.017250242,0.01016849,-0.007043317,0.020470267,0.013520038,0.012120362,-0.004952676,-0.0059910407,-0.0048597096,0.015154951
