,MSE0,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20,MSE21,MSE22,MSE23,MSE24,MSE25,MSE26,MSE27,MSE28,MSE29,MSE30,MSE31,MSE32,MSE33,MSE34,MSE35,MSE36,MSE37,MSE38,MSE39,MSE40,MSE41,MSE42,MSE43,MSE44,MSE45,MSE46,MSE47,MSE48,MSE49
0,1.5405348e-06,2.6002717e-06,1.7166978e-05,8.6411856e-05,2.4355508e-05,6.994335e-07,1.7792087e-05,3.498824e-09,4.622277e-05,1.3780675e-05,4.7962635e-07,1.1056301e-05,7.5485023e-06,1.7985525e-07,1.8210076e-05,3.3884065e-05,2.7179358e-05,1.0569094e-07,3.5364104e-05,4.3660276e-07,5.5385035e-06,2.1962805e-05,9.229547e-06,1.6658774e-05,6.9033126e-06,3.3227884e-06,5.167235e-05,5.9266165e-07,1.746404e-05,9.791445e-07,9.758164e-06,9.840979e-06,2.9967594e-05,1.219493e-05,3.8462396e-05,2.266351e-05,7.587058e-06,2.1749926e-05,2.5435347e-05,4.168872e-06,4.6064774e-06,2.989976e-05,2.1186708e-05,3.857287e-06,1.7032671e-05,3.7784073e-05,1.3423454e-05,4.3314165e-05,1.9216377e-05,9.176005e-06
1,5.4817895e-07,8.2960895e-07,8.752947e-06,8.8338464e-05,1.14796385e-05,1.6025865e-15,8.510475e-06,9.297453e-07,2.0827634e-05,4.1219773e-06,6.842067e-08,2.5728652e-06,2.3689333e-06,5.1760753e-07,7.4421505e-06,1.4779133e-05,1.0442984e-05,1.5120054e-07,1.3029236e-05,7.423154e-09,1.1136225e-06,7.656087e-06,2.7570893e-06,8.300435e-06,2.073584e-06,3.924356e-07,2.1342797e-05,3.1618563e-06,7.867383e-06,4.0038385e-06,2.6202133e-06,3.0092274e-06,1.0926157e-05,3.2835171e-06,1.8056526e-05,8.716469e-06,2.6426274e-06,1.0614234e-05,1.3244646e-05,1.6517298e-06,7.030092e-07,1.3359707e-05,8.704924e-06,1.0912163e-06,7.3630686e-06,1.7467013e-05,5.9999165e-06,4.027978e-05,7.2204193e-06,3.831804e-06
2,6.271085e-08,5.567505e-08,3.293416e-06,8.735786e-05,3.6561082e-06,5.8156564e-07,2.738435e-06,3.5341084e-06,5.904216e-06,2.1198103e-07,1.6841383e-08,1.0320612e-10,1.7623165e-07,9.4675636e-07,1.6095506e-06,3.809956e-06,1.897308e-06,9.972897e-07,1.984499e-06,1.8102314e-07,1.4749935e-08,9.4838185e-07,1.381385e-07,2.9456082e-06,1.1262302e-07,2.0753384e-07,4.878154e-06,7.097297e-06,2.2181748e-06,8.192296e-06,4.4522587e-08,1.9717726e-07,1.5860061e-06,6.843996e-08,5.6937893e-06,1.5498541e-06,3.344007e-07,3.6489414e-06,5.2249156e-06,3.271637e-07,1.4884662e-07,3.7209418e-06,1.856894e-06,3.4905657e-08,1.8546093e-06,5.244071e-06,1.6741874e-06,3.606857e-05,1.2173131e-06,8.6144365e-07
3,4.8393648e-08,1.5967196e-07,5.2254666e-07,8.326392e-05,2.7241336e-07,2.0783757e-06,1.9686226e-07,7.156165e-06,1.7242131e-07,9.652832e-07,2.2608913e-07,2.0747186e-06,3.5896102e-07,1.3868133e-06,9.289527e-09,2.650252e-08,1.1115048e-07,2.2404263e-06,4.0377628e-07,7.5292877e-07,1.3590745e-06,4.57388e-07,6.6265767e-07,3.5938464e-07,4.5352635e-07,1.9950417e-06,7.595337e-10,1.1656597e-05,6.020248e-08,1.2701752e-05,1.1704936e-06,5.237588e-07,4.1657236e-07,1.31309e-06,3.9439783e-07,1.18955775e-07,1.4242862e-07,4.0089313e-07,9.900605e-07,7.846382e-09,2.2833801e-06,9.4020265e-08,2.0354303e-08,3.57424e-07,7.496872e-09,2.4636273e-07,4.419509e-08,3.083066e-05,1.2502852e-07,2.1609434e-09
4,4.3643962e-07,9.713251e-07,9.387487e-08,7.60601e-05,5.9182736e-07,4.1039425e-06,4.906977e-07,1.11330955e-05,2.1313795e-06,5.206732e-06,5.9114046e-07,7.4553705e-06,2.2676722e-06,1.757728e-06,1.8207962e-06,2.2570434e-06,3.55153e-06,3.5165683e-06,6.2576632e-06,1.5189465e-06,4.2732104e-06,4.6920563e-06,3.5405496e-06,2.0794427e-07,2.4790957e-06,4.9819914e-06,4.285676e-06,1.611996e-05,8.3204634e-07,1.6766568e-05,5.035877e-06,3.0811418e-06,5.709583e-06,5.745823e-06,1.0139287e-06,3.2339635e-06,1.5157283e-06,3.1276514e-07,4.8433552e-08,4.718567e-07,6.355525e-06,1.4280406e-06,2.3889727e-06,1.6861862e-06,1.2057975e-06,1.3979683e-06,6.220552e-07,2.4813186e-05,2.7847664e-06,9.0676605e-07
5,1.1275596e-06,2.2775625e-06,1.5869043e-06,6.597222e-05,3.786634e-06,6.2759314e-06,3.1074894e-06,1.4838722e-05,1.0082513e-05,1.1705339e-05,1.0052564e-06,1.4769352e-05,5.2353093e-06,1.990264e-06,6.125127e-06,9.1370475e-06,1.0626887e-05,4.52515e-06,1.7372722e-05,2.2888664e-06,7.921107e-06,1.2103316e-05,7.930743e-06,2.0614013e-06,5.5452356e-06,8.427895e-06,1.5213018e-05,1.9832163e-05,3.8715334e-06,1.9750112e-05,1.0618446e-05,6.97247e-06,1.5626103e-05,1.209263e-05,6.2582762e-06,9.5956875e-06,3.8889534e-06,2.726619e-06,1.8118508e-06,1.4713875e-06,1.1552201e-05,6.5374675e-06,7.984871e-06,3.6181586e-06,4.7376666e-06,7.4325703e-06,2.8524435e-06,1.8377206e-05,7.998127e-06,3.1461454e-06
6,1.995308e-06,3.8368044e-06,4.517982e-06,5.352843e-05,8.959418e-06,8.232211e-06,7.436204e-06,1.771206e-05,2.218728e-05,1.9228557e-05,1.3728505e-06,2.2673574e-05,8.615794e-06,2.033258e-06,1.19412725e-05,1.915091e-05,1.974431e-05,5.0510166e-06,3.1508735e-05,2.89626e-06,1.1545999e-05,2.1152136e-05,1.2982011e-05,5.4094985e-06,9.006014e-06,1.1658373e-05,3.0238394e-05,2.2234626e-05,8.441536e-06,2.1192118e-05,1.6880676e-05,1.1337678e-05,2.8259292e-05,1.9135417e-05,1.472904e-05,1.7844486e-05,6.7106844e-06,6.9123007e-06,5.612681e-06,2.746497e-06,1.7036553e-05,1.414107e-05,1.570003e-05,5.7501634e-06,9.81916e-06,1.6936674e-05,6.1344954e-06,1.2013935e-05,1.4571511e-05,6.234704e-06
7,2.8991942e-06,5.3925564e-06,8.356278e-06,3.959957e-05,1.5182148e-05,9.662399e-06,1.2787555e-05,1.9315077e-05,3.651892e-05,2.6594354e-05,1.6096413e-06,2.9927693e-05,1.1812083e-05,1.8647321e-06,1.8280847e-05,3.0711606e-05,2.9374218e-05,4.981829e-06,4.645312e-05,3.218004e-06,1.4509599e-05,3.034852e-05,1.7873312e-05,9.680478e-06,1.2264686e-05,1.4116268e-05,4.689245e-05,2.2947523e-05,1.3763373e-05,2.0836653e-05,2.2831398e-05,1.5412397e-05,4.170342e-05,2.5756573e-05,2.4981055e-05,2.6622094e-05,9.467504e-06,1.2095557e-05,1.0728415e-05,4.0429913e-06,2.199775e-05,2.2925173e-05,2.4353349e-05,7.69788e-06,1.5631795e-05,2.83995e-05,9.853413e-06,6.33596e-06,2.1367772e-05,9.648467e-06
8,3.6948943e-06,6.6944767e-06,1.2552092e-05,2.5431455e-05,2.1531137e-05,1.0329895e-05,1.8439925e-05,1.9366815e-05,5.1184626e-05,3.275866e-05,1.6637995e-06,3.546452e-05,1.4311844e-05,1.4998285e-06,2.4211242e-05,4.223015e-05,3.8124617e-05,4.3228083e-06,6.013909e-05,3.1844434e-06,1.6331393e-05,3.8375623e-05,2.1878806e-05,1.4272592e-05,1.4799876e-05,1.5395332e-05,6.2884035e-05,2.1787373e-05,1.9062385e-05,1.8679038e-05,2.7596921e-05,1.8548717e-05,5.4167238e-05,3.0994142e-05,3.5584402e-05,3.466742e-05,1.1716271e-05,1.750244e-05,1.641695e-05,5.1305174e-06,2.5711719e-05,3.1617667e-05,3.275226e-05,9.131569e-06,2.1365031e-05,4.027927e-05,1.34221455e-05,2.0754444e-06,2.7369388e-05,1.28748325e-05
9,4.2515776e-06,7.5395237e-06,1.656977e-05,1.2689039e-05,2.7170017e-05,1.0112052e-05,2.3668224e-05,1.7789253e-05,6.438582e-05,3.686211e-05,1.5174969e-06,3.8476104e-05,1.5741856e-05,1.0015856e-06,2.890089e-05,5.2224856e-05,4.483628e-05,3.2037037e-06,7.0771486e-05,2.7912643e-06,1.6724187e-05,4.4135915e-05,2.4404762e-05,1.859639e-05,1.6217798e-05,1.5268693e-05,7.6202115e-05,1.8827783e-05,2.3618402e-05,1.49967955e-05,3.0474668e-05,2.0288004e-05,6.4072476e-05,3.412002e-05,4.5209854e-05,4.086858e-05,1.3126533e-05,2.2404647e-05,2.1953854e-05,5.824459e-06,2.7618282e-05,3.904861e-05,3.9790648e-05,9.808617e-06,2.6265689e-05,5.111611e-05,1.6311487e-05,5.7326947e-08,3.1741223e-05,1.5441548e-05
