,LOSS0,LOSS1,LOSS2,LOSS3,LOSS4,LOSS5,LOSS6,LOSS7,LOSS8,LOSS9,LOSS10,LOSS11,LOSS12,LOSS13,LOSS14,LOSS15,LOSS16,LOSS17,LOSS18,LOSS19,LOSS20,LOSS21,LOSS22,LOSS23,LOSS24,LOSS25,LOSS26,LOSS27,LOSS28,LOSS29,LOSS30,LOSS31,LOSS32,LOSS33,LOSS34,LOSS35,LOSS36,LOSS37,LOSS38,LOSS39,LOSS40,LOSS41,LOSS42,LOSS43,LOSS44,LOSS45,LOSS46,LOSS47,LOSS48,LOSS49
0,0.6291791,0.24412614,0.34350592,0.5436515,0.23849154,0.42452958,0.58449876,0.23420486,0.63055575,0.65400785,0.7143595,0.22854629,0.48419267,0.3690294,0.50886005,0.32891375,1.1613973,0.48318297,0.24461094,1.1136967,0.30228242,0.2427176,0.3674614,0.27549773,0.3129601,1.0974779,0.62937474,0.6129883,0.3393938,0.3208695,0.564758,0.36623967,0.47691917,0.362105,0.24826616,0.5063656,0.32670346,0.29642865,0.38219717,0.81011635,0.5135512,0.8182033,0.5804363,0.27588555,0.9767829,0.77120656,0.3018649,0.23181908,0.6336912,0.2793378
1,0.23748426,0.23620456,0.24437489,0.2430127,0.24207279,0.24148977,0.23629181,0.24045128,0.23379235,0.23859644,0.23961423,0.2343195,0.24787802,0.23727044,0.23968099,0.2381926,0.23737556,0.23734413,0.23062375,0.24677691,0.24555308,0.24134424,0.23815472,0.23934676,0.23355725,0.2418529,0.24550073,0.23869419,0.2426739,0.2340762,0.2405307,0.23868081,0.24152394,0.25504413,0.26140577,0.24207138,0.23496367,0.24166025,0.23375556,0.2554647,0.24193662,0.24324027,0.236073,0.25366667,0.2382828,0.24196632,0.2307436,0.2348142,0.24551384,0.24347518
2,0.23627773,0.23574439,0.24187003,0.24060805,0.24088196,0.24052139,0.23548684,0.23910326,0.23206815,0.23791495,0.23784496,0.23289247,0.24566042,0.23580809,0.23873712,0.2365925,0.23593384,0.23579568,0.22956102,0.24521051,0.24426857,0.24032366,0.23689896,0.23861158,0.23295918,0.24017927,0.24458408,0.23789532,0.24127334,0.23325637,0.24008599,0.23846023,0.24009946,0.24979913,0.2577179,0.2413706,0.23365158,0.24027866,0.23325007,0.2522264,0.24142587,0.24064082,0.23503314,0.2513113,0.23661548,0.23961683,0.22981922,0.23336437,0.24471028,0.24007119
3,0.2351107,0.23529351,0.23963612,0.23837547,0.23978779,0.23956321,0.23466535,0.23789169,0.2305504,0.2372394,0.2363007,0.23155326,0.24367303,0.23439878,0.23788002,0.23503578,0.23462173,0.23439223,0.228515,0.24375929,0.24305952,0.23933609,0.23575987,0.23788567,0.2324575,0.23867217,0.24370518,0.23711616,0.2399632,0.23248054,0.23965354,0.23824371,0.23877485,0.24534544,0.25450465,0.24070951,0.23259674,0.23895516,0.23275037,0.24933147,0.24092357,0.23842077,0.23397905,0.24917546,0.23510727,0.23763007,0.22905152,0.2320895,0.24394011,0.23711233
4,0.23397975,0.23485115,0.23764339,0.23629558,0.2387824,0.23862042,0.23383278,0.23680665,0.22923046,0.2365697,0.23495537,0.23030542,0.24188033,0.23303069,0.23711523,0.23351091,0.23343244,0.23312588,0.22748107,0.24240686,0.24191079,0.23837094,0.23473142,0.23716302,0.23204798,0.23731068,0.24285893,0.23635672,0.23872128,0.23175074,0.2392324,0.23802696,0.23753841,0.24149919,0.2516527,0.24008894,0.23179367,0.23767179,0.23225835,0.24671972,0.24043415,0.23654158,0.23291637,0.24722591,0.23373744,0.2359588,0.22844681,0.230989,0.24319902,0.23453894
5,0.23288044,0.23441699,0.2358688,0.23435573,0.23785786,0.2376884,0.23298766,0.23583958,0.22810404,0.23590285,0.23379023,0.22915399,0.24025099,0.23169804,0.23644099,0.23201117,0.23236074,0.23198701,0.22645639,0.24114282,0.2408129,0.23742169,0.23380803,0.23644207,0.23172505,0.2360785,0.24204062,0.23561546,0.2375393,0.23106818,0.23882166,0.23780955,0.23638092,0.23814058,0.24908946,0.23950467,0.23123573,0.23642206,0.23177466,0.24435136,0.23995686,0.23497485,0.23184334,0.24543743,0.23248939,0.23456436,0.22801101,0.23006698,0.24248336,0.23231183
6,0.23180926,0.23399056,0.23429391,0.23254558,0.23700899,0.23676354,0.23212628,0.23498674,0.22717144,0.23523657,0.23279116,0.22810894,0.23875985,0.23039658,0.23585775,0.23053248,0.2314039,0.23096919,0.22543876,0.23995718,0.23975807,0.23648252,0.23298611,0.23572025,0.23148322,0.23496337,0.24124655,0.23489028,0.23640953,0.23043422,0.23842001,0.23759097,0.2352944,0.23518845,0.24675868,0.23895335,0.2309159,0.23520043,0.2312996,0.2421939,0.23948957,0.23370005,0.23075628,0.24378619,0.23134959,0.2334161,0.22775023,0.22932775,0.2417898,0.23040366
7,0.23076302,0.2335714,0.2329047,0.23086007,0.23623174,0.23584178,0.23124623,0.23424225,0.22643659,0.23456876,0.23194866,0.22718197,0.23738685,0.22912368,0.23536511,0.2290705,0.2305614,0.23006819,0.22442535,0.23884234,0.23874,0.2355489,0.23226266,0.23499517,0.23131667,0.23395492,0.2404734,0.23417999,0.23532574,0.22985096,0.23802665,0.23737147,0.23427214,0.23258722,0.24461935,0.23843157,0.23082666,0.23400179,0.23083395,0.24021965,0.23903187,0.23270185,0.2296529,0.24225642,0.23030719,0.23248993,0.22766995,0.22877735,0.24111544,0.22879465
8,0.2297394,0.23315932,0.23169176,0.22929545,0.23552254,0.23491992,0.23034438,0.23360355,0.22590609,0.23389767,0.2312567,0.22638747,0.23611635,0.22787747,0.23496221,0.22762378,0.22983462,0.22928117,0.22341385,0.23779124,0.23775254,0.23461717,0.2316368,0.23426592,0.23121949,0.23304561,0.23971751,0.23348306,0.23428278,0.22932014,0.23764074,0.23715052,0.23330909,0.23030151,0.24263799,0.23793645,0.2309596,0.23282233,0.23037845,0.23840524,0.23858221,0.23197018,0.22853105,0.24083425,0.22935346,0.23176686,0.22777395,0.2284204,0.24045768,0.22746949
9,0.22873601,0.23275405,0.23064528,0.22785182,0.2348802,0.23399445,0.22941865,0.2330668,0.22558828,0.23322144,0.230712,0.22574,0.23493642,0.2266578,0.23464906,0.22619034,0.22922659,0.22860916,0.22240184,0.23679766,0.23679082,0.2336847,0.23110758,0.23353122,0.23118547,0.23222953,0.23897573,0.23279825,0.23327605,0.2288435,0.23726144,0.23692815,0.23240101,0.22831371,0.24078912,0.2374656,0.23130621,0.23165882,0.22993414,0.236732,0.23813981,0.23149738,0.22738808,0.23950747,0.22848149,0.23123181,0.22806358,0.22826041,0.23981364,0.22641355
