,MSE0,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20,MSE21,MSE22,MSE23,MSE24,MSE25,MSE26,MSE27,MSE28,MSE29,MSE30,MSE31,MSE32,MSE33,MSE34,MSE35,MSE36,MSE37,MSE38,MSE39,MSE40,MSE41,MSE42,MSE43,MSE44,MSE45,MSE46,MSE47,MSE48,MSE49
0,4.95384e-05,0.00034853935,0.0008234643,0.0009188216,0.0012689503,0.00026503333,4.9277014e-07,0.00038958003,0.0022378077,0.0002076455,0.0012631643,0.002264869,0.0011803504,0.0014023837,0.0022627923,0.00058947725,0.002511187,0.00012445533,0.00062526844,0.00044863668,9.860917e-05,0.0029315795,0.00046284188,0.00027851833,0.0011027971,0.00054601644,5.253191e-05,1.1760946e-05,1.2190086e-06,0.0004944625,0.00023725776,3.16139e-05,0.00028905584,0.0029722422,0.0004748704,0.00033639764,0.0013429908,0.00010972823,0.0007821238,0.0002759856,0.00034599777,0.0031935268,4.7208792e-05,0.00031019544,0.0009598861,0.0017495286,0.0024429266,0.00067996787,3.2004573e-05,0.001868377
1,5.5102126e-05,0.00033139897,0.00078484707,0.0008599887,0.0011974503,0.00021242785,1.4445434e-06,0.0003735942,0.0021319021,0.00020641908,0.0011958944,0.002139447,0.0011410736,0.0013234776,0.0021095448,0.00057846383,0.002377241,0.00014496136,0.00060011644,0.00040815753,7.819834e-05,0.0027981915,0.00046107205,0.00030010717,0.0010937004,0.000513676,6.5900604e-05,2.4312732e-05,3.4500445e-06,0.00048689565,0.00017365863,4.3293297e-05,0.00028390388,0.0027902205,0.00046043113,0.00032818652,0.001334142,0.00013423161,0.00074213627,0.00031469305,0.0002528624,0.0030539006,1.6981881e-05,0.00031309176,0.0009803595,0.0016505694,0.0022941164,0.00066954485,5.3807278e-05,0.0017799031
2,6.02445e-05,0.00031194545,0.0007420785,0.00079796,0.0011195508,0.00016641652,9.0003805e-06,0.00035500567,0.0020153534,0.00020315601,0.0011223691,0.0020053645,0.0010941093,0.0012380457,0.0019512986,0.00056192157,0.0022331504,0.0001644494,0.0005711755,0.00036690652,6.0852282e-05,0.002649582,0.00045530839,0.00031686333,0.0010762288,0.0004781,7.9235375e-05,3.995604e-05,6.492144e-06,0.0004745339,0.00012153613,5.5307923e-05,0.00027594657,0.0025983315,0.00044173127,0.00031628713,0.0013139698,0.00015815931,0.00069725624,0.00034955083,0.00017637637,0.002896353,2.32679e-06,0.00031281976,0.0009913323,0.0015436573,0.0021366235,0.000653353,7.8527155e-05,0.0016829135
3,6.47366e-05,0.0002901831,0.00069510896,0.000732946,0.001035515,0.00012693435,2.1864525e-05,0.00033377306,0.0018882591,0.00019764426,0.0010427734,0.0018628627,0.0010392319,0.0011462778,0.0017885568,0.0005396288,0.0020791206,0.0001820631,0.0005383233,0.00032517355,4.638855e-05,0.0024858194,0.00044520732,0.00032787866,0.0010496579,0.0004393907,9.191261e-05,5.7547444e-05,1.0032229e-05,0.0004571701,8.023408e-05,6.693149e-05,0.00026503505,0.002397184,0.00041867327,0.00030060348,0.0012817213,0.0001804168,0.00064759684,0.00037895612,0.0001156965,0.002720948,8.019737e-07,0.00030897476,0.0009916658,0.0014290815,0.00197087,0.00063103804,0.000104474246,0.0015774354
4,6.833219e-05,0.00026618858,0.0006440237,0.00066524855,0.0009458916,9.3780276e-05,3.858882e-05,0.0003099099,0.001750987,0.00018971082,0.00095741387,0.0017124505,0.0009763994,0.0010485835,0.0016220087,0.0005114643,0.0019156955,0.00019698263,0.00050154637,0.00028330568,3.4587483e-05,0.0023072911,0.00043050613,0.0003324064,0.0010134011,0.0003978397,0.00010329003,7.58911e-05,1.3737908e-05,0.00043470287,4.8877875e-05,7.74298e-05,0.00025109499,0.0021876944,0.00039129646,0.0002811441,0.0012367989,0.00019991623,0.0005934494,0.00040142811,6.96464e-05,0.002528159,9.73449e-06,0.00030122942,0.0009803716,0.0013073918,0.0017975403,0.00060235156,0.00012994731,0.0014637379
5,7.079612e-05,0.00024013963,0.00058908324,0.0005953697,0.000851422,6.6655106e-05,5.7604546e-05,0.00028353994,0.0016042287,0.00017929303,0.0008669197,0.001554927,0.000905816,0.00094567536,0.0014526566,0.00047750052,0.001743791,0.00020835701,0.00046092615,0.00024175487,2.5184807e-05,0.0021149388,0.00041102988,0.00032985705,0.00096707663,0.000353875,0.000112730835,9.3757546e-05,1.7272618e-05,0.00040718113,2.6432244e-05,8.607588e-05,0.00023413132,0.0019711924,0.0003597797,0.00025808558,0.0011789077,0.00021557478,0.0005352724,0.0004156161,3.6807283e-05,0.0023191264,2.6275058e-05,0.0002893224,0.00095667626,0.0011794317,0.0016177353,0.0005672365,0.00015328421,0.0013423604
6,7.190998e-05,0.00021235082,0.0005307216,0.00052397244,0.0007531829,4.5148732e-05,7.727041e-05,0.000254901,0.0014491508,0.00016636765,0.00077216025,0.0013915683,0.00082798215,0.00083853677,0.0012817888,0.000438023,0.0015647019,0.00021545956,0.00041678053,0.0002010944,1.789608e-05,0.0019103059,0.00038674273,0.00031993983,0.00091056357,0.00030810127,0.00011964799,0.00010994708,2.0318676e-05,0.0003748479,1.1719452e-05,9.2235445e-05,0.00021429865,0.001749536,0.0003245221,0.0002317512,0.0011081034,0.00022643805,0.00047379805,0.00042044953,1.5522757e-05,0.0020955661,4.7497622e-05,0.0002731322,0.00092010235,0.0010464829,0.0014330213,0.0005258465,0.0001729448,0.0012141664
7,7.150081e-05,0.0001832463,0.00046958958,0.00045193394,0.0006525619,2.8731416e-05,9.59491e-05,0.0002243914,0.0012873493,0.00015106545,0.0006743386,0.001224021,0.00074371765,0.00072854635,0.001111104,0.00039359243,0.0013803387,0.00021764768,0.00036957848,0.00016198882,1.240936e-05,0.0016955979,0.00035779708,0.00030265865,0.0008441455,0.00026133726,0.00012353585,0.00012331438,2.2595512e-05,0.00033815714,3.431249e-06,9.5368e-05,0.0001918861,0.0015251031,0.0002861124,0.00020270569,0.0010248751,0.00023168394,0.0004100014,0.00041515924,3.930001e-06,0.0018600731,7.0502225e-05,0.00025272398,0.000870578,0.0009102119,0.0012454211,0.00047860664,0.00018756893,0.0010804425
8,6.9447895e-05,0.00015343721,0.00040658502,0.00038034527,0.00055129745,1.6793783e-05,0.000112084395,0.00019255461,0.001120989,0.00013366781,0.00057501625,0.0010544927,0.0006542422,0.0006174452,0.00094261236,0.00034505586,0.0011930683,0.00021448488,0.00032006533,0.00012521408,8.415188e-06,0.0014738383,0.00032453946,0.0002784032,0.00076844316,0.00021458513,0.0001240014,0.00013286945,2.3880646e-05,0.00029782107,1.9576812e-07,9.509823e-05,0.0001673597,0.0013008595,0.00024540647,0.00017169917,0.00093024183,0.00023074917,0.00034511663,0.00039945226,4.5372172e-08,0.0016160513,9.254576e-05,0.00022837051,0.0008085154,0.00077273545,0.0010575406,0.00042624134,0.00019606041,0.00094288826
9,6.5731256e-05,0.00012366763,0.000342876,0.0003105037,0.00045146112,8.660388e-06,0.00012429577,0.00016011304,0.0009527813,0.00011460153,0.0004761301,0.0008856877,0.0005612261,0.00050738355,0.0007787848,0.0002936005,0.0010058571,0.00020577521,0.00026923572,9.160957e-05,5.610794e-06,0.001248844,0.00028758237,0.00024797456,0.000684675,0.00016906264,0.00012083651,0.00013784223,2.4032272e-05,0.00025481198,6.279169e-07,9.127631e-05,0.00014135885,0.0010803653,0.00020348615,0.0001397293,0.0008258593,0.0002233375,0.0002806841,0.00037353075,1.8293351e-06,0.0013678973,0.00011118089,0.00020061021,0.000734896,0.00063664746,0.0008725693,0.00036985017,0.00019769512,0.00080368906
