,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49
0,-0.006914942,-0.018545799,-0.028572658,-0.030188661,-0.035498917,0.016403254,0.0008253857,-0.019614372,-0.04718206,-0.0142865,-0.035417613,-0.047467228,-0.034232818,-0.037325002,-0.047445405,-0.024155743,-0.049988333,-0.011032545,-0.024881959,-0.021057636,0.010053624,-0.05402065,-0.02139035,-0.016565459,-0.033084977,-0.023243586,-0.00712448,-0.0033060138,-0.0009806774,-0.022113103,0.015526583,-0.005499214,-0.016878232,-0.054394864,-0.021668112,-0.018217737,-0.036523428,-0.010351715,-0.027843067,-0.016489405,0.018724425,-0.056387886,0.0069942754,-0.017488956,-0.03085862,-0.041703954,-0.04930256,-0.025952784,-0.0055338484,-0.043101314
1,-0.007246829,-0.018028116,-0.02783887,-0.029149313,-0.034427945,0.014751156,-0.0010256404,-0.019152334,-0.045996275,-0.014191041,-0.034405455,-0.046077907,-0.03360353,-0.03620338,-0.04575353,-0.023875024,-0.048580706,-0.011863739,-0.024321023,-0.020026658,0.009019233,-0.052721683,-0.021296337,-0.017147351,-0.03289489,-0.02248817,-0.007941668,-0.0047545433,-0.0016811783,-0.021889461,0.013354211,-0.006403513,-0.016673196,-0.052646287,-0.021281408,-0.017939668,-0.036349658,-0.011409585,-0.027065927,-0.01756334,0.016077898,-0.055085856,0.004297159,-0.017518148,-0.03113444,-0.04045095,-0.047720686,-0.025699314,-0.007159093,-0.042012647
2,-0.0075118206,-0.017412065,-0.026991205,-0.027998272,-0.03320978,0.013150165,-0.0027501509,-0.018591681,-0.044642776,-0.014003369,-0.033251867,-0.044531386,-0.03282741,-0.034935962,-0.043923594,-0.023454972,-0.04700631,-0.012573871,-0.023649365,-0.01890489,0.0080507,-0.05122418,-0.021088043,-0.017550742,-0.032556016,-0.021615585,-0.008651514,-0.0060711666,-0.0022980561,-0.021533886,0.011274255,-0.0071870172,-0.016361726,-0.05072392,-0.020767491,-0.01753455,-0.03599881,-0.012326228,-0.026155697,-0.018446365,0.013530589,-0.053567864,0.0017752943,-0.017436799,-0.031235518,-0.039039493,-0.045973714,-0.025310857,-0.008611643,-0.040773418
3,-0.00769409,-0.016682945,-0.026013102,-0.026721159,-0.031827603,0.011618331,-0.0043241354,-0.01791764,-0.043102287,-0.013706785,-0.031940185,-0.042809077,-0.031885304,-0.033504907,-0.041939516,-0.022878096,-0.045245558,-0.01314126,-0.022849979,-0.017680753,0.0071627307,-0.049506176,-0.02074812,-0.017755603,-0.03204661,-0.020609831,-0.00923529,-0.007234187,-0.002815553,-0.02102972,0.009309164,-0.00782935,-0.01592808,-0.04860923,-0.02010969,-0.016986104,-0.03544932,-0.013080115,-0.025096107,-0.019114979,0.011108047,-0.05181089,-0.0005437135,-0.017225862,-0.031138908,-0.03745138,-0.044042666,-0.024768654,-0.009869448,-0.039365124
4,-0.0077746087,-0.015823567,-0.024885902,-0.025300693,-0.03026363,0.010175742,-0.0057202694,-0.017112538,-0.041353077,-0.013281834,-0.030450385,-0.040890045,-0.03075567,-0.03189012,-0.03978245,-0.022123856,-0.04327694,-0.013543329,-0.021903511,-0.016339967,0.006372833,-0.04754255,-0.020256922,-0.017740296,-0.031342242,-0.0194542,-0.00967145,-0.008219829,-0.0032147479,-0.02035781,0.007482992,-0.0083077,-0.015354256,-0.046281077,-0.019289495,-0.016275633,-0.034676433,-0.013647453,-0.023869097,-0.019543951,0.0088371625,-0.049789082,-0.0026282938,-0.016864242,-0.030819165,-0.035666153,-0.04190569,-0.024051132,-0.010907723,-0.03776711
5,-0.0077317143,-0.0148141105,-0.02358871,-0.023717871,-0.02849681,0.008846587,-0.006907437,-0.016156316,-0.039370496,-0.012707706,-0.028761173,-0.038750235,-0.029414449,-0.030069508,-0.037431404,-0.021169458,-0.041076396,-0.013752248,-0.020786863,-0.01486614,0.0057007754,-0.045306135,-0.019591544,-0.01747964,-0.030415528,-0.018129237,-0.009935149,-0.009000519,-0.0034737051,-0.019496402,0.0058235587,-0.00859538,-0.014619022,-0.043715786,-0.018285532,-0.015382715,-0.033652898,-0.014000136,-0.022453627,-0.019704336,0.0067492295,-0.04747498,-0.0044435915,-0.016327152,-0.030247856,-0.033660527,-0.039538752,-0.0231344,-0.011698471,-0.03595591
6,-0.0075399457,-0.013632232,-0.022097366,-0.021950414,-0.026504148,0.00765931,-0.007850329,-0.01502559,-0.037127685,-0.011958329,-0.02684774,-0.036363702,-0.027834648,-0.028017469,-0.03486205,-0.019988969,-0.038616285,-0.013738511,-0.019475173,-0.013240746,0.0051704054,-0.042767018,-0.018725745,-0.016946832,-0.029235516,-0.016612783,-0.009998343,-0.009545536,-0.0035675946,-0.018420959,0.004363398,-0.008663899,-0.013698913,-0.040887427,-0.017074466,-0.014283347,-0.03234816,-0.014107829,-0.020826872,-0.019564835,0.0048799226,-0.044837326,-0.0059518223,-0.015586683,-0.029393159,-0.03140936,-0.03691524,-0.021991313,-0.012210818,-0.03390486
7,-0.0071700476,-0.012251083,-0.020384248,-0.01997297,-0.024259524,0.0066459365,-0.008509594,-0.013693932,-0.034593884,-0.011005102,-0.024682263,-0.033700246,-0.02598542,-0.025705831,-0.03204746,-0.018553397,-0.03586714,-0.01346712,-0.017938657,-0.011441716,0.0048084594,-0.03989187,-0.017629758,-0.01611132,-0.027768414,-0.014880162,-0.009828901,-0.009818934,-0.0034677065,-0.017103283,0.0031381303,-0.008479887,-0.012566528,-0.0377668,-0.01562909,-0.0129517075,-0.030727902,-0.0139354,-0.018962724,-0.01908969,0.0032681902,-0.0418428,-0.0071107936,-0.014611527,-0.028219791,-0.02888395,-0.03400476,-0.020591313,-0.012409814,-0.03158432
8,-0.006587492,-0.010640929,-0.018417904,-0.017756393,-0.021733675,0.0058440706,-0.008840944,-0.012130356,-0.031735126,-0.00981543,-0.022233447,-0.030726906,-0.023832109,-0.023102395,-0.028955944,-0.01682963,-0.032794774,-0.0128992535,-0.01614432,-0.0094438605,0.004646943,-0.036644556,-0.01626893,-0.014939371,-0.025974758,-0.012902676,-0.009389543,-0.009780852,-0.0031407343,-0.015511445,0.0021885056,-0.008005784,-0.011190709,-0.034321383,-0.013919406,-0.011357354,-0.028753817,-0.013444382,-0.016831266,-0.018240253,0.0019590561,-0.038454093,-0.007874022,-0.013365883,-0.026688356,-0.02605207,-0.030773802,-0.018899564,-0.012256109,-0.028960437
9,-0.0057533896,-0.008766502,-0.016162818,-0.015267022,-0.018893521,0.005296946,-0.008794708,-0.010299486,-0.028513063,-0.008351118,-0.019466313,-0.027406413,-0.021336118,-0.020171084,-0.025552623,-0.0147806825,-0.02936116,-0.011990774,-0.014054311,-0.0072171963,0.004722804,-0.032984894,-0.014604161,-0.013393116,-0.023812203,-0.010648317,-0.008638473,-0.00938653,-0.0025481796,-0.01360874,0.0015616803,-0.0071997712,-0.009535351,-0.030514818,-0.0119107645,-0.009466623,-0.026383676,-0.012590388,-0.014399536,-0.016972851,0.0010015633,-0.034631003,-0.008190143,-0.0118096005,-0.024754873,-0.02287778,-0.02718519,-0.016877396,-0.011706318,-0.025995318
10,-0.004622121,-0.0065881363,-0.013577939,-0.012466722,-0.015702369,0.005055176,-0.008315108,-0.008160743,-0.024884675,-0.006569233,-0.016340738,-0.023697438,-0.018453756,-0.01687114,-0.021797063,-0.012364393,-0.02552447,-0.010692709,-0.011625077,-0.004727653,0.0050788545,-0.02886912,-0.012590166,-0.011430998,-0.02123216,-0.008080269,-0.007527541,-0.008584619,-0.0016462309,-0.011353915,0.0013097045,-0.006014662,-0.0075603365,-0.026306586,-0.009564472,-0.0072411713,-0.023569915,-0.011324486,-0.011629688,-0.015239497,0.00045145536,-0.030328833,-0.008002909,-0.009897446,-0.022370707,-0.019320933,-0.023197021,-0.014481245,-0.01071161,-0.022646187
11,-0.0031411578,-0.004059586,-0.010617167,-0.009311615,-0.012117341,0.005175807,-0.007339672,-0.005667684,-0.0208034,-0.004420391,-0.012812414,-0.019553714,-0.015136071,-0.013156809,-0.017643936,-0.009533609,-0.02123778,-0.008948317,-0.008807992,-0.0019354849,0.0057648756,-0.024248965,-0.010175899,-0.009005751,-0.018181315,-0.005157052,-0.0060022366,-0.007318008,-0.00038433244,-0.008699716,0.0014918353,-0.004397147,-0.005218788,-0.02165151,-0.006837132,-0.004637496,-0.02026023,-0.009591466,-0.00847887,-0.012986668,0.00037129456,-0.025499763,-0.0072501246,-0.0075781373,-0.019481985,-0.015336831,-0.018762778,-0.011661441,-0.009217008,-0.018865246
12,-0.0012504093,-0.0011282457,-0.007227167,-0.0057511637,-0.008091624,0.005725045,-0.0057991524,-0.0027665764,-0.016215216,-0.001848728,-0.008830146,-0.014923492,-0.011328271,-0.008976878,-0.013041637,-0.0062352642,-0.016448807,-0.006695306,-0.0055469256,0.0012062987,0.006837971,-0.019071674,-0.0073029418,-0.006065203,-0.0146001605,-0.0018310827,-0.004000502,-0.0055219056,0.0012954433,-0.0055925255,0.0021749518,-0.002287376,-0.002457897,-0.016499389,-0.0036788583,-0.0016068169,-0.016396053,-0.007329483,-0.0048986245,-0.01015546,0.00082989654,-0.020090688,-0.0058638267,-0.0047941753,-0.01602821,-0.010875396,-0.013831215,-0.008363201,-0.0071612624,-0.014598364
13,0.0011192238,0.0022665523,-0.003348892,-0.0017284752,-0.0035713231,0.0067780074,-0.0036174012,0.00060323277,-0.011061421,0.0012097674,-0.0043377453,-0.009749107,-0.006969165,-0.0042730966,-0.007931949,-0.0024092451,-0.011099758,-0.0038633796,-0.0017789089,0.0047510066,0.008364652,-0.013279824,-0.0039053299,-0.0025511065,-0.010422347,0.0019522918,-0.0014523562,-0.0031240943,0.0034599171,-0.00197186,0.0034342671,0.00038188492,0.0007826024,-0.010794428,-3.2979297e-05,0.0019064738,-0.011913083,-0.0044696704,-0.0008341787,-0.00668042,0.0019048016,-0.014044813,-0.003769453,-0.0014811577,-0.011943651,-0.005880634,-0.008345341,-0.0045238,-0.004476465,-0.009785458
14,0.004046563,0.0061929133,0.0010861813,0.0028224175,0.00150402,0.008421184,-0.0007083697,0.004511675,-0.0052765957,0.0048273015,0.00072881684,-0.00396668,-0.001990677,0.0010198009,-0.0022496432,0.002011811,-0.0051262234,-0.00037393902,0.0025680808,0.0087614115,0.010421852,-0.006810573,9.214215e-05,0.0016018355,-0.0055750627,0.0062539447,0.0017221386,-4.351346e-05,0.0061844755,0.002231063,0.0053539514,0.0036859843,0.004570968,-0.004474546,0.004163904,0.005965438,-0.006740307,-0.00093546126,0.0037764525,-0.0024894048,0.0036816795,-0.007299335,-0.0008851914,0.002432999,-0.0071543427,-0.00029023777,-0.0022422438,-7.424054e-05,-0.0010864185,-0.0043590963
15,0.007621775,0.010729443,0.006154529,0.007975816,0.007202271,0.010752313,0.0030205615,0.009037888,0.0012120511,0.0090858815,0.0064410483,0.0024945368,0.0036831386,0.00697423,0.004079278,0.007103515,0.001542388,0.0038601544,0.0075748977,0.013309704,0.013097072,0.00040443538,0.0047737123,0.006466107,2.2306709e-05,0.011144713,0.0056118965,0.0038101883,0.009555875,0.0070941728,0.008028525,0.0077092354,0.00898485,0.0025285066,0.0089832265,0.01064092,-0.0007999759,0.00335858,0.009003242,0.0024964854,0.006255699,0.00021265738,0.002877752,0.0070290444,-0.0015795302,0.0059651816,0.0045470446,0.0050637405,0.0030929805,0.0017561391
16,0.011947235,0.015965233,0.011942762,0.0138165355,0.013600551,0.013882332,0.0076728356,0.014272279,0.008484867,0.014077928,0.012879494,0.009713138,0.010135768,0.013672464,0.011137671,0.012950454,0.008984314,0.008935894,0.013332455,0.018479522,0.016490826,0.008439431,0.010234673,0.012122655,0.00645854,0.016704606,0.010317477,0.008537661,0.013672064,0.012704501,0.011562947,0.0125466585,0.014111439,0.0102908565,0.014507319,0.016013455,0.0059940163,0.008506653,0.014925755,0.00836549,0.009732391,0.008563963,0.0076165157,0.012396633,0.004869051,0.01296228,0.012099443,0.010976548,0.008155672,0.008643375
17,0.01713863,0.02200076,0.018548494,0.020440068,0.020784907,0.017936192,0.013360487,0.02031623,0.016630536,0.019907467,0.020133134,0.017775843,0.017460063,0.021205334,0.01901736,0.01964686,0.017285028,0.014960666,0.019943679,0.024366662,0.020718094,0.017374136,0.01658134,0.018661559,0.013830011,0.023024525,0.01595092,0.014249768,0.018644301,0.019159954,0.016074754,0.01830259,0.020049803,0.018895881,0.020827914,0.022173835,0.013734694,0.0146132205,0.021633217,0.015212275,0.014227589,0.017832149,0.013436049,0.018635524,0.012289082,0.020786623,0.020497277,0.017760923,0.0142043345,0.016395573
