,LOSS0,LOSS1,LOSS2,LOSS3,LOSS4,LOSS5,LOSS6,LOSS7,LOSS8,LOSS9,LOSS10,LOSS11,LOSS12,LOSS13,LOSS14,LOSS15,LOSS16,LOSS17,LOSS18,LOSS19,LOSS20,LOSS21,LOSS22,LOSS23,LOSS24,LOSS25,LOSS26,LOSS27,LOSS28,LOSS29,LOSS30,LOSS31,LOSS32,LOSS33,LOSS34,LOSS35,LOSS36,LOSS37,LOSS38,LOSS39,LOSS40,LOSS41,LOSS42,LOSS43,LOSS44,LOSS45,LOSS46,LOSS47,LOSS48,LOSS49
0,0.2909881,0.30475754,0.46011445,0.25457156,1.4831508,0.3596496,1.1408828,0.7826151,0.23050378,0.70747757,0.24408053,0.40777832,0.2420219,0.63233024,0.37816504,0.36418384,0.28728178,2.0568085,1.4943779,0.37473294,0.7866187,0.23501396,0.35234895,0.55420905,0.22799753,2.7197762,0.39856398,0.67347926,1.1725836,0.26657414,0.38553187,0.38668677,0.5597603,0.47696987,1.9139519,0.34553185,0.25296968,0.6866414,0.2257309,0.3964626,0.47924748,0.25236142,0.2513533,0.6873435,0.2430704,0.24860184,1.1889899,0.46826103,0.32667136,0.60728973
1,0.7117843,0.48210463,0.2396938,0.23839024,0.69856465,0.5643063,2.392971,0.42371255,0.46347487,1.1415503,0.26617995,0.322443,0.57106066,0.43451226,0.43415925,0.41218382,1.2417722,0.3445327,1.0820994,0.23369299,0.91148543,0.23081979,0.36023343,0.6308205,0.24659589,0.54160607,0.49794072,0.23769592,1.3424596,1.1278139,1.9861974,1.1992185,1.4418395,0.6512809,0.5809666,0.8727595,0.3206424,0.5168345,0.23095892,0.26801407,0.57504106,0.23731568,0.262354,2.7163677,0.23690344,0.74776256,2.9768665,0.8046773,0.45561853,0.2566665
2,0.592256,0.36837652,0.25663537,0.23201886,0.6190638,0.4657015,1.4902472,0.31365317,0.43900377,0.70627624,0.25652358,0.35580587,0.42344895,0.34397408,0.3872321,0.3563027,0.9321879,0.3073809,0.6857803,0.23240322,0.40047678,0.2410866,0.32931647,0.43649173,0.2400801,0.27966425,0.3841504,0.2341585,0.9891935,0.73287827,0.9617331,0.51849747,0.49185982,0.38231832,0.53095126,0.7209091,0.2555591,0.31434685,0.22930314,0.29509014,0.4749743,0.23621723,0.25395304,1.2951658,0.23512606,0.44771993,1.6183592,0.38410133,0.4510113,0.22696774
3,0.512323,0.30810022,0.27231443,0.23275162,0.5638804,0.40811378,1.0524396,0.2613856,0.42180672,0.49385065,0.25079998,0.38724986,0.34161714,0.2963685,0.3579114,0.32380733,0.7551528,0.287373,0.5007481,0.23537791,0.24799457,0.25589675,0.30883768,0.33385938,0.23575824,0.23381267,0.31813914,0.2572754,0.78821814,0.54596466,0.5764469,0.28923768,0.25052992,0.27331263,0.5004045,0.64000887,0.23061086,0.25097743,0.22783548,0.32093275,0.41156727,0.23493378,0.24473245,0.76872116,0.23383252,0.3200429,1.0595845,0.25730085,0.44867492,0.27048713
4,0.45685107,0.27515852,0.28433394,0.2372618,0.5243402,0.37319142,0.8132191,0.23886977,0.40968576,0.37993988,0.24718566,0.41572535,0.2939826,0.26899812,0.33906898,0.30409777,0.64732796,0.2758624,0.4005528,0.23973437,0.22842073,0.27390772,0.29493213,0.27731234,0.23257679,0.23870084,0.27890462,0.28444806,0.66548765,0.44827387,0.39619893,0.22977492,0.2310598,0.23494527,0.48174366,0.59507024,0.22912963,0.23078072,0.22651762,0.3439812,0.36902875,0.23332922,0.23405436,0.5234548,0.23292753,0.26379985,0.78539246,0.22942989,0.44800094,0.3367916
5,0.41731325,0.25663516,0.2928848,0.2436163,0.4953918,0.3514197,0.67212075,0.23201224,0.40118662,0.31532153,0.244738,0.44071838,0.2657151,0.25153753,0.3267076,0.29170442,0.5787135,0.26877117,0.34066984,0.24416947,0.25780362,0.29397827,0.28528744,0.24637851,0.2299222,0.2510822,0.25564513,0.30819187,0.5867518,0.39305356,0.30237126,0.24306609,0.27937597,0.22941977,0.47059163,0.56964105,0.24138457,0.22380343,0.2253242,0.3638346,0.33919325,0.23124571,0.22148617,0.39343208,0.23234117,0.23965651,0.6364482,0.23340726,0.44855446,0.40336847
6,0.38859078,0.24585652,0.2987621,0.25070122,0.47391716,0.3376071,0.5844155,0.23321727,0.3953112,0.27758712,0.24294704,0.4620292,0.24908248,0.23892844,0.31848675,0.2836618,0.5337022,0.2640536,0.30234194,0.2481516,0.30075768,0.31514147,0.27847555,0.23080209,0.22742164,0.26103434,0.24233249,0.32689825,0.5344406,0.35953957,0.25318342,0.2857934,0.33922872,0.23864509,0.46429923,0.5553055,0.2612291,0.22036403,0.22424087,0.38065577,0.31750545,0.22849749,0.20688225,0.31930766,0.23202248,0.23036441,0.55011815,0.24510126,0.45002067,0.46128955
7,0.36745682,0.23927803,0.30273235,0.25789413,0.4579,0.32879227,0.5278211,0.23827079,0.3913538,0.2554258,0.24152263,0.47961333,0.23971304,0.22853245,0.31297976,0.27828783,0.5035804,0.26061618,0.2766285,0.2515173,0.34260324,0.33660093,0.27359012,0.22496903,0.22483386,0.26745012,0.23537976,0.3410077,0.49882373,0.33763883,0.23133948,0.3364261,0.39150542,0.25352615,0.46120209,0.5474775,0.28467062,0.21735363,0.22326273,0.39483854,0.3012666,0.22486901,0.19049996,0.2756329,0.23193498,0.22785363,0.4978647,0.25636116,0.45216703,0.50823975
8,0.35179844,0.23497969,0.30537847,0.2648678,0.44598413,0.32321638,0.4903103,0.24484257,0.38879704,0.24266368,0.2402889,0.49347317,0.23497657,0.21889845,0.30928457,0.27458555,0.4832049,0.25783402,0.2588771,0.25426868,0.37818462,0.35772586,0.27004042,0.22556432,0.22198965,0.2711219,0.23254456,0.35147807,0.47418192,0.32204568,0.22858778,0.38461977,0.43188566,0.26953614,0.4602231,0.54354036,0.30914557,0.21380454,0.22239305,0.40683475,0.28879806,0.22011876,0.17308953,0.24996668,0.23205371,0.22824053,0.4653278,0.26498157,0.45482093,0.5448561
9,0.34019002,0.23190342,0.3071027,0.27147013,0.43722418,0.3197938,0.46498105,0.25168538,0.3872492,0.23572291,0.23913315,0.5035927,0.2332163,0.20920484,0.30681002,0.27193677,0.46939576,0.25532544,0.24651298,0.25647318,0.40659243,0.37803993,0.2674315,0.23049457,0.21875906,0.27293816,0.2323737,0.35922587,0.45698768,0.30974856,0.24011779,0.4262163,0.46137258,0.28456622,0.46064985,0.54195243,0.3330696,0.2094266,0.22164176,0.41706806,0.2790125,0.21399507,0.15585491,0.2355729,0.23236276,0.2296558,0.44473156,0.27080387,0.45785064,0.57283884
10,0.33164755,0.22945453,0.3081633,0.27764893,0.4309414,0.31783065,0.44767377,0.25817698,0.3864009,0.23243469,0.2379776,0.50990224,0.2333554,0.19900182,0.30515492,0.2699408,0.46011007,0.25283954,0.23805264,0.25821546,0.42859033,0.39720133,0.2654923,0.23835711,0.21503432,0.27352697,0.2339023,0.36496988,0.4449745,0.29889324,0.26227856,0.46032247,0.4823556,0.2977793,0.46200365,0.54178524,0.3555221,0.204131,0.22102341,0.42590392,0.27118117,0.2062678,0.14019094,0.22848909,0.23285346,0.2312236,0.43161306,0.2742345,0.46115425,0.5940528
11,0.32547817,0.22728986,0.30871812,0.2834048,0.42663503,0.31686625,0.4357758,0.2640492,0.38600045,0.23144068,0.23676543,0.51226336,0.23468065,0.18809198,0.30403778,0.26832414,0.4539899,0.25019765,0.23262495,0.25957507,0.44541147,0.41498068,0.26403156,0.24816288,0.21072191,0.27326548,0.2364806,0.36921844,0.43663445,0.2882324,0.29172328,0.48756337,0.49714872,0.3089753,0.46395844,0.54247254,0.3760112,0.19788541,0.22055393,0.43363583,0.2648013,0.19677447,0.12721597,0.22622229,0.23352316,0.23255974,0.42328367,0.2757215,0.46465224,0.610159
