,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49
0,-0.02799103,-0.030301472,-0.07191334,-0.062645905,-0.045635946,-0.084312476,-0.053854145,-0.029798413,-0.0057208086,-0.08028886,-0.037226256,-0.06005723,-0.039842807,-0.041377097,-0.06943438,-0.026256721,-0.045920037,-0.06662033,-0.12318443,-0.066634834,-0.062341478,-0.089663796,-0.061584134,-0.057316773,-0.0380537,-0.05848135,-0.028477373,-0.027200233,-0.013851458,-0.019698178,-0.11459316,-0.080927536,-0.057894927,-0.035060998,-0.06731419,-0.055404387,-0.075849675,-0.06117588,-0.012810639,-0.064389974,-0.054731376,-0.041693076,-0.024178512,-0.052194186,-0.04992723,-0.06393195,-0.018106876,-0.05139649,-0.10060808,-0.11249194
1,-0.0274664,-0.029407999,-0.06890531,-0.059807587,-0.04442574,-0.08149287,-0.051855464,-0.028337182,-0.005879755,-0.077428035,-0.037005436,-0.060463514,-0.03856401,-0.039908875,-0.067145936,-0.025218459,-0.044164103,-0.064335324,-0.11830753,-0.06412751,-0.060886614,-0.088106684,-0.059277378,-0.05414582,-0.036688358,-0.05657566,-0.026271367,-0.025803868,-0.01273802,-0.019041497,-0.11029621,-0.07859988,-0.05609528,-0.033069514,-0.064693995,-0.052565172,-0.0743831,-0.05905165,-0.011390036,-0.06264232,-0.052448925,-0.040296044,-0.025059821,-0.05040801,-0.04895721,-0.062101398,-0.01673733,-0.049910955,-0.09686572,-0.10823704
2,-0.026824277,-0.028358452,-0.065669976,-0.05676424,-0.043045044,-0.07843495,-0.049686704,-0.02672739,-0.0059478586,-0.074363604,-0.03659748,-0.060695376,-0.03712091,-0.038318098,-0.06463745,-0.02403998,-0.042233355,-0.061862424,-0.113148965,-0.061434016,-0.059238218,-0.086335264,-0.05676292,-0.05085857,-0.03517244,-0.05448963,-0.023955053,-0.024262726,-0.011528204,-0.01826588,-0.10573981,-0.07606562,-0.054103665,-0.03094566,-0.0619152,-0.04957933,-0.07266989,-0.056743458,-0.009845526,-0.06069074,-0.050007027,-0.038732067,-0.025710426,-0.048456825,-0.047795635,-0.06007339,-0.015252794,-0.048244692,-0.09287676,-0.103707515
3,-0.026046239,-0.027133109,-0.062189084,-0.053497765,-0.04147315,-0.07511689,-0.047330197,-0.024952214,-0.0059074583,-0.071077816,-0.03597882,-0.06072259,-0.035493467,-0.036587343,-0.061886713,-0.02270303,-0.04010943,-0.059180923,-0.10768969,-0.058535323,-0.05737548,-0.08432495,-0.054021206,-0.04744355,-0.033486888,-0.05220423,-0.02151742,-0.022560395,-0.010207469,-0.017353408,-0.10090309,-0.07330245,-0.05190006,-0.028675597,-0.058961328,-0.04643187,-0.070681915,-0.05423187,-0.008162258,-0.05851442,-0.047390074,-0.036981203,-0.02610544,-0.04632267,-0.04641911,-0.057826627,-0.013639475,-0.046377398,-0.088622436,-0.09888273
4,-0.025111226,-0.025710287,-0.058442246,-0.04998737,-0.039687093,-0.07151448,-0.044766173,-0.022991955,-0.0057380074,-0.06755006,-0.035123084,-0.060512353,-0.033659168,-0.034696445,-0.058868833,-0.021187188,-0.03777149,-0.05626864,-0.10190877,-0.055410877,-0.055275496,-0.0820483,-0.051030394,-0.04388704,-0.031610776,-0.04969845,-0.018945077,-0.020678505,-0.008758267,-0.016283564,-0.09576238,-0.07028539,-0.049462337,-0.026244616,-0.055813693,-0.043105103,-0.06838791,-0.051495604,-0.0063232062,-0.05609184,-0.044580683,-0.0350196,-0.026216839,-0.0439845,-0.044800848,-0.05533732,-0.011881942,-0.04428658,-0.084081,-0.09374103
5,-0.023995694,-0.02406534,-0.054407593,-0.046210892,-0.037661172,-0.06760121,-0.04197214,-0.020825297,-0.0054164203,-0.06375795,-0.03400091,-0.060025603,-0.031593166,-0.032622825,-0.05555657,-0.019468648,-0.03519677,-0.053100046,-0.09578366,-0.05203758,-0.052912164,-0.079474315,-0.047766812,-0.04017277,-0.029520253,-0.04694869,-0.016224569,-0.018596485,-0.007161772,-0.015033618,-0.09029253,-0.06698646,-0.046765972,-0.023634968,-0.052451182,-0.039578702,-0.06575359,-0.04851107,-0.004308625,-0.05339693,-0.041558024,-0.032821666,-0.026013924,-0.041419342,-0.04291137,-0.052578866,-0.009962333,-0.04194702,-0.07922942,-0.088257864
6,-0.022672513,-0.02217052,-0.05006044,-0.04214313,-0.035366017,-0.06334811,-0.038923226,-0.01842788,-0.0049151094,-0.05967657,-0.032579735,-0.059219778,-0.029267248,-0.03033992,-0.051919837,-0.017521368,-0.03235951,-0.04964703,-0.08929039,-0.048389506,-0.0502565,-0.07657013,-0.04420387,-0.036283273,-0.02718804,-0.043928564,-0.013337956,-0.016290972,-0.0053948374,-0.013576802,-0.08446613,-0.063374795,-0.043783847,-0.020827096,-0.04884966,-0.03583049,-0.062741175,-0.045251813,-0.0020967089,-0.050401274,-0.03830038,-0.030358363,-0.025462395,-0.0386007,-0.04071709,-0.049521748,-0.007860415,-0.039331034,-0.07404286,-0.082406975
7,-0.02111083,-0.019995056,-0.045374505,-0.037756406,-0.032769997,-0.0587228,-0.035591383,-0.01577254,-0.0042017545,-0.05527793,-0.03082364,-0.058046043,-0.026650315,-0.027818177,-0.047925066,-0.015315286,-0.02923107,-0.045877974,-0.082402885,-0.044437654,-0.04727635,-0.07329719,-0.040312693,-0.03219681,-0.02458402,-0.040608753,-0.010265436,-0.013735858,-0.0034314054,-0.011883296,-0.0782527,-0.05941613,-0.040485788,-0.017798148,-0.044982314,-0.03183445,-0.059308708,-0.041688852,0.0003383247,-0.047073763,-0.034781285,-0.027596204,-0.024525385,-0.035499286,-0.038181126,-0.04613328,-0.005553291,-0.03640761,-0.068492934,-0.076159656
8,-0.01927597,-0.017504187,-0.040319625,-0.033019572,-0.029836597,-0.053690836,-0.031944875,-0.012828894,-0.003241149,-0.050530575,-0.028692868,-0.056450676,-0.023707027,-0.02502323,-0.043534923,-0.012816036,-0.02577988,-0.041757256,-0.075092204,-0.040149536,-0.043935455,-0.06961338,-0.036060825,-0.02788831,-0.021673687,-0.036956202,-0.006984471,-0.01090158,-0.0012417315,-0.0099189,-0.071619555,-0.055071875,-0.036837988,-0.014522113,-0.040818185,-0.027561393,-0.055410746,-0.037789274,0.0030255492,-0.04337851,-0.030972075,-0.024499174,-0.023159988,-0.032082114,-0.035262782,-0.042377166,-0.003014445,-0.03314229,-0.062549464,-0.06948402
9,-0.017128468,-0.014658728,-0.034863558,-0.027898297,-0.026525749,-0.048213407,-0.027948646,-0.009562598,-0.001990815,-0.04539972,-0.026142852,-0.05437228,-0.020398332,-0.021916261,-0.03870858,-0.009985299,-0.021970145,-0.037245177,-0.067327976,-0.03548918,-0.040192775,-0.065471165,-0.03141271,-0.023329386,-0.018418623,-0.032934505,-0.0034678613,-0.00775449,0.0012094153,-0.007645094,-0.06453106,-0.050299335,-0.032803558,-0.010969133,-0.036322583,-0.02297784,-0.050996963,-0.033516653,0.0059982454,-0.039277736,-0.026839284,-0.021025632,-0.02132039,-0.02831205,-0.031915564,-0.0382134,-0.00021400573,-0.029496593,-0.056178726,-0.06234569
10,-0.014623443,-0.0114150755,-0.028970255,-0.022354288,-0.022792213,-0.042248785,-0.023562577,-0.0059350114,-0.00040284946,-0.039846648,-0.023124939,-0.051742714,-0.016680373,-0.0184537,-0.033400785,-0.006779403,-0.017761843,-0.032297857,-0.059077073,-0.030415533,-0.036003504,-0.06081662,-0.026328837,-0.018486833,-0.014775274,-0.028502557,0.0003154931,-0.004256891,0.003961494,-0.005017881,-0.056947943,-0.045051713,-0.028340857,-0.007104939,-0.031455822,-0.018046094,-0.04601354,-0.028830687,0.009294701,-0.034726076,-0.022345172,-0.017129574,-0.018955424,-0.024147402,-0.028089473,-0.0335973,0.002882383,-0.025427813,-0.049343772,-0.054706246
